family_id,normalized_message,diagnostic_kind,fresh_diagnostics,files,objects,regions_features,source_matches,vanilla_matches,protected_occurrences,custom_only_occurrences,legacy_count,candidate_transform_count,semantic_exception_count,classification,certainty,risk,exact_transformation_rule,expected_diagnostics_removed,theoretical_diff,inverse_validation,classification_reason,file_list,patch_plan_sha256,hash_matrix
API_IS_HEIR,Unknown trigger type: is_heir,parser,10,7,8,global:common/on_actions;global:events;iberia:events;india:India_hotfix;south_america:journal_entries,48,48,2,0,57,49,8,FAMILY_B,PROVEN,LOW,is_heir = <yes|no> -> is_heir_of_own_country = <same bool>,8,49+/49- across 19 files,PASS,Pure local syntax/API migration; source hotfix and vanilla 1.13 preserve scope and value; protected paths excluded.,common/journal_entries/02_pedro_brazil.txt;common/on_actions/00_code_on_actions.txt;events/acceptance_events.txt;events/agitators_events/revolution_events_02.txt;events/boxer_rebellion_events.txt;events/iberia_events/struggle_for_the_highveld_events.txt;events/india_events/mughal_events.txt,D8C6DA5830C38B81348197141258F31BA8B5451E232E4ACD1C11A9FFE4B47466,PER_OCCURRENCE_AND_PER_FILE_IN_PATCH_PLAN
API_FORMATION_NAVY_UNIT_TYPE_FRACTION,Unknown trigger type: formation_navy_unit_type_fraction,parser,10,1,5,global:NAVY,0,0,10,0,10,0,10,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,events/tech_events/naval_tech_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_PORT,Unknown trigger type: has_port,parser,7,2,2,global:common/ai_strategies;japan:Japan_hotfix,2,7,2,0,7,0,7,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/ai_strategies/00_default_strategy.txt;events/meiji_restoration.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_CREATE_CHARACTER,PostValidate of effect 'create_character' returned false,PostValidate_effect,7,4,5,:;france:French_content;global:events;india:NAVY,7,6,1,1,7,0,7,FAMILY_C,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_SEMANTIC_REWRITE_REQUIRED,0,NONE,NOT_APPLICABLE,"The 1.13 equivalent changes structure, scope, selection, character construction, or gameplay semantics.",common/history/characters/aus.txt;common/history/military_formations/05_military_formations_india.txt;events/agitators_events/dreyfus_events.txt;events/soi_events/00_ep1_caucasus_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_COUNTRY_NAVY_UNIT_TYPE_FRACTION,Unknown trigger type: country_navy_unit_type_fraction,parser,6,2,6,global:NAVY;global:events,0,0,5,0,6,0,6,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,events/dreadnought_hoax.txt;events/tech_events/naval_tech_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_IS_IN_GEOGRAPHIC_REGION,PostValidate of trigger 'is_in_geographic_region' returned false,PostValidate_trigger,4,1,4,iberia:events,4,4,0,0,4,4,0,FAMILY_A,PROVEN,LOW,is_in_geographic_region = geographic_region_iberia -> is_in_geographic_region = geographic_region_iberia_old,4,4+/4- across 1 files,PASS,Pure local syntax/API migration; source hotfix and vanilla 1.13 preserve scope and value; protected paths excluded.,events/iberia_events/iberian_union_events.txt,D8C6DA5830C38B81348197141258F31BA8B5451E232E4ACD1C11A9FFE4B47466,PER_OCCURRENCE_AND_PER_FILE_IN_PATCH_PLAN
API_POST_NOTIFICATION,PostValidate of effect 'post_notification' returned false,PostValidate_effect,3,2,3,:;global:common/on_actions,3,2,1,1,3,0,3,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,common/on_actions/00_code_on_actions.txt;events/battle_for_india_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_CUSTOM_TOOLTIP,PostValidate of effect 'custom_tooltip' returned false ; PostValidate of trigger 'custom_tooltip' returned false,PostValidate_effect;PostValidate_trigger,3,2,2,japan:Japan_hotfix,3,3,3,0,3,0,3,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/journal_entries/00_meiji_restoration.txt;events/meiji_restoration.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_ANY_COUNTRY_IN_IBERIA,Unknown trigger type: any_country_in_iberia,parser,2,1,2,iberia:events,6,6,0,0,6,6,0,FAMILY_A,PROVEN,LOW,any_country_in_iberia = { -> any_country_in_iberia_old = {,2,6+/6- across 1 files,PASS,Pure local syntax/API migration; source hotfix and vanilla 1.13 preserve scope and value; protected paths excluded.,events/iberia_events/ip4_spanish_political_events.txt,D8C6DA5830C38B81348197141258F31BA8B5451E232E4ACD1C11A9FFE4B47466,PER_OCCURRENCE_AND_PER_FILE_IN_PATCH_PLAN
SYNTAX_INTEREST_GROUP_LEADER_CHANCE_KEYS,Unexpected token: commander_leader_chance ; Unexpected token: executive_leader_chance,parser,2,1,1,global:common/interest_groups,0,0,0,0,2,0,2,FAMILY_C,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_SEMANTIC_REWRITE_REQUIRED,0,NONE,NOT_APPLICABLE,"The 1.13 equivalent changes structure, scope, selection, character construction, or gameplay semantics.",common/interest_groups/00_landowners.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_OBJECTIVE,PostValidate of trigger 'has_objective' returned false,PostValidate_trigger,2,2,2,:,0,2,0,0,2,0,2,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,common/achievements/sphereofinfluenceachievements.txt;common/achievements/standard_achievments.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_ADD_MODIFIER,PostValidate of effect 'add_modifier' returned false ; Unexpected token: add_modifier,PostValidate_effect;parser,2,2,2,global:journal_entries;japan:Japan_hotfix,2,1,2,1,2,0,2,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/journal_entries/00_meiji_restoration.txt;common/journal_entries/07_poland_lithuania_mod.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_SET_INSTITUTION_INVESTMENT_LEVEL,PostValidate of effect 'set_institution_investment_level' returned false,PostValidate_effect,2,2,1,:,2,0,0,2,2,0,2,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/history/countries/hbc - hubson bay company.txt;common/history/countries/org -oregan.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_ADD_CONTEXTLESS_JOURNAL_ENTRY,PostValidate of effect 'add_contextless_journal_entry' returned false,PostValidate_effect,1,1,1,iberia:events,1,1,0,0,1,0,1,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,events/iberia_events/carlist_war_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_VALUE,Unknown trigger type: value,parser,1,1,1,global:journal_entries,1,0,1,1,1,0,1,FAMILY_C,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_SEMANTIC_REWRITE_REQUIRED,0,NONE,NOT_APPLICABLE,"The 1.13 equivalent changes structure, scope, selection, character construction, or gameplay semantics.",common/journal_entries/07_poland_lithuania_mod.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_ADD_AMENDMENT,PostValidate of effect 'add_amendment' returned false,PostValidate_effect,1,1,1,:,0,1,0,0,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/scripted_buttons/07_japan_buttons.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_COUNTRY_CONVOYS_CAPACITY_MULT,"Unknown modifier type: country_convoys_capacity_mult. It is either invalid, or a potential dynamic modifier type definition missing from the database.: country_convoys_capacity_mult",parser,1,1,1,global:common/company_types,1,0,0,1,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/company_types/02_new_companies.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_CREATE_BUILDING,PostValidate of effect 'create_building' returned false,PostValidate_effect,1,1,1,global:events,1,1,1,0,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,events/russo_chinese_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_BUILDING,PostValidate of trigger 'has_building' returned false,PostValidate_trigger,1,1,1,global:events,1,1,1,0,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,events/russo_chinese_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_TECHNOLOGY_RESEARCHED,PostValidate of trigger 'has_technology_researched' returned false,PostValidate_trigger,1,1,1,global:journal_entries,1,1,0,0,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/journal_entries/00_player_objectives_hegemon.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_REMOVE_MODIFIER,PostValidate of effect 'remove_modifier' returned false,PostValidate_effect,1,1,1,global:journal_entries,1,0,1,1,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/journal_entries/07_poland_lithuania_mod.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_TYPE,Unexpected token: type,parser,1,1,1,russia:ADMIN_and_regional_setup,1,1,0,0,1,0,1,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/history/buildings/15_russia.txt,NOT_APPLICABLE,NOT_APPLICABLE
