"phase_id","filename","title","region","topic","document_type","primary_verdict","secondary_verdicts","historical_status","canonical","superseded_by","predecessor","successor","markdown_path","companion_csv_path","commit","created_or_recorded_date","runtime_or_static","gameplay_changed","current_relevance","summary","notes"
"HOTFIX_6A3R_DEI_BREAKUP_HUNK_RESOLUTION","HOTFIX_6A3R_DEI_BREAKUP_HUNK_RESOLUTION.md","HOTFIX-6A.3R — Résolution des hunks DEI Cape/Ceylon","east_indies","events_and_setup","STATIC_RESOLUTION","HOTFIX_6A3R_DEI_BREAKUP_HUNK_RESOLUTION_COMPLETE","READY_FOR_DEI_TARGETED_FIX;CEYLON_SHOULD_BECOME_INDEPENDENT;CAPE_SHOULD_BECOME_INDEPENDENT;NO_GAMEPLAY_CHANGED;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","CURRENT","true","","HOTFIX_6A3_DEI_TARGETED_AUDIT.md","HOTFIX_NEXT_MERGE_PHASE_PROMPT.md","docs/reports/hotfix/_index/HOTFIX_6A3R_DEI_BREAKUP_HUNK_RESOLUTION.md","docs/reports/hotfix/_index/HOTFIX_6A3_DEI_TARGETED_AUDIT_DELTA_MAP.csv","CURRENT_WORKTREE","2026-07-23","static","false","canonical/current","Proves the current loop cannot release Cape or Ceylon, selects CEY and SAF, validates exact transfer APIs and admits all seven vanilla 1.13 hunks.","Sixteen resolved map records; no runtime and no gameplay changed"
"MILITARY_FORMATIONS_1_13_RUNTIME_QA","HOTFIX_MILITARY_FORMATIONS_1_13_RUNTIME_QA.md","HOTFIX — QA runtime des formations militaires Victoria 3 1.13","global","military_formations","CORRECTION_RUNTIME_REPORT","MILITARY_FORMATIONS_1_13_RUNTIME_QA_COMPLETE","MILITARY_FORMATIONS_HQ_RUNTIME_PASS;JAPAN_GUARD_ARMIES_RUNTIME_PASS;REGULAR_ARMY_ATLANTIC_COAST_RUNTIME_PASS;PERSIAN_DUAL_FORMATION_RUNTIME_PASS;NORTH_AFRICA_FORMATIONS_SMOKE_PASS;SUBSAHARAN_AFRICA_FORMATION_SMOKE_PASS;SAVE_RELOAD_AND_THREE_MONTHS_PASS;PREEXISTING_MILITARY_FORMATION_DEBT_CONFIRMED;HOTFIX_6A3F_NOT_STARTED","CURRENT","true","","army.md","","docs/reports/hotfix/_index/HOTFIX_MILITARY_FORMATIONS_1_13_RUNTIME_QA.md","","CURRENT_WORKTREE","2026-07-28","static_and_runtime","true","canonical/current","Validates the 1.13 military formation migration after a minimal twelve-HQ correction, including fresh start, save reload and two three-month runs.","Three operator-controlled launches; c6c9429 not amended; old scope and ideology debt left for a separate phase"
"HOTFIX_REPORT_LIBRARY_REORGANIZATION","HOTFIX_REPORT_LIBRARY_REORGANIZATION.md","HOTFIX â€” RÃ©organisation de la bibliothÃ¨que des rapports","global","library","REFERENCE","HOTFIX_5_INDIA_COMPLETE_AND_REPORT_LIBRARY_INDEXED","HOTFIX_REPORT_INDEX;HOTFIX_REPORT_DEPENDENCY_MAP;HOTFIX_5_INDIA_COMPLETE;WEST_BENGAL_RETREAT_TRANSFER_EXPECTED;NO_REPORT_DELETED;NO_GAMEPLAY_CHANGED;REPORT_LIBRARY_REORGANIZED;REPORT_INDEX_COMPLETE;REPORT_LINKS_VALIDATED","CURRENT","false","","HOTFIX_DISPOSABLE_TEST_MOD_RETIREMENT.md","","docs/reports/hotfix/_index/HOTFIX_REPORT_LIBRARY_REORGANIZATION.md","","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Audit of the complete report-library reorganization.","Created during AH"
"INDEX","INDEX.md","Index global des rapports hotfix","global","global","INDEX","WEST_BENGAL_RETREAT_TRANSFER_EXPECTED","HOTFIX_5_INDIA_COMPLETE;HOTFIX_5_INDIA_CLOSURE;HOTFIX_4E8_FIX_EZO_HOKKAIDO_GATE;HOTFIX_3F_IR1_SECRET_GOAL;HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT;HOTFIX_5_INDIA_CLOSURE_MANIFEST;HOTFIX_REPORT_LIBRARY_REORGANIZATION;HOTFIX_5_INDIA_COMPLETE_AND_REPORT_LIBRARY_INDEXED;PASS_BOMBAY_TRIGGER_RUNTIME_VALIDATION;HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION;HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS;HOTFIX_5C2E4C1AB_E1_RADICAL_CLEAN_RERUN","CURRENT","false","","","README.md","docs/reports/hotfix/INDEX.md","","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Navigation index for the reorganized hotfix report library.","Created during AH"
"HOTFIX_5_AUDIT_INDIA_BIC_BATTLE_FOR_INDIA","HOTFIX_5_AUDIT_INDIA_BIC_BATTLE_FOR_INDIA.md","HOTFIX-5-AUDIT - Inde, BIC et Battle for India","india","00_overview","STATIC_AUDIT","HOTFIX_5_AUDIT_INDIA_BIC_BATTLE_FOR_INDIA","","INTERMEDIATE","false","","","","docs/reports/hotfix/india/00_overview/HOTFIX_5_AUDIT_INDIA_BIC_BATTLE_FOR_INDIA.md","","b9f043ea511d79587ca769830c87c197f4033c83","2026-07-12T00:10:17Z","static","false","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5_INDIA_CLOSURE","HOTFIX_5_INDIA_CLOSURE.md","HOTFIX-5 â€” ClÃ´ture dÃ©finitive Inde","india","closure","CLOSURE","HOTFIX_5_INDIA_COMPLETE","PASS_C1_FIX_RUNTIME_PARTIAL_UI;PASS_B1_RADICAL_2B_RUNTIME_PARTIAL_UI;BOMBAY_TRIGGER_ACCESS_CONFIRMED;WEST_BENGAL_RETREAT_TRANSFER_EXPECTED;WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED;NO_FURTHER_INDIA_GAMEPLAY_FIX_REQUIRED;SEPOY_RUNTIME_VALIDATION_COMPLETE;HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION;HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST;HOTFIX_5C2E4C1T_SEPOY_C1_FIX_RUNTIME_TEST","FINAL","true","","","","docs/reports/hotfix/india/closure/HOTFIX_5_INDIA_CLOSURE.md","","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Administrative closure of the current India hotfix scope.","Created during AH"
"HOTFIX_5B1_AUDIT_UNIQUE_EAST_INDIA_COMPANY","HOTFIX_5B1_AUDIT_UNIQUE_EAST_INDIA_COMPANY.md","HOTFIX-5B1-AUDIT - Compagnie des Indes orientales unique","india","east_india_company","STATIC_AUDIT","HOTFIX_5B1_AUDIT_UNIQUE_EAST_INDIA_COMPANY","HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY","INTERMEDIATE","false","","","HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY.md","docs/reports/hotfix/india/east_india_company/HOTFIX_5B1_AUDIT_UNIQUE_EAST_INDIA_COMPANY.md","","a8678d6529418f98a5b439b9ffa906ecf01a9e2b","2026-07-12T19:37:33Z","static","false","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY","HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY.md","HOTFIX-5B2 - Compagnie des Indes orientales unique","india","east_india_company","CORRECTION_REPORT","HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY","","INTERMEDIATE","false","","HOTFIX_5B1_AUDIT_UNIQUE_EAST_INDIA_COMPANY.md","","docs/reports/hotfix/india/east_india_company/HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY.md","","fc9805fee606d82d194f3cfba18b37480bd2699f","2026-07-12T19:53:00Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2C_INDIA_RAILWAY_REGIONS","HOTFIX_5C2C_INDIA_RAILWAY_REGIONS.md","HOTFIX-5C2C - India Railway strategic regions","india","infrastructure_and_famines","CORRECTION_REPORT","HOTFIX_5C2C_INDIA_RAILWAY_REGIONS","","INTERMEDIATE","false","","","HOTFIX_5C2D_AUDIT_INDIAN_FAMINES_REGIONS.md","docs/reports/hotfix/india/infrastructure_and_famines/HOTFIX_5C2C_INDIA_RAILWAY_REGIONS.md","","d1593795b39a3f65a9095c0299023b966d7379e1","2026-07-13T00:07:56Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2D_AUDIT_INDIAN_FAMINES_REGIONS","HOTFIX_5C2D_AUDIT_INDIAN_FAMINES_REGIONS.md","HOTFIX-5C2D-AUDIT - Indian Famines regions","india","infrastructure_and_famines","STATIC_AUDIT","MANUAL_RESEARCH_REQUIRED","HOTFIX_5C2D_AUDIT_INDIAN_FAMINES_REGIONS","INTERMEDIATE","false","","HOTFIX_5C2C_INDIA_RAILWAY_REGIONS.md","HOTFIX_5C2D1_PAN_INDIAN_FAMINES.md","docs/reports/hotfix/india/infrastructure_and_famines/HOTFIX_5C2D_AUDIT_INDIAN_FAMINES_REGIONS.md","","c75ea27162c6026fb789c6d631fa186d08d1cb6c","2026-07-13T00:34:09Z","static","false","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2D1_PAN_INDIAN_FAMINES","HOTFIX_5C2D1_PAN_INDIAN_FAMINES.md","HOTFIX-5C2D1 - Pan-Indian Famines","india","infrastructure_and_famines","CORRECTION_REPORT","HOTFIX_5C2D1_PAN_INDIAN_FAMINES","","INTERMEDIATE","false","","HOTFIX_5C2D_AUDIT_INDIAN_FAMINES_REGIONS.md","HOTFIX_5C2D2_FAMINE_HISTORICAL_COMPLETIONS.md","docs/reports/hotfix/india/infrastructure_and_famines/HOTFIX_5C2D1_PAN_INDIAN_FAMINES.md","","4b8b22a10507aed3642a06cdb88e6ef15e37136d","2026-07-13T01:12:55Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2D2_FAMINE_HISTORICAL_COMPLETIONS","HOTFIX_5C2D2_FAMINE_HISTORICAL_COMPLETIONS.md","HOTFIX-5C2D2 - Famine historical completions","india","infrastructure_and_famines","CORRECTION_REPORT","HOTFIX_5C2D2_FAMINE_HISTORICAL_COMPLETIONS","","INTERMEDIATE","false","","HOTFIX_5C2D1_PAN_INDIAN_FAMINES.md","HOTFIX_5C2D3_FAMINE_HISTORICAL_SELECTORS.md","docs/reports/hotfix/india/infrastructure_and_famines/HOTFIX_5C2D2_FAMINE_HISTORICAL_COMPLETIONS.md","","6a993c6833ab6ec8d884ddcf5e8fe52b9087a28b","2026-07-13T01:53:35Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2D3_FAMINE_HISTORICAL_SELECTORS","HOTFIX_5C2D3_FAMINE_HISTORICAL_SELECTORS.md","HOTFIX-5C2D3 - Famine historical selectors","india","infrastructure_and_famines","CORRECTION_REPORT","HOTFIX_5C2D3_FAMINE_HISTORICAL_SELECTORS","","INTERMEDIATE","false","","HOTFIX_5C2D2_FAMINE_HISTORICAL_COMPLETIONS.md","","docs/reports/hotfix/india/infrastructure_and_famines/HOTFIX_5C2D3_FAMINE_HISTORICAL_SELECTORS.md","","f89273d6e6b12fc0b098f996422e5b2f4d42f4b5","2026-07-13T04:00:04Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"INDEX","README.md","Inde â€” HOTFIX-5","india","india","INDEX","WEST_BENGAL_RETREAT_TRANSFER_EXPECTED","HOTFIX_5_INDIA_COMPLETE;HOTFIX_5_INDIA_CLOSURE;HOTFIX_5C2E_AUDIT_SEPOY_MUTINY_REGIONS;HOTFIX_5C2E4A_SEPOY_RUNTIME_LOAD_VALIDATION;HOTFIX_5C2E4B1_SEPOY_PINNING_API;HOTFIX_5C2E4B2_SEPOY_CHARACTER_ROLE_API;HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST;HOTFIX_5C2E4C1E1_SEPOY_A1_OBSERVATION_COMPLETION;HOTFIX_5C2E4C1G_SEPOY_A2_RUNTIME_TEST;HOTFIX_5C2E4C1I_SEPOY_A3_RUNTIME_TEST;HOTFIX_5C2E4C1L_B1_BENGAL_CORE_FIX;HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST","CURRENT","false","","","","docs/reports/hotfix/india/README.md","","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Navigation index for the reorganized hotfix report library.","Created during AH"
"HOTFIX_5C2E_AUDIT_SEPOY_MUTINY_REGIONS","HOTFIX_5C2E_AUDIT_SEPOY_MUTINY_REGIONS.md","HOTFIX-5C2E-AUDIT - Uneasy Raj / Sepoy Mutiny regions","india","sepoy","STATIC_AUDIT","MANUAL_RESEARCH_REQUIRED","HOTFIX_5C2E_AUDIT_SEPOY_MUTINY_REGIONS;HOTFIX_5C2E_SEPOY_REGION_MAP","INTERMEDIATE","false","","","HOTFIX_5C2E1_SEPOY_HIDDEN_TRIGGER_AND_ALIGNMENT.md","docs/reports/hotfix/india/sepoy/HOTFIX_5C2E_AUDIT_SEPOY_MUTINY_REGIONS.md","docs/reports/hotfix/india/sepoy/HOTFIX_5C2E_SEPOY_REGION_MAP.csv","0ebb18a9941a2c0660d8e7fe4e6725643c6d8c15","2026-07-13T09:51:10Z","static","false","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2E1_SEPOY_HIDDEN_TRIGGER_AND_ALIGNMENT","HOTFIX_5C2E1_SEPOY_HIDDEN_TRIGGER_AND_ALIGNMENT.md","HOTFIX-5C2E1 - Sepoy hidden trigger and alignment","india","sepoy","CORRECTION_REPORT","HOTFIX_5C2E1_SEPOY_HIDDEN_TRIGGER_AND_ALIGNMENT","","INTERMEDIATE","false","","HOTFIX_5C2E_AUDIT_SEPOY_MUTINY_REGIONS.md","HOTFIX_5C2E2_SEPOY_PRESIDENCIES_AND_REGIONAL_EFFECTS.md","docs/reports/hotfix/india/sepoy/HOTFIX_5C2E1_SEPOY_HIDDEN_TRIGGER_AND_ALIGNMENT.md","","c273de7a33360616993f7d17ae5730ab6ca2b9fc","2026-07-14T01:06:53+02:00","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2E2_SEPOY_PRESIDENCIES_AND_REGIONAL_EFFECTS","HOTFIX_5C2E2_SEPOY_PRESIDENCIES_AND_REGIONAL_EFFECTS.md","HOTFIX-5C2E2 - Sepoy presidencies and regional effects","india","sepoy","CORRECTION_REPORT","HOTFIX_5C2E2_SEPOY_PRESIDENCIES_AND_REGIONAL_EFFECTS","","INTERMEDIATE","false","","HOTFIX_5C2E1_SEPOY_HIDDEN_TRIGGER_AND_ALIGNMENT.md","HOTFIX_5C2E3A_SEPOY_GENERAL_BREAKUP.md","docs/reports/hotfix/india/sepoy/HOTFIX_5C2E2_SEPOY_PRESIDENCIES_AND_REGIONAL_EFFECTS.md","","956c514ef262f762d7fbb045c92db74ed90f5178","2026-07-14T01:34:46+02:00","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2E3A_SEPOY_GENERAL_BREAKUP","HOTFIX_5C2E3A_SEPOY_GENERAL_BREAKUP.md","HOTFIX-5C2E3A - Sepoy Mutiny general breakup","india","sepoy","CORRECTION_REPORT","HOTFIX_5C2E3A_SEPOY_GENERAL_BREAKUP","","INTERMEDIATE","false","","HOTFIX_5C2E2_SEPOY_PRESIDENCIES_AND_REGIONAL_EFFECTS.md","HOTFIX_5C2E3B_SEPOY_BENGAL_RETREAT.md","docs/reports/hotfix/india/sepoy/HOTFIX_5C2E3A_SEPOY_GENERAL_BREAKUP.md","","1e0ae839647d4523c67f7db7c5463b66535f04dc","2026-07-14T09:15:58Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
"HOTFIX_5C2E3B_SEPOY_BENGAL_RETREAT","HOTFIX_5C2E3B_SEPOY_BENGAL_RETREAT.md","HOTFIX-5C2E3B - Sepoy Mutiny Bengal retreat","india","sepoy","CORRECTION_REPORT","HOTFIX_5C2E3B_SEPOY_BENGAL_RETREAT","","INTERMEDIATE","false","","HOTFIX_5C2E3A_SEPOY_GENERAL_BREAKUP.md","HOTFIX_5C2E3C_SEPOY_MADRAS_RETREAT.md","docs/reports/hotfix/india/sepoy/HOTFIX_5C2E3B_SEPOY_BENGAL_RETREAT.md","","b4842003da027a6ab809a80966d723658e828543","2026-07-14T18:21:26Z","static","true","supporting reference","Navigation index for the reorganized hotfix report library.","Historical report moved without content change"
