candidate_id,record_type,candidate_name,old_priority,old_recommendation,current_status,current_building,current_pmg,current_pm_ids,current_tech_gates,function_covered_percent,remaining_gap,duplication_risk,recommended_action,recommended_priority,evidence_file_1,evidence_line_or_id_1,evidence_file_2,evidence_line_or_id_2,notes
P03,production_method,Basic Bessemer Converter / Thomas-type route,A,recommended,PARTIALLY_IMPLEMENTED,building_steel_mill,pmg_steelmaking_process,pm_bessemer_process,bessemer_process,55,Generic Bessemer exists but limestone handling and fertilizer byproduct choice do not,medium,ADD_PM,HIGH,common/production_methods/01_industry.txt,pm_bessemer_process,common/production_method_groups/01_industry.txt,pmg_steelmaking_process,Add an alternative rather than replacing generic Bessemer.
P04,production_method,Open-Hearth Recycling,A,recommended,EXISTING_VANILLA_SYSTEM_SUFFICIENT,building_steel_mill,pmg_steelmaking_process,pm_open_hearth_process,open_hearth_process,90,No scrap good or explicit recycling input; the chronological steel route is represented,high,NO_ACTION_EXISTING_VANILLA_SUFFICIENT,NONE,common/production_methods/01_industry.txt,pm_open_hearth_process,common/production_method_groups/01_industry.txt,pmg_steelmaking_process,Do not create scrap solely for this PM.
P05,production_method,Alloy Steel,A,recommended,DEFERRED_BY_DESIGN,building_steel_mill,pmg_steelmaking_process,pm_electric_arc_process,electric_arc_process,25,Electric steel exists but no clean alloy feedstock exists in the approved goods set,high,DEFER,BLOCKED,common/production_methods/01_industry.txt,pm_electric_arc_process,common/goods/16_tech6c7_precision_machinery.txt,precision_machinery,DESIGN DECISION REQUIRED; copper and aluminium are not generic alloying metals.
P06,production_method,Atmospheric Mine Pumping,A,recommended,EXISTING_VANILLA_SYSTEM_SUFFICIENT,"building_coal_mine;building_iron_mine;building_lead_mine;building_sulfur_mine;building_gold_mine;building_copper_mine;building_phosphate_mine;building_salt_mine","pmg_mining_equipment_building_coal_mine;pmg_mining_equipment_building_iron_mine;pmg_mining_equipment_building_lead_mine;pmg_mining_equipment_building_sulfur_mine;pmg_mining_equipment_building_gold_mine;pmg_mining_equipment_building_copper_mine;pmg_mining_equipment_building_phosphate_mine;pmg_mining_equipment_building_salt_mine","pm_atmospheric_engine_pump_building_coal_mine;pm_atmospheric_engine_pump_building_iron_mine;pm_atmospheric_engine_pump_building_lead_mine;pm_atmospheric_engine_pump_building_sulfur_mine;pm_atmospheric_engine_pump_building_gold_mine;pm_atmospheric_engine_pump_building_copper_mine;pm_atmospheric_engine_pump_building_phosphate_mine;pm_atmospheric_engine_pump_building_salt_mine",atmospheric_engine,100,None,high,NO_ACTION_EXISTING_VANILLA_SUFFICIENT,NONE,common/production_methods/03_mines.txt,pm_atmospheric_engine_pump_building_coal_mine,common/production_methods/13_tech6c5b_copper_production_and_consumers.txt,pm_atmospheric_engine_pump_building_copper_mine,Limestone correctly uses quarry processing instead of pumping.
P07,production_method,Mechanical Mine Ventilation,A,recommended,STILL_MISSING,"building_coal_mine;building_iron_mine;building_lead_mine;building_sulfur_mine;building_gold_mine;building_copper_mine;building_phosphate_mine",None,None,"high_pressure_steam;electrical_capacitors",0,Current pumping explosives rail and concentration groups do not provide a safety-cost choice,low,ADD_PMG,MEDIUM,common/buildings/03_mines.txt,building_coal_mine,common/production_method_groups/13_tech6c5b_copper_pmgs.txt,pmg_steam_automation_building_copper_mine,Use employee mortality modifiers; do not make it another free throughput PM.
P08,production_method,Froth Flotation / Ore Concentration,A,recommended,FULLY_IMPLEMENTED,"building_coal_mine;building_iron_mine;building_lead_mine;building_sulfur_mine;building_gold_mine;building_copper_mine;building_phosphate_mine","pmg_ore_concentration_building_coal_mine;pmg_ore_concentration_building_iron_mine;pmg_ore_concentration_building_lead_mine;pmg_ore_concentration_building_sulfur_mine;pmg_ore_concentration_building_gold_mine;pmg_ore_concentration_building_copper_mine;pmg_ore_concentration_building_phosphate_mine","pm_ore_concentration_building_coal_mine;pm_ore_concentration_building_iron_mine;pm_ore_concentration_building_lead_mine;pm_ore_concentration_building_sulfur_mine;pm_ore_concentration_building_gold_mine;pm_ore_concentration_building_copper_mine;pm_ore_concentration_building_phosphate_mine",geological_surveying,100,None,high,NO_ACTION_ALREADY_IMPLEMENTED,NONE,common/production_methods/16_tech6r1_mine_processing.txt,pm_ore_concentration_building_coal_mine,common/production_methods/13_tech6c5b_copper_production_and_consumers.txt,pm_ore_concentration_building_copper_mine,Salt purification and limestone crushing remain separate appropriate abstractions.
P09,production_method,Chlorine Bleaching,A,recommended,PARTIALLY_IMPLEMENTED,"building_textile_mill;building_paper_mill","pmg_base_building_textile_mill;pmg_base_building_paper_mill","pm_chemical_bleaching_textile_mill;pm_bleached_paper","chemical_bleaching;industrial_paper_bleaching",85,Paper bleaching still retains legacy sulfur and dye inputs in addition to industrial_chemicals,low,MINOR_REVISION,MEDIUM,common/production_methods/12_tech6c3a_chemical_works_and_consumers.txt,pm_chemical_bleaching_textile_mill,common/production_methods/01_industry.txt,pm_bleached_paper,Keep textile dye use; review only the obsolete paper recipe inputs.
P10,production_method,Synthetic Dyeing,A,recommended,FULLY_IMPLEMENTED,building_synthetics_plant,pmg_synthetic_dyes,pm_dye_production,aniline,100,None,high,NO_ACTION_ALREADY_IMPLEMENTED,NONE,common/buildings/01_industry.txt,building_synthetics_plant,common/production_methods/01_industry.txt,pm_dye_production,The building gate makes the PM selectable despite no PM-local gate.
P11,production_method,Solvay Alkali,A,recommended,FULLY_IMPLEMENTED,building_chemical_works,pmg_base_building_chemical_works,pm_solvay_process_building_chemical_works,nitroglycerin,100,None,high,NO_ACTION_ALREADY_IMPLEMENTED,NONE,common/production_method_groups/12_tech6c3a_chemical_works_pmgs.txt,pmg_base_building_chemical_works,common/production_methods/12_tech6c3a_chemical_works_and_consumers.txt,pm_solvay_process_building_chemical_works,Current reorganized chemistry architecture is authoritative.
P12,production_method,Superphosphate Fertilizer,A,recommended,FULLY_IMPLEMENTED,building_chemical_plant,pmg_fertilizer_production,pm_improved_fertilizer,improved_fertilizer,100,None,high,NO_ACTION_ALREADY_IMPLEMENTED,NONE,common/production_method_groups/01_industry.txt,pmg_fertilizer_production,common/production_methods/01_industry.txt,pm_improved_fertilizer,Consumes phosphates plus industrial chemicals and produces fertilizer.
P13,production_method,Haber-Bosch / Nitrogen Fixation,A,recommended,FULLY_IMPLEMENTED,building_chemical_plant,pmg_fertilizer_production,pm_nitrogen_fixation,nitrogen_fixation,100,None,high,NO_ACTION_ALREADY_IMPLEMENTED,NONE,common/production_method_groups/01_industry.txt,pmg_fertilizer_production,common/production_methods/01_industry.txt,pm_nitrogen_fixation,Nitrates remain deferred; current energy-and-capital abstraction is sufficient.
P14,production_method,Fractional Fuel Refining,A,recommended,FULLY_IMPLEMENTED,building_oil_refinery,pmg_base_building_oil_refinery,pm_fractional_distillation_refinery,fractional_distillation,100,None,high,NO_ACTION_ALREADY_IMPLEMENTED,NONE,common/production_method_groups/12_tech6c4_oil_refinery_pmgs.txt,pmg_base_building_oil_refinery,common/production_methods/12_tech6c4_oil_refinery_production.txt,pm_fractional_distillation_refinery,Validated basic refinery route.
P15,production_method,Thermal and Catalytic Cracking,A,recommended,STILL_MISSING,building_oil_refinery,pmg_base_building_oil_refinery,None,"plastics;compression_ignition",0,No late PM shifts output from heavy products toward refined fuels,low,ADD_PM,HIGH,common/production_methods/12_tech6c4_oil_refinery_production.txt,pm_fractional_distillation_refinery,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,plastics,Use one aggregate late PM; do not add separate thermal and catalytic tiers.
P16,production_method,Vapor-Compression Refrigeration,A,recommended,PARTIALLY_IMPLEMENTED,"building_livestock_ranch;building_fishing_wharf;building_whaling_station","pmg_refrigeration_building_livestock_ranch;pmg_refrigeration_building_fishing_wharf;pmg_refrigeration_building_whaling_station","pm_refrigerated_storage_building_livestock_ranch;pm_refrigerated_storage_building_fishing_wharf;pm_refrigerated_storage_building_whaling_station",pasteurization,45,No steam or engine-and-coal refrigeration stage before electrification,medium,ADD_PM,MEDIUM,common/production_methods/02_agro.txt,pm_refrigerated_storage_building_livestock_ranch,C:/Games/Victoria 3/game/common/production_method_groups/02_agro.txt,pmg_refrigeration_building_livestock_ranch,Reuse the three existing PMGs and high_pressure_steam; no new building.
P17,production_method,Electric Cold Chain,A,recommended,EXISTING_VANILLA_SYSTEM_SUFFICIENT,"building_livestock_ranch;building_fishing_wharf;building_whaling_station","pmg_refrigeration_building_livestock_ranch;pmg_refrigeration_building_fishing_wharf;pmg_refrigeration_building_whaling_station","pm_refrigerated_storage_building_livestock_ranch;pm_refrigerated_rail_cars_building_livestock_ranch;pm_refrigerated_storage_building_fishing_wharf;pm_refrigerated_rail_cars_building_fishing_wharf;pm_flash_freezing_building_fishing_wharf;pm_refrigerated_storage_building_whaling_station;pm_refrigerated_rail_cars_building_whaling_station;pm_flash_freezing_building_whaling_station","pasteurization;electric_railway;flash_freezing",100,None,high,NO_ACTION_EXISTING_VANILLA_SUFFICIENT,NONE,common/production_methods/09_misc_resource.txt,pm_refrigerated_rail_cars_building_fishing_wharf,C:/Games/Victoria 3/game/common/production_method_groups/09_misc_resource.txt,pmg_refrigeration_building_fishing_wharf,Transportation inputs functionally represent the rail link; port PMs are unnecessary duplication.
P18,production_method,Cylinder Flour Milling,B,recommended,PARTIALLY_IMPLEMENTED,building_food_industry,pmg_automation_building_food_industry,pm_automated_bakery,dough_rollers,35,The era-4 automated_flour_milling tech unlocks no PM and the only mechanized food PM is era 12,low,ADD_PM,MEDIUM,common/technology/technologies/10_tech3a_production.txt,automated_flour_milling,common/production_methods/01_industry.txt,pm_automated_bakery,Add an intermediate PM using engines or tools and labor substitution; no flour good.
P19,production_method,Vacuum Sugar Refining,B,recommended,EXISTING_VANILLA_SYSTEM_SUFFICIENT,building_sugar_plantation,pmg_refinement_building_sugar_plantation,"vacuum_pan_sugar;steam_powered_evaporation_sugar","sugar_refining;high_pressure_steam;watertube_boiler",100,None,high,NO_ACTION_EXISTING_VANILLA_SUFFICIENT,NONE,common/production_methods/04_plantations.txt,vacuum_pan_sugar,C:/Games/Victoria 3/game/common/production_method_groups/04_plantations.txt,pmg_refinement_building_sugar_plantation,No refined-sugar or molasses good is needed.
P20,production_method,Unit Electric Drive,A,recommended,PARTIALLY_IMPLEMENTED,"building_textile_mill;building_steel_mill;building_tooling_workshop;building_paper_mill;building_motor_industry","pmg_automation_building_textile_mill;pmg_automation_building_steel_mill;pmg_automation_building_tooling_workshop;pmg_automation_building_paper_mill;pmg_automation_building_motor_industry","pm_electric_sewing_machines;pm_automatic_power_looms;pm_assembly_lines_building_tooling_workshop;pm_assembly_lines_building_motor_industry","electrical_capacitors;conveyors",45,Electrification is sector-specific and absent as a coherent motor-drive step in several industries,high,ADD_PM,MEDIUM,common/production_methods/01_industry.txt,pm_electric_sewing_machines,common/production_method_groups/01_industry.txt,pmg_automation_building_steel_mill,Extend selected existing automation PMGs rather than attach a stacking global PMG.
P21,production_method,Scientific Management,B,recommended,STILL_MISSING,"building_tooling_workshop;building_motor_industry;building_automotive_industry;building_arms_industry;building_artillery_foundry;building_munition_plant;building_electrics_industry",None,None,"corporate_management;shift_work",0,No PM trades paper and services plus clerks and engineers for organization,low,ADD_PMG,LOW,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,corporate_management,common/production_method_groups/01_industry.txt,pmg_automation_building_motor_industry,Keep organization orthogonal to machinery automation.
P22,production_method,Moving Assembly Line,A,recommended,PARTIALLY_IMPLEMENTED,"building_furniture_manufactory;building_tooling_workshop;building_motor_industry;building_automotive_industry;building_arms_industry;building_artillery_foundry;building_munition_plant","pmg_automation_building_furniture_manufactory;pmg_automation_building_tooling_workshop;pmg_automation_building_motor_industry;pmg_automation_building_automotive_industry;pmg_automation_building_arms_industry;pmg_automation_building_munition_plant","pm_assembly_lines_building_furniture_manufactory;pm_assembly_lines_building_tooling_workshop;pm_assembly_lines_building_motor_industry;pm_assembly_lines_building_automotive_industry;pm_assembly_lines_building_arms_industry;pm_assembly_lines_building_munition_plant",conveyors,75,Existing PMs use electricity and lubricants but no precision_machinery,low,MINOR_REVISION,HIGH,common/production_methods/01_industry.txt,pm_assembly_lines_building_motor_industry,common/production_methods/01_industry.txt,pm_assembly_lines_building_arms_industry,Add precision machinery to standardized sectors; leave furniture out of that added input.
P23,production_method,Mechanized Typesetting / Rotary Press,B,recommended,STILL_MISSING,building_urban_center,None,None,"mechanized_printing;mass_circulation_press",0,Printing technologies have no production PM or material demand path,medium,ADD_PMG,LOW,common/technology/technologies/30_tech3a_society.txt,mechanized_printing,common/buildings/06_urban_center.txt,building_urban_center,Prefer Urban Center services over a publishing building.
P24,production_method,Tabulating Offices,B,recommended,PARTIALLY_IMPLEMENTED,building_government_administration,pmg_base_building_government_administration,"pm_horizontal_drawer_cabinets;pm_vertical_filing_cabinets;pm_switch_boards","systematic_population_registration;central_statistical_offices;central_planning",45,Filing and switchboards exist but no electricity and precision-machinery tabulation step,low,ADD_PM,LOW,common/production_method_groups/07_government.txt,pmg_base_building_government_administration,common/production_methods/07_government.txt,pm_vertical_filing_cabinets,Add an alternative inside the existing base PMG; no office-machine good or building.
