new_good,consumer_id,file,current_recipe,proposed_change,historical_reason,gameplay_reason,economic_risk,action
explosives,pm_nitroglycerin_building_salt_mine,common/production_methods/10_tech6a1b_salt_producers.txt,"Consumes explosives for higher salt output","Keep finished-explosives input","Mines consumed prepared blasting agents","Preserves the established salt-chain abstraction","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_salt_mine,common/production_methods/10_tech6a1b_salt_producers.txt,"Consumes explosives for higher salt output","Keep finished-explosives input","Dynamite is manufactured downstream","Preserves the established salt-chain abstraction","None",KEEP_UNCHANGED
explosives,pm_nitroglycerin_building_copper_mine,common/production_methods/13_tech6c5b_copper_production_and_consumers.txt,"Consumes 5 explosives for higher copper output","Keep finished-explosives input","Copper mines used prepared blasting agents","Preserves frozen TECH6C5 behavior","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_copper_mine,common/production_methods/13_tech6c5b_copper_production_and_consumers.txt,"Consumes 10 explosives for higher copper output","Keep finished-explosives input","Dynamite is manufactured downstream","Preserves frozen TECH6C5 behavior","None",KEEP_UNCHANGED
explosives,pm_percussion_caps,common/production_methods/01_industry.txt,"20 explosives + 20 lead -> 50 ammunition","Keep finished-explosives input","Ammunition plants consume prepared explosive compounds","Prevents raw nitrate from bypassing the explosives industry","None",KEEP_UNCHANGED
explosives,pm_explosive_shells,common/production_methods/01_industry.txt,"40 explosives + 30 lead -> 90 ammunition","Keep finished-explosives input","Shell filling uses manufactured explosives","Preserves existing munitions balance","None",KEEP_UNCHANGED
industrial_chemicals,mobilization_option_chemical_weapons,common/mobilization_options/00_mobilization_option.txt,"Consumes 2 industrial_chemicals per mobilized unit","Keep industrial_chemicals; do not add raw nitrates","Chemical warfare needs processed chemical agents rather than unrefined nitrate","Preserves the TECH6C3 chemistry chain","None",KEEP_UNCHANGED
fertilizer,pm_soil_enriching_farming,common/production_methods/02_agro.txt,"5 fertilizer -> +10 grain over simple farming","Keep aggregate fertilizer input","Farms purchase formulated fertilizer rather than ore","Prevents direct phosphate/nitrate PM duplication across four crop types","None",KEEP_UNCHANGED
fertilizer,pm_fertilization,common/production_methods/02_agro.txt,"10 fertilizer -> +25 grain over simple farming","Keep aggregate fertilizer input","Farms purchase formulated fertilizer","Preserves the agricultural demand ladder","None",KEEP_UNCHANGED
fertilizer,pm_chemical_fertilizer,common/production_methods/02_agro.txt,"15 fertilizer -> +40 grain over simple farming","Keep aggregate fertilizer input","Industrial nitrogen is embodied in finished fertilizer","Lets Haber-Bosch affect farms through market substitution","None",KEEP_UNCHANGED
fertilizer,pm_soil_enriching_farming_building_rice_farm,common/production_methods/02_agro.txt,"10 fertilizer -> +15 grain over simple rice farming","Keep aggregate fertilizer input","Rice farms purchase formulated fertilizer","Preserves doubled rice-farm scale","None",KEEP_UNCHANGED
fertilizer,pm_fertilization_building_rice_farm,common/production_methods/02_agro.txt,"20 fertilizer -> +40 grain over simple rice farming","Keep aggregate fertilizer input","Rice farms purchase formulated fertilizer","Preserves the agricultural demand ladder","None",KEEP_UNCHANGED
fertilizer,pm_chemical_fertilizer_building_rice_farm,common/production_methods/02_agro.txt,"30 fertilizer -> +65 grain over simple rice farming","Keep aggregate fertilizer input","Industrial nitrogen is embodied in finished fertilizer","Lets Haber-Bosch affect rice farms through the market","None",KEEP_UNCHANGED
fertilizer,pm_sheep_farms,common/production_methods/02_agro.txt,"10 grain -> 15 fabric + 2.5 fertilizer","Keep by-product fertilizer output","Animal manure remains a small early source","Provides resilience without replacing mineral fertilizer","Low",KEEP_UNCHANGED
fertilizer,pm_intensive_grazing_ranch,common/production_methods/02_agro.txt,"15 grain -> 25 fabric + 5 fertilizer","Keep by-product fertilizer output","Intensive ranching yields recoverable manure","Preserves existing secondary supply","Low",KEEP_UNCHANGED
industrial_chemicals,pm_lead_chamber_process,common/production_methods/12_tech6c3a_chemical_works.txt,"20 sulfur + 10 lead -> 40 industrial_chemicals","Keep as upstream reagent producer","Lead-chamber acid manufacture supports phosphate processing","Connects TECH6C3 chemistry to the new fertilizer route","Low: extra demand may raise chemical prices",KEEP_UNCHANGED
industrial_chemicals,pm_leblanc_alkali_process,common/production_methods/12_tech6c3a_chemical_works.txt,"25 salt + 20 coal + 15 limestone + 10 sulfur -> 80 industrial_chemicals","Keep as upgraded upstream producer","Alkali and acid industries supplied fertilizer chemistry","Provides scalable reagent supply","Low: extra demand may improve profitability",KEEP_UNCHANGED
phosphates,agricultural_fertilizer_PMs_direct_input,common/production_methods/02_agro.txt,"All six relevant crop PMs consume fertilizer","Do not add direct phosphate input","Raw phosphate rock was chemically processed before broad agronomic use","Avoids six duplicated inputs and protects the fertilizer building","High if implemented: bypasses processing demand",REJECT
nitrates,agricultural_fertilizer_PMs_direct_input,common/production_methods/02_agro.txt,"All six relevant crop PMs consume fertilizer","Do not add direct nitrate input","Farms receive finished fertilizer blends in this abstraction","Keeps natural and synthetic nitrogen substitutable inside one producer building","High if implemented: fragments farm PM balance",REJECT
nitrates,munition_plant_direct_input,common/production_methods/01_industry.txt,"Munitions consume explosives and lead","Do not add raw nitrate input","Nitrate must first become a manufactured explosive","Protects the explosives factory as the industrial intermediary","High if implemented: bypasses an entire building",REJECT
nitrates,mobilization_option_chemical_weapons,common/mobilization_options/00_mobilization_option.txt,"Consumes industrial_chemicals","Do not add raw nitrate input","Chemical agents are processed products","Preserves TECH6C3 and avoids arbitrary military demand","Medium",REJECT
guano,goods_good_guano,proposed new good,NONE,"Do not create a separate guano good","Guano was important but functionally an early nitrogen/phosphate source","Too narrow for a full market good and would duplicate fertilizer/phosphate roles","High: thin market and empty consumer graph",REJECT
