"object_id","sector","file","technology_gate","current_inputs","current_outputs","current_margin","industrial_chemicals_candidate","limestone_candidate","salt_candidate","recommended_future_recipe","implementation_status","confidence","notes"
"pm_ammonia-soda_process","explosives","common/production_methods/01_industry.txt","nitroglycerin","sulfur=30;fertilizer=30;paper=10","explosives=80","1300","Yes=10","No","No","sulfur=30;fertilizer=30;paper=10;industrial_chemicals=10 -> explosives=88","DEFERRED","MEDIUM","Candidate preserves the current margin at base prices"
"pm_vacuum_evaporation","explosives","common/production_methods/01_industry.txt","dynamite","sulfur=40;fertilizer=40;paper=20","explosives=110","1700","Yes=10","No","No","sulfur=40;fertilizer=40;paper=20;industrial_chemicals=10 -> explosives=118","DEFERRED","MEDIUM","Candidate preserves the current margin at base prices"
"pm_brine_electrolysis","explosives","common/production_methods/01_industry.txt","electrical_capacitors","sulfur=40;fertilizer=50;paper=30;electricity=20","explosives=150","2500","Yes=15","No","Possible future review","sulfur=40;fertilizer=50;paper=30;electricity=20;industrial_chemicals=15 -> explosives=162","DEFERRED","MEDIUM","Candidate preserves the current margin at base prices"
"pm_rubber_grips","rubber processing/tooling","common/production_methods/01_industry.txt","vulcanization","rubber=10;steel=30","tools=110","2500","Yes=5","No","No","rubber=10;steel=30;industrial_chemicals=5 -> tools=115","DEFERRED","HIGH","Added chemical input and tool output preserve the current margin"
"pm_elastics","rubber/textiles","common/production_methods/01_industry.txt","vulcanization plus sewing-machine base PM","rubber=10;silk=35;fabric=-35","clothes=-70;luxury_clothes=70","900","Needs review","No","No","No change until textile additive-PM interactions are modeled","REVIEW_REQUIRED","MEDIUM","Rubber consumer, but not the preferred first rubber-chemistry integration"
"pm_automobile_production","rubber downstream","common/production_methods/01_industry.txt","combustion_engine","engines=10;rubber=5;oil=5","automobiles=30","2000","No direct role recommended","No","No","Keep current assembly recipe","NOT_RECOMMENDED","HIGH","Industrial chemicals belong upstream of final vehicle assembly"
"pm_mass_automobile_production","rubber downstream","common/production_methods/01_industry.txt","compression_ignition","engines=10;rubber=10;oil=10","automobiles=50","3600","No direct role recommended","No","No","Keep current assembly recipe","NOT_RECOMMENDED","HIGH","Industrial chemicals belong upstream of final vehicle assembly"
"pm_telephones","rubber downstream","common/production_methods/01_industry.txt","None at PM level","iron=20;rubber=20;lead=20;tools=10","telephones=60","1400","No direct role recommended","No","No","Keep current assembly recipe","NOT_RECOMMENDED","HIGH","Industrial chemicals belong upstream of final electrical assembly"
"N/A — pharmaceuticals industry absent","pharmaceuticals","N/A — no current building or PM found","N/A","N/A","N/A","N/A","Primary future production input","Possible excipient role only if justified","Possible specialist reagent only if justified","Design a dedicated industry in a separately approved phase","FUTURE_NEW_INDUSTRY","LOW","No ID invented"
"N/A — petroleum refinery absent","petroleum refining","N/A — no dedicated current building or PM found","N/A","N/A","N/A","N/A","Possible refinery reagent or product family","No","No","Design a dedicated refinery chain in a separately approved phase","FUTURE_NEW_INDUSTRY","LOW","pm_houseware_plastics is downstream oil chemistry, not a refinery object"
