"tag","country","region","current_government","current_ruler","reason_detected","explicit_character_found","shared_monarch_found","regency_found","delegated_executive_found","expected_engine_generation","confidence","requires_historical_research","requires_government_research","map_dependency","notes"
"BRD","Burundi","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BRG","Borgu","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BRU","Brunei","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BRZ","Brazil","SOUTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"BST","Basutoland","SOUTHERN_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BTN","Buton","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BUG","Buganda","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BUK","Bukhara","CENTRAL_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BUR","Burma","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"CAM","Cambodia","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"CHC","Chechnya","CAUCASUS","law_theocracy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"CHP","Champasak","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"CIR","Circassia","CAUCASUS","law_parliamentary_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"CMI","Chiang Mai","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"COC","Cochin","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"CON","Constantine","NORTH_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"COO","Cooch Behar","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"CUB","Cuba","CARIBBEAN","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"DAH","Dahomey","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"DAI","Dai Nam","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"DFR","Darfur","NORTH_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"ETH","Ethiopia","HORN_OF_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"EZO","Ezochi","EAST_ASIA","law_presidential_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"FTJ","Futa Jallon","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"FTR","Futa Toro","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"GAR","Garhwal","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"GLD","Geledi","HORN_OF_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"GR5","Santo Domingo","CARIBBEAN","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"GWA","Gwalior","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"HAI","Haiti","CARIBBEAN","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"HAU","Gobir","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"HAW","Hawaii","OCEANIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"HBC","Hudson's Bay Company","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"HDJ","Hedjaz","ARABIAN_PENINSULA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"IQU","Iquicha","SOUTH_AMERICA","law_presidential_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"ISQ","Isaaq","HORN_OF_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"JEY","Jeypore","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"JMB","Jambi","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"JOH","Johore","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KAU","Kaurna","OCEANIA","law_parliamentary_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KHI","Khiva","CENTRAL_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KHP","Kolhapur","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"KNO","Kurnool","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"KOK","Kokand","CENTRAL_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KON","Kongo","CENTRAL_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KRG","Karagwe","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KRT","Kaarta","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KTI","Kutai","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"KZH","Kishi Zhuz","CENTRAL_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"LAH","Lahej","ARABIAN_PENINSULA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"LAN","Lanfang","SOUTHEAST_ASIA","law_presidential_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"LOU","Louisiana","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"LUA","Luang Prabang","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"MAD","Madagascar","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MAS","Mascara","NORTH_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MBS","Mombasa","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MGD","Maguindanao","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MJT","Majerteen","HORN_OF_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MKT","Miskitia","CENTRAL_AMERICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"MLD","Maldives","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MOR","Morocco","NORTH_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"MSN","Massina","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"NAG","Nagpur","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"NBS","New Brunswick","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"NEP","Nepal","SOUTH_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"NVS","Nova Scotia","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"OMA","Oman","ARABIAN_PENINSULA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"ONT","Ontario","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"ORA","Oranje","SOUTHERN_AFRICA","law_presidential_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"OYO","Oyo","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"OZH","Orta Zhuz","CENTRAL_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"PAN","Punjab","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"PCO","Puerto Rico","CARIBBEAN","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"PHI","Philippines","SOUTHEAST_ASIA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"PHL","Philippolis","SOUTHERN_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"PLY","Tahiti","OCEANIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"PON","Pontianak","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"PRK","Perak","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"PUD","Pudukottai","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"QUE","Quebec","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"RWD","Rwanda","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"RYU","Ryukyu","EAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"SAK","Siak","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"SAT","Satara","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"SC1","Nueva España","CENTRAL_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"SC2","Nueva Granada","SOUTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"SC3","Perú","SOUTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"SC4","Río de la Plata","SOUTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"SEL","Selangor","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"SGU","Segou","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"SHS","Shan","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
