tag,country_1776,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,recommended_v3_representation,shared_monarch,overlord,map_dependency,implementation_decision,identity_confidence,mapping_confidence,source_1,source_2,notes
LUB,Free Imperial City of Lübeck,SWE puppet; presidential republic,Bernhard von Wickede,Bürgermeister / Mayor,,70,documented_approximate_age,Mayor from 1773 until death in Dec 1776,Imperial free-city republic,Preserve republic; script mayor only; do not change SWE subject relation.,NO,SWE,NO,IMPLEMENT_EXECUTIVE_ONLY_SUBJECT_CONTEXT_DEFERRED,HIGH,HIGH,https://www.luebeck.de/de/presse/pressemeldungen/view/117538,https://dewiki.de/Lexikon/L%C3%BCbecker_B%C3%BCrgermeister,Use age 70; no fabricated exact birth date.
LUC,Republic of Lucca,currently incorrect absolute duchy,,Gonfaloniere di Giustizia,,,identity_unresolved_rotating_office,Head of Collegio degli Anziani; rotating two-month office,Republican collective executive,Correct laws/government/title. Do not invent name; allow justified procedural officeholder unless trusted local evidence identifies exact holder.,NO,,NO,IMPLEMENT_CONSTITUTION_KEEP_JUSTIFIED_PROCEDURAL,UNRESOLVED_EXACT_IDENTITY,HIGH,https://sias-archivi.cultura.gov.it/cgi-bin/pagina.pl?Chiave=90097&RicProgetto=as-lucca&TipoPag=prodente,https://sias-archivi.cultura.gov.it/cgi-bin/pagina.pl?Chiave=423720&RicProgetto=as-lucca&TipoPag=comparc,Historical exception: procedural officeholder is preferable to a fabricated name. Duke/Absolute Duchy must disappear.
LUX,Duchy of Luxembourg within Austrian Netherlands,currently separate independent monarchy; map-dependent,"Maria Theresa (sovereign, not standalone LUX ruler)",Duchess of Luxembourg / Habsburg sovereign,1717-05-13,58,reuse_batch1_exact_birth_date,Habsburg sovereign over Luxembourg,Part of Austrian Habsburg Netherlands structure,Do not legitimize independent LUX by inventing a ruler; default map-rework defer.,HISTORICALLY_HABSBURG,AUS/BEO,YES,MAP_REWORK_DEFERRED,HIGH,HIGH_STRUCTURAL_MISMATCH,https://luxembourg.public.lu/en/society-and-culture/history/400-ans-occupation.html,https://gouvernement.lu/content/gouvernement/en/systeme-politique.html,No standalone independent Luxembourg dynasty in 1776.
NAS,Fork abstraction: Nassau,independent monarchy,Karl Wilhelm of Nassau-Usingen,Prince of Nassau-Usingen,1735-11-09,40,exact_birth_date,Reigning Prince from 1775,Hereditary principality,Implement only if local evidence shows NAS = Nassau-Usingen; otherwise defer.,NO,,NO,CONDITIONAL_LOCAL_MAPPING,HIGH,MEDIUM,https://www.deutsche-biographie.de/sfz39944.html,,Nassau-Weilburg also existed.
SCM,Schaumburg-Lippe,independent monarchy,Wilhelm Friedrich Ernst of Schaumburg-Lippe,Count of Schaumburg-Lippe,1724-01-24,51,exact_birth_date,Reigning Count / territorial ruler,Hereditary county,Direct historical ruler; title Count.,NO,,NO,IMPLEMENT,HIGH,HIGH,https://www.deutsche-biographie.de/sfz85621.html,,Do not upgrade to Prince in 1776.
SCW,Fork abstraction: Schwarzburg,independent monarchy displayed as Duchy,Ludwig Günther II,Prince of Schwarzburg-Rudolstadt,,67,documented_approximate_age,"Prince of Schwarzburg-Rudolstadt, 1767–1790",Hereditary principality if tag = Rudolstadt,Implement only if local evidence shows SCW = Rudolstadt; otherwise defer.,NO,,NO,CONDITIONAL_LOCAL_MAPPING,HIGH,MEDIUM,https://www.heidecksburg.de/historie/regenten/,https://www.heidecksburg.de/en/palace_complex/regents/,Schwarzburg-Sondershausen existed separately. Use age 67 from year 1708.
SWI,Old Swiss Confederacy,independent parliamentary republic,Johann Konrad Heidegger,Bürgermeister of Zürich (Vorort) / Mayor of Zürich as federal abstraction,,65,documented_approximate_age,Mayor of Zürich from 1768; federal/Vorort executive abstraction,Confederation of cantons; no national hereditary or presidential executive,Preserve republic/confederation. Never title him President of Switzerland.,NO,,NO,IMPLEMENT_CONFEDERAL_EXECUTIVE_ABSTRACTION,HIGH,HIGH_WITH_ABSTRACTION,https://www.deutsche-biographie.de/sfz27368.html,https://hls-dhs-dss.ch/fr/articles/016467/,Deutsche Biographie describes him as heading Zürich and indirectly Switzerland. Use age 65 from year 1710.
TRS,Habsburg Transylvania,AUS crown land,Samuel von Brukenthal,President of the Transylvanian Gubernium / Imperial Plenipotentiary Commissioner,1721-07-26,54,exact_birth_date,Commissioner and president from 1774; actual Governor only from 1777,Habsburg crown-land administration,Visible delegated executive with pre-governor title; preserve AUS crown_land.,NO,AUS,NO,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,https://www.deutsche-biographie.de/sfz5996.html,,Critical: do not call him Governor on 1776-01-01.
UBD,Fork Baltic puppet abstraction,RUS puppet; map-dependent,George Browne,Governor-General of Livonia and Estonia,1698-06-15,77,exact_birth_date,Russian governor-general in Baltic provinces,"Imperial Russian provincial administration, not sovereign monarchy","If safe without implying sovereignty, use Browne as temporary delegated executive; else defer to map.",NO,RUS,YES,TEMPORARY_EXECUTIVE_IF_SAFE_ELSE_MAP_DEFERRED,HIGH,HIGH_STRUCTURAL_MISMATCH,https://www.deutsche-digitale-bibliothek.de/person/gnd/136490611,https://www.historyfiles.co.uk/KingListsEurope/EasternBaltics.htm,"Browne is administrator, not monarch; tag itself is anachronistic abstraction."
WLD,Waldeck-Pyrmont,independent monarchy,Friedrich Carl August,Prince of Waldeck and Pyrmont,1743-10-25,32,exact_birth_date,Reigning territorial prince,Hereditary principality,Direct historical ruler.,NO,,NO,IMPLEMENT,HIGH,HIGH,https://personen.niedersaechsische-bibliographie.de/person/gnd/102035202/,https://www.deutsche-biographie.de/gnd102035202.html,Exact birth date confirmed by Niedersachsen authority record.
