"tag","cleanup2c1_status","runtime_observation","name_problem","title_problem","company_problem","hotfix_action","exact_character_after_hotfix","exact_title_after_hotfix","government_after_hotfix","company_cadre_after_hotfix","deferred_status","files_touched","static_validation","notes"
"BRD","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Mwambutsa III Syarushambo Butama","Mwami","gov_cleanup2c1_brd","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Modern reconstructions often place Mwambutsa III around 1767–1796, but older traditional chronologies differ substantially."
"BRG","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Borgu was composed of multiple kingdoms/political centers rather than one centralized state."
"BST","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The Basotho nation/state coalesced under Moshoeshoe in the early 19th century, not in 1776."
"BUG","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Kyabaggu Kabinuli","Kabaka","gov_cleanup2c1_bug","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Traditional chronologies place Kyabaggu in the mid-to-late 18th century, including 1776."
"CON","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Salah Bey","Bey","gov_cleanup2c1_con","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Salah Bey governed Constantine from 1771 to 1792 under the Regency of Algiers."
"DAH","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Kpengla","Ahosu","gov_cleanup2c1_dah","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Kpengla reigned 1774–1789."
"DFR","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Muhammad Tayrab","Sultan","gov_cleanup2c1_dfr","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Muhammad Tayrab ruled approximately 1751–1786."
"ETH","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Tekle Haymanot II","Emperor","gov_cleanup2c1_eth","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He held the throne from late 1770 until April 1777; practical power was fragmented among great nobles."
"FTJ","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ibrahima Sori","Almamy","gov_cleanup2c1_ftj","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ibrahima Sori became the leading Almamy in the 1770s and consolidated authority around 1776."
"FTR","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","TRANSITION_1776_IDENTITY_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The Torodbe revolution culminated in 1776, but accessible chronologies do not securely date the transfer to the scenario's exact first day."
"GLD","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Mahamud Ibrahim","Sultan","gov_cleanup2c1_gld","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Historical syntheses place Mahamud Ibrahim in power in the mid-18th century through 1798."
"HAU","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","IDENTITY_CHRONOLOGY_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Sources disagree whether Bawa's accession was 1776 or 1777 and some lists retain Gambai immediately before him; therefore the start-date identity is deliberately deferred."
"ISQ","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Guled Abdi","Sultan","gov_cleanup2c1_isq","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Traditional chronologies place Guled Abdi in office approximately 1750–1808."
"KON","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Álvaro XI","Manikongo","gov_cleanup2c1_kon","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Álvaro XI of the Kinlaza house reigned 1764–1779."
"KRG","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ntare V Kiitabanyoro","Omugabe","gov_cleanup2c1_krg","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Reconstructed ruler lists place Ntare in power from roughly 1774 to 1794, with numbering/date variation across traditions."
"KRT","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Sira Bo","Faama","gov_cleanup2c1_krt","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Sira Bo in office 1761–1781."
"MAD","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Island-wide political unification belongs to a later period; Andrianampoinimerina's reign began after 1776."
"MAS","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ibrahim Bey of Miliana","Bey","gov_cleanup2c1_mas","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Provincial ruler lists place Ibrahim of Miliana in office approximately 1774–1783."
"MBS","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Abdallah ibn Muhammad al-Mazru'i","Sultan","gov_cleanup2c1_mbs","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Masud to 1773 and Abdallah from 1773–1782, making Abdallah the correct start-date ruler."
"MJT","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED","None (content preserved)","PASS -- deferred identity not forced","The polity predates the well-documented 19th-century sultans, but accessible chronologies do not securely name the holder on 1776-01-01."
"MOR","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Mohammed ben Abdallah","Sultan","gov_cleanup2c1_mor","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He reigned 1757–1790."
"MSN","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Hamadou-Amina III","Ardo Mawdo","gov_cleanup2c1_msn","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","A ruler table derived from specialist histories places Hamadou-Amina III in office 1761–1780; the later jihad state dates to the 19th century."
"ORA","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The Orange Free State was a 19th-century republic, recognized as independent in 1854."
"OYO","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Abiodun","Alaafin","gov_cleanup2c1_oyo","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Chronologies place Abiodun's reign in the 1770s through 1789."
"PHL","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Philippolis was founded as a mission station in 1823 and became associated with a Griqua captaincy afterward."
"RWD","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Kigeli III Ndabarasa","Mwami","gov_cleanup2c1_rwd","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Modern historical reconstructions often place Kigeli III around 1765–1792, while older traditional chronologies differ considerably."
"SGU","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ngolo Diarra","Faama","gov_cleanup2c1_sgu","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ngolo Diarra ruled from the 1760s until about 1790."
"SIL","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The Province of Freedom settlement dates to 1787 and Crown Colony status to 1808."
"SOK","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The Sokoto Caliphate emerged from the jihad beginning in 1804."
