"historical_identity","root_cause_group","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","source_mode","historical_occurrences","normalized_message","log10_classification","log11_decision","canonical_status","current_cleanup_blocker","gameplay_files_modified","deferred_to","design_dependencies","decision_reason"
"CL-011","CL-G01_TECH_PREREQUISITES","BRA","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bra - braunschweig.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-012","CL-G01_TECH_PREREQUISITES","BRE","Censorship","law_censorship","Right of Assembly","common/history/countries/bre - bremen.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-013","CL-G01_TECH_PREREQUISITES","BRE","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bre - bremen.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-014","CL-G01_TECH_PREREQUISITES","CAUC","Mercantilism","law_mercantilism","Isolationism","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-015","CL-G01_TECH_PREREQUISITES","CAUC","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-016","CL-G01_TECH_PREREQUISITES","CIR","Censorship","law_censorship","Right of Assembly","common/history/countries/cir - circassia.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-017","CL-G02_VARIANT_VISIBILITY","CIR","Homesteading","law_homesteading","Serfdom","common/history/countries/cir - circassia.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Homesteading, fix this or consider Serfdom instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-018","CL-G01_TECH_PREREQUISITES","COB","Censorship","law_censorship","Right of Assembly","common/history/countries/cob - saxe-coburg-gotha.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-019","CL-G01_TECH_PREREQUISITES","COB","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/cob - saxe-coburg-gotha.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-020","CL-G01_TECH_PREREQUISITES","CUB","Censorship","law_censorship","Right of Assembly","common/history/countries/cub - cuba.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-021","CL-G01_TECH_PREREQUISITES","CUB","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/cub - cuba.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-022","CL-G01_TECH_PREREQUISITES","UBD","Censorship","law_censorship","Right of Assembly","common/history/countries/ubd - baltic.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-023","CL-G02_VARIANT_VISIBILITY","BEO","Serfdom","law_serfdom","Manorialism","common/history/countries/beo - belgium old.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Serfdom, fix this or consider Manorialism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-024","CL-G01_TECH_PREREQUISITES","SIL","Colonial Resettlement","law_colonial_resettlement","No Colonial Affairs","common/history/countries/sil - sierra leone.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Colonial Resettlement, fix this or consider No Colonial Affairs instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-025","CL-G01_TECH_PREREQUISITES","CHC","Censorship","law_censorship","Right of Assembly","common/history/countries/chc - chechnya.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-026","CL-G02_VARIANT_VISIBILITY","CHC","Homesteading","law_homesteading","Serfdom","common/history/countries/chc - chechnya.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Homesteading, fix this or consider Serfdom instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-027","CL-G01_TECH_PREREQUISITES","CHC","National Militia","law_national_militia","Peasant Levies","common/history/countries/chc - chechnya.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law National Militia, fix this or consider Peasant Levies instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-028","CL-G02_VARIANT_VISIBILITY","CRI","Millet System","law_millet_system","People of the Book","common/history/countries/cri - crimean khanate.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Millet System, fix this or consider People of the Book instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-029","CL-G02_VARIANT_VISIBILITY","FRA","Manorialism","law_manorialism","Serfdom","common/history/countries/fra - france.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Manorialism, fix this or consider Serfdom instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-030","CL-G01_TECH_PREREQUISITES","JAP","Censorship","law_censorship","Right of Assembly","common/history/countries/jap - japan.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-031","CL-G01_TECH_PREREQUISITES","KOR","Censorship","law_censorship","Right of Assembly","common/history/countries/kor - korea.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-032","CL-G01_TECH_PREREQUISITES","MLT","Agrarianism","law_agrarianism","Traditionalism","common/history/countries/mlt - malta.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Agrarianism, fix this or consider Traditionalism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-033","CL-G01_TECH_PREREQUISITES","MLT","Censorship","law_censorship","Right of Assembly","common/history/countries/mlt - malta.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-034","CL-G01_TECH_PREREQUISITES","MLT","Charity Hospitals","law_charitable_health_system","No Health System","common/history/countries/mlt - malta.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Charity Hospitals, fix this or consider No Health System instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-035","CL-G01_TECH_PREREQUISITES","GR4","Censorship","law_censorship","Right of Assembly","common/history/countries/gr4 - naples.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-036","CL-G01_TECH_PREREQUISITES","TUR","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","common/history/countries/tur - ottoman empire.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-037","CL-G01_TECH_PREREQUISITES","PAP","Censorship","law_censorship","Right of Assembly","common/history/countries/pap - papal states.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-038","CL-G01_TECH_PREREQUISITES","PAP","Charity Hospitals","law_charitable_health_system","No Health System","common/history/countries/pap - papal states.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Charity Hospitals, fix this or consider No Health System instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-039","CL-G01_TECH_PREREQUISITES","PAP","Religious Schools","law_religious_schools","No Schools","common/history/countries/pap - papal states.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Religious Schools, fix this or consider No Schools instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
