file,line_or_range,event_or_je,sub_block,scope,identifier,occurrence_count,semantic_role,activity_class,fork_behavior,hotfix_behavior,vanilla_behavior,proposed_target,confidence,recommended_phase,notes
"events/india_events/sepoy_mutiny_events.txt","1113-1116","sepoy_mutiny_events.2","option c / territorial breakup guard","state","Punjab; Central India; Bombay; Bengal","4","Detect territory outside retained Madras base","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","south India OR north India plus existing siblings","south India OR north India plus existing siblings","region_south_india OR region_north_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Canonical pair order is south then north"
"events/india_events/sepoy_mutiny_events.txt","1386-1389","sepoy_mutiny_events.2","option c / while adjacency source","state","Punjab; Central India; Bombay; Bengal","4","Find transferable BIC states during Madras retreat","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","south India OR north India plus existing siblings","south India OR north India plus existing siblings","region_south_india OR region_north_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Loop termination must be tested"
"events/india_events/sepoy_mutiny_events.txt","1400-1403","sepoy_mutiny_events.2","option c / neighbouring owner capital filter","country (neighbour owner capital)","Bombay; Bengal; Punjab; Central India","4","Find adjacent eligible princes","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Culture-trait guard remains unchanged"
"events/india_events/sepoy_mutiny_events.txt","1417-1420","sepoy_mutiny_events.2","option c / every_country prince filter","country (capital)","Bombay; Bengal; Punjab; Central India","4","Select princes receiving adjacent states","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","1430-1433","sepoy_mutiny_events.2","option c / random adjacent state transfer","state","Punjab; Central India; Bombay; Bengal","4","Choose state transferred to a prince","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","south India OR north India plus existing siblings","south India OR north India plus existing siblings","region_south_india OR region_north_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Ownership transfer scope is high impact"
"events/india_events/sepoy_mutiny_events.txt","1450","sepoy_mutiny_events.2","option c / post-retreat radicals","state","region_madras","1","Add Hindu and Sunni radicals after retreat to Madras","PAN_INDIA_STRATEGIC","Applies to invalid Madras strategic region","Applies to region_south_india","Applies to region_south_india","region_south_india","HIGH","HOTFIX-5C2E2","Presidency-named outcome intentionally uses a broad strategic region in vanilla"
"events/india_events/sepoy_mutiny_events.txt","1478-1481","sepoy_mutiny_events.2","option e / subject existence guard","country (subject capital)","Bengal; Madras; Punjab; Central India","4","Detect subjects during retreat to Bombay","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","north India OR south India plus frontier states","north India OR south India plus frontier states","region_north_india OR region_south_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","1493-1496","sepoy_mutiny_events.2","option e / every_country release filter","country (subject capital)","Bengal; Madras; Punjab; Central India","4","Release princely subjects during retreat to Bombay","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","north India OR south India plus frontier states","north India OR south India plus frontier states","region_north_india OR region_south_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","1512-1515","sepoy_mutiny_events.2","option e / territorial breakup guard","state","Punjab; Central India; Bombay; Bengal","4","Detect territory outside retained Bombay base","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","south India OR north India plus existing siblings","south India OR north India plus existing siblings","region_south_india OR region_north_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Canonical pair is broader than omitted old presidency"
"events/india_events/sepoy_mutiny_events.txt","1785-1788","sepoy_mutiny_events.2","option e / while adjacency source","state","Punjab; Central India; Madras; Bengal","4","Find transferable BIC states during Bombay retreat","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","south India OR north India plus existing siblings","south India OR north India plus existing siblings","region_south_india OR region_north_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Loop termination must be tested"
"events/india_events/sepoy_mutiny_events.txt","1799-1802","sepoy_mutiny_events.2","option e / neighbouring owner capital filter","country (neighbour owner capital)","Madras; Bengal; Punjab; Central India","4","Find adjacent eligible princes","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Culture-trait guard remains unchanged"
"events/india_events/sepoy_mutiny_events.txt","1816-1819","sepoy_mutiny_events.2","option e / every_country prince filter","country (capital)","Madras; Bengal; Punjab; Central India","4","Select princes receiving adjacent states","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","1829-1832","sepoy_mutiny_events.2","option e / random adjacent state transfer","state","Punjab; Central India; Madras; Bengal","4","Choose state transferred to a prince","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Ownership transfer scope is high impact"
"events/india_events/sepoy_mutiny_events.txt","1849","sepoy_mutiny_events.2","option e / post-retreat radicals","state","region_bombay","1","Add Hindu and Sunni radicals after retreat to Bombay","PAN_INDIA_STRATEGIC","Applies to invalid Bombay strategic region","Applies to region_south_india","Applies to region_south_india","region_south_india","HIGH","HOTFIX-5C2E2","Presidency-named outcome intentionally uses a broad strategic region in vanilla"
"events/india_events/sepoy_mutiny_events.txt","2073-2074","sepoy_mutiny_events.4","option a / SAT diplomatic-play alignment","state (ROOT capital)","Bombay; Madras","2","Join SAT-led mutiny when ROOT belongs to the historical Bombay sphere","HISTORICAL_PRESIDENCY","Bombay OR Madras invalid strategic-region tests","Bombay historical geographic region; separate KNO/Madras branch added","Bombay historical geographic region; separate KNO/Madras branch added","is_in_geographic_region = geographic_region_bombay_old","HIGH","HOTFIX-5C2E2","Canonical KNO/Madras branch is outside the old-reference count but should be reviewed in the same narrow hunk"
"events/india_events/sepoy_mutiny_events.txt","2102-2104","sepoy_mutiny_events.4","option a / MUG diplomatic-play alignment","state (ROOT capital)","Bengal; Punjab; Central India","3","Join MUG-led mutiny from northern India","CAPITAL_OR_REVOLT_SELECTION","Three invalid northern strategic tests plus Himalayas and Persia","region_north_india plus Himalayas and greater Persia","region_north_india plus Himalayas and greater Persia","region_north_india; preserve Himalayas; Persia rename is a separate already-known compatibility issue","HIGH","HOTFIX-5C2E1","Only the three Indian IDs are counted here"
"events/india_events/sepoy_mutiny_events.txt","2135-2137","sepoy_mutiny_events.4","option b / AI chance northern affinity","state (ROOT capital)","Bengal; Punjab; Central India","3","Increase AI preference for MUG alignment in northern India","CAPITAL_OR_REVOLT_SELECTION","Three invalid northern tests plus Himalayas and Persia","region_north_india plus Himalayas and greater Persia","region_north_india plus Himalayas and greater Persia","region_north_india; preserve Himalayas; Persia rename handled separately","HIGH","HOTFIX-5C2E1","Do not change religion weighting"
"events/india_events/sepoy_mutiny_events.txt","2208-2209","sepoy_mutiny_events.4","option c / AI chance southern affinity","state (ROOT capital)","Bombay; Madras","2","Increase AI preference for SAT alignment in southern India","CAPITAL_OR_REVOLT_SELECTION","Two invalid southern strategic tests","region_south_india","region_south_india","region_south_india","HIGH","HOTFIX-5C2E1","Culture and religion weighting remain unchanged"
