state_region_id,state_numeric_id,display_name_fr,macro_region,category_1776,spice_plantation_potential,starting_level_1776,primary_spices_abstracted,historical_status_1776,design_rationale,source_refs
STATE_EAST_JAVA,545,Java oriental,Java,B_SECONDARY_1776,12,2,black pepper; aromatic spices,Zone javanaise historiquement intégrée aux échanges de produits tropicaux et d'épices.,Potentiel secondaire avec petite production initiale.,HIST-06;BR-01
STATE_WEST_BORNEO,542,Bornéo occidental,Bornéo,B_SECONDARY_1776,12,2,black pepper,Bornéo possède des communautés et réseaux de culture du poivre à l'époque moderne.,"Petit centre secondaire, utile pour diversifier l'offre sans diluer la rareté.",HIST-08;BR-01
STATE_NORTH_BORNEO,541,Bornéo septentrional,Bornéo,B_SECONDARY_1776,10,1,black pepper,Le Brunei/Bornéo accueille des cultivateurs de poivre dans les réseaux chinois de l'époque moderne.,"Production initiale minimale, potentiel modéré.",HIST-08;BR-01
STATE_CELEBES,913,Célèbes,Indonésie,B_SECONDARY_1776,10,1,cloves; aromatic spices,Archipel proche du cœur moluquois et adapté aux cultures aromatiques tropicales.,Petit potentiel secondaire; ne doit pas rivaliser avec les Moluques.,HIST-01;BR-01
STATE_MADRAS,475,Madras,Inde du Sud,B_SECONDARY_1776,12,2,pepper; cardamom,Sud de l'Inde relié aux Ghâts occidentaux et au commerce maritime des épices.,Production modérée; le cœur indien reste Travancore/Mysore.,HIST-03;HIST-04
STATE_BOMBAY,477,Bombay,Inde occidentale,B_SECONDARY_1776,8,1,pepper; aromatic spices,Façade occidentale de l'Inde et prolongement nord des circuits du poivre.,Potentiel et départ faibles pour ne pas surétendre la zone de Malabar.,HIST-04
STATE_JAMAICA,349,Jamaïque,Caraïbes,B_SECONDARY_1776,10,3,allspice / pimento,Le piment de la Jamaïque est indigène et la Jamaïque est son centre historique de production.,"Seul vrai pôle caribéen de départ retenu; représente l'allspice, pas la muscade de Grenade.",HIST-09;HIST-10
STATE_VERACRUZ,670,Veracruz,Mexique,B_SECONDARY_1776,8,1,vanilla,La culture de la vanille par les Totonaques près de Papantla est attestée vers 1760.,Petit départ en 1776: culture réelle mais pas encore le monopole exportateur du XIXe siècle.,HIST-11
STATE_EAST_BORNEO,543,Bornéo oriental,Bornéo,C_POTENTIAL_ONLY,8,0,black pepper,"Climat et réseaux régionaux favorables, mais preuve insuffisante d'un grand centre commercial en 1776.",Potentiel constructible sans production initiale.,HIST-08;BR-01
STATE_CAMBODIA,515,Cambodge,Asie du Sud-Est,C_POTENTIAL_ONLY,8,0,black pepper,La culture commerciale du poivre est bien attestée plus tard; les réseaux côtiers du XVIIIe siècle existent déjà.,Potentiel climatique/économique seulement; aucun niveau initial pour éviter une rétroprojection du XIXe siècle.,HIST-12
STATE_BANGKOK,516,Bangkok / Siam central,Asie du Sud-Est,C_POTENTIAL_ONLY,10,0,black pepper,La grande expansion poivrière siamoise est surtout attestée à partir des années 1790.,"Potentiel futur, zéro production initiale au cutoff 1776.",HIST-08
STATE_TONKIN,517,Tonkin,Vietnam,C_POTENTIAL_ONLY,8,0,cassia; aromatic spices,Région intégrée aux réseaux commerciaux asiatiques; cultures aromatiques possibles mais pas retenues comme grand centre 1776.,Réserve de développement sans démarrage historique.,HIST-13
STATE_ANNAM,518,Annam,Vietnam,C_POTENTIAL_ONLY,10,0,cassia; aromatic spices,Conditions écologiques adaptées à la casse/cannelle et intégration aux réseaux régionaux.,"Potentiel sans démarrage, faute de preuve suffisante pour une production commerciale majeure en 1776.",HIST-13
STATE_ZANZIBAR,224,Zanzibar,Afrique orientale,C_POTENTIAL_ONLY,15,0,cloves,Le grand système de plantations de girofle est postérieur au cutoff; introduction depuis La Réunion au début du XIXe siècle.,Climat/potentiel futur important mais zéro niveau en 1776.,HIST-01;HIST-14
STATE_NORTH_MADAGASCAR,234,Nord de Madagascar,Océan Indien africain,C_POTENTIAL_ONLY,10,0,cloves; vanilla; aromatic spices,"Conditions tropicales favorables, mais les grandes cultures commerciales d'épices sont postérieures.",Potentiel futur uniquement; ne pas fabriquer de production 1776.,HIST-14
STATE_SOUTH_MADAGASCAR,233,Sud de Madagascar,Océan Indien africain,C_POTENTIAL_ONLY,5,0,aromatic spices,Potentiel plus faible et moins humide que le nord.,"Faible réserve de développement, zéro départ.",HIST-14
STATE_GUATEMALA,339,Guatemala,Amérique centrale,C_POTENTIAL_ONLY,6,0,allspice; vanilla,Allspice indigène en Amérique centrale; environnement favorable.,"Potentiel seulement, car aucun grand système exportateur d'épices n'est fixé ici en 1776.",HIST-09
STATE_HONDURAS,340,Honduras,Amérique centrale,C_POTENTIAL_ONLY,6,0,allspice; vanilla,Allspice indigène en Amérique centrale; environnement favorable.,"Potentiel seulement, sans production de départ.",HIST-09
STATE_WEST_INDIES,348,Antilles,Caraïbes,D_EXCLUDE_1776,0,0,nutmeg (later Grenada),La célébrité de Grenade comme île aux épices repose surtout sur la muscade introduite en 1843.,Exclusion explicite pour empêcher une rétroprojection de la muscade grenadienne au setup 1776; la Jamaïque couvre l'allspice historique.,HIST-15
