system,script_or_object,file,function,inputs,decision_logic,technology_dependencies,resource_dependencies,economic_dependencies,strategic_dependencies,DLC_dependencies,risk,notes
SHIPBUILDING,ship_group_weights,common/ai_strategies/00_default_strategy.txt:4647,Balances capital/cruiser/torpedo construction,law; self_propelled_torpedoes,"Base 30/60/0, altered by navy model; torpedo craft enabled after tech",self_propelled_torpedoes,NONE,NONE,navy model law,BASE_GAME_FREE_1_13,HIGH,"Coastal/blue-water is not a separate group, so AI cannot balance it directly."
SHIPBUILDING,ship_construction_output_multiplier,common/ai_strategies/00_default_strategy.txt:4640,Requests shipyard construction capacity,desired navy maintenance,Default multiplier 10,NONE,NONE,shipyard capacity and ship maintenance,NONE,BASE_GAME_FREE_1_13,HIGH,
SHIPBUILDING,SHIP_CONSTRUCTION_WANTED_*,common/defines/00_ai.txt:557,Budgets new ships/repairs/retrofits,wanted ship cost; existing ship cost,1.0x wanted build cost plus 0.3x existing ship cost,NONE,design construction goods,debt and construction allocation,NONE,BASE_GAME_FREE_1_13,HIGH,
SHIPBUILDING,SHIP_CONSTRUCTION_DEBT_PAUSE/RESUME,common/defines/00_ai.txt:559,Pauses queues under debt,debt/ceiling ratio,Pause at 0.3; resume at 0.1,NONE,NONE,national debt,NONE,BASE_GAME_FREE_1_13,LOW,
SHIPBUILDING,SHIP_CONSTRUCTION_BLOCK_CREW_RATIO,common/defines/00_ai.txt:578,Prevents sailor overbuild,crew needed / max sailors,Blocks new construction at ratio >=1.0,NONE,sailors,naval administration employment,NONE,BASE_GAME_FREE_1_13,MEDIUM,
SHIPBUILDING,wanted_num_supply_ships,common/ai_strategies/00_default_strategy.txt:4637,Builds auxiliary supply ships,wanted navy size; supply allocation ratios,"20x wanted_navy_size value, then allocation thresholds",NONE,NONE,special supply ship maintenance,fleet supply demand,BASE_GAME_FREE_1_13,MEDIUM,SUPPLY_SHIP_TYPE is code-side hardcoded.
FLEET,fleet_compositions.main_battle_fleet,common/ai_strategies/00_default_strategy.txt:8644,Assigns main fleet role and missions,capital/cruiser/torpedo group counts,200/200/200; 30-ship soft floor; max 2,NONE,NONE,NONE,professional navy and capital ship availability,BASE_GAME_FREE_1_13,MEDIUM,
FLEET,fleet_compositions.secondary_fleet,common/ai_strategies/00_default_strategy.txt:8690,Assigns escort/project-power role,ship groups; active navy law,25/100/50; 10-ship soft floor; max 4,NONE,NONE,NONE,navy law and mission weights,BASE_GAME_FREE_1_13,MEDIUM,
FLEET,fleet_compositions.raid_fleet,common/ai_strategies/00_default_strategy.txt:8735,Assigns raiding/privateering role,cruiser/torpedo counts; missions,0/50/100; 10-ship soft floor; max 2,NONE,NONE,NONE,Jeune Ecole/merchant navy; DLC missions when available,MIXED: core raid role free; piracy/privateer/hunt_pirates need ep2_content,MEDIUM,
FLEET,fleet recall defines,common/defines/00_ai.txt:550,Recalls damaged/undercrewed/unsuitable fleets,hull ratio; crew ratio; mission score; war state,War thresholds 0.75; peace repair threshold 1.0; mission score <0.5,NONE,NONE,NONE,war/peace and mission score,BASE_GAME_FREE_1_13,LOW,
FLAGSHIP,flagship_score_for_fleet,common/script_values/ai_script_values.txt:508,Selects fleet for flagship,power projection; ship count; capital count; current flagship,Power/100 + ships/5 + capitals*0.5; 1.5 stickiness,NONE,NONE,NONE,fleet strength,BASE_GAME_FREE_1_13,LOW,
FLAGSHIP,flagship_score_for_ship,common/script_values/ai_script_values.txt:538,Selects eligible flagship,power projection; capital group; current flagship,Power/10 +20 capital bonus; 1.5 stickiness,ship type can_be_flagship and hull gate,NONE,NONE,capital preference,BASE_GAME_FREE_1_13,LOW,
SHIP_SALES,ship_transfer treaty AI,common/treaty_articles/31_ship_transfer.txt,Offers/requests and prices ship transfers,ai_ship_value; binding time; obsolescence for each side,Favors selling ship obsolete for seller but not buyer; rejects obsolete receipts and one-sided grabs,NONE,NONE,payment stream and replacement value,relative obsolescence,THE_GREAT_WAVE_DLC: ep2_content,HIGH,
BUILDINGS,wanted_naval_fortification_levels,common/ai_strategies/00_default_strategy.txt:4727,Builds coastal fortification,port/shipyard/island/capital/world market hub,Adds desired levels for strategic coastal states,NONE,NONE,building inputs/employment,coastal importance,BASE_GAME_FREE_1_13,LOW,
BUILDINGS,shipyard/naval administration expansion,common/ai_strategies/00_default_strategy.txt,Expands capacity and sailors,wanted navy; construction output; coastal state/building validity,Engine building AI satisfies wanted capacity and navy size,navigation; admiralty; shipbuilding PM techs,wood/hardwood/fabric/engines/steel/coal/electricity,profitability plus strategic wanted values,NONE,BASE_GAME_FREE_1_13,HIGH,Primary risks: AI_HAS_TECH_BUT_DOES_NOT_BUILD and NO_INPUT_BOOTSTRAP if historical rewires break input chains.
