"candidate_id","record_type","candidate_name","historical_period","target_or_building","inputs","outputs","energy_sources","employment_types","required_technologies","inputs_added_or_removed","outputs_modified","employment_changes","possible_production_methods_or_alternatives","possible_ownership_methods","geographic_constraints","connections_to_other_buildings","military_uses","civilian_uses","trade_relevance","gameplay_value_0_5","implementation_complexity_0_5","recommended_status","priority","justification"
"P24","production_method","Tabulating Offices","1890-1936","government administration","paper;electricity;precision machinery","bureaucracy/authority","electricity","clerks;engineers","Mechanized Data Processing","add electricity/machinery","more bureaucracy","fewer clerks per output;more engineers","-","-","urban","government;electrics","mobilization","statistics","medium","4","2","recommended","B","Better than a new office-machine good or building."
"N01","do_not_separate","Brickworks","1850-1936","construction sector","coal;clay","construction proxy","coal","laborers","Mechanized Brickmaking","-","-","-","construction PM","-","clay ubiquitous","construction","fortifications","housing","low","2","3","do_not_represent_separately","D","Cement/construction PM captures decision; separate good is redundant."
"N02","do_not_separate","Guano Works","1840-1880","state trait/farm PM","guano","fertilizer","labor","laborers","Guano Exploitation","-","-","-","state trait;phosphate input PM","-","island deposits","farms","nitrates","fertilizer","medium","2","3","do_not_build","D","Short-lived single-use extraction is best represented by trait or phosphate supply."
"N03","do_not_separate","Dye Factory","1856-1936","chemical plant","chemicals","existing dye","coal","chemists","Aniline Chemistry","-","-","-","chemical plant PM","-","none","textiles","uniforms","dyes","high","3","2","PM_not_building","C","Existing chemical plant can produce existing dye."
"N04","do_not_separate","Glass Bottle Factory","1900-1936","glassworks","glass;coal","glass throughput","coal","machinists","Automatic Bottle Blowing","-","-","-","existing glassworks PM","-","none","food industry","supplies","containers","medium","2","1","PM_not_building","D","Vanilla already has automatic bottle blower PM."
"N05","do_not_separate","Abattoir","1870-1936","livestock ranch/food industry","livestock;tools","meat","steam;electricity","laborers;machinists","Industrial Slaughtering","-","-","-","existing ranch PM","-","livestock regions","food industry","rations","meat","high","3","1","PM_not_building","C","Vanilla slaughterhouse PM already covers it."
"N06","do_not_separate","Telephone Exchange","1880-1936","urban center/electrics","telephones;electricity","services","electricity","clerks;machinists","Telephone Networks","-","-","-","urban PM/infrastructure modifier","municipal;private","urban only","electrics","command","communications","high","3","3","PM_not_building","C","Network abstraction works better than thousands of exchange levels."





