tech_id,tech_name,localization_description,category,vanilla_era,technology_definition_file,icon,icon_exists,shared_icon,name_localization_exists,description_localization_exists,name_localization_source,description_localization_source,localization_validation,vanilla_prerequisites,vanilla_ai_weight,ai_weight_class,vanilla_direct_modifiers,scripted_modifiers_or_effects,other_direct_properties,can_research,unlock_count,unlock_summary,reference_count,reference_summary,current_mod_status,definition_delta,prerequisite_delta,modifier_delta,unlock_delta,ai_weight_delta,localization_delta,historical_concept,historical_window_estimate,early_tree_relevance,best_matching_v1_branch,best_matching_v1_node,secondary_matching_nodes,overlap_class,primary_action,secondary_actions,recommended_target_era,recommended_prerequisite_changes,recommended_unlock_changes,historical_problem,gameplay_problem,duplication_problem,implementation_risk,hardcoded_or_engine_sensitive,naval_great_wave_dependency,defer_to_tech_1b,regionalization_candidate,ai_weight_rework_risk,confidence,notes,source_definition_file
defense_in_depth,Defense in Depth,"By making multiple lines of defense, it is possible to spread out and slow down the enemy and sometimes even envelop them.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/defense_in_depth.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:178,localization/english/inventions_l_english.yml:179,OK,trench_works;handcranked_machine_gun,value = 1,STATIC,unit_army_defense_mult=0.1,NONE,NONE,yes(default),1,combat_unit_types=1,9,EVENT_CONDITION=2; EVENT_EFFECT=2; LOCALIZATION_ONLY=2; PREREQUISITE=1; TRIGGER=1; UNIT_REQUIREMENT=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=3,NONE,NONE,"By making multiple lines of defense, it is possible to spread out and slow down the enemy and sometimes even envelop them.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:773
dreadnought_tech,Dreadnought,"By making a warship with only heavy caliber guns and steam propulsion, it is possible to overpower all other types of ship.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/dreadnought.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:191,localization/english/inventions_l_english.yml:190,OK,pre_dreadnought_tech;sea_lane_strategies;concrete_dockyards;military_aviation,value = 1 if = { limit = { navy_size >= 20 } add = 0.5 },MILITARY_CONDITIONAL,NONE,NONE,NONE,yes(default),9,journal_entries=1; ship_types=8,15,EVENT_CONDITION=1; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=8; PREREQUISITE=2; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,"By making a warship with only heavy caliber guns and steam propulsion, it is possible to overpower all other types of ship.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:877
landing_craft,Landing Craft,Vessels designed specifically for protecting waterborne troops greatly improve the chances of an amphibious assault actually succeeding.,Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/landing_craft.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:579,localization/english/inventions_l_english.yml:580,OK,jeune_ecole;monitor_tech,value = 1 if = { limit = { navy_size >= 20 } add = 1 },MILITARY_CONDITIONAL,NONE,NONE,NONE,yes(default),1,combat_unit_types=1,5,LOCALIZATION_ONLY=2; OTHER=1; TRIGGER=1; UNIT_REQUIREMENT=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,Vessels designed specifically for protecting waterborne troops greatly improve the chances of an amphibious assault actually succeeding.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:928
military_aviation,Military Aviation,"By combining conventional aviation with military technology, it is possible to create aircraft that can fulfill a variety of military roles.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/military_aviation.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:295,localization/english/inventions_l_english.yml:296,OK,handcranked_machine_gun,value = 1.5,STATIC,NONE,NONE,NONE,yes(default),2,mobilization_options=1; production_methods=1,16,EVENT_CONDITION=3; EVENT_EFFECT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1; PREREQUISITE=1; TRIGGER=2; UNIT_REQUIREMENT=1; VISIBILITY=5,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=6,NONE,NONE,"By combining conventional aviation with military technology, it is possible to create aircraft that can fulfill a variety of military roles.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,MEDIUM,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1076
pre_dreadnought_tech,$ship_type_pre_dreadnought$,Standardizing ship designs of battleships in order to produce a higher number of them. These ships are built from steel and powered by steam engines.,Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/pre_dreadnought.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:188,localization/english/inventions_l_english.yml:189,OK,ironclad_tech,value = 1,STATIC,NONE,NONE,NONE,yes(default),12,laws=3; ship_modifications=2; ship_types=7,15,LAW_REQUIREMENT=3; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=9; PREREQUISITE=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,Standardizing ship designs of battleships in order to produce a higher number of them. These ships are built from steel and powered by steam engines.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:862
sea_lane_strategies,Sea Lane Strategies,"By focusing naval power on controlling the sea lanes, naval dominance is much easier to achieve.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/sea_lane_strategies.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:396,localization/english/inventions_l_english.yml:397,OK,jeune_ecole,value = 1,STATIC,country_admiral_rank_impact_mult=0.25,NONE,NONE,yes(default),8,laws=3; production_methods=1; ship_types=4,14,EVENT_CONDITION=1; LAW_REQUIREMENT=3; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=4; PM_REQUIREMENT=1; PREREQUISITE=2; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,"By focusing naval power on controlling the sea lanes, naval dominance is much easier to achieve.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:908
submarine,Submarine,"Submarines take the concept of a boat and submerge it, leading to greater stealth and thus tactical capability.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/submarine.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:431,localization/english/inventions_l_english.yml:432,OK,self_propelled_torpedoes,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,ship_types=1,19,EVENT_CONDITION=1; GUI_ONLY=15; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,"Submarines take the concept of a boat and submerge it, leading to greater stealth and thus tactical capability.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:828
trench_works,Trench Works,"By equipping soldiers with the correct tools, it is possible for them to create strong fortifications with little effort.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/trench_works.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:447,localization/english/inventions_l_english.yml:448,OK,general_staff;electric_telegraph,value = 2,STATIC,NONE,NONE,NONE,yes(default),2,combat_unit_types=1; journal_entries=1,14,EVENT_CONDITION=2; EVENT_EFFECT=1; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; PREREQUISITE=4; TRIGGER=2; UNIT_REQUIREMENT=1; VISIBILITY=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=3,NONE,NONE,"By equipping soldiers with the correct tools, it is possible for them to create strong fortifications with little effort.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:715
war_propaganda,War Propaganda,"Convincing a population to commit its time, its resources, and its blood, all for the sake of victory, is a whole field of work on its own.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/war_propaganda.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:573,localization/english/inventions_l_english.yml:574,OK,enlistment_offices,value = 1,STATIC,unit_morale_loss_mult=-0.05;state_conscription_rate_mult=0.2,NONE,NONE,yes(default),0,NO_REVERSE_UNLOCK,4,EVENT_EFFECT=1; LOCALIZATION_ONLY=2; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,"Convincing a population to commit its time, its resources, and its blood, all for the sake of victory, is a whole field of work on its own.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:733
wargaming,Wargaming,"By mocking up imaginary warfare scenarios and practicing strategy, it is possible to improve officers combat abilities.",Military,era_4,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/wargaming.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:461,localization/english/inventions_l_english.yml:462,OK,military_statistics,value = 1,STATIC,unit_army_offense_mult=0.1;country_general_rank_impact_mult=0.2,NONE,NONE,yes(default),3,journal_entries=1; production_methods=2,14,EVENT_CONDITION=4; EVENT_EFFECT=2; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=2; PREREQUISITE=2; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=7,NONE,NONE,"By mocking up imaginary warfare scenarios and practicing strategy, it is possible to improve officers combat abilities.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:752
battlefleet_tactics,Modern Battlefleet Tactics,"Operating a large battlefleet can be a difficult task. By practicing and learning specific tactics as a fleet, greater performance can be achieved.",Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/battlefleet_tactics.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:98,localization/english/inventions_l_english.yml:99,OK,battleship_tech;sea_lane_strategies,value = 1,STATIC,country_admiral_rank_impact_mult=0.25,NONE,NONE,yes(default),1,production_methods=1,6,EVENT_CONDITION=2; EVENT_EFFECT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=3,NONE,NONE,"Operating a large battlefleet can be a difficult task. By practicing and learning specific tactics as a fleet, greater performance can be achieved.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1158
battleship_tech,$ship_type_super_dreadnought$,"By taking the dreadnought design and making all the guns high caliber, as well as some other changes, it is possible to make an even more devastating warship.",Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/battleship_tech.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:100,localization/english/inventions_l_english.yml:101,OK,dreadnought_tech,value = 1 if = { limit = { navy_size >= 20 } add = 0.5 },MILITARY_CONDITIONAL,NONE,NONE,NONE,yes(default),5,ship_types=5,11,EVENT_CONDITION=2; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=5; PREREQUISITE=1; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,"By taking the dreadnought design and making all the guns high caliber, as well as some other changes, it is possible to make an even more devastating warship.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1137
carrier_tech,Aircraft Carrier,"By designing large ships with a large flat deck and equipping them appropriately, it is possible to create a sea borne airfield.",Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/carrier_tech.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:136,localization/english/inventions_l_english.yml:137,OK,dreadnought_tech,value = 1 if = { limit = { navy_size >= 20 } add = 0.5 },MILITARY_CONDITIONAL,NONE,NONE,NONE,yes(default),2,ship_types=2,5,EVENT_CONDITION=1; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,"By designing large ships with a large flat deck and equipping them appropriately, it is possible to create a sea borne airfield.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1116
chemical_warfare,Chemical Warfare,Certain chemical combinations produce adverse or even fatal effects when humans are exposed to them. Weaponizing this brings a whole new horrific aspect to warfare. ,Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/chemical_warfare.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:144,localization/english/inventions_l_english.yml:145,OK,automatic_machine_guns,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,mobilization_options=1,25,EVENT_CONDITION=1; EVENT_EFFECT=1; GUI_ONLY=14; LOCALIZATION_ONLY=2; TRIGGER=1; UNIT_REQUIREMENT=1; VISIBILITY=5,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,Certain chemical combinations produce adverse or even fatal effects when humans are exposed to them. Weaponizing this brings a whole new horrific aspect to warfare.,Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,MEDIUM,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1001
concrete_fortifications,Concrete Fortifications,By introducing concrete into fortifications it is possible to make strong entrenched positions very quickly.,Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/concrete_fortifications.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:164,localization/english/inventions_l_english.yml:165,OK,defense_in_depth,value = 1,STATIC,unit_army_defense_mult=0.1,NONE,NONE,yes(default),1,production_methods=1,10,EVENT_EFFECT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1; PREREQUISITE=1; VISIBILITY=5,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,By introducing concrete into fortifications it is possible to make strong entrenched positions very quickly.,Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1038
destroyer,Destroyer,"Lighter vessels, equipped with torpedoes and smaller guns, are just as important in modern navies as capital ships.",Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/destroyers.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:577,localization/english/inventions_l_english.yml:578,OK,monitor_tech,value = 1,STATIC,NONE,NONE,NONE,yes(default),3,ship_types=3,31,EVENT_CONDITION=3; EVENT_EFFECT=1; GUI_ONLY=21; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=3; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=3,NONE,NONE,"Lighter vessels, equipped with torpedoes and smaller guns, are just as important in modern navies as capital ships.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,VERY_HIGH,YES,YES,YES,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:847
flamethrowers,Flamethrowers,A great way to drive entrenched soldiers out of their defensive positions is to light a fire under them.,Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/flamethrowers.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:581,localization/english/inventions_l_english.yml:582,OK,trench_works;automatic_machine_guns,value = 1,STATIC,unit_kill_rate_add=0.05,NONE,NONE,yes(default),1,mobilization_options=1,9,EVENT_EFFECT=1; LOCALIZATION_ONLY=2; UNIT_REQUIREMENT=1; VISIBILITY=5,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,A great way to drive entrenched soldiers out of their defensive positions is to light a fire under them.,Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1097
mobile_armor,Mobile Armor,"By equipping a motorized vehicle with metal plating, it is possible to create an advanced weaponry platform.",Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/mobile_armor.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:297,localization/english/inventions_l_english.yml:298,OK,concrete_fortifications;nco_training,value = 1.5,STATIC,NONE,NONE,NONE,yes(default),7,combat_unit_types=3; journal_entries=1; production_methods=3,25,EVENT_CONDITION=12; EVENT_EFFECT=1; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=3; TRIGGER=3; UNIT_REQUIREMENT=3,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=15,NONE,NONE,"By equipping a motorized vehicle with metal plating, it is possible to create an advanced weaponry platform.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,MEDIUM,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1059
nco_training,NCO Training,It's as important to maintain a trained body of lower-ranking officers familiar with their craft as it is to maintain academy-trained captains and generals.,Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/nco_training.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:575,localization/english/inventions_l_english.yml:576,OK,wargaming;trench_works,value = 2,STATIC,country_general_rank_impact_mult=0.2,NONE,NONE,yes(default),4,combat_unit_types=1; journal_entries=1; production_methods=2,17,EVENT_CONDITION=2; EVENT_EFFECT=2; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=2; PREREQUISITE=1; TRIGGER=1; UNIT_REQUIREMENT=1; VISIBILITY=5,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=4,NONE,NONE,It's as important to maintain a trained body of lower-ranking officers familiar with their craft as it is to maintain academy-trained captains and generals.,Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,MEDIUM,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:981
stormtroopers,Stormtroopers,Having troops trained and equipped specifically for infiltration allows greater success when assaulting more embedded positions.,Military,era_5,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/stormtroopers.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:427,localization/english/inventions_l_english.yml:428,OK,wargaming;trench_works,value = 1,STATIC,unit_kill_rate_add=0.05;unit_combat_unit_type_trench_infantry_offense_add=5;unit_combat_unit_type_squad_infantry_offense_add=5;unit_combat_unit_type_mechanized_infantry_offense_add=5,NONE,NONE,yes(default),0,NO_REVERSE_UNLOCK,14,EVENT_CONDITION=4; EVENT_EFFECT=3; LOCALIZATION_ONLY=2; VISIBILITY=5,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=6,NONE,NONE,Having troops trained and equipped specifically for infiltration allows greater success when assaulting more embedded positions.,Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/20_military.txt:1016
