tag,country_name,region,standing_force_establishment,standing_force_effective,infantry_personnel,cavalry_personnel,artillery_personnel,engineer_or_specialist_personnel,garrison_personnel,colonial_or_company_personnel,other_permanent_personnel,infantry_organizational_units,cavalry_organizational_units,artillery_batteries_or_units,artillery_pieces,militia,levy,reserve,mobilization_potential,regular_force_definition,irregular_force_definition,date_of_evidence,evidence_window,source_1,source_2,source_3,source_disagreement,recommended_historical_range,identity_confidence,quantitative_confidence,composition_confidence,research_status,notes
BEO,Austrian Netherlands (BEO/Belgium),Europe,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,"Austrian Netherlands are Habsburg lands; military establishment belongs to the Habsburg monarchy, not an independent Belgian army."
BGI,Bagirmi,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BHN,Bahrain,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
BHU,Bhutan,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
BHV,Bhavnagar,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
BIC,East India,South Asia,No defensible exact all-Presidency Jan-1776 total located,,,,,,,"1760s Coromandel return: 2,502 Europeans + 15,490 sepoys; 1778 India evidence: 10,926 Europeans + 70,093 natives serving the armies",,,,,,,,,,"Company Presidency armies (Bengal, Madras, Bombay), mixing European Company troops, sepoys and artillery.",Local auxiliaries/warrior groups and Crown units attached to Company operations must be separately attributed.,1760s / 1778 bracket,"Bracketing evidence, not an interpolated 1776 total",https://www.cambridge.org/core/journals/journal-of-british-studies/article/abs/recruitment-and-reform-in-the-east-india-company-army-17601800/917E89E800A905219FA8881EBCBF055F,https://www.cambridge.org/core/journals/journal-of-global-history/article/abs/hybrid-military-establishment-of-the-east-india-company-in-south-asia-17501849/5231F27DF10E4755D017A92704C08672,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,Available figures refer to different Presidencies/scopes and dates; linear interpolation would create false precision.,NO_SINGLE_SAFE_TOTAL; 2D-2 must reconstruct Presidency-by-Presidency and exclude British Crown double-counting.,HIGH,LOW,MEDIUM,QUANTITATIVE_LOW_CONFIDENCE,"Current 80,000 V3 manpower may be plausible only after Presidency/Crown attribution; not approved as-is."
BLG,Bulungan,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
BNJ,Banjar,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
BNY,Bunyoro,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BOR,Bornu,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BRA,Brunswick,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
BRD,Burundi,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BRE,Bremen,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
BRG,Borgu,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BRU,Brunei,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
BRZ,Brazil,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Brazil is Portuguese colonial territory; local garrisons/naval stations must be attributed within Portuguese imperial structure.
BST,Basutoland,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BTN,Buton,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
BUG,Buganda,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
BUK,Bukhara,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
BUR,Burma,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
CAM,Cambodia,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
CHC,Chechnya,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
CHI,China,East Asia,"about 800,000",,"Green Standard approximately 600,000 (not a pure infantry field-arm category)",,,,Large shares of both systems were garrison/security forces.,,"Banner establishment approximately 200,000",,,,,,,,,Two permanent paid systems: Eight Banners (elite/mobile/strategic garrisons) and Green Standard (provincial security/garrisons and auxiliaries).,Do not add local auxiliaries/labourers or treat all Green Standard personnel as deployable field infantry.,mid-18th century,Closest institutional establishment evidence; valid through high Qing but not an exact muster on 1 Jan 1776,https://www.cambridge.org/core/journals/journal-of-chinese-history/article/qing-military-institutions-and-their-effects-on-government-economy-and-society-16401800/E1FDAA965C5B67C12274B2B3408AE206,https://www.cambridge.org/core/journals/international-review-of-social-history/article/tributary-labour-relations-in-china-during-the-mingqing-transition-seventeenth-to-eighteenth-centuries/7AC034138FC2F5591D10313C256F2E53,,"The 800,000 figure is an administrative establishment scale, not a simultaneous field army.","~800,000 paid military establishment; deployable/field equivalent must be materially lower and derived separately in 2D-2.",HIGH,HIGH,HIGH,QUANTITATIVE_HIGH_CONFIDENCE,"Current 485,000 V3 units cannot be judged simply against 800,000; role dispersion makes the comparison NOT_DIRECTLY_COMPARABLE."
CHP,Champasak,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
CIR,Circassia,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
CMI,Chiang Mai,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
COB,Saxe-Coburg-Gotha,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
COC,Cochin,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
CON,Constantine,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
COO,Cooch Behar,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
CRI,Crimea,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
CUB,Cuba,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Cuba is Spanish imperial territory; local garrison/naval assets are not an independent sovereign force.
DAH,Dahomey,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Established military kingdom with royal forces.,Campaign mobilization and tributary obligations must be distinguished from permanent troops.,18th-century structural history,Near target but quantitative details sparse,https://www.cambridge.org/core/journals/african-studies-review/article/abs/king-gezo-of-dahomey-18181858-a-reassessment-of-a-west-african-monarch-in-the-nineteenth-century/9B1806941578F189D9C69F06EBB87CCD,https://www.cambridge.org/core/books/rituals-runaways-and-the-haitian-revolution/homelands-diaspora-and-slave-society/0EFBA3D2C01A5C42F2727A83CC86F1F8,,,QUALITATIVE_ONLY,HIGH,VERY_LOW,LOW,QUALITATIVE_ONLY,Dahomey was tributary to Oyo in the 1770s; do not use later Gezo-era army figures.
DAI,Dai Nam,Southeast Asia,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,The 1776 Vietnamese political-military landscape was divided; a single Dai Nam national force is structurally unsafe.
DEI,East Indies,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
DENNOR,Denmark-Norway,Europe,,,,,,,,,,,,,,Do not reclassify all national troops as mere militia.,,,,Danish-Norwegian army combined enlisted and nationally conscripted troops; national/conscripted troops were real army units rather than a separate emergency militia.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",1774–1776,Exact 1776 recruitment composition,https://tidsskrift.dk/historisktidsskrift/article/download/52833/70118?inline=1,,,,QUALITATIVE_ONLY total; organization confidence high.,HIGH,VERY_LOW,HIGH,QUALITATIVE_ONLY,Danish foot troops were about 70% conscripted/national troops in 1776; this complicates V3 standing-vs-conscription mapping.
DFR,Darfur,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
DUR,Afghanistan,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
ETH,Ethiopia,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
EZO,Ezochi,East Asia,,,,,,,,,,,,,,,,,,Polity-specific hereditary/professional/garrison institutions; not automatically equivalent to European field armies.,Local/domain/provincial mobilization must be separated from central standing forces.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Retain institutional distinctions; exact deployable field strength may differ sharply from administrative establishment.
