tag,country_name,desired_2d2,pre_3d_conscripts,3d_added_conscripts,3d_effective_scripted_total,true_native_max,structural_defer,final_scripted_target,r1_delta,final_effective_conscripts,status,notes
BHN,Bahrain,0,0,0,0,2,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BHU,Bhutan,2,0,0,0,2,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BHV,Bhavnagar,4,0,4,4,25,NO,4,0,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BIC,East India,45,0,45,45,149,NO,45,0,45,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BLG,Bulungan,2,0,0,0,3,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BNJ,Banjar,4,0,1,1,2,NO,2,1,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BNY,Bunyoro,3,0,1,1,3,NO,3,2,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BOR,Bornu,18,0,3,3,11,NO,11,8,11,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BRA,Brunswick,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BRD,Burundi,6,0,2,2,5,NO,5,3,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BRE,Bremen,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BRG,Borgu,3,0,1,1,4,NO,3,2,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BRU,Brunei,2,0,1,1,3,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BRZ,Brazil,0,0,0,0,24,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BST,Basutoland,6,0,1,1,3,NO,3,2,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BTN,Buton,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BUG,Buganda,12,0,4,4,8,NO,8,4,8,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BUK,Bukhara,24,0,8,8,17,NO,17,9,17,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BUR,Burma,60,0,29,29,41,NO,41,12,41,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CAM,Cambodia,12,0,4,4,8,NO,8,4,8,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CHC,Chechnya,24,0,1,1,5,NO,5,4,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CHI,China,150,0,150,150,804,NO,150,0,150,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CHP,Champasak,2,0,0,0,2,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CIR,Circassia,42,0,3,3,7,NO,7,4,7,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CMI,Chiang Mai,8,0,5,5,10,NO,8,3,8,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
COB,Saxe-Coburg-Gotha,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
COC,Cochin,3,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CON,Constantine,4,0,4,4,16,NO,4,0,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
COO,Cooch Behar,3,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CRI,Crimea,30,0,19,19,44,NO,30,11,30,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
CUB,Cuba,0,0,0,0,5,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
DAH,Dahomey,20,0,2,2,5,NO,5,3,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
DAI,Dai Nam,0,0,0,0,69,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
DEI,East Indies,18,0,18,18,101,NO,18,0,18,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
DENNOR,Denmark-Norway,18,0,0,0,14,NO,14,14,14,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
DFR,Darfur,6,0,1,1,3,NO,3,2,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
DUR,Afghanistan,120,0,63,63,124,NO,120,57,120,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ETH,Ethiopia,48,0,43,43,69,NO,48,5,48,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
EZO,Ezochi,0,0,0,0,2,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
FRA,France,80,0,40,40,98,NO,80,40,80,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
FRM,Frankfurt,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
FTJ,Futa Jallon,12,0,2,2,5,NO,5,3,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
FTR,Futa Toro,12,0,0,0,3,NO,3,3,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GAL,Galicia-Lodomeria,18,0,0,0,15,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GAR,Garhwal,3,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GBR,Great Britain,60,0,29,29,58,NO,58,29,58,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GEN,Most Serene Republic of Genoa,1,0,0,0,2,NO,1,1,1,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GLD,Geledi,6,0,1,1,3,NO,3,2,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GR3,Sicily,0,0,0,0,5,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GR5,Santo Domingo,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
GWA,Gwalior,50,0,9,9,19,NO,19,10,19,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HAI,Haiti,0,0,0,0,3,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HAM,Hamburg,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HAN,Hanover,10,0,3,3,6,NO,6,3,6,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HAU,Gobir,12,0,2,2,5,NO,5,3,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HAW,Hawaii,0,0,0,0,3,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HBC,Hudson's Bay Company,1,0,0,0,5,NO,1,1,1,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HDJ,Hedjaz,8,0,2,2,6,NO,6,4,6,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HEK,Hesse-Kassel,2,0,1,1,2,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HES,Hesse-Darmstadt,2,0,1,1,2,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HOH,Hohenzollern,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HOL,Holstein,2,0,1,1,2,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HUN,Hungary,35,0,0,0,33,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
HYD,Hyderabad,50,0,13,13,30,NO,30,17,30,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
IQU,Iquicha,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
IR1,Mamluk Iraq,20,0,9,9,20,NO,20,11,20,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
IREK,Kingdom of Ireland,0,0,0,0,21,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ISQ,Isaaq,3,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
JAP,Japan,70,0,70,70,215,NO,70,0,70,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
JEY,Jeypore,4,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
JMB,Jambi,4,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
JOH,Johore,4,0,3,3,6,NO,4,1,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KAU,Kaurna,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KHI,Khiva,24,0,7,7,14,NO,14,7,14,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KHP,Kolhapur,6,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KNO,Kurnool,8,0,2,2,5,NO,5,3,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KOK,Kokand,24,0,8,8,19,NO,19,11,19,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KON,Kongo,6,0,5,5,11,NO,6,1,6,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KOR,Korea,30,0,30,30,117,NO,30,0,30,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KRG,Karagwe,3,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KRT,Kaarta,12,0,1,1,3,NO,3,2,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KTI,Kutai,2,0,1,1,2,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
KZH,Kishi Zhuz,3,0,3,3,27,NO,3,0,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LAH,Lahej,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LAN,Lanfang,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LIP,Lippe-Detmold,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LOU,Louisiana,0,0,0,0,2,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LUA,Luang Prabang,6,0,1,1,4,NO,4,3,4,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LUB,Lübeck,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LUC,Lucca,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
LUX,Luxembourg,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MAD,Madagascar,24,0,11,11,21,NO,21,10,21,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MARATH,Maratha Confederacy,100,0,65,65,87,NO,87,22,87,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MAS,Mascara,34,0,2,2,6,NO,6,4,6,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MBS,Mombasa,3,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MEC,Mecklenburg-Schwerin,2,0,1,1,2,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MEI,Saxe-Meiningen,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MGD,Maguindanao,4,0,1,1,4,NO,4,3,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MJT,Majerteen,9,0,3,3,4,NO,4,1,4,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MKT,Miskitia,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MLD,Maldives,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MLT,Order of Malta,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MOD,Modena,2,0,0,0,2,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MOL,Moldavia,2,0,2,2,15,NO,2,0,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MON,Montenegro,3,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MOR,Morocco,22,0,13,13,36,NO,22,9,22,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MSN,Massina,24,0,7,7,14,NO,14,7,14,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MST,Mecklenburg-Strelitz,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MUG,Hindustan,3,0,3,3,25,NO,3,0,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
MYS,Mysore,55,0,6,6,11,NO,11,5,11,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
NAG,Nagpur,24,0,6,6,14,NO,14,8,14,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
NAS,Nassau,2,0,1,1,2,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
NBS,New Brunswick,0,0,0,0,2,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
NEP,Nepal,21,0,6,6,11,NO,11,5,11,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
NET,Netherlands,25,0,3,3,14,NO,14,11,14,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
NVS,Nova Scotia,0,0,0,0,3,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
OLD,Oldenburg,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
OMA,Oman,25,0,3,3,10,NO,10,7,10,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ONT,Ontario,0,0,0,0,5,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ORA,Oranje,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
OYO,Oyo,35,0,9,9,17,NO,17,8,17,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
OZH,Orta Zhuz,3,0,1,1,7,NO,3,2,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PAN,Punjab,80,0,16,16,14,NO,14,-2,14,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PAP,Papal States,3,0,3,3,9,NO,3,0,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PAR,Parma,2,0,0,0,2,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PCO,Puerto Rico,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PER,Persia,60,0,38,38,84,NO,60,22,60,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PHI,Philippines,0,0,0,0,9,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PHL,Philippolis,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PLC,Poland-Lithuania,18,0,18,18,133,NO,18,0,18,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PLY,Tahiti,0,0,0,0,3,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PON,Pontianak,2,0,0,0,2,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
POR,Portugal,30,0,20,20,78,NO,30,10,30,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PRK,Perak,4,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PRU,Prussia,60,0,14,14,37,NO,37,23,37,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
PUD,Pudukottai,3,0,3,3,23,NO,3,0,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
QUE,Quebec,0,0,0,0,6,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
RUS,Russia,120,0,120,120,369,NO,120,0,120,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
RWD,Rwanda,6,0,3,3,6,NO,6,3,6,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
RYU,Ryukyu,0,0,0,0,2,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SAK,Siak,4,0,2,2,7,NO,4,2,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SAR,Sardinia-Piedmont,10,0,3,3,12,NO,10,7,10,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SAT,Satara,3,0,1,1,2,NO,2,1,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SAX,Saxony,10,0,4,4,5,NO,5,1,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SC1,Nueva España,0,0,0,0,34,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SC2,Nueva Granada,0,0,0,0,14,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SC3,Perú,0,0,0,0,14,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SC4,Río de la Plata,0,0,0,0,10,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SCH,Schleswig,1,0,0,0,1,NO,1,1,1,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SCM,Schaumburg-Lippe,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SCW,Schwarzburg,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SEL,Selangor,4,0,1,1,3,NO,3,2,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SGU,Segou,12,0,1,1,4,NO,4,3,4,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SHS,Shan,0,0,0,0,7,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SIA,Siam,36,0,19,19,43,NO,36,17,36,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SIC,Two Sicilies,0,0,0,0,16,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SIK,Sikkim,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SIL,Sierra Leone,0,0,0,0,5,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SIN,Sindh,26,0,12,12,21,NO,21,9,21,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SMB,Sambas,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SOK,Sokoto,0,0,0,0,61,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SPA,Spain,70,0,65,65,132,NO,70,5,70,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SRK,Surakarta,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
STG,Sintang,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SUL,Sulu,2,0,0,0,4,NO,2,2,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SWE,Sweden,30,0,7,7,17,NO,17,10,17,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SWI,Switzerland,2,0,2,2,20,NO,2,0,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
SWZ,Swaziland,3,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TGI,Tungi,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TIB,Tibet,10,0,10,10,30,NO,10,0,10,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
