issue_id,priority,domain,tag,country,formation,issue_type,source_file,root_cause,evidence,safe_fix_direction,historical_research_required,runtime_required,notes
2D0-015,P0,naval,HAN,Hanover,ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/00_military_formations_europe.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=500; sailor_capacity=0; fleets=1,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-016,P1,naval,NET,Netherlands,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=13800; sailor_capacity=13000; shortfall=800,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-017,P1,naval,OMA,Oman,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/04_military_formations_middle_east.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=9000; sailor_capacity=4000; shortfall=5000,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-018,P0,naval,RUS,Russia,ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/00_military_formations_europe.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=50900; sailor_capacity=0; fleets=2,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-019,P1,naval,SAR,Sardinia-Piedmont,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=2500; sailor_capacity=2000; shortfall=500,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-020,P0,naval,SC4,Río de la Plata,ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/02_military_formations_south_america.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=500; sailor_capacity=0; fleets=1,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-021,P1,naval,SIC,Two Sicilies,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=4600; sailor_capacity=3000; shortfall=1600,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-022,P1,naval,SPA,Spain,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=46000; sailor_capacity=24000; shortfall=22000,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-023,P1,naval,SWE,Sweden,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=10500; sailor_capacity=10000; shortfall=500,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-024,P0,naval,USA,America,ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/01_military_formations_north_america.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=9300; sailor_capacity=0; fleets=6,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-025,P1,naval,VEN,Venice,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=6200; sailor_capacity=5000; shortfall=1200,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-026,INFO,conscription,ABB,ABB,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/abb - abu dhabi decentralized.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_11,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-027,INFO,conscription,JBB,JBB,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/jbb - jabal decentralized.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_11,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-028,INFO,conscription,KBB,KBB,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/kbb - kathiri decentralized.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_11,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-029,INFO,conscription,MBB,MBB,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/mbb - Mahra decentralized.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_11,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-030,INFO,conscription,NBB,NBB,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/nbb - nejd decentralized.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_11,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-031,INFO,conscription,SD1,SD1,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/sd1 - sudan decentralized africa.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_5,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-032,INFO,conscription,SKH,Evenki,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/skh - sakhalin.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_10,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-033,INFO,conscription,ULT,Ulta,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/ult - ulta.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_10,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
2D0-034,INFO,conscription,ZWY,Zuwayya,,DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION,common/history/countries/zwy - zuwayya.txt:2,A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.,effect_native_conscription_5,Keep outside centralized quantitative reconstruction; research only in a future decentralized political/military phase.,YES,NO,
