Required_Technology,Building_ID,PM_ID,Conflict_Count,Affected_TAG_Count,Affected_State_Count,Current_Gate,Decision,Replacement_Gate,Starting_Tech_Changes_Required,Building_Definition_Change,PM_Definition_Change,Reason,Risk
organized_financial_institutions,building_construction_sector,,9,7,9,BUILDING:organized_financial_institutions,KEEP_GATE_ADD_TECH,organized_financial_institutions,YES — 7 TAGS: BEO|FRA|GBR|IREK|NET|POR|SPA,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The existing gate was an explicit tree decision; the nine targets describe organized financed construction capacity.,MEDIUM
organized_textile_production,building_textile_mill,,4,4,4,BUILDING:organized_textile_production,KEEP_GATE_ADD_TECH,organized_textile_production,YES — 4 TAGS: CAUC|DUR|TIB|TUN,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The target represents organized textile production while mechanized PMs remain separately gated.,MEDIUM
organized_workshops,building_furniture_manufactory,,9,9,9,BUILDING:organized_workshops,KEEP_GATE_ADD_TECH,organized_workshops,YES — 9 TAGS: FRA|GBR|MOR|NET|PER|POR|SC1|SPA|USA,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The era-1 gate matches the organized household-goods workshops represented by this aggregate building.,MEDIUM
organized_workshops,building_glassworks,,16,11,16,BUILDING:organized_workshops,KEEP_GATE_ADD_TECH,organized_workshops,YES — 11 TAGS: AUS|BEO|BUK|FRA|GBR|MARATH|NET|PER|POR|SPA|TUR,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The default forest-glass/manual-glassblowing PMs fit an organized workshop; industrial glass PMs remain gated.,MEDIUM
organized_workshops,building_tooling_workshop,,25,16,24,BUILDING:organized_workshops,KEEP_GATE_ADD_TECH,organized_workshops,YES — 16 TAGS: BAD|BEO|BUK|CAUC|CHC|FRA|GBR|MOR|MYS|NET|PER|SAX|SPA|TUR|USA|WUR,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The default crude-tools PM is the capability represented by the era-1 organized-workshops gate.,MEDIUM
regulated_small_arms,building_arms_industry,,4,4,4,BUILDING:regulated_small_arms,KEEP_GATE_ADD_TECH,regulated_small_arms,YES — 4 TAGS: CHI|MARATH|MUG|SIA,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The historical arsenals represented by the target imply regulated musket production; later firearm PMs remain gated.,MEDIUM
shaft_mining,building_copper_mine,,3,3,1,BUILDING:shaft_mining,KEEP_GATE_ADD_TECH,shaft_mining,YES — 3 TAGS: KZM|LBA|LND,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] A positive commercial mine target is the direct era-1 capability represented by shaft_mining; advanced extraction PMs remain gated.,MEDIUM
shaft_mining,building_iron_mine,,1,1,1,BUILDING:shaft_mining,KEEP_GATE_ADD_TECH,shaft_mining,YES — 1 TAGS: USA,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] A positive commercial mine target is the direct era-1 capability represented by shaft_mining; advanced extraction PMs remain gated.,MEDIUM
shaft_mining,building_salt_mine,,5,4,5,BUILDING:shaft_mining,KEEP_GATE_ADD_TECH,shaft_mining,YES — 4 TAGS: ADR|AUS|PAN|TRS,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] A positive commercial mine target is the direct era-1 capability represented by shaft_mining; advanced extraction PMs remain gated.,MEDIUM
specialized_technical_academies,building_university,,25,16,25,BUILDING:specialized_technical_academies,CHANGE_BUILDING_GATE,institutionalized_scientific_exchange,RECALCULATE_AGAINST_REPLACEMENT_GATE:institutionalized_scientific_exchange,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] Historic universities predate specialized technical academies. The era-1 scientific-exchange foundation is the closer existence gate.,MEDIUM
standardized_field_artillery,building_artillery_foundry,,3,3,3,BUILDING:standardized_field_artillery,KEEP_GATE_ADD_TECH,standardized_field_artillery,YES — 3 TAGS: MARATH|MUG|SIA,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The historical foundries represented by the target imply standardized field-artillery production.,MEDIUM
state_dockyard_systems,building_shipyard,,66,37,65,BUILDING:state_dockyard_systems,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The default PM is basic shipbuilding. Traditional construction and repair predate organized state dockyard systems.,MEDIUM
systematic_administrative_statistics,building_government_administration,,40,25,39,BUILDING:systematic_administrative_statistics,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] Simple government administration predates systematic statistics; advanced administration PMs retain later gates.,MEDIUM
traditional_food_processing,building_food_industry,,58,34,55,BUILDING:traditional_food_processing,KEEP_GATE_ADD_TECH,traditional_food_processing,YES — 34 TAGS: BAV|BEO|BRZ|BUK|CON|CRI|DUR|GBR|HAM|HDJ|IR1|IREK|JAP|KBB|LAH|MAS|MBB|MOR|NET|OMA|PER|PLC|POR|QUE|RUS|SC1|SC2|SC3|SIC|SPA|TUN|TUR|USA|ZAI,NO,NO,"[A — COUNTRY_SHOULD_HAVE_TECH] This era-1 root describes the traditional processing capability represented by the historical target, not a later mechanized PM.",MEDIUM
traditional_papermaking,building_paper_mill,,32,19,32,BUILDING:traditional_papermaking,KEEP_GATE_ADD_TECH,traditional_papermaking,YES — 19 TAGS: BEO|BUK|CHI|DAI|FRA|GBR|IREK|JAP|KOR|NET|PAP|PLC|POR|RUS|SC1|SPA|SWE|SWI|USA,NO,NO,[A — COUNTRY_SHOULD_HAVE_TECH] The target explicitly represents established paper production and the gate is the matching era-1 traditional capability.,MEDIUM
