Owner_TAG,State_ID,Building_ID,Target_Level,Required_Technology,Country_Currently_Has_Tech,Conflict_Type,Recommended_Action,Reason,Historical_Source
BEO,STATE_FLANDERS,building_port,2,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is based on regional specialization; trade kept below Amsterdam/London scale.,https://researchportal.vub.be/en/publications/the-austrian-netherlands-transit-policy-and-its-influence-on-the-/
BEO,STATE_FLANDERS,building_railway,2,industrial_canals,NO,PM_GATE_REVIEW,CHANGE_PM_GATE_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 for strong pre-rail road/water infrastructure.,https://researchportal.vub.be/en/publications/the-austrian-netherlands-transit-policy-and-its-influence-on-the-/
BEO,STATE_WALLONIA,building_construction_sector,1,organized_financial_institutions,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 captures a major proto-industrial cluster without assigning British-scale coke technology.,https://researchportal.vub.be/en/publications/the-austrian-netherlands-transit-policy-and-its-influence-on-the-/
BEO,STATE_WALLONIA,building_glassworks,2,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 captures a major proto-industrial cluster without assigning British-scale coke technology.,https://connaitrelawallonie.wallonie.be/histoire/timeline/18-janvier-1721-installation-de-la-toute-premiere-pompe-feu-du-continent-jemeppe
BEO,STATE_WALLONIA,building_paper_mill,1,traditional_papermaking,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 captures a major proto-industrial cluster without assigning British-scale coke technology.,https://connaitrelawallonie.wallonie.be/histoire/timeline/18-janvier-1721-installation-de-la-toute-premiere-pompe-feu-du-continent-jemeppe
BEO,STATE_WALLONIA,building_railway,2,industrial_canals,NO,PM_GATE_REVIEW,CHANGE_PM_GATE_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 for strong road/water transport; no rail.,https://researchportal.vub.be/en/publications/the-austrian-netherlands-transit-policy-and-its-influence-on-the-/; https://connaitrelawallonie.wallonie.be/histoire/timeline/18-janvier-1721-installation-de-la-toute-premiere-pompe-feu-du-continent-jemeppe
BEO,STATE_WALLONIA,building_steel_mill,2,coke_smelting,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 captures a major proto-industrial cluster without assigning British-scale coke technology.,https://connaitrelawallonie.wallonie.be/histoire/timeline/18-janvier-1721-installation-de-la-toute-premiere-pompe-feu-du-continent-jemeppe
BEO,STATE_WALLONIA,building_tooling_workshop,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 captures a major proto-industrial cluster without assigning British-scale coke technology.,https://grandcurtius.be/fr/les-collections/armes
BRE,STATE_ELBE,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 rather than 2 because the Weser access problem constrained capacity by 1776.,https://www.bremen.de/tourismus/erlebnisse/spazieren-wandern/bauwerke-erzaehlen-geschichte
BRE,STATE_ELBE,building_shipyard,1,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | One low-confidence level.,https://www.bremen.de/tourismus/erlebnisse/spazieren-wandern/bauwerke-erzaehlen-geschichte
DENNOR,STATE_EASTERN_NORWAY,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:enclosed_dock_systems | Christiania/Drammen export and mining supply traffic support one modest port level.,https://snl.no/Kongsberg_s%C3%B8lvverk
DENNOR,STATE_ICELAND,building_fishing_wharf,1,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:marine_chronometry | Fishing was a central subsistence/export activity; one commercial wharf level is conservative.,https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940
DENNOR,STATE_ICELAND,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,"Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:enclosed_dock_systems | Monopoly-era Iceland had coastal trade points, but this should remain a minimal port seed rather than a trade center.",https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940
DENNOR,STATE_JUTLAND,building_fishing_wharf,1,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:marine_chronometry | North Sea and Kattegat fisheries justify a modest seed.,https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940
DENNOR,STATE_NORTHERN_NORWAY,building_fishing_wharf,2,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:marine_chronometry | Northern fisheries fed the long-established Bergen-centered stockfish trade.,https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940; https://snl.no/norsk_fiskerihistorie
DENNOR,STATE_NORTHERN_NORWAY,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,"Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:enclosed_dock_systems | Coastal trade and fisheries justify a small port seed, not a major entrepôt.",https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940
DENNOR,STATE_WESTERN_NORWAY,building_fishing_wharf,2,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:marine_chronometry | Fish exports were a central basis of Bergen's regional commercial system.,https://snl.no/Bergen_-_historie; https://snl.no/norsk_fiskerihistorie
DENNOR,STATE_WESTERN_NORWAY,building_port,2,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:enclosed_dock_systems | Bergen was the principal Norwegian commercial harbor.,https://snl.no/Bergen_-_historie; https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940
DENNOR,STATE_WESTERN_NORWAY,building_shipyard,1,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:state_dockyard_systems | Norwegian commercial shipping employed growing shipbuilding and repair capacity during the eighteenth century.,https://snl.no/Norsk_skipsfartshistorie_f%C3%B8r_1940
DENNOR,STATE_ZEALAND,building_naval_administration,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:state_dockyard_systems | Copenhagen housed the fleet's central dockyard and naval institutions.,https://www.navalhistory.dk/Danish/Tidslinie/Aarligt/1700.htm
DENNOR,STATE_ZEALAND,building_naval_fortification,1,scientific_fortification_siegecraft,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:scientific_fortification_siegecraft | Copenhagen's naval infrastructure and fortified approaches justify one naval-fortification level.,https://www.navalhistory.dk/Danish/Tidslinie/Aarligt/1700.htm
DENNOR,STATE_ZEALAND,building_port,2,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:enclosed_dock_systems | Copenhagen was the principal port and naval base of Denmark-Norway.,https://www.navalhistory.dk/Danish/Tidslinie/Aarligt/1700.htm
DENNOR,STATE_ZEALAND,building_shipyard,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | CURRENT_TECH_ABSENT:state_dockyard_systems | Holmen/Nyholm sustained permanent warship construction and dockyard activity.,https://www.navalhistory.dk/Danish/Tidslinie/Aarligt/1700.htm
FRA,STATE_ALSACE_LORRAINE,building_glassworks,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_ALSACE_LORRAINE,building_paper_mill,1,traditional_papermaking,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_AQUITAINE,building_port,2,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.persee.fr/doc/anami_0003-4398_1976_num_88_128_1650_t1_0358_0000_3
FRA,STATE_AUVERGNE_LIMOUSIN,building_paper_mill,1,traditional_papermaking,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_BRITTANY,building_fishing_wharf,2,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.nantes.port.fr/fr/nantes-saint-nazaire-port/lhistoire-du-port; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_BRITTANY,building_naval_administration,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.nantes.port.fr/fr/nantes-saint-nazaire-port/lhistoire-du-port; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_BRITTANY,building_naval_fortification,1,scientific_fortification_siegecraft,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.nantes.port.fr/fr/nantes-saint-nazaire-port/lhistoire-du-port; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_BRITTANY,building_port,3,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 3 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.nantes.port.fr/fr/nantes-saint-nazaire-port/lhistoire-du-port; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_BRITTANY,building_shipyard,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.nantes.port.fr/fr/nantes-saint-nazaire-port/lhistoire-du-port; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_CORSICA,building_fishing_wharf,1,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_CORSICA,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_FRANCHE_COMTE,building_glassworks,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_FRENCH_LOW_COUNTRIES,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.persee.fr/doc/bec_0373-6237_1976_num_134_1_450057_t1_0178_0000_000
FRA,STATE_ILE_DE_FRANCE,building_barrack,2,organized_military_establishments,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 reflects capital-scale concentration without assuming British industrial leadership.,https://www.musee-armee.fr/collections/explorer-les-collections/portofolios/le-systeme-gribeauval.html
FRA,STATE_ILE_DE_FRANCE,building_construction_sector,2,organized_financial_institutions,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 reflects capital-scale concentration without assuming British industrial leadership.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_ILE_DE_FRANCE,building_furniture_manufactory,2,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 reflects capital-scale concentration without assuming British industrial leadership.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_ILE_DE_FRANCE,building_glassworks,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 reflects capital-scale concentration without assuming British industrial leadership.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_ILE_DE_FRANCE,building_paper_mill,2,traditional_papermaking,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 reflects capital-scale concentration without assuming British industrial leadership.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_LANGUEDOC,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.canal-du-midi.com/en/history-and-heritage/350-years-history/construction-between-1666-and-1694/
FRA,STATE_LANGUEDOC,building_railway,2,industrial_canals,NO,PM_GATE_REVIEW,CHANGE_PM_GATE_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 represents a major canal/road corridor; no rail.,https://www.canal-du-midi.com/en/history-and-heritage/350-years-history/construction-between-1666-and-1694/
FRA,STATE_LORRAINE,building_glassworks,2,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_LORRAINE,building_tooling_workshop,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_NORMANDY,building_paper_mill,1,traditional_papermaking,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://corderievallois.fr/fr/le-musee
FRA,STATE_NORMANDY,building_port,2,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://corderievallois.fr/fr/le-musee
FRA,STATE_NORMANDY,building_shipyard,1,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://corderievallois.fr/fr/le-musee
FRA,STATE_PICARDY,building_port,1,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire
FRA,STATE_POITOU,building_fishing_wharf,1,marine_chronometry,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_POITOU,building_naval_administration,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_POITOU,building_port,2,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_POITOU,building_shipyard,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_PROVENCE,building_naval_administration,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://unige.iris.cineca.it/handle/11567/1180435; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_PROVENCE,building_naval_fortification,1,scientific_fortification_siegecraft,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://unige.iris.cineca.it/handle/11567/1180435; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_PROVENCE,building_port,3,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 3 is calibrated to regional/national significance rather than isolated artisanal activity.,https://unige.iris.cineca.it/handle/11567/1180435; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_PROVENCE,building_shipyard,2,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 2 is calibrated to regional/national significance rather than isolated artisanal activity.,https://unige.iris.cineca.it/handle/11567/1180435; https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html
FRA,STATE_RHONE,building_tooling_workshop,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is calibrated to regional/national significance rather than isolated artisanal activity.,https://www.lyon.fr/evenement/exposition/quest-ce-que-tu-fabriques; https://archives.saint-etienne.fr/histoires-stephanoises-1/tranches-dhistoire/histoire-de-la-ville-et-de-son-administration/saint-etienne-toute-une-histoire-/le-developpement-de-la-ville-1700-1800
GBR,STATE_BALEARIC_ISLANDS,building_barrack,1,organized_military_establishments,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,"Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | One level represents the permanent strategic garrison, not a local arms industry.",https://www.islahospitalmenorca.org/en/historical-texts/?v=073cc70932ad
