Owner_TAG,State_ID,State_Name,Current_Level,Target_Level,Delta,Trade_Role,Main_Commercial_Function,Confidence,Source_1,Source_2,Notes
FRA,STATE_PICARDY,Picardy,0,1,1,REGIONAL_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,LOW,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_PROVENCE,Provence,5,3,-2,MEDITERRANEAN_ENTREPOT,Organized eighteenth-century production or state activity is attested in this regional economy.,HIGH,https://unige.iris.cineca.it/handle/11567/1180435,https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_RHONE,Rhône,2,2,0,INLAND_LONG_DISTANCE_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,HIGH,https://www.lyon.fr/evenement/exposition/quest-ce-que-tu-fabriques,https://archives.saint-etienne.fr/histoires-stephanoises-1/tranches-dhistoire/histoire-de-la-ville-et-de-son-administration/saint-etienne-toute-une-histoire-/le-developpement-de-la-ville-1700-1800,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRM,STATE_HESSE,Hesse,1,2,1,EXPORT_REGIONAL,Frankfurt’s twice-yearly fairs had centuries of international significance and made the city a major German marketplace.,HIGH,https://www.messefrankfurt.com/frankfurt/en/company/history.html,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
GBR,STATE_HOME_COUNTIES,Home Counties,5,4,-1,GLOBAL_ENTREPOT,"London was the kingdom's dominant customs, finance and long-distance trade hub.",HIGH,https://discovery.nationalarchives.gov.uk/details/r/C5580,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
GBR,STATE_LANCASHIRE,Lancashire,0,3,3,ATLANTIC_TRADE,Liverpool was a major long-distance Atlantic commercial centre.,HIGH,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
GBR,STATE_LOWLANDS,Lowlands,1,2,1,NATIONAL_TRADE_HUB,"Edinburgh/Glasgow and the central Lowlands formed Scotland's main commercial, manufacturing and coal belt.",MEDIUM,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
GBR,STATE_UPPER_ANDALUSIA,Upper Andalusia,0,2,2,MEDITERRANEAN_ENTREPOT,The British enclave represented by this owner/state split corresponds to Gibraltar's fortress and Mediterranean trade role.,HIGH,https://hispania.revistas.csic.es/index.php/hispania/article/view/132,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
GBR,STATE_WEST_COUNTRY,West Country,3,2,-1,ATLANTIC_TRADE,Cornwall/Devon/Bristol/Plymouth combined internationally important mining with Atlantic trade and royal dockyard activity.,MEDIUM,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
GBR,STATE_YORKSHIRE,Yorkshire,0,1,1,INLAND_MARKET,West Yorkshire wool and Sheffield metal/steel production were nationally important eighteenth-century specializations.,MEDIUM,https://18thc-cities.sorbonne-universite.fr/Halifax.html,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
GR3,STATE_SICILY,Sicily,3,2,-1,EXPORT_REGIONAL,Sicily’s export economy required major merchant/redistribution centers at Palermo and Messina.,MEDIUM,https://www.treccani.it/enciclopedia/sicilia_%28Enciclopedia-Italiana%29/,https://iris.unipa.it/handle/10447/48232,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
HAM,STATE_ELBE,Elbe,3,3,0,ENTREPOT_REEXPORT,Foreign trade dominated Hamburg’s economy; merchants connected inland Germany with Atlantic and European markets.,HIGH,https://www.cambridge.org/core/journals/journal-of-global-history/article/free-ports-political-economy-and-early-globalization-evidence-from-1750s-hamburg/E3596B4ADCD382B83B434CF83413573A,https://geschichtsbuch.hamburg.de/epochen/aufklaerung/,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
IREK,STATE_LEINSTER,Leinster,1,2,1,NATIONAL_TRADE_HUB,"Dublin was Ireland's dominant administrative and commercial port city, with organized mercantile and learned institutions.",HIGH,https://wellcomecollection.org/works/nr95wxta,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
IREK,STATE_MUNSTER,Munster,0,2,2,ATLANTIC_EXPORT_TRADE,Cork/Munster combined a major provisions/butter export economy with Atlantic shipping.,HIGH,https://openaccess.wgtn.ac.nz/articles/thesis/Irish_Maritime_Trade_in_the_Eighteenth_Century_a_Study_in_Patterns_of_Trade_Market_Structures_and_Merchant_Communities/16959220,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
IREK,STATE_ULSTER,Ulster,0,1,1,REGIONAL_EXPORT_TRADE,Ulster was a major Irish linen-producing region integrated into British and Atlantic markets.,MEDIUM,https://openaccess.wgtn.ac.nz/articles/thesis/Irish_Maritime_Trade_in_the_Eighteenth_Century_a_Study_in_Patterns_of_Trade_Market_Structures_and_Merchant_Communities/16959220,https://www.rds.ie/about-rds/governance/rds-history,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
LUB,STATE_SCHLESWIG_HOLSTEIN,Schleswig-Holstein,1,1,0,EXPORT_REGIONAL,Lübeck retained a regional Baltic redistribution role.,MEDIUM,https://www.luebeck.de/de/stadtleben/kultur/museen/hansemuseum/hansegeschichte.html,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
NET,STATE_HOLLAND,Holland,6,4,-2,GLOBAL_ENTREPOT,Amsterdam/Leiden/Holland formed one of Europe's most commercialized urban-maritime economies.,HIGH,https://www.amsterdam.nl/stadsarchief/canon/windows/11/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
PAP,STATE_ROMAGNA,Romagna,0,2,2,EXPORT_REGIONAL,"Ancona’s free-port privileges attracted merchant houses, Levantine and western traders and transit cargoes from distant markets.",HIGH,https://www.treccani.it/enciclopedia/clemente-xii_%28Enciclopedia-dei-Papi%29/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
POR,STATE_AZORES,Azores,0,1,1,ATLANTIC_ISLAND_TRADE,Organized eighteenth-century production or commercial activity is attested in this Portuguese regional economy.,MEDIUM,https://eve.fcsh.unl.pt/en/themes-and-facts/azores-economic-lines,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
POR,STATE_CAPE_VERDE,Cape Verde,0,1,1,ATLANTIC_REEXPORT,Organized eighteenth-century production or commercial activity is attested in this Portuguese regional economy.,MEDIUM,https://whc.unesco.org/en/list/1310,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
POR,STATE_ENTRE_DOURO_E_MINHO,Entre Douro and Minho,0,2,2,ATLANTIC_EXPORT_TRADE,Organized eighteenth-century production or commercial activity is attested in this Portuguese regional economy.,HIGH,https://www.ivdp.pt/pt/vinhos/vinhos-do-porto/historia/,https://www.cambridge.org/core/journals/revista-de-historia-economica-journal-of-iberian-and-latin-american-economic-history/article/port-wine-brazil-and-the-world-economy-a-time-series-analysis-from-1756-to-brazilian-independence/6A7874D2E2172707476C4822F56E426B,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
POR,STATE_ESTREMADURA,Estremadura,10,3,-7,ATLANTIC_ENTREPOT,Organized eighteenth-century production or commercial activity is attested in this Portuguese regional economy.,HIGH,https://arquivohistorico.marinha.pt/details?id=6607,https://academia.marinha.pt/pt/edicoes/historiadamarinha/HistoriaMarinhaPortuguesa_1669-1823.pdf,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
POR,STATE_MADEIRA,Madeira,0,1,1,ATLANTIC_WINE_TRADE,Organized eighteenth-century production or commercial activity is attested in this Portuguese regional economy.,HIGH,https://elucidariomadeirense.pt/en/articles/1787,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
PRU,STATE_BRANDENBURG,Brandenburg,2,1,-1,EXPORT_REGIONAL,"Berlin was the central consumption and redistribution market of Prussia, but not an international entrepôt on Hamburg’s scale.",MEDIUM,https://eh.net/book_reviews/from-old-regime-to-industrial-state-a-history-of-german-industrialization-from-the-eighteenth-century-to-world-war-i/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
PRU,STATE_POMERANIA,Pomerania,4,1,-3,EXPORT_REGIONAL,"Stettin handled overseas imports and redistribution into the Prussian hinterland, but merchants still judged Hamburg superior.",HIGH,https://www.cambridge.org/core/books/abs/globalized-peripheries/prussias-new-gate-to-the-world-stettins-overseas-imports-17201770-and-prussias-rise-to-power/456831A5B9FAA2C16D26B86491CCAD14,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
SAR,STATE_PIEDMONT,Piedmont,3,1,-2,EXPORT_REGIONAL,"Turin was the central market and administrative-commercial node of Piedmont, but not an international entrepôt like Livorno or Trieste.",MEDIUM,https://en.unito.it/university/about-us/short-history,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
SAX,STATE_SAXONY,Saxony,1,2,1,EXPORT_REGIONAL,Leipzig’s fairs were a longstanding supra-regional commercial hub connecting central/eastern European trade.,HIGH,https://www.uni-leipzig.de/en/university/profile/history,https://www.messefrankfurt.com/frankfurt/en/company/history.html,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
SIC,STATE_CAMPANIA,Campania,5,2,-3,EXPORT_REGIONAL,"Naples was the kingdom’s dominant urban market and a substantial Mediterranean commercial center, though not a free-port entrepôt on Livorno/Trieste scale.",HIGH,https://www.treccani.it/enciclopedia/scuola-napoletana_%28Il-Contributo-italiano-alla-storia-del-Pensiero%3A-Economia%29/,https://www.marina.difesa.it/noi-siamo-la-marina/pilastro-logistico/Pagine/maricomlog-storia.aspx,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
SPA,STATE_BASQUE_COUNTRY,Basque Country,3,2,-1,ATLANTIC_TRADE,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,MEDIUM,https://cvc.cervantes.es/actcult/museo_naval/patio_central/caracteristicas/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SPA,STATE_CANARY_ISLANDS,Canary Islands,0,1,1,ATLANTIC_TRADE,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,MEDIUM,https://www.canariashistoria.com/en/timeline/consolidacion-del-comercio-de-vino-canario-con-ing-1570,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SPA,STATE_CATALONIA,Catalonia,2,3,1,MEDITERRANEAN_TRADE,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,HIGH,https://www.cambridge.org/core/books/abs/distinctive-industrialization/industry-at-its-height-176886-with-investment-in-it-as-common-as-in-drapers-shops/E90386EF2407FDEF9F5EFB4BFDCE97C2,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SPA,STATE_GALICIA,Galicia,0,1,1,ATLANTIC_TRADE,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,MEDIUM,https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/conocenosorganizacion/prefLang-es/04Apoyofuerza--02jal--05Arsenales--02arsenalferrol,https://cvc.cervantes.es/actcult/museo_naval/patio_central/caracteristicas/,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SPA,STATE_LOWER_ANDALUSIA,Lower Andalusia,2,3,1,ATLANTIC_ENTREPOT,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,HIGH,https://produccioncientifica.uca.es/documentos/5e57ae0f2999527d991a3753,https://cvc.cervantes.es/actcult/museo_naval/patio_central/caracteristicas/,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SPA,STATE_NEW_CASTILE,New Castile,1,2,1,INLAND_NATIONAL_MARKET,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,MEDIUM,https://www.cambridge.org/core/journals/journal-of-economic-history/article/abs/royal-textile-factories-in-spain-17001800/8AF03CCB5C574D7D5AED3ABBDC98513B,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SPA,STATE_VALENCIA,Valencia,1,2,1,MEDITERRANEAN_TRADE,Organized eighteenth-century production/trade is attested in this Spanish regional economy.,HIGH,https://hispania.revistas.csic.es/index.php/hispania/article/view/698,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
SWE,STATE_GOTALAND,Götaland,1,2,1,TRADE_CENTER,Gothenburg had become a major shipping and trading town through iron/wood exports and the Swedish East India Company.,HIGH,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
SWE,STATE_SVEALAND,Svealand,3,2,-1,TRADE_CENTER,Stockholm was a major Baltic capital and redistribution/export market; two levels are conservative for a true long-distance commercial hub.,HIGH,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
SWI,STATE_EAST_SWITZERLAND,East Switzerland,4,2,-2,EXPORT_REGIONAL,"Zurich and related merchant-manufacturer centers organized production, finance and export networks across the Rhine and into western Europe.",HIGH,https://hls-dhs-dss.ch/fr/articles/007381/2017-08-24/,https://hls-dhs-dss.ch/de/articles/013957/2014-10-07/,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
SWI,STATE_WEST_SWITZERLAND,West Switzerland,2,1,-1,EXPORT_REGIONAL,Western Swiss cities participated in long-distance textile/luxury-goods commerce; one level reflects a regional hub rather than a global entrepôt.,MEDIUM,https://hls-dhs-dss.ch/fr/articles/013931/2010-03-31/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
TUS,STATE_TUSCANY,Tuscany,3,3,0,ENTREPOT_REEXPORT,"Livorno’s free-depot system, foreign merchant colonies and re-export trade made it an international entrepôt.",HIGH,https://www.treccani.it/enciclopedia/livorno_%28Enciclopedia-Italiana%29/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
CRI,STATE_CRIMEA,Crimea,0,1,1,TRADE_CENTER,"Crimea possessed genuine long-distance commercial centers and Black Sea markets, with Caffa/Kefe historically a major port market.",HIGH,https://dergipark.org.tr/en/pub/odusobiad/article/290158,https://www.cambridge.org/core/journals/american-political-science-review/article/consequences-of-the-black-sea-slave-trade-longrun-development-in-eastern-europe/E6074298B3135E3B858CF9E64BE45F99,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
PLC,STATE_GREATER_POLAND,Warszawa,5,2,-3,TRADE_CENTER,Warsaw had become the Commonwealth's dominant political and growing commercial center by the reign of Stanisław August.,HIGH,https://www.lazienki-krolewskie.pl/pl/edukacja/baza-wiedzy/ekonomie-krolewskie-za-panowania-stanislawa-augusta,https://www.ldkistorija.lt/the-role-of-riga-konigsberg-and-gdansk-in-the-trade-of-the-grand-duchy-of-lithuania/,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
PRU,STATE_EAST_PRUSSIA,East Prussia,2,1,-1,EXPORT_REGIONAL,Königsberg was a Baltic redistribution and export center for the East Prussian hinterland.,MEDIUM,https://www.britannica.com/place/Kaliningrad-oblast-Russia/History,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
RUS,STATE_ARKHANGELSK,Arkhangelsk,1,1,0,TRADE_CENTER,Arkhangelsk remained an established northern foreign-trade outlet despite St Petersburg's rise.,HIGH,https://journals.sagepub.com/doi/10.1177/08438714231169583,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
RUS,STATE_INGRIA,Ingria,10,3,-7,TRADE_CENTER,St Petersburg had become a principal Russian export outlet and major Baltic commercial hub by the mid-eighteenth century.,HIGH,https://journals.sagepub.com/doi/10.1177/08438714231169583,https://www.tandfonline.com/doi/pdf/10.1080/03585522.1981.10407958,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
RUS,STATE_KAZAN,Kazan,0,1,1,TRADE_CENTER,Kazan was a major Volga regional market and administrative center.,MEDIUM,https://journals.sagepub.com/doi/10.1177/08438714231169583,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
RUS,STATE_MOSCOW,Moscow,3,2,-1,TRADE_CENTER,"Moscow remained a major internal redistribution, craft and mercantile center despite the move of the capital.",HIGH,https://museum.tverlib.ru/yamschickoe-delo-pochtovye-trakty,https://journals.sagepub.com/doi/10.1177/08438714231169583,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
RUS,STATE_NIZHNY_NOVGOROD,Nizhny Novgorod,1,1,0,TRADE_CENTER,The Volga/Oka confluence made Nizhny Novgorod a significant redistribution point even before the later nineteenth-century fair peak.,MEDIUM,https://journals.sagepub.com/doi/10.1177/08438714231169583,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
UBD,STATE_RIGA,South Livonia,4,3,-1,TRADE_CENTER,"Riga was one of the eastern Baltic's great long-distance export entrepôts, especially for flax, hemp, timber and seeds.",HIGH,https://www.tandfonline.com/doi/pdf/10.1080/03585522.1981.10407958,https://www.degruyterbrill.com/document/doi/10.1515/jbwg-2024-0018/html?lang=en,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
UBD,STATE_TALINN,Talinn,0,1,1,TRADE_CENTER,"Reval/Tallinn remained an established Baltic port market, but at distinctly smaller scale than Riga.",MEDIUM,https://journals.sagepub.com/doi/10.1177/08438714231169583,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
BHN,STATE_ABU_DHABI,Trucial Coast,0,1,1,TRADE_CENTER,Bahraini/Gulf merchant networks and pearling trade justify one conservative trade seed in the Bahrain-controlled coastal partition.,MEDIUM,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
BOR,STATE_CHAD,Chad,0,1,1,TRADE_CENTER,Bornu was integrated into long-standing trans-Saharan commerce with Tripoli/Fezzan and regional markets.,HIGH,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
