Owner_TAG,State_ID,Building_ID,Production_Method_Group,Old_PM,Missing_Technologies,Fallback_Base_PM,Reason,Output_Before,Output_After,Output_Delta,Runtime_Market_Link,Shortage_Impact,Wave1_Change,Decision
BEO,STATE_FLANDERS,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,clothes:60,clothes:45,clothes:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BEO,STATE_WALLONIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BIC,STATE_AWADH,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BIC,STATE_BIHAR,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BIC,STATE_CIRCARS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BIC,STATE_EAST_BENGAL,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BIC,STATE_WEST_BENGAL,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_BAHIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_BAHIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_CEARA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_MARANHAO,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_MINAS_GERAIS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_PARANA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_PIAUI,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_RIO_DE_JANEIRO,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_RIO_GRANDE_DO_NORTE,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BRZ,STATE_SANTA_CATARINA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
CHI,STATE_BEIJING,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
CHI,STATE_SICHUAN,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
CUB,STATE_CENTRAL_CUBA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
CUB,STATE_EASTERN_CUBA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
CUB,STATE_WESTERN_CUBA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
DEI,STATE_WEST_JAVA,building_coffee_plantation,pmg_base_building_coffee_plantation,coffee_plantation_wet_process_manual,precision_boring,coffee_plantation_dry_process,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,coffee:25,coffee:20,coffee:-5,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
DENNOR,STATE_EASTERN_NORWAY,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
DENNOR,STATE_ZEALAND,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_ALSACE_LORRAINE,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_AUVERGNE_LIMOUSIN,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_AUVERGNE_LIMOUSIN,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,paper:70,paper:40,paper:-30,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_BRITTANY,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_GUYENNE,building_livestock_ranch,pmg_base_building_livestock_ranch,pm_slaughterhouses,mechanical_tools,pm_open_air_stockyards,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,meat:25,meat:10,meat:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_ILE_DE_FRANCE,building_construction_sector,pmg_base_building_construction_sector,pm_iron_frame_buildings,professional_civil_engineering,pm_wooden_buildings,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_ILE_DE_FRANCE,building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_lathe,mechanical_tools,pm_handcrafted_furniture,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,furniture:65,furniture:45,furniture:-20,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_ILE_DE_FRANCE,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,paper:70,paper:40,paper:-30,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_LORRAINE,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_LORRAINE,building_tooling_workshop,pmg_base_building_tooling_workshop,pm_steel,mechanical_tools,pm_crude_tools,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,tools:80,tools:30,tools:-50,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_NORMANDY,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,clothes:60,clothes:45,clothes:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_ORLEANS,building_livestock_ranch,pmg_base_building_livestock_ranch,pm_slaughterhouses,mechanical_tools,pm_open_air_stockyards,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,meat:25,meat:10,meat:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_PICARDY,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,clothes:60,clothes:45,clothes:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_PICARDY,building_wheat_farm,pmg_secondary_building_wheat_farm,pm_sugar_beets,improved_fertilizer,pm_no_secondary,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,grain:-5|sugar:4,NONE,grain:5|sugar:-4,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_PROVENCE,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,clothes:60,clothes:45,clothes:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
FRA,STATE_RHONE,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,clothes:60,clothes:45,clothes:-15,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GAL,STATE_EAST_GALICIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GAL,STATE_WEST_GALICIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_HIGHLANDS,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_HOME_COUNTIES,building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_lathe,mechanical_tools,pm_handcrafted_furniture,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,furniture:65,furniture:45,furniture:-20,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_HOME_COUNTIES,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_HOME_COUNTIES,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,paper:70,paper:40,paper:-30,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_LANCASHIRE,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_LOWLANDS,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_MIDLANDS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_WALES,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_YORKSHIRE,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GBR,STATE_YORKSHIRE,building_tooling_workshop,pmg_base_building_tooling_workshop,pm_steel,mechanical_tools,pm_crude_tools,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,tools:80,tools:30,tools:-50,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
GR3,STATE_SICILY,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
