Owner_TAG,State_ID,Target_Building_Level,Road_PM,Canal_PM,Rail_PM,Passenger_PM,Required_Technologies,Tech_Distribution_Review,Historical_Rationale
FRA,STATE_LANGUEDOC,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,"Canal du Midi fully operational before 1776, plus connecting roads. | organized canal network attested | The Canal du Midi was an operating engineered navigation axis linking the Atlantic and Mediterranean basins."
FRA,STATE_NORMANDY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road-network level. | none required for this recommendation | Roads connected Rouen/Le Havre to Paris and textile hinterlands.
FRA,STATE_PROVENCE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Road links served Marseille/Toulon and the Rhône/Provençal hinterland.
FRA,STATE_RHONE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road-network level. | none required for this recommendation | Road and river-market connections integrated Lyon and Saint-Étienne with national markets.
FRM,STATE_HESSE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Frankfurt’s role as a fair and transit city implies maintained regional roads, but not a sovereign engineered network comparable to larger states. | No industrial canal network assigned."
GBR,STATE_EAST_ANGLIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road-network level | none required for this recommendation | Dense market roads linked agricultural districts to London and east-coast ports.
GBR,STATE_HOME_COUNTIES,3,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Dense turnpike/market-road capacity centred on London. | none required for this recommendation | The London approaches were the core of a dense turnpike-road system.
GBR,STATE_LANCASHIRE,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,"Roads connected Manchester/Liverpool markets | organized canal network attested | Turnpike roads plus the Sankey/Bridgewater canal systems linked coal, Manchester and Liverpool."
GBR,STATE_LOWLANDS,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One regional road level | none required for this recommendation | Central Lowlands roads supported the country's main urban-commercial corridor.
GBR,STATE_MIDLANDS,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,Market roads plus navigable waterways/canals serving the Birmingham industrial district. | organized canal network attested | Improved roads and navigations served the expanding Midlands workshop economy.
GBR,STATE_WALES,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road-network level | none required for this recommendation | Road and river/coastal links served mining districts.
GBR,STATE_WEST_COUNTRY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road-network level. | none required for this recommendation | Turnpike and market roads linked mining, Bristol and dockyard centres."
GBR,STATE_YORKSHIRE,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,Roads and navigable waterways linked the textile and metalworking districts. | organized canal network attested | Turnpikes and navigations linked Halifax/Leeds/Sheffield districts to national markets.
HAM,STATE_ELBE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"As a commercial city Hamburg had dense local/connecting transport infrastructure, but not a state-scale engineered road network comparable to Hanover. | No industrial canal network assigned"
HAN,STATE_BRUNSWICK,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Braunschweig followed the Hanoverian engineered-road movement around 1770 to improve commerce. | No industrial canal network assigned.
HAN,STATE_HANNOVER,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Hanover created a road-building authority in 1764 and built engineered chaussées from Hannover to Hameln, Kassel and Nienburg before 1776. | No industrial canal network assigned."
IREK,STATE_LEINSTER,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Grand Canal work had begun but does not justify an operating canal network at the strict cutoff. | none required for this recommendation | Improved roads linked Dublin with its hinterland; the Grand Canal was still incomplete at the cutoff.
IREK,STATE_MUNSTER,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Market roads connected Cork with its provisioning hinterland.
IREK,STATE_ULSTER,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Roads connected the linen districts and Belfast-area commerce.
MEC,STATE_MECKLENBURG,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Basic state-maintained roads and post routes justify only the minimum structured road level. | No industrial canal network assigned.
NET,STATE_FRIESLAND,1,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,Waterways and market roads were integral to regional transport. | organized canal network attested | Road and water connections served Friesland's market towns and maritime economy.
NET,STATE_GELRE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One regional transport level. | none required for this recommendation | Roads and inland waterways linked Gelre to the Dutch commercial core.
NET,STATE_HOLLAND,3,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,"Dense canal/towpath and road network tied Amsterdam, Leiden, Haarlem, Rotterdam and their hinterlands. | organized canal network attested | Holland possessed an exceptionally dense canal, towpath, road and urban-waterway network."
OLD,STATE_HANNOVER,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Basic state-maintained roads and post routes justify only the minimum structured road level. | No industrial canal network assigned.
PAP,STATE_LAZIO,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Rome-centered roads supported administration and pilgrimage, but evidence for a broad engineered network at high level is insufficient. | No industrial canal network assigned."
PAP,STATE_ROMAGNA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"The Via Clementina was cut across the Apennines specifically to connect Ancona’s free port to the interior. | Bologna had urban canals powering silk mills, but this does not justify a separate state-scale industrial canal PM."
POR,STATE_BEIRA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Royal/market roads linked Coimbra and Beira with the coastal and Lisbon/Porto axes.
POR,STATE_ENTRE_DOURO_E_MINHO,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One regional transport level | none required for this recommendation | Road/river transport linked the Douro wine region to Porto's export economy.
POR,STATE_ESTREMADURA,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 2 for capital transport capacity | none required for this recommendation | Lisbon's capital/port economy was served by royal roads and Tagus-oriented transport.
PRU,STATE_BRANDENBURG,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,NO,"The core territory had a structured state transport policy connecting Berlin with river and canal routes. | CANAL level justified: eighteenth-century Prussian projects connected Oder, Havel and Spree systems, including mid-century canal reconstruction."
PRU,STATE_POMERANIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,State water-engineering and transport projects sought to connect Stettin to Berlin and improve commercial movement. | Canal capacity is represented mainly in Brandenburg
SAR,STATE_PIEDMONT,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Piedmont possessed a documented network of state roads and Alpine connections | No industrial canal network assigned. | Piedmont possessed a documented network of state roads and Alpine connections; level kept conservative.
SAR,STATE_SAVOY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Major Alpine roads such as the Mont-Cenis/Chambéry routes are documented in 1770. | No industrial canal network possible/justified.
SAX,STATE_SAXONY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"A dense commercial region had substantial roads, but the strongest documented German state chaussée programs are clearer in Hanover at this date. | No industrial canal network assigned."
SIC,STATE_CAMPANIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Royal roads linked Naples with the kingdom, but evidence for a high engineered network by the cutoff is weaker than for later Bourbon reforms. | No industrial canal network assigned."
SPA,STATE_BASQUE_COUNTRY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road-network level. | none required for this recommendation | Roads and coastal shipping connected iron/arms districts with Bilbao and Atlantic markets.
SPA,STATE_CATALONIA,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 2 for regional road/transport capacity | none required for this recommendation | Road/coastal links served Barcelona's exceptionally dense manufacturing district.
SPA,STATE_GALICIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Roads linked Ferrol and Galicia's coastal economy to the interior.
SPA,STATE_LOWER_ANDALUSIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road-network level | none required for this recommendation | Road and river/coastal connections served Cádiz, Seville and La Carraca."
SPA,STATE_NEW_CASTILE,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 2 road network | none required for this recommendation | Royal roads radiating from Madrid underpinned the capital's administrative and market role.
SPA,STATE_OLD_CASTILE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Royal and market roads connected Segovia/Valladolid and central Castilian production.
SPA,STATE_VALENCIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level | none required for this recommendation | Roads linked Valencia's silk/agricultural hinterland with its Mediterranean port.
SWE,STATE_GOTALAND,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional regional road network. | No industrial canal seed; major Swedish canal completions are later. | Road and coastal transport connected Gothenburg, southern manufacturing and naval sites."
SWE,STATE_SCANIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network. | No canal seed. | A settled southern road network is justified, without implying later engineered roads."
SWE,STATE_SVEALAND,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 2 road network for Stockholm–Bergslagen administrative/export arteries; no claim of modern paved roads. | No active industrial-canal PM recommended at 1776-01-01. | Dense capital–Bergslagen roads and winter/river transport justify a stronger regional road network, but not rail."
SWI,STATE_EAST_SWITZERLAND,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Dense interurban commerce required maintained roads, but no unified state road network existed across the confederation. | No industrial canal network assigned."
TUS,STATE_TUSCANY,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"From the 1760s the Lorraine government launched a major program of modern carriage-road construction across Tuscany. | Hydraulic works were extensive, but no separate industrial canal network is recommended at state scale."
WUR,STATE_WURTTEMBERG,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Regional trade routes existed, but evidence for a broad engineered road network by 1776 is insufficient for more than one level. | No industrial canal network assigned."
CRI,STATE_CRIMEA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road/caravan network. | No canal PM. | Caravan and overland routes linked Crimean market towns; keep road infrastructure minimal.
PLC,STATE_BREST,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network. | Dnieper–Bug works began in 1775, but no active industrial-canal PM recommended on 1776-01-01. | Grodno/Brest lay on important interregional routes; canal works begun in 1775 are too incomplete for an active canal PM at the reference date."
PLC,STATE_GREATER_POLAND,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 2 traditional road network centered on Warsaw. | No canal PM in this state. | Warsaw's role as capital and market supports a stronger road seed, but not a modern engineered network."
PLC,STATE_KIEV,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network. | River navigation important, but no artificial canal seed in this state. | Dnieper routes and overland connections justify a modest regional network."
PLC,STATE_LESSER_POLAND,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network. | No canal PM. | A basic regional road seed is justified for settled market provinces, without implying later engineered roads."
PLC,STATE_MAZOVIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network. | No canal PM. | A basic regional road seed is justified for settled market provinces, without implying later engineered roads."
PLC,STATE_POSEN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network. | No canal PM. | A basic regional road seed is justified for settled market provinces, without implying later engineered roads."
PLC,STATE_VILNIUS,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No canal PM. | A principal administrative city and trade-route node justifies a basic regional road network.
PRU,STATE_LOWER_SILESIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Commercial roads connected textile districts to export routes, but high engineered-road capacity is not proven at the cutoff. | No industrial canal level assigned within these owner-state rows."
PRU,STATE_UPPER_SILESIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Commercial roads connected textile districts to export routes, but high engineered-road capacity is not proven at the cutoff. | No industrial canal level assigned within these owner-state rows."
RUS,STATE_INGRIA,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,Level 2 road network for imperial/post routes centered on St Petersburg. | Level 2 canal justification: the Ladoga bypass canal opened in 1731 and functioned as part of the Volga–Baltic supply route. | The capital was tied to Moscow and the interior by maintained state/post roads and the Volga–Baltic waterway.
RUS,STATE_KAZAN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No canal PM. | Volga communications plus overland routes justify a modest regional network.
RUS,STATE_MOSCOW,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 2 traditional/post road network. | No canal PM in the Moscow state abstraction. | Moscow anchored imperial roads toward St Petersburg and major provincial centers.
RUS,STATE_NIZHNY_NOVGOROD,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No industrial canal PM. | Major river junction and inland routes justify one regional network level.
RUS,STATE_NOVGOROD,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 regional road network. | Canal/waterway role is material but the principal artificial works sit farther west; keep canal PM off here to avoid double counting. | Novgorod lay on the Msta–Volkhov water/road corridor feeding St Petersburg.
RUS,STATE_ORYOL,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network supporting state arms logistics. | No canal seed. | Tula was integrated into central state/military supply roads.
RUS,STATE_TVER,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,"Level 2 road network on the imperial capital route. | Level 1 canal justification for the Vyshny Volochyok water system, modernized before 1776. | The Moscow–St Petersburg state road and Vyshny Volochyok connection justify one of the empire's strongest inland transport seeds."
RUS,STATE_YAROSLAVL,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No canal PM. | Volga and overland commercial connections justify a basic regional road level.
SWE,STATE_UUSIMAA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 road network serving Helsinki/Sveaborg supply. | No industrial canal seed. | Fortress supply and Helsinki regional roads justify a basic road-network level.
UBD,STATE_RIGA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Level 1 traditional road network to Baltic hinterland. | No industrial canal PM. | Riga's inland trade arteries justify a basic road network, while the Daugava itself is river navigation rather than an artificial canal."
UBD,STATE_TALINN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No canal PM. | A modest regional road network is justified around the provincial capital.
UBD,STATE_TARTU,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No canal PM. | A basic inland road connection to the Baltic market is plausible.
ARB,STATE_KHUZESTAN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road level linking Khuzestan to Mesopotamia and interior Persia. | No transport-canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
BOR,STATE_CHAD,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One caravan-road level. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
BUK,STATE_TAJIKISTAN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One oasis/caravan road level. | No transport-canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
BUK,STATE_UZBEKIA,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Two road-network levels. | No engineered transport-canal level recommended; irrigation canals are not automatically transport canals. | Bukhara lay at the center of irrigated oasis and caravan networks.
CAUC,STATE_GREATER_CAUCASUS,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One Caucasian road/trade level. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
CON,STATE_CONSTANTINE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road-network level. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
DFR,STATE_DARFUR,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One caravan-road level. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
DUR,STATE_BALKH,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One caravan-road level. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
DUR,STATE_BALUCHISTAN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One caravan/pass road level. | No canal level recommended. | Bolan and related routes linked Kandahar to the Indus.
DUR,STATE_HERAT,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One caravan-road level. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
DUR,STATE_KABUL,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Two road-network levels for major pass/caravan connectivity. | No canal level recommended. | Kabul was a major node on India–Central Asia/Persia routes.
DUR,STATE_KANDAHAR,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Two road-network levels. | No canal level recommended. | Kandahar sat on the principal India–Iran caravan axis.
DUR,STATE_PASHTUNISTAN,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One pass/caravan road level. | No canal level recommended. | Khyber/Gomal and related corridors formed durable commercial and migration routes.
DUR,STATE_QUETTA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One pass-road level. | No canal level recommended. | The Bolan corridor justifies one road/pass level.
HDJ,STATE_HEDJAZ,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One pilgrimage/commercial road level. | No canal level recommended. | The Jeddah–Mecca/Hajj route justifies one road-network level.
IR1,STATE_BAGHDAD,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Two road levels for the Baghdad caravan nexus. | No engineered transport-canal level recommended in this first pass. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
IR1,STATE_BASRA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road level linking Basra to Baghdad and Persia. | No separate engineered canal recommendation; river transport is not automatically equivalent to this PM. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
IR1,STATE_MOSUL,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road level on the Aleppo–Persia corridor. | No canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
KHI,STATE_TURKMENIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One oasis/caravan-road level. | No transport-canal level; irrigation canals are not counted as industrial navigation canals. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted."
