Research_Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Current_Level,Target_Level,Delta,Decision,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Tech_Distribution_Review,Map_Rework_Risk,Serenissima_Protected,Historical_Evidence,Level_Rationale,Source_1,Source_2,Notes,Base_Historical_Target_Level,Overlay_Type,Overlay_Reason
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADR,Adrar,STATE_INNER_MAURITANIA,Inner Mauritania,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/fortunes-commerciales-a-shingiti-adrar-mauritanien-au-dixneuvieme-siecle/11CB84108760623CA588046FACE1B916,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADR,Adrar,STATE_INNER_MAURITANIA,Inner Mauritania,building_salt_mine,Salt Mines,0,1,1,ADD,MEDIUM,RESOURCE_EXTRACTION,DOMESTIC_REGIONAL,NONE,RESOURCE_EXTRACTION,YES,NONE,NO,Saharan salt extraction was a major component of trans-Saharan commerce; one level only in the strongest salt-linked partitions.,Saharan salt extraction was a major component of trans-Saharan commerce; one level only in the strongest salt-linked partitions.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/fortunes-commerciales-a-shingiti-adrar-mauritanien-au-dixneuvieme-siecle/11CB84108760623CA588046FACE1B916,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADR,Adrar,STATE_MAURITANIA,Mauritania,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/fortunes-commerciales-a-shingiti-adrar-mauritanien-au-dixneuvieme-siecle/11CB84108760623CA588046FACE1B916,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADR,Adrar,STATE_TIMBUKTU,Timbuktu,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,MEDIUM,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AHG,Kel Ahaggar,STATE_EAST_SAHARA,East Sahara,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIR,Kel Air,STATE_NIGER,Niger,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIR,Kel Air,STATE_NIGER,Niger,building_millet_farm,Millet Farms,0,1,1,ADD,MEDIUM,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,NONE,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Oasis/Sahel agriculture supports a small millet level where settled cultivation exists.,Oasis/Sahel agriculture supports a small millet level where settled cultivation exists.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_government_administration,Government Administration,1,1,0,KEEP,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/03_north_africa.txt:common/history/buildings/03_north_africa.txt:690 | CURRENT_PM=pm_hereditary_bureaucrats|pm_religious_bureaucrats|pm_simple_organization,0,ADMINISTRATION_CALIBRATION,Static bureaucracy/tax-capacity calibration replaces unsafe research-only level.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_livestock_ranch,Livestock Ranches,2,1,-1,DECREASE,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv | CURRENT_SOURCE=common/history/buildings/03_north_africa.txt:common/history/buildings/03_north_africa.txt:714 | CURRENT_PM=pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_logging_camp,Logging Camps,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/03_north_africa.txt:common/history/buildings/03_north_africa.txt:727 | CURRENT_PM=pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,0,LOGGING_CALIBRATION,Wood supply calibration replaces unsafe research-only level.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_textile_mill,Textile Manufacture,0,1,1,ADD,LOW,MANUFACTURING,DOMESTIC_REGIONAL,NONE,MANUFACTURING,NO,NONE,NO,Urban or putting-out textile manufacture is documented at a scale above household-only production; this is pre-mechanized manufacture.,Urban or putting-out textile manufacture is documented at a scale above household-only production; this is pre-mechanized manufacture.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_wheat_farm,Wheat Farms,1,1,0,KEEP,MEDIUM,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv | CURRENT_SOURCE=common/history/buildings/03_north_africa.txt:common/history/buildings/03_north_africa.txt:701 | CURRENT_PM=pm_no_secondary|pm_simple_farming|pm_tools_disabled,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AJJ,Kel Ajjer,STATE_EAST_SAHARA,East Sahara,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AJJ,Kel Ajjer,STATE_LIBYAN_DESERT,Fezzan,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,AJJ,Kel Ajjer,STATE_NIGER,Niger,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R8_NORTH_AMERICA_CARIBBEAN,ALK,Alaska,STATE_ALASKA,Alaska,building_logging_camp,Logging Camps,2,0,-2,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/05_north_america.txt:common/history/buildings/05_north_america.txt:454 | CURRENT_PM=pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,0,LOGGING_CALIBRATION,Wood supply calibration replaces unsafe research-only level.
R8_NORTH_AMERICA_CARIBBEAN,ALK,Alaska,STATE_ALASKA,Alaska,building_port,Port,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/05_north_america.txt:common/history/buildings/05_north_america.txt:430 | CURRENT_PM=pm_anchorage,0,NONE,Frozen historical target unchanged.
R8_NORTH_AMERICA_CARIBBEAN,ALK,Alaska,STATE_ALASKA,Alaska,building_whaling_station,Whaling Stations,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/05_north_america.txt:common/history/buildings/05_north_america.txt:442 | CURRENT_PM=pm_unrefrigerated|pm_wooden_whaling_ships,0,NONE,Frozen historical target unchanged.
R1_WESTERN_EUROPE,ANH,Anhalt,STATE_ANHALT,Anhalt,building_railway,Regional Infrastructure,0,1,1,ADD,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,NO,NONE,NO,Basic state-maintained roads and post routes justify only the minimum structured road level.,"Level 1 represents structured terrestrial transport capacity, not rail.",https://eh.net/book_reviews/from-old-regime-to-industrial-state-a-history-of-german-industrialization-from-the-eighteenth-century-to-world-war-i/,,ROAD_LEVEL_JUSTIFICATION=Basic state-maintained roads and post routes justify only the minimum structured road level.; CANAL_LEVEL_JUSTIFICATION=No industrial canal network assigned.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,1,NONE,Frozen historical target unchanged.
R1_WESTERN_EUROPE,ANH,Anhalt,STATE_ANHALT,Anhalt,building_rye_farm,Rye Farms,2,0,-2,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/00_west_europe.txt:common/history/buildings/00_west_europe.txt:5867 | CURRENT_PM=pm_potatoes|pm_simple_farming|pm_tools_disabled,0,NONE,Frozen historical target unchanged.
R1_WESTERN_EUROPE,ANH,Anhalt,STATE_ANHALT,Anhalt,building_textile_mill,Textile Manufacture,0,1,1,ADD,LOW,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,PUTTING_OUT_NETWORK,NO,NONE,NO,The state fragment lies within a broader German textile proto-industrial zone; only a minimal level is recommended.,"Low-confidence one level, explicitly not inherited from Prussian/Saxon scale.",https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,1,NONE,Frozen historical target unchanged.
R7_SUBSAHARAN_AFRICA,ANK,Ankole,STATE_UGANDA,Uganda,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,MEDIUM,CATTLE_ECONOMY,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,YES,NONE,NO,The interlacustrine plateau economy included strong cattle-keeping traditions.,Level 1 is conservative because evidence is regional rather than a quantified Ankole estimate.,https://www.cambridge.org/core/books/history-of-subsaharan-africa/lake-plateau-of-east-africa/A9A1CF8CB10D8BC6CDB639D25C620935,,PROVENANCE_FILE=BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_cotton_plantation,Cotton Plantations,0,1,1,ADD,MEDIUM,PLANTATION,DOMESTIC_REGIONAL,EXPORT_REGIONAL,PLANTATION,NO,NONE,NO,Cotton production in Khuzestan is historically longstanding and tied to textile markets.,Cotton production in Khuzestan is historically longstanding and tied to textile markets.,https://www.iranicaonline.org/articles/commerce-vi/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_fishing_wharf,Fishing Wharves,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/08_middle_east.txt:common/history/buildings/08_middle_east.txt:755 | CURRENT_PM=pm_simple_fishing|pm_unrefrigerated,0,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,MEDIUM,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.iranicaonline.org/articles/commerce-vi/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_opium_plantation,Opium Plantations,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/08_middle_east.txt:common/history/buildings/08_middle_east.txt:781 | CURRENT_PM=default_building_opium_plantation|pm_road_carts,0,NONE,Frozen historical target unchanged.
