TAG,Technology,Original_Reason_Count,Protected_Military_Reasons_Removed,Remaining_Reasons,Final_Candidate,Notes
FRA,traditional_papermaking,4,0,4,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
GBR,industrial_canals,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
GBR,organized_financial_institutions,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
GBR,organized_workshops,6,0,6,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
GBR,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
GBR,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
HAM,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
HDJ,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
IR1,traditional_food_processing,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
IREK,organized_financial_institutions,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
IREK,traditional_food_processing,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
IREK,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
JAP,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
JAP,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
KBB,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
KOR,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
KZM,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
LAH,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
LBA,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
LND,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MARATH,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MARATH,regulated_small_arms,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MARATH,standardized_field_artillery,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MAS,traditional_food_processing,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MBB,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MOR,organized_workshops,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MOR,traditional_food_processing,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MUG,regulated_small_arms,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MUG,standardized_field_artillery,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
MYS,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
NET,industrial_canals,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
NET,organized_financial_institutions,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
NET,organized_workshops,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
NET,traditional_food_processing,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
NET,traditional_papermaking,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
OMA,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
PAN,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
PAP,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
PER,organized_workshops,5,0,5,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
PER,traditional_food_processing,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
PLC,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
PLC,traditional_papermaking,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
POR,organized_financial_institutions,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
POR,organized_workshops,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
POR,traditional_food_processing,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
POR,traditional_papermaking,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
QUE,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
RUS,industrial_canals,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
RUS,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
RUS,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SAX,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SC1,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SC1,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SC1,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SC2,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SC3,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SIA,regulated_small_arms,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SIA,standardized_field_artillery,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SIC,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SPA,organized_financial_institutions,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SPA,organized_workshops,5,0,5,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SPA,traditional_food_processing,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SPA,traditional_papermaking,4,0,4,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SWE,traditional_papermaking,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
SWI,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
TIB,organized_textile_production,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
TRS,shaft_mining,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
TUN,organized_textile_production,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
TUN,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
TUR,organized_workshops,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
TUR,traditional_food_processing,7,0,7,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
USA,organized_workshops,3,0,3,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
USA,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
USA,traditional_food_processing,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
USA,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
WUR,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
ZAI,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
