Research_Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Target_Level,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Historical_Evidence,Level_Rationale,Tech_Distribution_Review,Map_Rework_Risk,Multi_Researched,Conflict_Resolution,Source_1,Source_2,Notes
R1_WESTERN_EUROPE,AUS,Austria,STATE_BOHEMIA,Bohemia,building_logging_camp,Logging Camps,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,COMMERCIAL_EXTRACTION,Bohemian glass districts depended on substantial organized forest inputs of fuelwood and potash.,One level reflects commercial wood extraction supporting glass production.,NO,NONE,NO,,https://english.radio.cz/crystal-valley-week-turns-liberec-a-showcase-bohemian-glass-8895414,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_BOHEMIA,Bohemia,building_railway,Regional Infrastructure,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,"A substantial territorial road network existed, but evidence for highly engineered state roads before the cutoff is mixed.","Level 1 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.habsburger.net/en/chapter/through-monarchy-mail-coach-improvements-road-network,,"ROAD_LEVEL_JUSTIFICATION=A substantial territorial road network existed, but evidence for highly engineered state roads before the cutoff is mixed.; CANAL_LEVEL_JUSTIFICATION=No regional industrial canal level recommended.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv"
R1_WESTERN_EUROPE,AUS,Austria,STATE_BOHEMIA,Bohemia,building_textile_mill,Textile Manufacture,2,HIGH,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,PROTO_INDUSTRIAL_DISTRICT,Eighteenth-century Bohemia contained major woollen proto-factories/manufactories such as Waldstein’s Oberleutensdorf works.,Regional concentration merits level 2 rather than a single workshop.,NO,NONE,NO,,https://www.oeaw.ac.at/en/ihb/research-units/history-of-the-habsburg-monarchy/research/imet,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_BOHEMIA,Bohemia,building_university,University,1,HIGH,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,OTHER,Prague’s long-established university was an institutional center of higher learning.,One level for a major historic university.,NO,NONE,NO,,https://cuni.cz/UKEN-106.html,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_CROATIA,Croatia,building_livestock_ranch,Livestock Ranches,1,LOW,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,Livestock husbandry was an important market activity in the Habsburg borderlands.,Conservative one-level commercial husbandry representation.,NO,NONE,NO,,https://www.habsburger.net/en/chapter/life-military-frontier,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_CROATIA,Croatia,building_logging_camp,Logging Camps,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,The Habsburg south-central lands contained substantial commercial timber resources feeding regional and Adriatic markets.,One conservative level; state-level distribution is less certain.,NO,NONE,NO,,https://www.cambridge.org/core/books/abs/economic-history-of-eastern-europe-19191975/forestry-and-the-timber-trade/4F1958B9621DB86A8911659F2F346671,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,building_railway,Regional Infrastructure,2,HIGH,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,Dense road connections centered on Milan and an economically integrated plain justify above-minimum road capacity.,"Level 2 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.naviglilombardi.it/storia/,https://air.unimi.it/handle/2434/809756,ROAD_LEVEL_JUSTIFICATION=Dense road connections centered on Milan and an economically integrated plain justify above-minimum road capacity.; CANAL_LEVEL_JUSTIFICATION=CANAL level justified: Lombardy’s Navigli formed a long-established navigable canal system serving Milan.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,building_rice_farm,Rice Farms,2,MEDIUM,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,Irrigated rice cultivation was a long-established commercial specialization of the Lombard plain.,Level 2 for a specialized market-oriented crop region.,NO,NONE,NO,,https://www.treccani.it/enciclopedia/riso_%28Enciclopedia-Italiana%29/,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,building_silk_plantation,Silk Plantations,2,HIGH,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,The State of Milan’s late-eighteenth-century trade accounts document extensive silk raw-material and semi-finished output.,Level 2 represents substantial commercial sericulture.,NO,NONE,NO,,https://air.unimi.it/handle/2434/809756,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,building_textile_mill,Textile Manufacture,3,HIGH,EXPORT_INTERCONTINENTAL,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,PUTTING_OUT_NETWORK,Silk was a central Milanese/Lombard manufacturing sector with merchant-led dispersed production and export.,Level 3 reflects major regional specialization and export significance.,NO,NONE,NO,,https://air.unimi.it/handle/2434/809756,https://air.unimi.it/handle/2434/158489,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,building_trade_center,Trade Center,2,HIGH,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,OTHER,Milan was a major regional commercial and financial center tied to the silk economy.,Conservative trade-center seed: level 2 only because the state contains a documented redistribution/long-distance hub.,NO,NONE,NO,,https://air.unimi.it/handle/2434/158489,https://air.unimi.it/handle/2434/809756,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,building_vineyard,Vineyards,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,Viticulture was a widespread commercial component of Lombard agriculture.,One level only; not treated as the state’s dominant export sector.,NO,NONE,NO,,https://www.treccani.it/enciclopedia/lombardia_%28Enciclopedia-Italiana%29/,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_MORAVIA,Moravia,building_railway,Regional Infrastructure,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,"Commercial links to Vienna and Brno justify basic structured road capacity, but not a high road level.","Level 1 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.habsburger.net/en/chapter/through-monarchy-mail-coach-improvements-road-network,,"ROAD_LEVEL_JUSTIFICATION=Commercial links to Vienna and Brno justify basic structured road capacity, but not a high road level.; CANAL_LEVEL_JUSTIFICATION=No industrial canal network established for this state by the cutoff.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv"
R1_WESTERN_EUROPE,AUS,Austria,STATE_MORAVIA,Moravia,building_textile_mill,Textile Manufacture,2,HIGH,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,URBAN_MANUFACTORY_CLUSTER,"Brno’s first textile factory opened in 1767 and produced up to 2,000 pieces of fine cloth annually; wider textile growth began in the mid-eighteenth century.",Level 2 captures a substantial emerging regional textile center.,NO,NONE,NO,,https://www.brnotrails.cz/en/object/14-brno-moravian-manchester,https://www.muni.cz/en/research/publications/1861856,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLAVONIA,Slavonia,building_livestock_ranch,Livestock Ranches,1,LOW,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,Livestock husbandry was an important market activity in the Habsburg borderlands.,Conservative one-level commercial husbandry representation.,NO,NONE,NO,,https://www.habsburger.net/en/chapter/life-military-frontier,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLAVONIA,Slavonia,building_logging_camp,Logging Camps,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,The Habsburg south-central lands contained substantial commercial timber resources feeding regional and Adriatic markets.,One conservative level; state-level distribution is less certain.,NO,NONE,NO,,https://www.cambridge.org/core/books/abs/economic-history-of-eastern-europe-19191975/forestry-and-the-timber-trade/4F1958B9621DB86A8911659F2F346671,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLOVENIA,Slovenia,building_naval_administration,Naval Administration,1,MEDIUM,MILITARY_STATE_DEMAND,MILITARY_STATE_DEMAND,NONE,OTHER,Habsburg maritime policy and port administration created a permanent state maritime apparatus at Trieste.,Conservative one-level naval administration seed.,YES,NONE,NO,,https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLOVENIA,Slovenia,building_port,Port,3,HIGH,ENTREPOT_REEXPORT,DOMESTIC_NATIONAL,ENTREPOT_REEXPORT,OTHER,Trieste had been a free port since 1719 and had developed rapidly as the Habsburg maritime gateway.,"Level 3 for a major international commercial port, below only exceptional world-port scale.",YES,NONE,NO,,https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/,https://www.persee.fr/doc/mefr_1123-9891_2007_num_119_2_10384,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLOVENIA,Slovenia,building_railway,Regional Infrastructure,2,HIGH,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,Habsburg policy explicitly oriented road connections toward Trieste to integrate the imperial hinterland with the port.,"Level 2 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.habsburger.net/en/chapter/through-monarchy-mail-coach-improvements-road-network,https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/,ROAD_LEVEL_JUSTIFICATION=Habsburg policy explicitly oriented road connections toward Trieste to integrate the imperial hinterland with the port.; CANAL_LEVEL_JUSTIFICATION=No separate regional industrial canal network justified; Trieste’s urban canal is port infrastructure rather than a state-wide canal system.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLOVENIA,Slovenia,building_shipyard,Shipyards,1,MEDIUM,EXPORT_REGIONAL,DOMESTIC_NATIONAL,EXPORT_REGIONAL,SHIPYARD_CLUSTER,Trieste’s maritime expansion generated organized ship-repair/building and port-support activity.,One level captures an identifiable maritime industrial cluster without equating it to Venice.,YES,NONE,NO,,https://www.persee.fr/doc/mefr_1123-9891_2007_num_119_2_10384,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_SLOVENIA,Slovenia,building_trade_center,Trade Center,3,HIGH,ENTREPOT_REEXPORT,DOMESTIC_REGIONAL,ENTREPOT_REEXPORT,OTHER,"Trieste’s free-port regime, merchant immigration, exchange institutions and long-distance trade make it a clear international entrepôt.",Conservative trade-center seed: level 3 only because the state contains a documented redistribution/long-distance hub.,NO,NONE,NO,,https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/,https://www.persee.fr/doc/mefr_1123-9891_2007_num_119_2_10384,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_STYRIA,Styria,building_iron_mine,Iron Mines,2,MEDIUM,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,Styria’s Erzberg iron district was a long-standing large commercial mining and metallurgical zone.,Level 2 represents a regionally important iron-extraction complex.,NO,NONE,NO,,https://www.erzberg.at/en/erzberg/history,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_STYRIA,Styria,building_logging_camp,Logging Camps,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,COMMERCIAL_EXTRACTION,Ironmaking and Alpine mining required organized charcoal/wood supply from surrounding forests.,One aggregate level for commercial forestry supporting mining.,NO,NONE,NO,,https://www.erzberg.at/en/erzberg/history,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_STYRIA,Styria,building_railway,Regional Infrastructure,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,Alpine trade and state routes existed but evidence does not support a high engineered-road level.,"Level 1 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.habsburger.net/en/chapter/through-monarchy-mail-coach-improvements-road-network,,ROAD_LEVEL_JUSTIFICATION=Alpine trade and state routes existed but evidence does not support a high engineered-road level.; CANAL_LEVEL_JUSTIFICATION=No industrial canal network justified.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_TYROL,Tyrol,building_logging_camp,Logging Camps,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,COMMERCIAL_EXTRACTION,Salt works depended on organized Alpine wood supply for fuel and infrastructure.,Conservative supporting level.,NO,NONE,NO,,https://www.salinen.com/en/faq/,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_TYROL,Tyrol,building_railway,Regional Infrastructure,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,Brenner and Alpine routes served salt and imperial transit; state postal organization was significant.,"Level 1 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.habsburger.net/en/chapter/through-monarchy-mail-coach-improvements-road-network,,ROAD_LEVEL_JUSTIFICATION=Brenner and Alpine routes served salt and imperial transit; state postal organization was significant.; CANAL_LEVEL_JUSTIFICATION=No industrial canal network possible/justified.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,AUS,Austria,STATE_TYROL,Tyrol,building_salt_mine,Salt Mines,2,HIGH,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,Austrian Alpine salt extraction and brine works were organized on a large scale well before 1776.,Level 2 for major state-managed salt production.,NO,NONE,NO,,https://www.salinen.com/en/faq/,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAD,Baden,STATE_BADEN,Baden,building_textile_mill,Textile Manufacture,1,HIGH,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,STATE_MANUFACTORY,"Baden had state-promoted wool/textile manufacture in the eighteenth century, including Pforzheim.",One level; evidence does not support a larger district comparable to Württemberg or Saxony.,NO,NONE,NO,,https://www.schule-bw.de/faecher-und-schularten/gesellschaftswissenschaftliche-und-philosophische-faecher/landeskunde-landesgeschichte/module/epochen/technikgeschichte/technikgeschichte-bw/index.html,https://orlis.difu.de/handle/difu/507441,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAD,Baden,STATE_BADEN,Baden,building_tooling_workshop,Tooling Workshops,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,URBAN_MANUFACTORY_CLUSTER,Pforzheim area had an iron hammer from 1680 and organized metalworking.,One conservative level.,YES,NONE,NO,,https://www.schule-bw.de/faecher-und-schularten/gesellschaftswissenschaftliche-und-philosophische-faecher/landeskunde-landesgeschichte/module/epochen/technikgeschichte/technikgeschichte-bw/index.html,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_BAVARIA,Bavaria,building_food_industry,Food Industries,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,URBAN_MANUFACTORY_CLUSTER,Munich and Bavarian towns had organized brewing and food-processing sectors serving urban and regional demand.,One level as an aggregate of established processing trades.,YES,NONE,NO,,https://www.britannica.com/place/Munich/Economy,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_BAVARIA,Bavaria,building_government_administration,Government Administration,1,MEDIUM,DOMESTIC_NATIONAL,DOMESTIC_NATIONAL,NONE,OTHER,Electoral Bavaria maintained a centralized territorial administration centered on Munich.,One level for core administration.,NO,NONE,NO,,https://www.hdbg.eu/koenigreich/index.php/themen/index/herrscher_id/1/id/7,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_BAVARIA,Bavaria,building_livestock_ranch,Livestock Ranches,1,MEDIUM,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,Bavarian upland agriculture included significant commercial cattle/dairy husbandry.,One conservative market-oriented livestock level.,NO,NONE,NO,,https://www.britannica.com/place/Bavaria/History,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_BAVARIA,Bavaria,building_railway,Regional Infrastructure,1,LOW,DOMESTIC_REGIONAL,DOMESTIC_REGIONAL,NONE,OTHER,Important territorial roads existed but a high engineered-road network is not firmly demonstrated for 1776.,"Level 1 represents structured terrestrial transport capacity, not rail.",NO,NONE,NO,,https://www.britannica.com/place/Bavaria/History,,ROAD_LEVEL_JUSTIFICATION=Important territorial roads existed but a high engineered-road network is not firmly demonstrated for 1776.; CANAL_LEVEL_JUSTIFICATION=No industrial canal network assigned.; RAIL=pm_no_rail_network | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_FRANCONIA,Franconia,building_textile_mill,Textile Manufacture,1,MEDIUM,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,PROTO_INDUSTRIAL_DISTRICT,Franconian/upper German textile crafts participated in the broader south German export-manufacturing economy.,One level only.,NO,NONE,NO,,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,,PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_FRANCONIA,Franconia,building_trade_center,Trade Center,1,LOW,EXPORT_REGIONAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,OTHER,"Nuremberg/Franconia remained a regional commercial and craft redistribution center, though below Frankfurt/Leipzig/Hamburg scale.",Conservative trade-center seed: level 1 only because the state contains a documented redistribution/long-distance hub.,NO,NONE,NO,,https://www.britannica.com/place/Nurnberg-Germany/History,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
