Owner_TAG,Country,State_ID,State_Name,Current_Level,Road_PM,Canal_PM,Rail_PM,Passenger_PM,Infrastructure_Available,Infrastructure_Used,Current_Market_Access,Additional_Level_Needed,Historical_Connectivity_Exception,Evidence,Final_Target_Level,Final_Infrastructure_Available,Reason
AGC,Angoche,STATE_MOCAMBIQUE,Mocambique,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AHG,Kel Ahaggar,STATE_EAST_SAHARA,East Sahara,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AIN,Ainu Mosir,STATE_SAKHALIN,Sakhalin,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AIR,Kel Air,STATE_NIGER,Niger,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,2.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 2.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,9.0,4.5,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,2,9.0,Target satisfies usage 4.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AJJ,Kel Ajjer,STATE_EAST_SAHARA,East Sahara,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AJJ,Kel Ajjer,STATE_LIBYAN_DESERT,Fezzan,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AJJ,Kel Ajjer,STATE_NIGER,Niger,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AJR,Ajuran,STATE_KENYA,Kenya,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ALK,Alaska,STATE_ALASKA,Alaska,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ALK,Alaska,STATE_SAKHALIN,Sakhalin,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ANH,Anhalt,STATE_ANHALT,Anhalt,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,1.5,100.0_PROJECTED,0,NO,Basic state-maintained roads and post routes justify only the minimum structured road level. | No industrial canal network assigned.,1,6.0,Target satisfies usage 1.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ANK,Ankole,STATE_UGANDA,Uganda,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AP7,Kayapo,STATE_ACRE,Acre,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AP7,Kayapo,STATE_AMAZONAS,Amazonas,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AP7,Kayapo,STATE_GUAYANA,Guyana,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AP7,Kayapo,STATE_LA_PAZ,La Paz,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AP7,Kayapo,STATE_MATO_GROSSO,Mato Grosso,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
APC,Apache,STATE_ARIZONA,Arizona,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
APC,Apache,STATE_CALIFORNIA,California,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
APC,Apache,STATE_NEW_MEXICO,New Mexico,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,4.0,100.0_PROJECTED,0,NO,"One road level linking Khuzestan to Mesopotamia and interior Persia. | No transport-canal level recommended. | A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted.",1,6.0,Target satisfies usage 4.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ARH,Arnhem,STATE_NORTHERN_TERRITORY,Northern Territory,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ARP,Arapaho,STATE_COLORADO,Colorado,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ARP,Arapaho,STATE_WYOMING,Wyoming,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ARR,Arrernte,STATE_NORTHERN_TERRITORY,Northern Territory,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ARR,Arrernte,STATE_QUEENSLAND,Queensland,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ASH,Ashanti,STATE_GOLD_COAST,Gold Coast,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,2.5,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 2.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ASH,Ashanti,STATE_TOGO,Togo,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_ALASKA,Alaska,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_BRITISH_COLUMBIA,Northern Columbia,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_CHUKOTKA,Chukotka,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_NORTHWEST_TERRITORIES,Northwest Territories,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_NUNAVUT,Nunavut,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_OREGON,Oregon,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_WASHINGTON,Southern Columbia,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATB,Athabaska,STATE_YUKON_TERRITORY,Yukon Territory,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
ATR,Kel Ataram,STATE_TIMBUKTU,Timbuktu,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUL,Aulihan,STATE_KENYA,Kenya,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_AUSTRIA,Austria,4,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,15.0,13.0,100.0_PROJECTED,0,NO,Imperial postal and trunk-road administration centered routes on Vienna | No regional industrial canal level justified at 1776 cutoff. | Imperial postal and trunk-road administration centered routes on Vienna; level kept conservative because many large road improvements accelerated later in the century.,4,15.0,Target satisfies usage 13.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_BOHEMIA,Bohemia,6,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,21.0,18.5,100.0_PROJECTED,0,NO,"A substantial territorial road network existed, but evidence for highly engineered state roads before the cutoff is mixed. | No regional industrial canal level recommended.",6,21.0,Target satisfies usage 18.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_BUKOVINA,Bukovina,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,2.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 2.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_CROATIA,Croatia,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,2.4,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 2.4 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_EAST_SWITZERLAND,East Switzerland,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_LOMBARDY,Lombardy,3,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,15.0,10.5,100.0_PROJECTED,0,NO,Dense road connections centered on Milan and an economically integrated plain justify above-minimum road capacity. | CANAL level justified: Lombardy’s Navigli formed a long-established navigable canal system serving Milan.,3,15.0,Target satisfies usage 10.5 plus engine AI surplus 2; fixed capacity 4.0 per level; no rail or passenger service.
AUS,Austria,STATE_MORAVIA,Moravia,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,3.0,100.0_PROJECTED,0,NO,"Commercial links to Vienna and Brno justify basic structured road capacity, but not a high road level. | No industrial canal network established for this state by the cutoff.",1,6.0,Target satisfies usage 3.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_SLAVONIA,Slavonia,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,2.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 2.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_SLOVENIA,Slovenia,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,9.0,3.5,100.0_PROJECTED,0,NO,Habsburg policy explicitly oriented road connections toward Trieste to integrate the imperial hinterland with the port. | No separate regional industrial canal network justified,2,9.0,Target satisfies usage 3.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_STYRIA,Styria,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,9.0,5.0,100.0_PROJECTED,0,NO,Alpine trade and state routes existed but evidence does not support a high engineered-road level. | No industrial canal network justified.,2,9.0,Target satisfies usage 5.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_TYROL,Tyrol,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,9.0,5.0,100.0_PROJECTED,0,NO,Brenner and Alpine routes served salt and imperial transit | No industrial canal network possible/justified. | Brenner and Alpine routes served salt and imperial transit; state postal organization was significant.,2,9.0,Target satisfies usage 5.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AUS,Austria,STATE_UPPER_SILESIA,Upper Silesia,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,3.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 3.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AWA,Awadh,STATE_AWADH,Oudh,5,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,18.0,14.0,100.0_PROJECTED,0,NO,regional trunk routes linking Awadh to Delhi/Patna | none | Awadh was integrated into the north-Indian overland trade network.,5,18.0,Target satisfies usage 14.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
AYI,Anyi,STATE_IVORY_COAST,Ivory Coast,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BAD,Baden,STATE_BADEN,Baden,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,9.0,5.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,2,9.0,Target satisfies usage 5.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BAL,Bali,STATE_SUNDA_ISLANDS,Sunda Islands,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,2.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 2.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BAV,Bavaria,STATE_BAVARIA,Bavaria,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,3.5,100.0_PROJECTED,0,NO,Important territorial roads existed but a high engineered-road network is not firmly demonstrated for 1776. | No industrial canal network assigned.,1,6.0,Target satisfies usage 3.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BAV,Bavaria,STATE_FRANCONIA,Franconia,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,9.0,6.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,2,9.0,Target satisfies usage 6.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BAV,Bavaria,STATE_RHINELAND,Rhineland,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,1.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 1.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BEN,Benin,STATE_BENIN,Benin,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BEO,Belgium,STATE_FLANDERS,Flanders,5,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,23.0,18.5,100.0_PROJECTED,0,NO,Paved trunk roads and waterways supported transit and export commerce. | organized canal network attested | The Austrian Netherlands developed an unusually dense paved-road system and connected waterways.,5,23.0,Target satisfies usage 18.5 plus engine AI surplus 2; fixed capacity 4.0 per level; no rail or passenger service.
BEO,Belgium,STATE_GELRE,Gelre,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BEO,Belgium,STATE_WALLONIA,Wallonia,6,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,27.0,25.0,100.0_PROJECTED,0,NO,Roads and navigable waterways connected mining/manufacturing centres. | organized canal network attested | Paved roads and waterways served the mining and metalworking zone.,6,27.0,Target satisfies usage 25.0 plus engine AI surplus 2; fixed capacity 4.0 per level; no rail or passenger service.
BGI,Bagirmi,STATE_WADDAI,Waddai,0,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,3.0,0.0,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,0,3.0,Target satisfies usage 0.0 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
BHN,Bahrain,STATE_ABU_DHABI,Trucial Coast,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,6.0,1.5,100.0_PROJECTED,0,NO,No prior historical transport row; gameplay capacity uses the least-modern road PM.,1,6.0,Target satisfies usage 1.5 plus engine AI surplus 2; fixed capacity 3.0 per level; no rail or passenger service.
