Owner_TAG,Owner_Name,State_ID,State_Display_Name,Reviewed,Excluded_Serenissima,Map_Rework_Risk,Positive_Recommendation_Count,Recommended_Buildings,Trade_Center_Recommended,Regional_Infrastructure_Recommended,Tech_Distribution_Review_Count,Assessment
BHU,Bhutan,STATE_EASTERN_HIMALAYAS,Eastern Himalayas,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
BOR,Bornu,STATE_CHAD,Chad,YES,NO,NONE,5,building_livestock_ranch@1;building_millet_farm@1;building_railway@1;building_textile_mill@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
BRK,Brakna,STATE_MAURITANIA,Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,YES,NO,NONE,5,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1;building_silk_plantation@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,YES,NO,NONE,12,building_government_administration@1;building_wheat_farm@1;building_university@1;building_railway@2;building_food_industry@1;building_glassworks@1;building_paper_mill@1;building_textile_mill@2;building_tooling_workshop@1;building_cotton_plantation@2;building_silk_plantation@1;building_trade_center@1,YES,YES,5,POSITIVE_RECOMMENDATIONS
CAUC,Caucuses,STATE_DAGESTAN,Dagestan,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_tooling_workshop@1,NO,NO,3,POSITIVE_RECOMMENDATIONS
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,YES,NO,NONE,6,building_vineyard@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1;building_tooling_workshop@1;building_trade_center@1,YES,YES,4,POSITIVE_RECOMMENDATIONS
CHC,Chechnya,STATE_DAGESTAN,Dagestan,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_tooling_workshop@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
CHI,China,STATE_KIRGHIZIA,Kirghizia,YES,NO,NONE,1,building_livestock_ranch@2,NO,NO,0,POSITIVE_RECOMMENDATIONS
CIR,Circassia,STATE_KUBAN,Kuban,YES,NO,NONE,3,building_livestock_ranch@2;building_wheat_farm@1;building_textile_mill@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
CMB,Chaamba,STATE_EAST_SAHARA,East Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
CMB,Chaamba,STATE_SAHARA,Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
CON,Constantine,STATE_CONSTANTINE,Constantine,YES,NO,NONE,6,building_livestock_ranch@1;building_wheat_farm@2;building_railway@1;building_food_industry@1;building_textile_mill@1;building_port@1,NO,YES,2,POSITIVE_RECOMMENDATIONS
CRI,Crimea,STATE_KUBAN,Kuban,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_port@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
DFR,Darfur,STATE_DARFUR,Darfur,YES,NO,NONE,4,building_livestock_ranch@1;building_millet_farm@1;building_railway@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
DIN,Kel Dinnik,STATE_NIGER,Niger,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
DLM,Delim,STATE_MAURITANIA,Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
DLM,Delim,STATE_WEST_SAHARA,West Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_BALKH,Southern Turkestan,YES,NO,NONE,6,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_food_industry@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_BALUCHISTAN,Baluchistan,YES,NO,NONE,3,building_livestock_ranch@1;building_railway@1;building_cotton_plantation@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_CENTRAL_HIGHLANDS,Hazaristan,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_HERAT,Herat,YES,NO,NONE,5,building_wheat_farm@1;building_railway@1;building_food_industry@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_KABUL,Kabulistan,YES,NO,NONE,5,building_government_administration@1;building_railway@2;building_food_industry@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_KANDAHAR,Kandahar,YES,NO,NONE,6,building_government_administration@1;building_wheat_farm@1;building_railway@2;building_food_industry@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_NORTHERN_BALUCHISTAN,Northern Baluchistan,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_PASHTUNISTAN,Pashtunistan,YES,NO,NONE,2,building_livestock_ranch@2;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_QUETTA,Quetta,YES,NO,NONE,2,building_livestock_ranch@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
DUR,Afghanistan,STATE_SISTAN,Bampur,YES,NO,NONE,2,building_livestock_ranch@1;building_wheat_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ETH,Ethiopia,STATE_ERITREA,Eritrea,YES,NO,NONE,2,building_livestock_ranch@1;building_port@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
FTR,Futa Toro,STATE_MAURITANIA,Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
HDJ,Hedjaz,STATE_HEDJAZ,Hedjaz,YES,NO,NONE,4,building_railway@1;building_food_industry@1;building_port@2;building_trade_center@1,YES,YES,2,POSITIVE_RECOMMENDATIONS
HDJ,Hedjaz,STATE_YEMEN,Yemen,YES,NO,NONE,2,building_coffee_plantation@1;building_port@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
IR1,Mamluk Iraq,STATE_BAGHDAD,Baghdad,YES,NO,NONE,6,building_government_administration@1;building_wheat_farm@1;building_railway@2;building_food_industry@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
IR1,Mamluk Iraq,STATE_BASRA,Basra,YES,NO,NONE,6,building_railway@1;building_food_industry@1;building_naval_administration@1;building_port@2;building_shipyard@1;building_trade_center@1,YES,YES,4,POSITIVE_RECOMMENDATIONS
IR1,Mamluk Iraq,STATE_DEIR_EZ_ZOR,Deir-Ez-Zor,YES,NO,NONE,2,building_livestock_ranch@1;building_wheat_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
IR1,Mamluk Iraq,STATE_MOSUL,Mosul,YES,NO,NONE,4,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
JBB,Jabal,STATE_HAIL,Hail,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
KBB,Kathiri,STATE_YEMEN,Yemen,YES,NO,NONE,2,building_livestock_ranch@1;building_food_industry@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
KHI,Khiva,STATE_TURKMENIA,Turkmenia,YES,NO,NONE,5,building_livestock_ranch@1;building_railway@1;building_textile_mill@1;building_cotton_plantation@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
KOK,Kokand,STATE_KIRGHIZIA,Kirghizia,YES,NO,NONE,5,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1;building_cotton_plantation@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
KOK,Kokand,STATE_TAJIKISTAN,Tajikistan,YES,NO,NONE,6,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1;building_cotton_plantation@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
KRT,Kaarta,STATE_WESTERN_MALI,Western Mali,YES,NO,NONE,4,building_livestock_ranch@1;building_millet_farm@2;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
KZH,Kishi Zhuz,STATE_SAMARA,Samara,YES,NO,NONE,1,building_livestock_ranch@2,NO,NO,0,POSITIVE_RECOMMENDATIONS
LAH,Lahej,STATE_YEMEN,Yemen,YES,NO,NONE,2,building_livestock_ranch@1;building_food_industry@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
MAS,Mascara,STATE_ALGIERS,Algiers,YES,NO,NONE,9,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_food_industry@1;building_textile_mill@1;building_naval_fortification@1;building_port@2;building_shipyard@1;building_trade_center@1,YES,YES,4,POSITIVE_RECOMMENDATIONS
MAS,Mascara,STATE_ORAN,Oran,YES,NO,NONE,9,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_food_industry@1;building_textile_mill@1;building_naval_fortification@1;building_port@1;building_shipyard@1;building_trade_center@1,YES,YES,4,POSITIVE_RECOMMENDATIONS
MBB,Mahra,STATE_YEMEN,Yemen,YES,NO,NONE,2,building_livestock_ranch@1;building_food_industry@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
MOR,Morocco,STATE_AL_RIF,al Rif,YES,NO,NONE,4,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_port@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
MOR,Morocco,STATE_FEZ,Fez,YES,NO,NONE,9,building_livestock_ranch@1;building_wheat_farm@1;building_university@1;building_railway@2;building_food_industry@1;building_furniture_manufactory@1;building_textile_mill@2;building_tooling_workshop@1;building_trade_center@1,YES,YES,4,POSITIVE_RECOMMENDATIONS
MOR,Morocco,STATE_INNER_MOROCCO,Inner Morocco,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
MOR,Morocco,STATE_MARRAKECH,Marrakech,YES,NO,NONE,6,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_food_industry@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
MSN,Massina,STATE_EASTERN_MALI,Eastern Mali,YES,NO,NONE,3,building_livestock_ranch@1;building_millet_farm@2;building_textile_mill@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
MSN,Massina,STATE_TIMBUKTU,Timbuktu,YES,NO,NONE,6,building_livestock_ranch@1;building_millet_farm@1;building_railway@1;building_textile_mill@1;building_salt_mine@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
MZB,Mzab,STATE_SAHARA,Sahara,YES,NO,NONE,0,,NO,NO,0,REVIEWED_NO_POSITIVE_BUILDING_SEED
NBB,Nejd,STATE_HAIL,Hail,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
NBB,Nejd,STATE_NEJD,Nejd,YES,NO,NONE,1,building_livestock_ranch@2,NO,NO,0,POSITIVE_RECOMMENDATIONS
NEP,Nepal,STATE_HIMALAYAS,Western Himalayas,YES,NO,NONE,5,building_millet_farm@1;building_rice_farm@1;building_railway@1;building_textile_mill@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
OMA,Oman,STATE_ABU_DHABI,Trucial Coast,YES,NO,NONE,0,,NO,NO,0,REVIEWED_NO_POSITIVE_BUILDING_SEED
OMA,Oman,STATE_BALUCHISTAN,Baluchistan,YES,NO,NONE,2,building_port@1;building_fishing_wharf@1,NO,NO,2,POSITIVE_RECOMMENDATIONS
OMA,Oman,STATE_LARISTAN,Hormuz,YES,NO,NONE,2,building_port@1;building_fishing_wharf@1,NO,NO,2,POSITIVE_RECOMMENDATIONS
OMA,Oman,STATE_OMAN,Oman,YES,NO,NONE,7,building_livestock_ranch@1;building_railway@1;building_food_industry@1;building_naval_administration@1;building_port@2;building_shipyard@1;building_trade_center@1,YES,YES,4,POSITIVE_RECOMMENDATIONS
OMA,Oman,STATE_SISTAN,Bampur,YES,NO,NONE,0,,NO,NO,0,REVIEWED_NO_POSITIVE_BUILDING_SEED
OUA,Tagant,STATE_INNER_MAURITANIA,Inner Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
OUA,Tagant,STATE_MAURITANIA,Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
OUA,Tagant,STATE_TIMBUKTU,Timbuktu,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_ARMENIA,Armenia,YES,NO,NONE,5,building_livestock_ranch@1;building_vineyard@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_AZERBAIJAN,Baku,YES,NO,NONE,4,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_FARS,Fars,YES,NO,NONE,11,building_government_administration@1;building_livestock_ranch@1;building_vineyard@1;building_wheat_farm@1;building_railway@2;building_food_industry@1;building_textile_mill@1;building_tooling_workshop@1;building_port@1;building_shipyard@1;building_trade_center@1,YES,YES,3,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_IRAKAJEMI,Irak-i-Ajami,YES,NO,NONE,4,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_ISFAHAN,Isfahan,YES,NO,NONE,10,building_university@1;building_railway@2;building_food_industry@1;building_furniture_manufactory@1;building_glassworks@1;building_textile_mill@2;building_tooling_workshop@1;building_arms_industry@1;building_khaju_bridge@1;building_trade_center@1,YES,YES,5,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_KERMAN,Kerman,YES,NO,NONE,6,building_livestock_ranch@1;building_railway@1;building_textile_mill@1;building_tooling_workshop@1;building_argebam@1;building_copper_mine@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_KHORASAN,Khorasan,YES,NO,NONE,6,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1;building_copper_mine@1;building_trade_center@1,YES,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_LARISTAN,Hormuz,YES,NO,NONE,2,building_livestock_ranch@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_LURISTAN,Luristan,YES,NO,NONE,2,building_livestock_ranch@2;building_textile_mill@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_MAZANDARAN,Mazandaran,YES,NO,NONE,4,building_rice_farm@2;building_railway@1;building_silk_plantation@2;building_logging_camp@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_PERSIAN_KURDISTAN,Persian Kurdistan,YES,NO,NONE,3,building_livestock_ranch@2;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_SEMNAN,Semnan,YES,NO,NONE,2,building_livestock_ranch@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_TABRIZ,Tabriz,YES,NO,NONE,5,building_wheat_farm@1;building_railway@2;building_food_industry@1;building_textile_mill@2;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
PER,Persia,STATE_URMIA,Urmia,YES,NO,NONE,4,building_livestock_ranch@1;building_vineyard@1;building_wheat_farm@1;building_textile_mill@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
RGB,Reguibat,STATE_INNER_MAURITANIA,Inner Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
RGB,Reguibat,STATE_SAHARA,Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
RGB,Reguibat,STATE_TIMBUKTU,Timbuktu,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
RGB,Reguibat,STATE_WEST_SAHARA,West Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
RUS,Russia,STATE_ASTRAKHAN,Astrakhan,YES,NO,NONE,3,building_railway@1;building_fishing_wharf@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
RUS,Russia,STATE_TARTARIA,Saratov,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
SD1,The Sudan,STATE_BLUE_NILE,Blue Nile,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@2,NO,NO,0,POSITIVE_RECOMMENDATIONS
SD1,The Sudan,STATE_DONGOLA,Dongola,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
SD1,The Sudan,STATE_EGYPTIAN_DESERT,Egyptian Desert,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
SD1,The Sudan,STATE_ERITREA,Eritrea,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
SD1,The Sudan,STATE_KORDOFAN,Kordofan,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
SGU,Segou,STATE_WESTERN_MALI,Western Mali,YES,NO,NONE,4,building_livestock_ranch@1;building_millet_farm@2;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
SIK,Sikkim,STATE_EASTERN_HIMALAYAS,Eastern Himalayas,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
SPA,Spain,STATE_AL_RIF,al Rif,YES,NO,NONE,3,building_barrack@1;building_naval_fortification@1;building_port@1,NO,NO,3,POSITIVE_RECOMMENDATIONS
TBI,Tubu,STATE_CHAD,Chad,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TBI,Tubu,STATE_LIBYA,Cyrenaica,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TBI,Tubu,STATE_LIBYAN_DESERT,Fezzan,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TBI,Tubu,STATE_NIGER,Niger,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TEK,Tekna,STATE_INNER_MOROCCO,Inner Morocco,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TEK,Tekna,STATE_SAHARA,Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TEK,Tekna,STATE_WEST_SAHARA,West Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TIB,Tibet,STATE_EASTERN_HIMALAYAS,Eastern Himalayas,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TIB,Tibet,STATE_LHASA,Lhasa,YES,NO,NONE,4,building_livestock_ranch@2;building_railway@1;building_textile_mill@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
TIB,Tibet,STATE_NGARI,Ngari,YES,NO,NONE,1,building_livestock_ranch@2,NO,NO,0,POSITIVE_RECOMMENDATIONS
TRI,Tripolitania,STATE_LIBYA,Cyrenaica,YES,NO,NONE,3,building_livestock_ranch@1;building_railway@1;building_port@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
TRI,Tripolitania,STATE_TRIPOLI,Tripoli,YES,NO,NONE,6,building_livestock_ranch@1;building_railway@1;building_naval_fortification@1;building_port@1;building_shipyard@1;building_trade_center@1,YES,YES,3,POSITIVE_RECOMMENDATIONS
TRM,Turkmenia,STATE_TURKMENIA,Turkmenia,YES,NO,NONE,2,building_livestock_ranch@2;building_textile_mill@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TRZ,Trarza,STATE_MAURITANIA,Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TUA,Tuat,STATE_SAHARA,Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TUG,Touggourt,STATE_EAST_SAHARA,East Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TUN,Tunis,STATE_TUNISIA,Tunisia,YES,NO,NONE,10,building_livestock_ranch@1;building_wheat_farm@2;building_university@1;building_railway@2;building_food_industry@1;building_textile_mill@1;building_naval_fortification@1;building_port@2;building_shipyard@1;building_trade_center@1,YES,YES,6,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_ADANA,Adana,YES,NO,NONE,5,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_cotton_plantation@1;building_port@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_ALEPPO,Aleppo,YES,NO,NONE,5,building_railway@2;building_food_industry@1;building_textile_mill@2;building_tooling_workshop@1;building_trade_center@1,YES,YES,2,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_ANKARA,Ankara,YES,NO,NONE,4,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_AYDIN,Aydin,YES,NO,NONE,8,building_vineyard@1;building_railway@2;building_food_industry@1;building_textile_mill@1;building_cotton_plantation@1;building_port@2;building_shipyard@1;building_trade_center@1,YES,YES,3,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_CYPRUS,Cyprus,YES,NO,NONE,5,building_vineyard@1;building_wheat_farm@1;building_railway@1;building_cotton_plantation@1;building_port@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_DIYARBAKIR,Diyarbakir,YES,NO,NONE,5,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1;building_copper_mine@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_DONGOLA,Dongola,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_ERITREA,Eritrea,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_ERZURUM,Erzurum,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_HUDAVENDIGAR,Hudavendigar,YES,NO,NONE,5,building_railway@2;building_food_industry@1;building_textile_mill@2;building_silk_plantation@2;building_port@1,NO,YES,2,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_KARS,Kars,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_KASTAMONU,Kastamonu,YES,NO,NONE,5,building_wheat_farm@1;building_railway@1;building_port@1;building_logging_camp@2;building_shipyard@1,NO,YES,2,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_KONYA,Konya,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@2;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_LEBANON,Lebanon,YES,NO,NONE,6,building_vineyard@1;building_railway@1;building_textile_mill@1;building_silk_plantation@2;building_port@1;building_trade_center@1,YES,YES,1,POSITIVE_RECOMMENDATIONS
