family,branch,tech_id,era,current_prerequisites,current_successors,chronological_order_hint,role_in_family,notes
civil_construction,Production,reinforced_concrete,era_8,bessemer_process;hydraulic_cements,plastics;pneumatic_tools,1850s; maturity 1870-1910,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
extractive_industries,Production,steam_donkey,era_8,intensive_agriculture,pumpjacks,1880s; maturity 1880-1910,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
factory_organization,Production,shift_work,era_8,interchangeable_manufacture,conveyors;telephone,industrial-era practice; maturity 1860-1910,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
finance_corporate_governance,Society,mutual_funds,era_8,institutionalized_public_credit;postal_savings,international_exchange_standards;investment_banks,late 18th century precedents; maturity 1860-1920,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
food_industrialization,Production,vacuum_canning,era_8,interchangeable_manufacture,pasteurization,1870s; maturity 1880-1910,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
fortification,Military,field_works,era_8,corps_organization,trench_works,ancient practice; maturity industrialized doctrine 1850-1880,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_explosives,Production,dynamite,era_8,nitroglycerin,pumpjacks,1867; maturity 1870-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_materials,Production,rubber_mastication,era_8,fractional_distillation;chemical_bleaching,aniline;vulcanization,1820s; maturity 1840-1870,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
infantry_weapons,Military,repeaters,era_8,rifling;percussion_cap,bolt_action_rifles;handcranked_machine_gun,1850s; maturity 1860-1885,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_medicine,Military,modern_nursing,era_8,medical_degrees,,1850s; maturity 1860-1900,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_organization,Military,enlistment_offices,era_8,logistics;corps_organization,war_propaganda,mid-19th century; maturity 1860-1900,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
nationalism_imperialism,Society,civilizing_mission,era_8,quinine;nationalism,malaria_prevention,mid-19th century ideology; maturity 1870-1914,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
nationalism_imperialism,Society,pan-nationalism,era_8,nationalism,multilateral_alliances,mid-19th century; maturity 1860-1914,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,ironclad_tech,era_8,iron_hull_construction,monitor_tech;pre_dreadnought_tech,1850s; maturity 1860-1880,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_logistics,Naval,gantry_cranes,era_8,mechanized_naval_dockyards;iron_hull_construction,floating_harbor,mid-19th century; maturity 1860-1900,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_weapons,Naval,self_propelled_torpedoes,era_8,state_dockyard_systems,jeune_ecole;submarine,1860s; maturity 1870-1900,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
philosophy_psychology,Society,philosophical_pragmatism,era_8,medical_degrees,psychoanalysis,1870s; maturity 1890-1915,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
political_ideologies,Society,anarchism,era_8,early_socialism_cooperativism,political_agitation,1840s; maturity 1860-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
political_ideologies,Society,corporatism,era_8,labor_movement;nationalism,political_agitation,late 19th century; maturity 1890-1930,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
political_ideologies,Society,socialism,era_8,labor_movement;early_socialism_cooperativism,political_agitation,1820s-1840s; maturity 1860-1914,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
rail_transport,Production,steel_railway_cars,era_8,railways,electric_railway,1860s; maturity 1870-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
rights_reform,Society,feminism,era_8,human_rights,,mid-19th century; maturity 1870-1920,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steam_power,Production,rotary_valve_engine,era_8,watertube_boiler,combustion_engine;electrical_generation;pneumatic_tools,mid-19th century; maturity 1860-1890,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steel_metallurgy,Production,open_hearth_process,era_8,bessemer_process,electric_arc_process,1860s; maturity 1870-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
telecommunications,Military,electric_telegraph,era_8,logistics;optical_telegraph_networks,military_statistics;trench_works,1830s; maturity 1845-1870,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
urban_infrastructure,Society,steel_frame_buildings,era_8,professional_civil_engineering,elevator;zeppelins,1880s; maturity 1890-1915,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
electrical_engineering,Production,electrical_generation,era_9,rotary_valve_engine,conveyors;electrical_capacitors;steam_turbine;telephone,1870s; maturity 1880-1910,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
extractive_industries,Production,pumpjacks,era_9,steam_donkey;dynamite,,1850s; maturity 1870-1910,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
finance_corporate_governance,Society,investment_banks,era_9,stock_exchange;mutual_funds,corporate_management,19th century; maturity 1870-1914,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
fortification,Military,trench_works,era_9,general_staff;electric_telegraph;field_works,defense_in_depth;flamethrowers;nco_training;stormtroopers,mid-19th century; maturity 1870-1918,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_materials,Production,aniline,era_9,rubber_mastication,art_silk,1850s; maturity 1860-1890,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_materials,Production,vulcanization,era_9,rubber_mastication,automatic_bottle_blowers;conveyors,1839; maturity 1850-1880,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
infantry_weapons,Military,handcranked_machine_gun,era_9,repeaters;breech_loading_artillery,automatic_machine_guns;defense_in_depth;military_aviation,1860s; maturity 1870-1895,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_organization,Military,military_statistics,era_9,electric_telegraph;general_staff,wargaming,mid-19th century; maturity 1870-1910,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_doctrine,Naval,jeune_ecole,era_9,self_propelled_torpedoes,landing_craft;sea_lane_strategies,1880s; maturity 1880-1900,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,monitor_tech,era_9,ironclad_tech;breech_loading_artillery,destroyer;landing_craft,1860s; maturity 1860-1880,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_logistics,Naval,floating_harbor,era_9,gantry_cranes,concrete_dockyards,late 19th century; maturity 1880-1918,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
administration_surveillance,Society,central_planning,era_10,identification_documents,mass_surveillance,late 19th century antecedents; maturity 1917-1940,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
agricultural_modernization,Production,nitrogen_fixation,era_10,improved_fertilizer,,1909; maturity 1910-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
amphibious_operations,Naval,landing_craft,era_10,jeune_ecole;monitor_tech,,late 19th century prototypes; maturity 1915-1945,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
arts_visual_media,Society,film,era_10,camera,mass_propaganda,1890s; maturity 1900-1920,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
civil_construction,Production,pneumatic_tools,era_10,rotary_valve_engine;reinforced_concrete,arc_welding,1890s; maturity 1900-1920,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
electrical_engineering,Production,electrical_capacitors,era_10,electrical_generation,electric_railway;pasteurization,1740s origins; maturity 1880-1910 industrial use,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
factory_organization,Production,conveyors,era_10,vulcanization;shift_work;electrical_generation,dough_rollers,late 19th century; maturity 1900-1920,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
finance_corporate_governance,Society,corporate_management,era_10,investment_banks,macroeconomics,late 19th century; maturity 1890-1920,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
finance_corporate_governance,Society,international_exchange_standards,era_10,mutual_funds,macroeconomics;modern_financial_instruments,late 19th century; maturity 1890-1920,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
food_industrialization,Production,automatic_bottle_blowers,era_10,vulcanization,,1900s; maturity 1905-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_materials,Production,art_silk,era_10,aniline,,1890s; maturity 1900-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_materials,Production,plastics,era_10,reinforced_concrete,,1860s origins; maturity 1900-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
infantry_weapons,Military,bolt_action_rifles,era_10,repeaters,automatic_machine_guns,1860s; maturity 1870-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
internal_combustion,Production,combustion_engine,era_10,rotary_valve_engine,compression_ignition,1860s; maturity 1880-1910,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
mass_politics_media,Military,war_propaganda,era_10,enlistment_offices,,19th century; maturity 1890-1918,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_aviation,Military,military_aviation,era_10,handcranked_machine_gun,dreadnought_tech,1900s; maturity 1910-1930,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_aviation,Society,zeppelins,era_10,steel_frame_buildings,,1900; maturity 1905-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_organization,Military,wargaming,era_10,military_statistics,nco_training;stormtroopers,19th century; maturity 1870-1914,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
nationalism_imperialism,Society,multilateral_alliances,era_10,pan-nationalism,,19th century diplomacy; maturity 1890-1920,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_doctrine,Naval,sea_lane_strategies,era_10,jeune_ecole,battlefleet_tactics;dreadnought_tech,late 19th century; maturity 1890-1918,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,pre_dreadnought_tech,era_10,ironclad_tech,dreadnought_tech,1890s; maturity 1890-1906,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_logistics,Naval,concrete_dockyards,era_10,floating_harbor,dreadnought_tech,late 19th century; maturity 1890-1920,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_weapons,Naval,submarine,era_10,self_propelled_torpedoes,,1880s; maturity 1900-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
philosophy_psychology,Society,psychoanalysis,era_10,philosophical_pragmatism,analytical_philosophy;behaviorism,1890s; maturity 1900-1930,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
political_ideologies,Society,political_agitation,era_10,anarchism;socialism;corporatism,mass_propaganda,19th century; maturity 1880-1920,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
public_health,Society,malaria_prevention,era_10,civilizing_mission,antibiotics,late 19th century; maturity 1900-1930,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steam_power,Production,steam_turbine,era_10,electrical_generation,oil_turbine,1880s; maturity 1890-1915,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steel_metallurgy,Production,electric_arc_process,era_10,open_hearth_process,arc_welding,late 19th century; maturity 1900-1925,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
telecommunications,Production,telephone,era_10,shift_work;electrical_generation,radio,1870s; maturity 1880-1910,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
urban_infrastructure,Society,elevator,era_10,steel_frame_buildings,paved_roads,1850s safety elevator; maturity 1870-1910,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
food_industrialization,Production,pasteurization,era_11,vacuum_canning;electrical_capacitors,flash_freezing,1860s; maturity 1880-1910,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
fortification,Military,defense_in_depth,era_11,trench_works;handcranked_machine_gun,concrete_fortifications,late 19th century doctrine; maturity 1914-1940,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
infantry_weapons,Military,automatic_machine_guns,era_11,handcranked_machine_gun;bolt_action_rifles,chemical_warfare;flamethrowers,1880s; maturity 1900-1918,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
mass_politics_media,Society,mass_propaganda,era_11,political_agitation;film,,late 19th century; maturity 1914-1945,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,dreadnought_tech,era_11,pre_dreadnought_tech;sea_lane_strategies;concrete_dockyards;military_aviation,battleship_tech;carrier_tech,1906; maturity 1906-1920,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
philosophy_psychology,Society,analytical_philosophy,era_11,psychoanalysis,,1890s; maturity 1900-1930,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
philosophy_psychology,Society,behaviorism,era_11,psychoanalysis,,1910s; maturity 1913-1940,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
rail_transport,Production,electric_railway,era_11,electrical_capacitors;steel_railway_cars,,1880s; maturity 1890-1925,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
telecommunications,Production,radio,era_11,telephone,,1890s; maturity 1900-1925,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
urban_infrastructure,Society,paved_roads,era_11,elevator,,ancient; modern paving 19th century; maturity 1850-1910,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
administration_surveillance,Society,mass_surveillance,era_12,central_planning,,early 20th century; maturity 1920-1950,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
armored_warfare,Military,mobile_armor,era_12,concrete_fortifications;nco_training,,1910s; maturity 1916-1940,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
finance_corporate_governance,Society,macroeconomics,era_12,international_exchange_standards;corporate_management,,1930s; maturity 1930-1950,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
finance_corporate_governance,Society,modern_financial_instruments,era_12,international_exchange_standards,,early 20th century antecedents; maturity 1920-1950,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
food_industrialization,Production,dough_rollers,era_12,conveyors,,19th century mechanization; maturity 1880-1920,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
food_industrialization,Production,flash_freezing,era_12,pasteurization,,1920s; maturity 1925-1940,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
fortification,Military,concrete_fortifications,era_12,defense_in_depth,mobile_armor,late 19th century; maturity 1900-1940,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
infantry_weapons,Military,chemical_warfare,era_12,automatic_machine_guns,,late 19th century chemistry; maturity 1915-1945,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
infantry_weapons,Military,flamethrowers,era_12,trench_works;automatic_machine_guns,,1900s; maturity 1915-1940,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
internal_combustion,Production,compression_ignition,era_12,combustion_engine,,1890s; maturity 1900-1930,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_organization,Military,nco_training,era_12,wargaming;trench_works,mobile_armor,19th century professionalization; maturity 1870-1918,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
military_organization,Military,stormtroopers,era_12,wargaming;trench_works,,1915; maturity 1916-1930,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_doctrine,Naval,battlefleet_tactics,era_12,battleship_tech;sea_lane_strategies,,early 20th century; maturity 1910-1940,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,battleship_tech,era_12,dreadnought_tech,battlefleet_tactics,1910s; maturity 1914-1945,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,carrier_tech,era_12,dreadnought_tech,,1910s; maturity 1920-1945,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
naval_hulls,Naval,destroyer,era_12,monitor_tech,,1890s; maturity 1900-1930,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
public_health,Society,antibiotics,era_12,malaria_prevention,,1910s-1920s; maturity 1930-1950,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steam_power,Production,oil_turbine,era_12,steam_turbine,,early 20th century; maturity 1910-1935,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steel_metallurgy,Production,arc_welding,era_12,electric_arc_process;pneumatic_tools,,1880s; maturity 1900-1930,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
