source,target,source_branch,target_branch,source_era,target_era,classification,cross_branch,reason,future_review_priority
vulcanization,automatic_bottle_blowers,Production,Production,era_9,era_10,ARBITRARY,no,Rubber processing does not directly enable automated glass bottle manufacture.,HIGH
repeaters,bolt_action_rifles,Military,Military,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
identification_documents,central_planning,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
rotary_valve_engine,combustion_engine,Production,Production,era_8,era_10,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
floating_harbor,concrete_dockyards,Naval,Naval,era_9,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
electrical_generation,conveyors,Production,Production,era_9,era_10,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
shift_work,conveyors,Production,Production,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
vulcanization,conveyors,Production,Production,era_9,era_10,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
investment_banks,corporate_management,Society,Society,era_9,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
open_hearth_process,electric_arc_process,Production,Production,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
electrical_generation,electrical_capacitors,Production,Production,era_9,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
steel_frame_buildings,elevator,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
camera,film,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
mutual_funds,international_exchange_standards,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
jeune_ecole,landing_craft,Naval,Naval,era_9,era_10,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
monitor_tech,landing_craft,Naval,Naval,era_9,era_10,ARBITRARY,no,Monitor hull design does not directly enable landing craft.,HIGH
civilizing_mission,malaria_prevention,Society,Society,era_8,era_10,WEAK,no,"Colonial ideology drove demand, but does not technically enable malaria prevention.",MEDIUM
handcranked_machine_gun,military_aviation,Military,Military,era_9,era_10,ARBITRARY,no,Machine-gun development is not the enabling technology for military flight.,HIGH
pan-nationalism,multilateral_alliances,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
improved_fertilizer,nitrogen_fixation,Production,Production,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
reinforced_concrete,plastics,Production,Production,era_8,era_10,ARBITRARY,no,Concrete construction does not directly enable polymer chemistry.,HIGH
reinforced_concrete,pneumatic_tools,Production,Production,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
rotary_valve_engine,pneumatic_tools,Production,Production,era_8,era_10,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
anarchism,political_agitation,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
corporatism,political_agitation,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
socialism,political_agitation,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
ironclad_tech,pre_dreadnought_tech,Naval,Naval,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
philosophical_pragmatism,psychoanalysis,Society,Society,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
jeune_ecole,sea_lane_strategies,Naval,Naval,era_9,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
electrical_generation,steam_turbine,Production,Production,era_9,era_10,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
self_propelled_torpedoes,submarine,Naval,Naval,era_8,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
electrical_generation,telephone,Production,Production,era_9,era_10,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
shift_work,telephone,Production,Production,era_8,era_10,WEAK,no,Factory scheduling and telephony are complementary but not a direct dependency.,MEDIUM
enlistment_offices,war_propaganda,Military,Military,era_8,era_10,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
military_statistics,wargaming,Military,Military,era_9,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
steel_frame_buildings,zeppelins,Society,Society,era_8,era_10,WEAK,no,"Structural steel is relevant to hangars and frames, but the dependency is indirect.",MEDIUM
psychoanalysis,analytical_philosophy,Society,Society,era_10,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
bolt_action_rifles,automatic_machine_guns,Military,Military,era_10,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
handcranked_machine_gun,automatic_machine_guns,Military,Military,era_9,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
psychoanalysis,behaviorism,Society,Society,era_10,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
handcranked_machine_gun,defense_in_depth,Military,Military,era_9,era_11,PLAUSIBLE,no,Machine guns materially shaped layered defensive doctrine.,LOW
trench_works,defense_in_depth,Military,Military,era_9,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
concrete_dockyards,dreadnought_tech,Naval,Naval,era_10,era_11,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
military_aviation,dreadnought_tech,Military,Naval,era_10,era_11,ARBITRARY,yes,Aviation is not a necessary prerequisite for dreadnought construction.,HIGH
pre_dreadnought_tech,dreadnought_tech,Naval,Naval,era_10,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
sea_lane_strategies,dreadnought_tech,Naval,Naval,era_10,era_11,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
electrical_capacitors,electric_railway,Production,Production,era_10,era_11,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
steel_railway_cars,electric_railway,Production,Production,era_8,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
film,mass_propaganda,Society,Society,era_10,era_11,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
political_agitation,mass_propaganda,Society,Society,era_10,era_11,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
electrical_capacitors,pasteurization,Production,Production,era_10,era_11,ARBITRARY,no,Capacitors are not a necessary prerequisite for thermal food treatment.,HIGH
vacuum_canning,pasteurization,Production,Production,era_8,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
elevator,paved_roads,Society,Society,era_10,era_11,ARBITRARY,no,Vertical transport does not directly enable road paving.,HIGH
telephone,radio,Production,Production,era_10,era_11,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
malaria_prevention,antibiotics,Society,Society,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
electric_arc_process,arc_welding,Production,Production,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
pneumatic_tools,arc_welding,Production,Production,era_10,era_12,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
battleship_tech,battlefleet_tactics,Naval,Naval,era_12,era_12,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
sea_lane_strategies,battlefleet_tactics,Naval,Naval,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
dreadnought_tech,battleship_tech,Naval,Naval,era_11,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
dreadnought_tech,carrier_tech,Naval,Naval,era_11,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
automatic_machine_guns,chemical_warfare,Military,Military,era_11,era_12,WEAK,no,Both belong to industrialized warfare but use different enabling technologies.,MEDIUM
combustion_engine,compression_ignition,Production,Production,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
defense_in_depth,concrete_fortifications,Military,Military,era_11,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
monitor_tech,destroyer,Naval,Naval,era_9,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
conveyors,dough_rollers,Production,Production,era_10,era_12,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
automatic_machine_guns,flamethrowers,Military,Military,era_11,era_12,WEAK,no,"Both are infantry support weapons, but one does not directly enable the other.",MEDIUM
trench_works,flamethrowers,Military,Military,era_9,era_12,PLAUSIBLE,no,Trench warfare created the tactical demand for short-range flame weapons.,LOW
pasteurization,flash_freezing,Production,Production,era_11,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
corporate_management,macroeconomics,Society,Society,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
international_exchange_standards,macroeconomics,Society,Society,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
central_planning,mass_surveillance,Society,Society,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
concrete_fortifications,mobile_armor,Military,Military,era_12,era_12,ARBITRARY,no,Fortification technology does not technically enable armored vehicles.,HIGH
nco_training,mobile_armor,Military,Military,era_12,era_12,PLAUSIBLE,no,Professional small-unit leadership supports early armored combined-arms operations.,LOW
international_exchange_standards,modern_financial_instruments,Society,Society,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
trench_works,nco_training,Military,Military,era_9,era_12,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
wargaming,nco_training,Military,Military,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
steam_turbine,oil_turbine,Production,Production,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
trench_works,stormtroopers,Military,Military,era_9,era_12,STRONG,no,Stormtrooper doctrine developed directly in response to trench warfare.,LOW
wargaming,stormtroopers,Military,Military,era_10,era_12,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
