requirement_id,category,object_id,source_status,tech6b3c_decision,implementation_status,file,old_state,new_state,validation,notes,post_tech6b3d_authoritative_update
P21,PRODUCTION,company_sherkat_shemali,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P22,PRODUCTION,company_sherkate_eslamiya,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P23,PRODUCTION,company_nicolas_portalis,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P24,PRODUCTION,company_perskhlopok,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P25,PRODUCTION,company_moscow_irrigation_company,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P26,PRODUCTION,company_basic_fabrics,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/99_basic_companies.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P27,PRODUCTION,company_basic_textiles,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/99_basic_companies.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P28,PRODUCTION,cotton_gin,CONFLICT_REQUIRES_USER_DECISION,Keep cotton_gin era_4 and mechanized_spinning parent,ALREADY_CORRECT,common/technology/technologies/10_tech3a_production.txt,era 4; parent mechanized_spinning; mechanized_spinning,era_4; parent mechanized_spinning,PASS_VERIFIED_CURRENT,Minimal authorized change only,
P29,PRODUCTION,traditional_papermaking,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/10_tech3a_production.txt,root technology; none,organized_forestry shown as prerequisite; organized_forestry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P30,PRODUCTION,pm_market_squares,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/06_urban_center.txt,shown under professional_civil_engineering; professional_civil_engineering,shown under toll roads; turnpike_road_networks,PASS_OBJECT_SCOPED,Minimal authorized change only,
P31,PRODUCTION,arc_welding,NEW_USER_OVERRIDE,DEFERRED_CONCRETE: any reinforced_concrete to arc_welding edge remains for the concrete phase,DEFERRED_CONCRETE,none,parent electric_arc_process; electric_arc_process,No TECH6B3D change,PASS_DEFERRED_SENTINEL,Concrete remains deferred; steel_frame_buildings stays isolated in Society,
P32,PRODUCTION,steel_frame_buildings,NEW_USER_OVERRIDE,SUPERSEDED: steel_frame_buildings is Society and cannot parent or receive a Production prerequisite,SUPERSEDED_BY_TECH6B3C,none,parents investment_banks + modern_sewerage; investment_banks;modern_sewerage,No Steel-Frame/Arc-Welding edge in either direction,PASS_SUPERSEDED,Concrete remains deferred; steel_frame_buildings stays isolated in Society,
P33,PRODUCTION,steel_frame_buildings,CONFLICT_REQUIRES_USER_DECISION,ACCEPTED_DEFERRED_CONCRETE_IMPLEMENTATION: rename only with full concrete delivery,DEFERRED_CONCRETE,none,Steel-Frame Buildings; technology ID remains steel_frame_buildings,Current localization retained,PASS_DEFERRED_SENTINEL,Concrete remains deferred; steel_frame_buildings stays isolated in Society,
P34,PRODUCTION,pm_steel_frame_buildings,CONFLICT_REQUIRES_USER_DECISION,ACCEPTED_DEFERRED_CONCRETE_IMPLEMENTATION: provisional 30 Concrete and Glass 20,DEFERRED_CONCRETE,none,no requested future concrete input yet; steel_frame_buildings,No Concrete input implemented,PASS_DEFERRED_SENTINEL,Concrete remains deferred; steel_frame_buildings stays isolated in Society,
P35,PRODUCTION,arc_welding,CONFLICT_REQUIRES_USER_DECISION,ACCEPTED_DEFERRED_CONCRETE_IMPLEMENTATION: provisional 40 Concrete and Glass 20 on pm_arc_welded_buildings; no cross-category edge,DEFERRED_CONCRETE,none,technology has no goods-input field; not applicable,No Concrete input and no cross-category edge implemented,PASS_DEFERRED_SENTINEL,Concrete remains deferred; steel_frame_buildings stays isolated in Society,
P36,PRODUCTION,pm_condensing_engine_pump_building_coal_mine,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/03_mines.txt,shown under two technologies; condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines; condensing_steam_engines,PASS_OBJECT_SCOPED,Minimal authorized change only,
P37,PRODUCTION,pm_condensing_engine_pump_building_iron_mine,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/03_mines.txt,shown under two technologies; condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines; condensing_steam_engines,PASS_OBJECT_SCOPED,Minimal authorized change only,
P38,PRODUCTION,pm_condensing_engine_pump_building_lead_mine,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/03_mines.txt,shown under two technologies; condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines; condensing_steam_engines,PASS_OBJECT_SCOPED,Minimal authorized change only,
P39,PRODUCTION,pm_condensing_engine_pump_building_sulfur_mine,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/03_mines.txt,shown under two technologies; condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines; condensing_steam_engines,PASS_OBJECT_SCOPED,Minimal authorized change only,
P40,PRODUCTION,pm_condensing_engine_pump_building_gold_mine,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/03_mines.txt,shown under two technologies; condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines; condensing_steam_engines,PASS_OBJECT_SCOPED,Minimal authorized change only,
M01,MILITARY,scientific_naval_architecture,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/25_tech3a_naval.txt,era 3; era_3,era 2; era_2,PASS_OBJECT_SCOPED,Minimal authorized change only,
M02,MILITARY,marine_chronometry,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/25_tech3a_naval.txt,root technology; none,scientific_naval_architecture prerequisite; scientific_naval_architecture,PASS_OBJECT_SCOPED,Minimal authorized change only,
M03,MILITARY,mobilization_option_first_aid,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/mobilization_options/00_mobilization_option.txt,shown under triage; triage,shown under permanent_military_hospitals; permanent_military_hospitals,PASS_OBJECT_SCOPED,Minimal authorized change only,
M04,MILITARY,percussion_cap,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/20_tech3a_military.txt,era 6; era_6,era 5; era_5,PASS_OBJECT_SCOPED,TECH6B3A path corrected to the existing fork file 20_tech3a_military.txt,
M05,MILITARY,general_staff,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/20_tech3a_military.txt,parents corps_organization;military_topographic_surveying;logistics; current parent set,percussion_cap shown in chain; add percussion_cap parent,PASS_OBJECT_SCOPED,TECH6B3A path corrected to the existing fork file 20_tech3a_military.txt,
M06,MILITARY,pm_percussion_caps,CONFLICT_REQUIRES_USER_DECISION,Gate pm_percussion_caps at percussion_cap,IMPLEMENTED,common/production_methods/01_industry.txt,no unlocking_technologies field; ungated PM,pm_percussion_caps -> percussion_cap,PASS_OBJECT_SCOPED,Minimal authorized change only,
M07,MILITARY,pm_naval_fortification_reinforced,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/05_military.txt,shown under breech_loading_artillery; breech_loading_artillery,shown under casemated_fortifications; casemated_fortifications,PASS_OBJECT_SCOPED,Minimal authorized change only,
M08,MILITARY,concrete_fortifications,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,parent defense_in_depth; defense_in_depth,casemated_fortifications shown before concrete; add casemated_fortifications parent,PASS_OBJECT_SCOPED,Minimal authorized change only,
S01,SOCIETY,law_slavery_banned,CONFLICT_REQUIRES_USER_DECISION,Human Rights to organized reform to abolition mobilization; gate Slavery Banned at endpoint,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt;common/laws/02_slavery.txt,current law unlock topology is temporally inconsistent; human_rights/related tech responsibility needs object-level redesign,abolitionist_mobilization parent organized_reform_movements only; law_slavery_banned -> abolitionist_mobilization,PASS_OBJECT_SCOPED,Minimal authorized change only,Frozen five-law progression from slave trade through slavery banned.
S02,SOCIETY,political_economy,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,parents systematic_administrative_statistics;codified_practical_knowledge; current parent set,commercial_insurance_markets prerequisite; add commercial_insurance_markets parent,PASS_OBJECT_SCOPED,Minimal authorized change only,
S03,SOCIETY,commercial_insurance_markets,CONFLICT_REQUIRES_USER_DECISION,"Move Free Trade, No Tariffs and No Subventions to classical_political_economy; retain early commercial responsibilities",IMPLEMENTED,common/laws/01_trade_policy.txt;common/treaty_articles/21_no_tariffs.txt;common/treaty_articles/26_no_subventions.txt,several early responsibilities; multiple objects,"law_free_trade, no_tariffs and no_subventions -> classical_political_economy",PASS_OBJECT_SCOPED,Minimal authorized change only,Protectionism moved from stock_exchange to political_economy.
S04,SOCIETY,law_laissez_faire,CONFLICT_REQUIRES_USER_DECISION,Gate Laissez-Faire at joint_stock_companies,IMPLEMENTED,common/laws/01_economic_system.txt,currently TECH6B2-gated at commercial_insurance_markets; commercial_insurance_markets,law_laissez_faire -> joint_stock_companies,PASS_OBJECT_SCOPED,Minimal authorized change only,
S05,SOCIETY,law_interventionism,CONFLICT_REQUIRES_USER_DECISION,Gate Interventionism at classical_political_economy,IMPLEMENTED,common/laws/01_economic_system.txt,current tech condition includes classical_political_economy; classical_political_economy,law_interventionism -> classical_political_economy,PASS_OBJECT_SCOPED,Minimal authorized change only,
S06,SOCIETY,institutionalized_scientific_exchange,OLD_AUDIT_ALREADY_CORRECT,UNCHANGED_MECHANICAL_REQUIREMENT,ALREADY_CORRECT,common/technology/technologies/30_tech3a_society.txt,country_influence_mult=0.25; country_diplomatic_play_maneuvers_mult=0.25; institutionalized_scientific_exchange,country_influence_mult=0.25; country_diplomatic_play_maneuvers_mult=0.25; institutionalized_scientific_exchange,PASS_VERIFIED_CURRENT,Minimal authorized change only,
S07,SOCIETY,institutionalized_scientific_exchange,CONFLICT_REQUIRES_USER_DECISION,Add country_tech_spread_mult = 0.05 baseline,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,no requested extra spread modifier identified; none,country_tech_spread_mult = 0.05,PASS_OBJECT_SCOPED,Minimal authorized change only,
S08,SOCIETY,law_freedom_of_conscience,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/laws/00_church_and_state.txt,shown under codified_practical_knowledge; codified_practical_knowledge,shown under scientific exchange; institutionalized_scientific_exchange,PASS_OBJECT_SCOPED,Minimal authorized change only,
S09,SOCIETY,building_university,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/07_government.txt,shown under institutionalized_scientific_exchange; institutionalized_scientific_exchange,shown under technical academies; specialized_technical_academies,PASS_OBJECT_SCOPED,Minimal authorized change only,
S10,SOCIETY,law_total_separation,CONFLICT_REQUIRES_USER_DECISION,Gate Total Separation at liberal_constitutionalism,IMPLEMENTED,common/laws/00_church_and_state.txt,shown under institutionalized_scientific_exchange; institutionalized_scientific_exchange,law_total_separation -> liberal_constitutionalism,PASS_OBJECT_SCOPED,Minimal authorized change only,
S11,SOCIETY,pm_philosophy_department,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/07_government.txt,shown under codified_practical_knowledge; codified_practical_knowledge,shown under polytechnical_education; polytechnical_education,PASS_OBJECT_SCOPED,Minimal authorized change only,
S12,SOCIETY,pm_analytical_philosophy_department,GAMEPLAY_GATE_CORRECTION_REQUIRED,SUPERSEDED: Analytical Philosophy PM remains on analytical_philosophy,SUPERSEDED_BY_TECH6B3C,none,shown under analytical_philosophy; analytical_philosophy,pm_analytical_philosophy_department remains -> analytical_philosophy,PASS_SUPERSEDED,Minimal authorized change only,
S13,SOCIETY,none,CONFLICT_REQUIRES_USER_DECISION,Add country_weekly_innovation_max_add = 5 baseline,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,not specified; none,country_weekly_innovation_max_add = 5,PASS_OBJECT_SCOPED,Minimal authorized change only,
S14,SOCIETY,specialized_professional_societies,CONFLICT_REQUIRES_USER_DECISION,Create one Professional Faculties university PM,IMPLEMENTED,common/production_methods/07_government.txt;common/production_method_groups/07_government.txt;localization/english/tech3a_technology_l_english.yml;localization/french/tech3a_technology_l_french.yml,no object exists; none,pm_professional_faculties in pmg_base_building_university; gate specialized_professional_societies; innovation 1.75,PASS_OBJECT_SCOPED,Canonical new ID: pm_professional_faculties; paper 11 + tools 1 interpolates input cost between adjacent tiers,
S15,SOCIETY,analytical_philosophy,CONFLICT_REQUIRES_USER_DECISION,Keep existing Analytical Philosophy Department at analytical_philosophy,ALREADY_CORRECT,common/production_methods/07_government.txt,no object exists; none,Existing PM retained,PASS_VERIFIED_CURRENT,Minimal authorized change only,
S16,SOCIETY,medical_degrees,CONFLICT_REQUIRES_USER_DECISION,Keep medical_degrees unchanged and converge at vaccination,ALREADY_CORRECT,common/technology/technologies/30_tech3a_society.txt,parent institutionalized_scientific_exchange; current separate branch,medical_degrees unchanged,PASS_VERIFIED_CURRENT,Minimal authorized change only,
S17,SOCIETY,clinicopathological_medicine,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,ALREADY_CORRECT,common/technology/technologies/30_tech3a_society.txt,parents medical_degrees;experimental_research_laboratories; current parent set,parents medical_degrees;experimental_research_laboratories; current parent set,PASS_VERIFIED_CURRENT,Exact existing ID is clinicopathological_medicine; no unknown clinicopathological_analysis ID used,
S18,SOCIETY,active_principle_pharmacy,NEW_USER_OVERRIDE,SUPERSEDED: Active Principle Pharmacy remains parallel to Clinicopathological Medicine,SUPERSEDED_BY_TECH6B3C,none,parents experimental_research_laboratories;medical_degrees; current parent set,Parallel medical branches retained,PASS_SUPERSEDED,Minimal authorized change only,
S19,SOCIETY,vaccination,CONFLICT_REQUIRES_USER_DECISION,Vaccination parents variolation_networks and medical_degrees,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,parent variolation_networks; current immunization branch,vaccination -> variolation_networks + medical_degrees,PASS_OBJECT_SCOPED,Minimal authorized change only,
S20,SOCIETY,organized_immunization_campaigns,CONFLICT_REQUIRES_USER_DECISION,Organized Immunization parents vaccination and active_principle_pharmacy,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,parent vaccination; vaccination,organized_immunization_campaigns -> vaccination + active_principle_pharmacy,PASS_OBJECT_SCOPED,Minimal authorized change only,Public health insurance moved from active_principle_pharmacy.
S21,SOCIETY,identification_documents,CONFLICT_REQUIRES_USER_DECISION,Add professional_civil_policing to identification_documents,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,parent central_statistical_offices; current parent set,identification_documents -> central_statistical_offices + professional_civil_policing,PASS_OBJECT_SCOPED,Minimal authorized change only,
S22,SOCIETY,central_planning,CONFLICT_REQUIRES_USER_DECISION,No redundant edge to central_planning or mass_surveillance,ALREADY_CORRECT,none,parent identification_documents; identification_documents,No direct later policing edge,PASS_VERIFIED_CURRENT,Minimal authorized change only,
S23,SOCIETY,joint_stock_companies,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,hidden compatibility alias; can_research=no,visible researchable technology; can_research=yes/remove hidden flag,PASS_OBJECT_SCOPED,Minimal authorized change only,
S24,SOCIETY,country_max_companies_add,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,stock_exchange owns +2; stock_exchange,joint_stock_companies owns +1; stock_exchange retains +1; joint_stock_companies,PASS_OBJECT_SCOPED,Minimal authorized change only,
S25,SOCIETY,country_free_charters_add,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/30_tech3a_society.txt,stock_exchange owns +2; stock_exchange,joint_stock_companies owns +1; stock_exchange retains +1; joint_stock_companies,PASS_OBJECT_SCOPED,Minimal authorized change only,
S26,SOCIETY,joint_stock_companies,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,parents banking;corporate_charters; current parent set,parents postal_savings;commercial_insurance_markets; postal_savings;commercial_insurance_markets,PASS_OBJECT_SCOPED,Minimal authorized change only,
S27,SOCIETY,joint_stock_companies,CONFLICT_REQUIRES_USER_DECISION,Restore joint_stock_companies as researchable era_6,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era 7; era_7,"joint_stock_companies researchable, era_6",PASS_OBJECT_SCOPED,Minimal authorized change only,Stock Exchange is forced visible when needed; researchable Joint Stock Companies bypasses the consumed-alias GUI filter for cards and edges.
S28,SOCIETY,mutual_funds,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,parents institutionalized_public_credit;postal_savings; current parent set,parents institutionalized_public_credit;postal_savings; current parent set,PASS_OBJECT_SCOPED,Minimal authorized change only,
S29,SOCIETY,investment_banks,CONFLICT_REQUIRES_USER_DECISION,Investment Banks inherits Joint Stock through Mutual Funds; no direct extra edge,ALREADY_CORRECT,none,parents stock_exchange;mutual_funds; current parent set,investment_banks direct parents stock_exchange + mutual_funds,PASS_VERIFIED_CURRENT,Minimal authorized change only,
S30,SOCIETY,mutual_funds,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,parent postal_savings present; postal_savings,postal_savings removed; no postal_savings parent,PASS_OBJECT_SCOPED,Minimal authorized change only,
S31,SOCIETY,investment_banks,OLD_AUDIT_ALREADY_CORRECT,UNCHANGED_MECHANICAL_REQUIREMENT,ALREADY_CORRECT,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,no direct postal_savings parent; stock_exchange;mutual_funds,no direct postal_savings parent; stock_exchange;mutual_funds,PASS_VERIFIED_CURRENT,Minimal authorized change only,
H01,SOCIETY,law_protectionism,POST_TECH6B3D_HUMAN_AUTHORITY,Superseded or extended by later human runtime review,POST_TECH6B3D_MANUAL_IMPLEMENTED,common/laws/01_trade_policy.txt,Prior TECH6B2/TECH6B3D state,Protectionism moved from stock_exchange to political_economy.,PASS_CURRENT_OBJECT_SCOPED,Added during TECH6B3E documentation reconciliation; no gameplay write in TECH6B3E.,Protectionism moved from stock_exchange to political_economy.
H02,SOCIETY,law_public_health_insurance,POST_TECH6B3D_HUMAN_AUTHORITY,Superseded or extended by later human runtime review,POST_TECH6B3D_MANUAL_IMPLEMENTED,common/laws/01_health_system.txt,Prior TECH6B2/TECH6B3D state,Public health insurance moved from active_principle_pharmacy.,PASS_CURRENT_OBJECT_SCOPED,Added during TECH6B3E documentation reconciliation; no gameplay write in TECH6B3E.,Public health insurance moved from active_principle_pharmacy.
