index,scope,object_id,object_type,file,change_class,before,current_at_6021df7,design_status,notes
14,TECHNOLOGY,civilizing_mission,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,PREREQUISITE_CHANGE,quinine + nationalism,quinine + nationalism + colonization,ACCEPTED_CURRENT_STATE,
15,TECHNOLOGY,gantry_cranes,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,PREREQUISITE_CHANGE,mechanized_naval_dockyards,mechanized_naval_dockyards + maritime_safety_standards,ACCEPTED_CURRENT_STATE,
16,TECHNOLOGY,malaria_prevention,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,PREREQUISITE_CHANGE,quinine,civilizing_mission + organized_immunization_campaigns + quinine,ACCEPTED_CURRENT_STATE,
17,TECHNOLOGY,modern_sewerage,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,REACTIVATION_AND_RETIME,Era VII; can_research=no; urban_planning,Era VIII; researchable; organized_immunization_campaigns,ACCEPTED_CURRENT_STATE,
18,GUI,modern_sewerage,gui_filter,gui/tech_tree.gui,VISIBILITY_CHANGE,included in hidden compatibility alias filters,removed from both hidden-alias filters,ACCEPTED_CURRENT_STATE,
19,TECHNOLOGY,steel_frame_buildings,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,PREREQUISITE_CHANGE,investment_banks,investment_banks + modern_sewerage,ACCEPTED_CURRENT_STATE,
20,TECHNOLOGY,steam_donkey,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,PREREQUISITE_CHANGE,watertube_boiler,watertube_boiler + organized_forestry + mechanical_tools,ACCEPTED_CURRENT_STATE,
21,BUILDING_GATE,building_glassworks,building,common/buildings/01_industry.txt,GATE_CHANGE,pressed_glass,traditional_glassmaking,ACCEPTED_CURRENT_STATE,
22,BUILDING_GATE,building_tooling_workshop,building,common/buildings/01_industry.txt,GATE_CHANGE,mechanical_tools,coke_smelting,ACCEPTED_CURRENT_STATE,
23,BUILDING_GATE,building_paper_mill,building,common/buildings/01_industry.txt,GATE_CHANGE,continuous_papermaking,traditional_papermaking,ACCEPTED_CURRENT_STATE,
24,BUILDING_GATE,building_motor_industry,building,common/buildings/01_industry.txt,GATE_CHANGE,atmospheric_engine,rotative_steam_power,ACCEPTED_CURRENT_STATE,
25,BUILDING_GATE,building_shipyard,building,common/buildings/01_industry.txt,GATE_CHANGE,marine_chronometry,scientific_naval_architecture,ACCEPTED_CURRENT_STATE,
26,BUILDING_GATE,building_logging_camp,building,common/buildings/09_misc_resource.txt,GATE_CHANGE,none / inherited vanilla behavior,organized_forestry,ACCEPTED_CURRENT_STATE,
27,BUILDING_GATE,building_barrack,building,common/buildings/05_military.txt,GATE_CHANGE,corps_organization (TECH5B1 R2 state),scientific_fortification_siegecraft,ACCEPTED_CURRENT_STATE,
28,BUILDING_GATE,building_naval_fortification,building,common/buildings/05_military.txt,GATE_CHANGE,none / inherited vanilla behavior,scientific_fortification_siegecraft,ACCEPTED_CURRENT_STATE,
29,PM_GATE,pm_pig_iron,production_method,common/production_methods/01_industry.txt,GATE_CHANGE,coke_smelting (TECH5B1 R2 state),precision_boring,ACCEPTED_CURRENT_STATE,Current manual state supersedes the historical R2 snapshot.
30,PM_GATE,pm_saw_mills,production_method,common/production_methods/09_misc_resource.txt,GATE_RETAINED,mechanical_tools,mechanical_tools,ACCEPTED_CURRENT_STATE,Gate retained; causal forestry requirement currently arrives transitively through mechanical_tools.
31,PM_GATE,pm_ceramics,production_method,common/production_methods/01_industry.txt,GATE_CHANGE,none,industrial_ceramics,ACCEPTED_CURRENT_STATE,First ceramics luxury-output method now belongs to Industrial Ceramics.
32,PM_GATE,pm_leaded_glass,production_method,common/production_methods/01_industry.txt,GATE_CHANGE,lathe,industrial_ceramics,ACCEPTED_CURRENT_STATE,Removes hidden lathe alias responsibility.
33,PM_GATE,pm_crystal_glass,production_method,common/production_methods/01_industry.txt,GATE_RETAINED,crystal_glass,crystal_glass,ACCEPTED_CURRENT_STATE,Gate retained; now causally downstream of Industrial Ceramics.
34,PM_GATE,pm_bone_china,production_method,common/production_methods/01_industry.txt,GATE_RETAINED,chemical_bleaching,chemical_bleaching,ACCEPTED_CURRENT_STATE,Gate intentionally retained in current design.
35,SHIP_MOD_GATE,ship_mod_frigate_propulsion_medium,ship_modification,common/ship_modifications/00_ship_modifications.txt,GATE_CHANGE,atmospheric_engine,high_pressure_steam,ACCEPTED_CURRENT_STATE,
36,SHIP_MOD_GATE,ship_mod_ship_of_the_line_propulsion_medium,ship_modification,common/ship_modifications/00_ship_modifications.txt,GATE_CHANGE,atmospheric_engine,high_pressure_steam,ACCEPTED_CURRENT_STATE,
