tech_id,branch,era,current_prerequisites,source_vanilla_status,freeze_action,classification,proposed_action,proposed_prerequisites,implemented_prerequisites,status,notes
mass_communication,society,era_7,democracy,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,democracy,PASS_NEUTRALIZED,Canonical owner: periodical_print_networks. ID retained only because out-of-scope history/events/AI still reference it.
mechanized_workshops,production,era_7,canneries;mechanical_tools;manufacturies,VANILLA_1_13_9_ERA_2,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,canneries;mechanical_tools;manufacturies,PASS_NEUTRALIZED,Canonical owner: interchangeable_manufacture. ID retained only because out-of-scope history/events/AI still reference it.
military_drill,military,era_7,standing_army,VANILLA_1_13_9_ERA_1,REWIRE,CONSUMED_REWIRE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,standing_army,PASS_NEUTRALIZED,Canonical owner: light_infantry_tactics. ID retained only because out-of-scope history/events/AI still reference it.
modern_sewerage,society,era_7,urban_planning,VANILLA_1_13_9_ERA_2,REWIRE,CONSUMED_REWIRE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,urban_planning,PASS_NEUTRALIZED,Canonical owner: professional_civil_engineering. ID retained only because out-of-scope history/events/AI still reference it.
napoleonic_warfare,military,era_7,line_infantry;artillery,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,line_infantry;artillery,PASS_NEUTRALIZED,Canonical owner: corps_organization. ID retained only because out-of-scope history/events/AI still reference it.
nationalism,society,era_7,mass_communication;national_sovereignty,VANILLA_1_13_9_ERA_2,SPLIT_PRESERVE_MATURE_POST1836,PRESERVED_POST1836_BRIDGE,REWIRE_PREREQUISITES,periodical_print_networks;national_sovereignty,periodical_print_networks;national_sovereignty,PASS,Retained as a distinct post-1836 node.
navigation,military,era_7,,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,,PASS_NEUTRALIZED,Canonical owner: marine_chronometry. ID retained only because out-of-scope history/events/AI still reference it.
nitroglycerin,production,era_7,intensive_agriculture;prospecting,VANILLA_1_13_9_ERA_2,PRESERVE_POST1836_DEFAULT,PRESERVED_POST1836_BRIDGE,REWIRE_PREREQUISITES,industrial_acids,industrial_acids,PASS,Retained as a distinct post-1836 node.
organized_sports,society,era_7,nationalism,VANILLA_1_13_9_ERA_2,PRESERVE_POST1836_DEFAULT,PRESERVED_POST1836_BRIDGE,KEEP,nationalism,nationalism,PASS,Retained as a distinct post-1836 node.
power_of_the_purse,military,era_7,admiralty,VANILLA_1_13_9_ERA_2,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,admiralty,PASS_NEUTRALIZED,Canonical owner: state_dockyard_systems. ID retained only because out-of-scope history/events/AI still reference it.
prospecting,production,era_7,geological_surveying,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,geological_surveying,PASS_NEUTRALIZED,Canonical owner: applied_mineralogy. ID retained only because out-of-scope history/events/AI still reference it.
psychiatry,society,era_7,empiricism,VANILLA_1_13_9_ERA_2,RETIME,CONSUMED_MERGE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,empiricism,PASS_NEUTRALIZED,Canonical owner: medical_degrees. ID retained only because out-of-scope history/events/AI still reference it.
quinine,society,era_7,colonization;pharmaceuticals,VANILLA_1_13_9_ERA_2,SPLIT_PRESERVE_MATURE_POST1836,PRESERVED_POST1836_BRIDGE,KEEP,colonization;pharmaceuticals,colonization;pharmaceuticals,PASS,Retained as a distinct post-1836 node.
rationalism,society,era_7,,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,,PASS_NEUTRALIZED,Canonical owner: codified_practical_knowledge. ID retained only because out-of-scope history/events/AI still reference it.
realism,society,era_7,romanticism,VANILLA_1_13_9_ERA_2,PRESERVE_POST1836_DEFAULT,PRESERVED_POST1836_BRIDGE,KEEP,romanticism,romanticism,PASS,Retained as a distinct post-1836 node.
romanticism,society,era_7,academia,VANILLA_1_13_9_ERA_1,PRESERVE_POST1836_DEFAULT,PRESERVED_POST1836_BRIDGE,REWIRE_PREREQUISITES,institutionalized_scientific_exchange,institutionalized_scientific_exchange,PASS,Retained as a distinct post-1836 node.
screw_frigate,military,era_7,paddle_steamer,VANILLA_1_13_9_ERA_2,KEEP,CONSUMED_MERGE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,paddle_steamer,PASS_NEUTRALIZED,Canonical owner: iron_hull_construction. ID retained only because out-of-scope history/events/AI still reference it.
sericulture,production,era_7,,VANILLA_1_13_9_ERA_1,VANILLA_NONRESEARCHABLE_ALLOWLIST,LEGITIMATE_ROOT,KEEP,,,PASS,Explicit allowlist: vanilla can_research = no regional/event technology; not an unintended research root.
standing_army,military,era_7,,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,,PASS_NEUTRALIZED,Canonical owner: corps_organization. ID retained only because out-of-scope history/events/AI still reference it.
steelworking,production,era_7,hot_blast_smelting,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,hot_blast_smelting,PASS_NEUTRALIZED,Canonical owner: coke_smelting. ID retained only because out-of-scope history/events/AI still reference it.
tech_bureaucracy,society,era_7,urbanization,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,urbanization,PASS_NEUTRALIZED,Canonical owner: systematic_administrative_statistics. ID retained only because out-of-scope history/events/AI still reference it.
triage,military,era_7,logistics,VANILLA_1_13_9_ERA_2,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,logistics,PASS_NEUTRALIZED,Canonical owner: battlefield_evacuation. ID retained only because out-of-scope history/events/AI still reference it.
urban_planning,society,era_7,urbanization,VANILLA_1_13_9_ERA_1,REWIRE,CONSUMED_REWIRE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,urbanization,PASS_NEUTRALIZED,Canonical owner: professional_civil_engineering. ID retained only because out-of-scope history/events/AI still reference it.
urbanization,society,era_7,,VANILLA_1_13_9_ERA_1,REWIRE,CONSUMED_REWIRE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,,PASS_NEUTRALIZED,Canonical owner: professional_civil_engineering. ID retained only because out-of-scope history/events/AI still reference it.
watertube_boiler,production,era_7,high_pressure_steam,VANILLA_1_13_9_ERA_2,KEEP,PRESERVED_POST1836_BRIDGE,KEEP,high_pressure_steam,high_pressure_steam,PASS,Retained as a distinct post-1836 node.
