Technology_ID,Current_Parents,Proposed_Parents,Current_Era,Proposed_Era,Current_Role,Proposed_Role,Change_Type,Reason,Historical_Compromise,Gameplay_Benefit,Distribution_Impact,Risk
CONTENT:building_gold_mine:pm_condensing_engine_pump_building_gold_mine,gates actuels,gates actuels + applied_mineralogy,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_oil_rig:pm_combustion_derricks,gates actuels,gates actuels + pumpjacks,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_oil_rig:pm_rail_transport_building_oil_rig,gates actuels,gates actuels + pumpjacks,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_oil_rig:pm_tanker_cars,gates actuels,gates actuels + pumpjacks,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_phosphate_mine:pm_atmospheric_engine_pump_building_phosphate_mine,gates actuels,gates actuels + applied_mineralogy,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_phosphate_mine:pm_condensing_engine_pump_building_phosphate_mine,gates actuels,gates actuels + applied_mineralogy,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_rubber_plantation:pm_steam_rail_transport,gates actuels,gates actuels + rubber_mastication,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,"Créer une variante PM propre au bâtiment avant d’ajouter le gate, car le PM générique est partagé.",Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
LAYOUT:military_eras_1_5,N/A,N/A,N/A,N/A,Disposition runtime actuelle,Couloir visuel hiérarchique,LAYOUT_ONLY,"Faire diverger doctrine, armements et services depuis le nouveau tronc militaire.",Aucun,Réduit les croisements sans créer de dépendance décorative.,Aucun,LOW: la disposition est dérivée du graphe et doit être recontrôlée en jeu.
LAYOUT:naval_eras_1_6,N/A,N/A,N/A,N/A,Disposition runtime actuelle,Couloir visuel hiérarchique,LAYOUT_ONLY,"Faire diverger arsenaux, bassins et connaissances depuis le nouveau tronc naval.",Aucun,Réduit les croisements sans créer de dépendance décorative.,Aucun,LOW: la disposition est dérivée du graphe et doit être recontrôlée en jeu.
LAYOUT:production_eras_1_4,N/A,N/A,N/A,N/A,Disposition runtime actuelle,Couloir visuel hiérarchique,LAYOUT_ONLY,"Aligner six troncs en couloirs: manufactures, alimentation, agriculture, mines, textile et transport.",Aucun,Réduit les croisements sans créer de dépendance décorative.,Aucun,LOW: la disposition est dérivée du graphe et doit être recontrôlée en jeu.
LAYOUT:society_eras_1_5,N/A,N/A,N/A,N/A,Disposition runtime actuelle,Couloir visuel hiérarchique,LAYOUT_ONLY,"Placer savoirs codifiés, administration, presse, finance et médecine sur des lignes distinctes.",Aucun,Réduit les croisements sans créer de dépendance décorative.,Aucun,LOW: la disposition est dérivée du graphe et doit être recontrôlée en jeu.
abolitionist_mobilization,organized_reform_movements,organized_reform_movements,era_5,era_5,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
academia,rationalism,rationalism,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
active_principle_pharmacy,experimental_research_laboratories;medical_degrees,experimental_research_laboratories;medical_degrees,era_5,era_5,Déblocage PM/loi,Déblocage PM/loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
admiralty,navigation,navigation,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
advanced_crop_rotations,improved_husbandry,improved_husbandry,era_3,era_3,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
advanced_spinning,mechanized_spinning,mechanized_spinning,era_4,era_4,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
aluminium_metallurgy,electrical_capacitors;industrial_alkalis,electrical_capacitors;industrial_alkalis,era_10,era_10,Déblocage bâtiment/PM,Déblocage bâtiment/PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
analytical_philosophy,specialized_professional_societies,specialized_professional_societies,era_11,era_11,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
anarchism,early_socialism_cooperativism;national_sovereignty,early_socialism_cooperativism;national_sovereignty,era_7,era_7,Déblocage loi/contenu militaire/diplomatique,Déblocage loi/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
aniline,fractional_distillation,fractional_distillation,era_8,era_8,Déblocage bâtiment/PM,Déblocage bâtiment/PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
antibiotics,experimental_research_laboratories;malaria_prevention;organized_immunization_campaigns,experimental_research_laboratories;malaria_prevention;organized_immunization_campaigns,era_12,era_12,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
applied_mineralogy,,,era_3,era_3,Déblocage bâtiment,Spécialisation rattachée à un tronc identifiable,REMOVE_EDGE,La minéralogie appliquée ne justifie pas les sept bâtiments miniers de shaft_mining.,La spécialité reste une racine productive avec ses propres unlocks.,Supprime trois grants miniers inacceptables.,0 grant(s) structurel(s) simulé(s),LOW
arc_welding,electric_arc_process,electric_arc_process,era_11,era_11,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
armament_standardization_inspection,regulated_small_arms;standardized_field_artillery,regulated_small_arms;standardized_field_artillery,era_4,era_4,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
army_reserves,line_infantry,line_infantry,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
art_silk,aniline,aniline,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
artillery,gunsmithing,gunsmithing,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
atmospheric_engine,shaft_mining,shaft_mining,era_2,era_2,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
automated_flour_milling,improved_agricultural_implements;traditional_food_processing,improved_agricultural_implements;traditional_food_processing,era_4,era_4,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
automatic_bottle_blowers,pressed_glass,pressed_glass,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
automatic_machine_guns,bolt_action_rifles;handcranked_machine_gun,bolt_action_rifles;handcranked_machine_gun,era_11,era_11,Déblocage PM/contenu militaire/diplomatique,Déblocage PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
baking_powder,industrial_acids;sugar_refining,industrial_alkalis;sugar_refining,era_7,era_7,Déblocage PM,Spécialisation rattachée à un tronc identifiable,REPLACE_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
banking,currency_standards,currency_standards,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
battlefield_evacuation,logistics;permanent_military_hospitals,logistics;permanent_military_hospitals,era_5,era_5,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
battlefleet_tactics,destroyer;dreadnought_tech;sea_lane_strategies,destroyer;dreadnought_tech;sea_lane_strategies,era_12,era_12,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
battleship_tech,concrete_dockyards;dreadnought_tech,concrete_dockyards;dreadnought_tech,era_12,era_12,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
behaviorism,experimental_research_laboratories;philosophical_pragmatism,experimental_research_laboratories;philosophical_pragmatism,era_11,era_11,Bonus technologique,Bonus technologique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
bessemer_process,hot_blast_smelting,hot_blast_smelting,era_7,era_7,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
bolt_action_rifles,repeaters,repeaters,era_9,era_9,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
breech_loading_artillery,shell_gun,shell_gun,era_8,era_8,Déblocage PM/contenu militaire/diplomatique,Déblocage PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
camera,experimental_research_laboratories,experimental_research_laboratories;romanticism,era_7,era_7,Déblocage PM,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
canneries,automated_flour_milling,automated_flour_milling,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
carrier_tech,dreadnought_tech;military_aviation,dreadnought_tech;military_aviation,era_12,era_12,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
casemated_fortifications,permanent_engineer_services,permanent_engineer_services,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
central_archives,centralization,centralization,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
central_banking,banking,banking,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
central_planning,identification_documents,identification_documents,era_11,era_11,Déblocage PM/loi,Déblocage PM/loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
central_statistical_offices,systematic_administrative_statistics;systematic_population_registration,systematic_administrative_statistics;systematic_population_registration,era_5,era_5,Déblocage PM/loi,Déblocage PM/loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
centralization,nationalism;tech_bureaucracy,nationalism;tech_bureaucracy,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
chemical_bleaching,industrial_acids;industrial_ceramics,industrial_alkalis;industrial_ceramics,era_4,era_5,Déblocage PM,Spécialisation rattachée à un tronc identifiable,REPLACE_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
chemical_warfare,trench_works,trench_works,era_12,era_12,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
civilizing_mission,abolitionist_mobilization;colonization;nationalism;quinine,abolitionist_mobilization;colonization;nationalism;quinine,era_8,era_8,Déblocage bâtiment/contenu militaire/diplomatique,Déblocage bâtiment/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
classical_political_economy,political_economy;systematic_population_registration,political_economy;systematic_population_registration,era_4,era_4,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
clinicopathological_medicine,experimental_research_laboratories;medical_degrees,experimental_research_laboratories;medical_degrees,era_5,era_5,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
coal_gasification,coke_smelting;industrial_acids,coke_smelting;industrial_acids,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
codified_practical_knowledge,,,era_2,era_2,Aucun rôle gameplay direct,Aucun rôle gameplay direct,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,16 grant(s) structurel(s) simulé(s),LOW
coke_smelting,shaft_mining,organized_workshops;shaft_mining,era_1,era_1,Déblocage bâtiment,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
colonization,international_relations,international_relations,era_4,era_4,Déblocage bâtiment/loi,Déblocage bâtiment/loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
combustion_engine,rotary_valve_engine,rotary_valve_engine,era_9,era_9,Déblocage bâtiment/PM/contenu militaire/diplomatique,Déblocage bâtiment/PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
commercial_insurance_markets,,organized_financial_institutions,era_2,era_2,Déblocage loi/contenu militaire/diplomatique,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
compression_ignition,combustion_engine;mechanized_farming,combustion_engine;mechanized_farming,era_11,era_11,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
concrete_dockyards,floating_harbor,floating_harbor,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
concrete_fortifications,casemated_fortifications;defense_in_depth,casemated_fortifications;defense_in_depth,era_11,era_11,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
condensing_steam_engines,atmospheric_engine;precision_boring,atmospheric_engine;precision_boring,era_4,era_4,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
constitutional_government,periodical_print_networks,periodical_print_networks,era_4,era_4,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
continuous_papermaking,precision_boring;traditional_papermaking,precision_boring;traditional_papermaking,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
conveyors,electrical_generation;shift_work;vulcanization,electrical_generation;shift_work;vulcanization,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
copper_sheathing,scientific_naval_architecture,scientific_naval_architecture,era_4,era_4,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
corporate_charters,stock_exchange,stock_exchange,era_4,era_4,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
corporate_management,investment_banks,investment_banks,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
corporatism,labor_movement;nationalism,labor_movement;nationalism,era_9,era_9,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
corps_organization,horse_artillery;permanent_engineer_services,horse_artillery;permanent_engineer_services,era_5,era_5,Déblocage loi/contenu militaire/diplomatique,Déblocage loi/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
cotton_gin,mechanized_spinning,mechanized_spinning,era_4,era_4,Déblocage bâtiment,Déblocage bâtiment,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
crystal_glass,industrial_ceramics,industrial_ceramics;traditional_glassmaking,era_4,era_4,Déblocage PM,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
currency_standards,centralization;international_trade,centralization;international_trade,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
