"Technology_ID","Era","Category","Current_EN_Name","Current_FR_Name","Current_EN_Description","Current_FR_Description","Issue_Type","Needs_Name_Change","Needs_Description_Change","Notes"
"artificial_fertilizers","era_4","production","Artificial Fertilizers","Engrais artificiels","Combining industrial acids with systematic crop rotation makes the large-scale manufacture of agricultural fertilizers possible.","L'association des acides industriels et de rotations culturales systématiques permet la fabrication à grande échelle d'engrais agricoles.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=advanced_crop_rotations industrial_acids; unlocks=none"
"selective_breeding","era_2","production","Selective Breeding","Élevage sélectif","The practical development of Selective Breeding expands productive capacity and prepares its later industrial applications.","Le développement pratique de Élevage sélectif accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=improved_husbandry; unlocks=production_methods:pm_sheep_farms"
"industrial_canals","era_3","production","Organized Commercial Waterways","Voies d'eau commerciales organisées","Coordinated canal and navigable-waterway networks connect markets and carry bulk goods without presupposing later industrial engineering.","Des réseaux coordonnés de canaux et de voies navigables relient les marchés et transportent les marchandises pondéreuses sans supposer le génie industriel ultérieur.","BAD_TRANSLATION","YES","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=turnpike_road_networks; unlocks=production_methods:pm_industrial_canals"
"mechanized_spinning","era_3","production","","Filature mécanisée précoce","","L'introduction de machines de filature motorisées permet aux producteurs textiles de remplacer progressivement le filage manuel par des procédés mécaniques plus rapides et plus réguliers.","MISSING_EN","YES","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=organized_textile_production; unlocks=production_methods:pm_dye_workshops"
"applied_mineralogy","era_3","production","Applied Mineralogy","Minéralogie appliquée","The practical development of Applied Mineralogy expands productive capacity and prepares its later industrial applications.","Le développement pratique de Minéralogie appliquée accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=shaft_mining; unlocks=buildings:building_gold_field|buildings:building_phosphate_mine"
"industrial_ceramics","era_3","production","Industrial Ceramics","Céramique industrielle","The practical development of Industrial Ceramics expands productive capacity and prepares its later industrial applications.","Le développement pratique de Céramique industrielle accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=organized_workshops; unlocks=production_methods:pm_leaded_glass|production_methods:pm_ceramics"
"precision_boring","era_4","production","Precision Boring","Alésage de précision","The practical development of Precision Boring expands productive capacity and prepares its later industrial applications.","Le développement pratique de Alésage de précision accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=coke_smelting atmospheric_engine organized_workshops; unlocks=production_methods:pm_pig_iron|production_methods:coffee_plantation_wet_process_manual|production_methods:molds"
"condensing_steam_engines","era_4","production","Condensing Steam Engines","Vapeur à condensation","The practical development of Condensing Steam Engines expands productive capacity and prepares its later industrial applications.","Le développement pratique de Machines à vapeur à condensation accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=atmospheric_engine precision_boring; unlocks=production_methods:pm_condensing_engine_pump_building_coal_mine|production_methods:pm_condensing_engine_pump_building_iron_mine|production_methods:pm_condensing_engine_pump_building_lead_mine|production_methods:pm_condensing_engine_pump_building_sulfur_mine|production_methods:pm_condensing_engine_pump_building_gold_mine|production_methods:pm_condensing_engine_pump_building_salt_mine|production_methods:pm_condensing_engine_pump_building_copper_mine|production_methods:pm_condensing_engine_pump_building_phosphate_mine"
"rotative_steam_power","era_5","production","Rotative Steam Power","Vapeur rotative","The practical development of Rotative Steam Power expands productive capacity and prepares its later industrial applications.","Le développement pratique de Force motrice à vapeur rotative accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=condensing_steam_engines; unlocks=buildings:building_motor_industry|production_methods:coffee_plantation_wet_process_mechanical"
"advanced_spinning","era_4","production","Sewing Mechanization","Mécanisation de la couture","Purpose-built sewing machinery mechanizes garment assembly and prepares textile workshops for later electrically powered equipment.","Des machines spécialisées mécanisent l'assemblage des vêtements et préparent les ateliers textiles à l'emploi ultérieur d'équipements électriques.","BAD_TRANSLATION","YES","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=mechanized_spinning; unlocks=production_methods:pm_sewing_machines"
"puddling_and_rolling","era_4","production","Puddling and Rolling","Puddlage et laminage","The practical development of Puddling and Rolling expands productive capacity and prepares its later industrial applications.","Le développement pratique de Puddlage et laminage accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=coke_smelting; unlocks=production_methods:pm_blister_steel_process"
"deep_mine_engineering","era_4","production","Deep Mine Engineering","Mines profondes","The practical development of Deep Mine Engineering expands productive capacity and prepares its later industrial applications.","Le développement pratique de Ingénierie des mines profondes accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=shaft_mining atmospheric_engine applied_mineralogy; unlocks=production_methods:pm_steam_mine_ventilation_building_bauxite_mine|production_methods:pm_electric_mine_ventilation_building_bauxite_mine|production_methods:pm_steam_mine_ventilation|production_methods:pm_electric_mine_ventilation"
"threshing_machine","era_4","production","Threshing Machines","Batteuse","By removing the physical labor aspect of threshing the grain, the Steam Powered Threshing Machine makes farming much more efficient.","En supprimant l’aspect physique du battage des céréales, la batteuse à vapeur rend l’agriculture bien plus efficace.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=improved_agricultural_implements; unlocks=production_methods:pm_steam_threshers|production_methods:pm_steam_threshers_building_rice_farm"
"chemical_bleaching","era_5","production","Chemical Bleaching","Blanchiment optique","Through the addition of certain salts, minerals, or chemicals to the raw materials, the visual qualities of manufactured goods can be greatly increased.","L’ajout de certains sels, minéraux ou produits chimiques aux matières premières permet d’améliorer considérablement l’aspect visuel de produits manufacturés.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=industrial_alkalis industrial_ceramics; unlocks=production_methods:pm_bone_china|production_methods:pm_chemical_bleaching_textile_mill"
"cotton_gin","era_4","production","Cotton Gin","Égreneuse à coton","The cotton gin is a machine which quickly separates the cotton from its seeds, enabling a much faster processing time than doing it by hand.","L’égreneuse à coton est une machine qui sépare rapidement le coton de ses graines, ce qui permet un traitement bien plus rapide qu’un travail manuel.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=mechanized_spinning; unlocks=none"
"automated_flour_milling","era_4","production","Automated Flour Milling","Meunerie automatisée","The practical development of Automated Flour Milling expands productive capacity and prepares its later industrial applications.","Le développement pratique de Meunerie automatisée accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=improved_agricultural_implements traditional_food_processing; unlocks=production_methods:pm_cylinder_flour_milling"
"mechanical_tools","era_5","production","Mechanical Tools","Outils mécaniques","Handcrafted goods can be of exceptional quality, but for consistency and rapidity in production, mechanical aids are needed.","Les produits fabriqués à la main peuvent être d’une qualité exceptionnelle, mais pour assurer l’uniformité du produit et la rapidité de la production, des aides mécaniques sont nécessaires.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=precision_boring puddling_and_rolling; unlocks=production_methods:pm_lathe|production_methods:pm_precision_tools|production_methods:pm_steel|production_methods:pm_slaughterhouses|production_methods:pm_saw_mills"
"high_pressure_steam","era_5","production","High-Pressure Steam","Vapeur à haute pression","The practical development of High-Pressure Steam expands productive capacity and prepares its later industrial applications.","Le développement pratique de Vapeur à haute pression accroît les capacités productives et prépare ses applications industrielles ultérieures.","BAD_TRANSLATION","YES","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=atmospheric_engine mechanical_tools rotative_steam_power; unlocks=production_methods:coffee_plantation_mechanical_drying|production_methods:vacuum_pan_sugar|production_methods:pm_vapor_compression_refrigeration_building_livestock_ranch|production_methods:pm_vapor_compression_refrigeration_building_fishing_wharf|production_methods:pm_vapor_compression_refrigeration_building_whaling_station"
"mechanized_weaving","era_3","production","Mechanical Looms","Métiers à tisser mécaniques","The adoption of powered looms transforms weaving from skilled manual work into a more standardized industrial process.","L'adoption de métiers à tisser motorisés transforme progressivement le tissage artisanal en un processus industriel plus standardisé.","BAD_TRANSLATION","YES","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=mechanized_spinning; unlocks=production_methods:pm_mechanized_looms"
"industrial_alkalis","era_5","production","Industrial Alkalis","Alcalis industriels","The practical development of Industrial Alkalis expands productive capacity and prepares its later industrial applications.","Le développement pratique de Alcalis industriels accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=industrial_acids; unlocks=production_methods:pm_leblanc_alkali_process|production_methods:pm_brine_electrolysis_building_chemical_works"
"canneries","era_5","production","Canneries","Conserveries","Canneries are machines made specifically to seal food in an airtight container, so that it can be preserved for longer.","Les conserveries sont des machines spécialement conçues pour stocker la nourriture dans un récipient hermétique, afin d’en assurer la conservation plus longtemps.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=automated_flour_milling; unlocks=production_methods:pm_cannery|production_methods:pm_cannery_fish"
"improved_road_engineering","era_5","production","Road Engineering","Génie routier","Graded roadbeds, drainage, and durable surfaces create reliable all-season roads.","Les chaussées nivelées, le drainage et les revêtements durables créent des routes fiables en toute saison.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=turnpike_road_networks; unlocks=production_methods:pm_engineered_road_network"
"systematic_field_drainage","era_5","production","Field Drainage","Drainage agricole","The practical development of Systematic Field Drainage expands productive capacity and prepares its later industrial applications.","Le développement pratique de Drainage agricole systématique accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=advanced_crop_rotations improved_road_engineering; unlocks=none"
"mine_safety_engineering","era_5","production","Mine Safety Engineering","Sécurité minière","The practical development of Mine Safety Engineering expands productive capacity and prepares its later industrial applications.","Le développement pratique de Ingénierie de la sécurité minière accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=deep_mine_engineering; unlocks=none"
"continuous_papermaking","era_5","production","Continuous Papermaking","Papier continu","The practical development of Continuous Papermaking expands productive capacity and prepares its later industrial applications.","Le développement pratique de Fabrication continue du papier accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=precision_boring traditional_papermaking; unlocks=production_methods:pm_sulfite_pulping"
"coal_gasification","era_5","production","Coal Gasification","Gazéification du charbon","The practical development of Coal Gasification expands productive capacity and prepares its later industrial applications.","Le développement pratique de Gazéification du charbon accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=industrial_acids coke_smelting; unlocks=production_methods:pm_gas_streetlights"
"professional_civil_engineering","era_5","production","Civil Engineering","Génie civil","The practical development of Professional Civil Engineering expands productive capacity and prepares its later industrial applications.","Le développement pratique de Génie civil professionnel accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=industrial_canals improved_road_engineering; unlocks=buildings:building_cement_works|production_methods:pm_iron_frame_buildings|production_methods:pm_engineered_canals"
"interchangeable_manufacture","era_6","production","Interchangeable Parts","Pièces interchangeables","The practical development of Interchangeable Manufacture expands productive capacity and prepares its later industrial applications.","Le développement pratique de Fabrication interchangeable accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=mechanical_tools; unlocks=production_methods:pm_mechanized_workshops|production_methods:pm_precision_machine_tools"
"railways","era_6","production","Railways","Chemins de fer","The first steam locomotive railways were built to transport passengers, only later being used for industrial purposes. The efficient and rapid method of travel quickly rendered canal systems obsolete, sometimes just years after the canals had been completed at great expense.","Les premiers chemins de fer pour locomotives à vapeur ont été construits pour le transport de passagers, et n’ont été utilisés que plus tard à des fins industrielles. Ce moyen de transport efficace et rapide a rendu les systèmes de canaux obsolètes, parfois seulement quelques années après leur construction onéreuse.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=high_pressure_steam puddling_and_rolling professional_civil_engineering; unlocks=production_methods:pm_rail_transport_mine|production_methods:pm_steam_rail_transport|production_methods:pm_public_trams|production_methods:pm_rail_transport_building_logging_camp|production_methods:pm_rail_transport_building_oil_rig|production_methods:pm_early_trains|production_methods:pm_steam_trains|production_methods:pm_steam_trains_principle_transport_3|production_methods:pm_electric_trains|production_methods:pm_electric_trains_principle_transport_3|production_methods:pm_diesel_trains|production_methods:pm_diesel_trains_principle_transport_3|production_methods:pm_wooden_passenger_carriages|production_methods:pm_steel_passenger_carriages|production_methods:pm_rail_transport_building_bauxite_mine|production_methods:pm_steam_rail_transport_building_rubber_plantation"
"geological_surveying","era_6","production","Geological Surveying","Levé géologique","The practical development of Geological Surveying expands productive capacity and prepares its later industrial applications.","Le développement pratique de Levé géologique accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=applied_mineralogy professional_civil_engineering; unlocks=production_methods:pm_crushing_and_screening_building_limestone_quarry|production_methods:pm_ore_concentration_building_copper_mine|production_methods:pm_ore_concentration_building_bauxite_mine|production_methods:pm_ore_concentration_building_phosphate_mine|production_methods:pm_ore_concentration_building_coal_mine|production_methods:pm_ore_concentration_building_iron_mine|production_methods:pm_ore_concentration_building_lead_mine|production_methods:pm_ore_concentration_building_sulfur_mine|production_methods:pm_ore_concentration_building_gold_mine|production_methods:pm_salt_purification_building_salt_mine"
"hot_blast_smelting","era_6","production","Hot Blast Smelting","Fonte à vent chaud","The practical development of Hot Blast Smelting expands productive capacity and prepares its later industrial applications.","Le développement pratique de Fonte à vent chaud accroît les capacités productives et prépare ses applications industrielles ultérieures.","BAD_TRANSLATION","YES","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=puddling_and_rolling rotative_steam_power; unlocks=none"
"hydraulic_cements","era_6","production","Hydraulic Cements","Ciments hydrauliques","The practical development of Hydraulic Cements expands productive capacity and prepares its later industrial applications.","Le développement pratique de Ciments hydrauliques accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=professional_civil_engineering industrial_ceramics; unlocks=production_methods:pm_hydraulic_cement_process"
"hydraulic_turbines","era_6","production","Hydraulic Turbines","Turbines hydrauliques","The practical development of Hydraulic Turbines expands productive capacity and prepares its later industrial applications.","Le développement pratique de Turbines hydrauliques accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=none"
"pressed_glass","era_6","production","Pressed Glass","Verre pressé","The practical development of Pressed Glass expands productive capacity and prepares its later industrial applications.","Le développement pratique de Verre pressé accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=crystal_glass industrial_alkalis mechanical_tools; unlocks=production_methods:pm_pressed_glass"
"fractional_distillation","era_6","production","Fractional Distillation","Distillation fractionnée","Repeated vaporizing and condensing allows the liquids to be separated into purer components. The practical applications of this process are endless.","La vaporisation et la condensation répétées permettent de séparer les liquides pour obtenir des composants plus purs. Les applications pratiques de ce procédé sont infinies.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=mechanical_tools industrial_acids distillation; unlocks=buildings:building_oil_refinery|production_methods:pm_patent_stills|production_methods:pm_fractional_distillation_refinery"
"organized_forestry","era_2","production","Organized Forestry","Exploitation forestière organisée","The organization of logging, timber extraction and transportation allows forests to be exploited regularly on a large scale.","L’organisation de l’abattage, du débardage et du transport du bois permet une exploitation forestière régulière à grande échelle.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=improved_husbandry; unlocks=production_methods:pm_organized_forestry"
"traditional_papermaking","era_1","production","Traditional Papermaking","Fabrication traditionnelle du papier","Mastery of fibre preparation, pulping, pressing and drying techniques allows for the regular production of paper.","La maîtrise des techniques de préparation des fibres, de mise en pâte, de pressage et de séchage permet une production régulière de papier.","BAD_TRANSLATION","YES","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=buildings:building_paper_mill"
"traditional_glassmaking","era_2","production","Traditional Glassmaking","Fabrication traditionnelle du verre","Mastery of furnaces, mineral melting and glass-forming techniques allows for the regular production of glass.","La maîtrise des fours, de la fusion des matières minérales et des techniques de façonnage permet une production régulière de verre.","BAD_TRANSLATION","YES","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=none"
