tech_id,category,era,tech4c_prerequisites,proposed_prerequisites,removed_cross_tree_prerequisites,added_same_tree_prerequisites,vanilla_prerequisites,decision,semantic_reason,root_after,dead_end_after
military_statistics,military,era_9,general_staff,general_staff,NONE,NONE,electric_telegraph;general_staff,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
trench_works,military,era_9,field_works,field_works,NONE,NONE,general_staff;electric_telegraph,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
wargaming,military,era_9,military_statistics,military_statistics,NONE,NONE,military_statistics,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
concrete_dockyards,military,era_10,floating_harbor;reinforced_concrete,floating_harbor,reinforced_concrete,NONE,floating_harbor,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,floating_harbor remains the direct Military/Naval dockyard predecessor; reinforced concrete is an implicit material condition.,no,no
military_aviation,military,era_10,combustion_engine,wargaming,combustion_engine,wargaming,handcranked_machine_gun,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,wargaming supplies the Military-internal experimentation and doctrine-integration capacity needed to evaluate and adopt a new operational domain; combustion engines remain an implicit industrial condition.,no,no
pre_dreadnought_tech,military,era_10,ironclad_tech,ironclad_tech,NONE,NONE,ironclad_tech,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
sea_lane_strategies,military,era_10,jeune_ecole,jeune_ecole,NONE,NONE,jeune_ecole,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
war_propaganda,military,era_10,enlistment_offices;political_agitation,enlistment_offices,political_agitation,NONE,enlistment_offices,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,enlistment_offices remains the direct Military mobilization institution; civilian agitation is context rather than a cross-tree research gate.,no,yes
automatic_machine_guns,military,era_11,handcranked_machine_gun;bolt_action_rifles,handcranked_machine_gun;bolt_action_rifles,NONE,NONE,handcranked_machine_gun;bolt_action_rifles,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
concrete_fortifications,military,era_11,defense_in_depth;reinforced_concrete;pneumatic_tools,defense_in_depth,reinforced_concrete;pneumatic_tools,NONE,defense_in_depth,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,defense_in_depth remains the direct Military fortification doctrine; concrete and powered tools remain implicit Production conditions.,no,yes
defense_in_depth,military,era_11,trench_works;automatic_machine_guns,trench_works;automatic_machine_guns,NONE,NONE,trench_works;handcranked_machine_gun,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
destroyer,military,era_11,monitor_tech,monitor_tech,NONE,NONE,monitor_tech,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
dreadnought_tech,military,era_11,pre_dreadnought_tech;steam_turbine,pre_dreadnought_tech,steam_turbine,NONE,pre_dreadnought_tech;sea_lane_strategies;concrete_dockyards;military_aviation,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,pre_dreadnought_tech preserves the direct Military/Naval hull progression; steam turbines remain an implicit propulsion condition.,no,no
landing_craft,military,era_11,floating_harbor,floating_harbor,NONE,NONE,jeune_ecole;monitor_tech,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
nco_training,military,era_11,wargaming,wargaming,NONE,NONE,wargaming;trench_works,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
stormtroopers,military,era_11,nco_training;trench_works,nco_training;trench_works,NONE,NONE,wargaming;trench_works,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
submarine,military,era_11,self_propelled_torpedoes,self_propelled_torpedoes,NONE,NONE,self_propelled_torpedoes,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
battlefleet_tactics,military,era_12,dreadnought_tech;sea_lane_strategies;destroyer,dreadnought_tech;sea_lane_strategies;destroyer,NONE,NONE,battleship_tech;sea_lane_strategies,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
battleship_tech,military,era_12,dreadnought_tech;concrete_dockyards,dreadnought_tech;concrete_dockyards,NONE,NONE,dreadnought_tech,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
carrier_tech,military,era_12,dreadnought_tech;military_aviation,dreadnought_tech;military_aviation,NONE,NONE,dreadnought_tech,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
chemical_warfare,military,era_12,nitrogen_fixation,trench_works,nitrogen_fixation,trench_works,automatic_machine_guns,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,trench_works supplies the Military battlefield environment and doctrine that made chemical agents an operational weapon; nitrogen fixation remains an implicit industrial condition.,no,yes
flamethrowers,military,era_12,trench_works,trench_works,NONE,NONE,trench_works;automatic_machine_guns,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
mobile_armor,military,era_12,military_aviation;compression_ignition;stormtroopers,military_aviation;stormtroopers,compression_ignition,NONE,concrete_fortifications;nco_training,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,"military_aviation and stormtroopers retain Military mobility, combined-arms and infiltration foundations; compression ignition remains an implicit industrial condition.",no,yes
baking_powder,production,era_7,industrial_acids,industrial_acids,NONE,NONE,fractional_distillation,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
bessemer_process,production,era_7,hot_blast_smelting,hot_blast_smelting,NONE,NONE,steelworking,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
mechanized_farming,production,era_7,threshing_machine,threshing_machine,NONE,NONE,threshing_machine,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
nitroglycerin,production,era_7,industrial_acids,industrial_acids,NONE,NONE,intensive_agriculture;prospecting,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
rubber_mastication,production,era_7,industrial_acids,industrial_acids,NONE,NONE,fractional_distillation;chemical_bleaching,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
sericulture,production,era_7,ROOT,ROOT,NONE,NONE,ROOT,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,LEGITIMATE_NONRESEARCHABLE_ROOT,yes
watertube_boiler,production,era_7,high_pressure_steam,high_pressure_steam,NONE,NONE,atmospheric_engine,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
aniline,production,era_8,fractional_distillation,fractional_distillation,NONE,NONE,rubber_mastication,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
dynamite,production,era_8,nitroglycerin,nitroglycerin,NONE,NONE,nitroglycerin,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
improved_fertilizer,production,era_8,intensive_agriculture,intensive_agriculture,NONE,NONE,intensive_agriculture,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
open_hearth_process,production,era_8,bessemer_process,bessemer_process,NONE,NONE,bessemer_process,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
reinforced_concrete,production,era_8,bessemer_process;hydraulic_cements,bessemer_process;hydraulic_cements,NONE,NONE,bessemer_process,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
rotary_valve_engine,production,era_8,watertube_boiler,watertube_boiler,NONE,NONE,watertube_boiler,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
shift_work,production,era_8,interchangeable_manufacture,interchangeable_manufacture,NONE,NONE,mechanized_workshops,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
steel_railway_cars,production,era_8,railways;bessemer_process,railways;bessemer_process,NONE,NONE,railways,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
vacuum_canning,production,era_8,interchangeable_manufacture,interchangeable_manufacture,NONE,NONE,mechanized_workshops,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
vulcanization,production,era_8,rubber_mastication,rubber_mastication,NONE,NONE,rubber_mastication,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
combustion_engine,production,era_9,rotary_valve_engine,rotary_valve_engine,NONE,NONE,rotary_valve_engine,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
electrical_capacitors,production,era_9,electrical_generation,electrical_generation,NONE,NONE,electrical_generation,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
electrical_generation,production,era_9,rotary_valve_engine,rotary_valve_engine,NONE,NONE,rotary_valve_engine,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
pumpjacks,production,era_9,steam_donkey,steam_donkey,NONE,NONE,steam_donkey;dynamite,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
steam_donkey,production,era_9,watertube_boiler,watertube_boiler,NONE,NONE,intensive_agriculture,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
telephone,production,era_9,electric_telegraph;electrical_generation,electrical_generation,electric_telegraph,NONE,shift_work;electrical_generation,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,electrical_generation remains a strong Production prerequisite; telegraph infrastructure is retained as historical context rather than a cross-tree gate.,no,no
art_silk,production,era_10,aniline,aniline,NONE,NONE,aniline,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
automatic_bottle_blowers,production,era_10,pressed_glass,pressed_glass,NONE,NONE,vulcanization,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
conveyors,production,era_10,vulcanization;shift_work;electrical_generation,vulcanization;shift_work;electrical_generation,NONE,NONE,vulcanization;shift_work;electrical_generation,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
electric_arc_process,production,era_10,open_hearth_process,open_hearth_process,NONE,NONE,open_hearth_process,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
electric_railway,production,era_10,electrical_capacitors;steel_railway_cars,electrical_capacitors;steel_railway_cars,NONE,NONE,electrical_capacitors;steel_railway_cars,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
pasteurization,production,era_10,vacuum_canning,vacuum_canning,NONE,NONE,vacuum_canning;electrical_capacitors,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
plastics,production,era_10,art_silk,art_silk,NONE,NONE,reinforced_concrete,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
pneumatic_tools,production,era_10,rotary_valve_engine,rotary_valve_engine,NONE,NONE,rotary_valve_engine;reinforced_concrete,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
steam_turbine,production,era_10,rotary_valve_engine,rotary_valve_engine,NONE,NONE,electrical_generation,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
compression_ignition,production,era_11,combustion_engine;mechanized_farming,combustion_engine;mechanized_farming,NONE,NONE,combustion_engine,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
nitrogen_fixation,production,era_11,improved_fertilizer,improved_fertilizer,NONE,NONE,improved_fertilizer,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
radio,production,era_11,telephone,telephone,NONE,NONE,telephone,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
arc_welding,production,era_12,electric_arc_process,electric_arc_process,NONE,NONE,electric_arc_process;pneumatic_tools,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
dough_rollers,production,era_12,conveyors,conveyors,NONE,NONE,conveyors,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
flash_freezing,production,era_12,pasteurization,pasteurization,NONE,NONE,pasteurization,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
oil_turbine,production,era_12,steam_turbine,steam_turbine,NONE,NONE,steam_turbine,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
anarchism,society,era_7,early_socialism_cooperativism,early_socialism_cooperativism,NONE,NONE,egalitarianism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
camera,society,era_7,pressed_glass,experimental_research_laboratories,pressed_glass,experimental_research_laboratories,realism,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,Controlled photographic chemistry and optics require experimental research capacity; experimental_research_laboratories is an active Society predecessor and does not restore the weak realism gate.,no,no
nationalism,society,era_7,national_sovereignty,national_sovereignty,NONE,NONE,mass_communication;international_relations,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
organized_sports,society,era_7,nationalism,nationalism,NONE,NONE,nationalism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
quinine,society,era_7,pharmaceuticals,pharmaceuticals,NONE,NONE,colonization;pharmaceuticals,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
realism,society,era_7,romanticism,romanticism,NONE,NONE,romanticism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
romanticism,society,era_7,institutionalized_scientific_exchange,institutionalized_scientific_exchange,NONE,NONE,academia,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
socialism,society,era_7,labor_movement;early_socialism_cooperativism,labor_movement;early_socialism_cooperativism,NONE,NONE,labor_movement;dialectics,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
civilizing_mission,society,era_8,quinine;nationalism,quinine;nationalism,NONE,NONE,quinine;nationalism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
feminism,society,era_8,human_rights,human_rights,NONE,NONE,human_rights,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
identification_documents,society,era_8,central_statistical_offices,central_statistical_offices,NONE,NONE,central_archives,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
mutual_funds,society,era_8,institutionalized_public_credit;postal_savings,institutionalized_public_credit;postal_savings,NONE,NONE,central_banking;postal_savings,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
pan-nationalism,society,era_8,nationalism,nationalism,NONE,NONE,nationalism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
philosophical_pragmatism,society,era_8,experimental_research_laboratories,experimental_research_laboratories,NONE,NONE,psychiatry,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
corporatism,society,era_9,labor_movement;nationalism,labor_movement;nationalism,NONE,NONE,labor_movement;nationalism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
elevator,society,era_9,steel_frame_buildings,steel_frame_buildings,NONE,NONE,steel_frame_buildings,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
investment_banks,society,era_9,stock_exchange;mutual_funds,stock_exchange;mutual_funds,NONE,NONE,joint_stock_companies;mutual_funds,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
steel_frame_buildings,society,era_9,professional_civil_engineering,investment_banks,professional_civil_engineering,investment_banks,modern_sewerage,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,"investment_banks supplies Society-internal capital mobilization for large, high-risk urban steel-frame projects; the canonical civil-engineering owner is Production and cannot be a rendered prerequisite.",no,no
corporate_management,society,era_10,investment_banks,investment_banks,NONE,NONE,investment_banks,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
film,society,era_10,camera,camera,NONE,NONE,camera,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
international_exchange_standards,society,era_10,institutionalized_public_credit;international_relations,institutionalized_public_credit;international_relations,NONE,NONE,mutual_funds,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
malaria_prevention,society,era_10,quinine,quinine,NONE,NONE,civilizing_mission,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
multilateral_alliances,society,era_10,international_relations;pan-nationalism,international_relations;pan-nationalism,NONE,NONE,pan-nationalism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
paved_roads,society,era_10,professional_civil_engineering,steel_frame_buildings,professional_civil_engineering,steel_frame_buildings,elevator,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,steel_frame_buildings is the preceding Society urban-infrastructure node and represents the mature urban construction sector from which network-scale paved-road works progress.,no,yes
political_agitation,society,era_10,organized_reform_movements;mass_circulation_press,organized_reform_movements;mass_circulation_press,NONE,NONE,anarchism;socialism;corporatism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
psychoanalysis,society,era_10,clinicopathological_medicine,clinicopathological_medicine,NONE,NONE,philosophical_pragmatism,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
zeppelins,society,era_10,combustion_engine,steel_frame_buildings,combustion_engine,steel_frame_buildings,steel_frame_buildings,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,steel_frame_buildings supplies Society-internal rigid-frame structural engineering; combustion engines remain an implicit industrial condition.,no,yes
analytical_philosophy,society,era_11,specialized_professional_societies,specialized_professional_societies,NONE,NONE,psychoanalysis,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
behaviorism,society,era_11,experimental_research_laboratories;philosophical_pragmatism,experimental_research_laboratories;philosophical_pragmatism,NONE,NONE,psychoanalysis,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
central_planning,society,era_11,identification_documents,identification_documents,NONE,NONE,identification_documents,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
mass_propaganda,society,era_11,film;radio;war_propaganda,political_agitation;film,radio;war_propaganda,political_agitation,political_agitation;film,REPLACE_AND_REMOVE_CROSS_TREE_PREREQUISITES,film provides mass visual media and political_agitation provides Society-internal mass-mobilization methods; radio and wartime military propaganda remain contextual.,no,yes
antibiotics,society,era_12,pharmaceuticals;experimental_research_laboratories,pharmaceuticals;experimental_research_laboratories,NONE,NONE,malaria_prevention,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
macroeconomics,society,era_12,classical_political_economy;central_statistical_offices,classical_political_economy;central_statistical_offices,NONE,NONE,international_exchange_standards;corporate_management,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
mass_surveillance,society,era_12,central_planning,central_planning,NONE,NONE,central_planning,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
modern_financial_instruments,society,era_12,international_exchange_standards;corporate_management,international_exchange_standards;corporate_management,NONE,NONE,international_exchange_standards,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,yes
