Child_Technology,Current_Parent,Issue_Type,Affected_TAG_Count,Historical_Findings,Gameplay_Findings,Final_Decision,Final_Parent,Alternative_Parent,Requires_New_Tech,Requires_Tech_Split,Implementation_Complexity,Confidence,Reason,Source_1,Source_2
medical_degrees,institutionalized_scientific_exchange,OVERBROAD_PREREQUISITE,13,"Facultés, collèges, examens et ijazas médicales ont des trajectoires institutionnelles autonomes.",medical_degrees augmente le plafond de l'institution de santé; aucune académie scientifique moderne n'est techniquement requise.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Retirer le parent eurocentré; conserver une distribution A très sélective.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
military_topographic_surveying,permanent_engineer_services,MISSING_PREREQUISITE,1,Des levés d'État ou militaires peuvent être conduits par des administrations cartographiques sans corps permanent du génie distinct.,Le nœud n'a pas d'unlock direct; imposer engineer_services sert seulement la topologie.,REMOVE_EDGE,aucun parent,systematic_cadastral_surveying comme relation visuelle seulement,NO,NO,LOW,MEDIUM,Préférer un nœud indépendant à un faux verrou; une liaison visuelle peut être étudiée séparément.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
organized_elementary_schooling,periodical_print_networks,OVERBROAD_PREREQUISITE,7,"Écoles confessionnelles, communautaires et étatiques organisées précèdent souvent une presse périodique.",Le nœud augmente l'investissement scolaire et l'accès à l'éducation; la presse n'est pas son infrastructure nécessaire.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,"Retirer l'arête; ne pas la remplacer par codified_practical_knowledge, qui recréerait un filtre culturel.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
permanent_engineer_services,scientific_fortification_siegecraft,MISSING_PREREQUISITE,5,"Les corps d'ingénieurs couvrent routes, relevés, hydraulique et travaux militaires, au-delà de la poliorcétique.",Le parent réduit artificiellement une institution polyvalente à la fortification.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,MEDIUM,Séparer service permanent du génie et science spécialisée du siège.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
permanent_military_hospitals,scientific_fortification_siegecraft,MISSING_PREREQUISITE,2,Hôpitaux de garnison et services hospitaliers n'exigent pas une école de fortification.,Aucun rapport direct entre soin militaire et modélisation des sièges.,REMOVE_EDGE,aucun parent,"medical_degrees comme proximité visuelle, sans arête obligatoire",NO,NO,LOW,HIGH,Retirer l'arête sans inventer un remplacement médical universel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
political_economy,codified_practical_knowledge,MISSING_PREREQUISITE,1,"Cameralisme, physiocratie et administration économique émergent par des voies différentes.",Le nœud n'a pas besoin de toute la capacité générique de codification pratique.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,MEDIUM,Le contexte intellectuel n'est pas un préalable technique universel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
political_economy,commercial_insurance_markets,MISSING_PREREQUISITE,10,L'économie politique et le caméralisme ne supposent pas un marché d'assurance développé.,Le parent financier ne correspond à aucun unlock de l'enfant.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Retirer le verrou artificiel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
political_economy,systematic_administrative_statistics,MISSING_PREREQUISITE,1,Une doctrine économique formalisée peut précéder les bureaux statistiques modernes.,Les statistiques sont utiles mais pas nécessaires à l'existence du concept.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,MEDIUM,Ne pas confondre outillage administratif et doctrine économique.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
regulated_small_arms,scientific_fortification_siegecraft,ARTIFICIAL_PREREQUISITE,24,"Arsenaux, calibres et inspection des armes portatives existent sans science moderne de fortification.",Le bâtiment/arsenal et la doctrine de siège ont des responsabilités distinctes.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Supprimer l'arête et réexaminer séparément ses descendants.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
scientific_naval_architecture,state_dockyard_systems,MISSING_PREREQUISITE,5,"La formalisation de l'architecture navale peut se développer dans des chantiers privés, royaux ou savants.","state_dockyard_systems donne un effet d'amirauté, pas la connaissance nécessaire elle-même.",REMOVE_EDGE,aucun parent,,NO,NO,LOW,MEDIUM,Le chantier d'État n'est pas un préalable universel à la science de la coque.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
ship_classification_surveying,enclosed_dock_systems,MISSING_PREREQUISITE,1,"Inspection/classification des navires est liée aux assureurs et administrations, pas techniquement aux bassins fermés.",Le parent n'apporte aucune capacité de classement ou d'arpentage.,REMOVE_EDGE,aucun parent,"commercial_insurance_markets comme proximité visuelle, sans arête obligatoire",NO,NO,LOW,HIGH,Retirer le faux prérequis matériel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
standardized_field_artillery,regulated_small_arms,MISSING_PREREQUISITE,24,La standardisation de l'artillerie peut relever d'arsenaux distincts de ceux des armes portatives.,Les deux branches convergent déjà dans armament_standardization_inspection.,REMOVE_EDGE,aucun parent,armament_standardization_inspection reste un descendant commun,NO,NO,LOW,MEDIUM,Éviter que l'artillerie impose artificiellement l'industrie nationale des armes légères.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
stock_exchange,institutionalized_public_credit,MISSING_PREREQUISITE,1,Des marchés organisés de titres privés ou commerciaux existent sans dette publique nationale moderne.,Le nœud bourse a ses propres modificateurs de marché et de compagnies.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,"Distinguer bourse, dette publique et assurance.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
sugar_refining,traditional_food_processing,MISSING_PREREQUISITE,4,Les sucreries de plantation et raffineries spécialisées peuvent exister sans industrie alimentaire généraliste.,Le raffinage sucrier agit aussi sur les plantations; l'usine alimentaire n'est pas son préalable technique.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,MEDIUM,Séparer filière sucrière et manufacture alimentaire générique.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
systematic_legal_codification,systematic_administrative_statistics,MISSING_PREREQUISITE,1,"Codes religieux, civils ou coutumiers systématisés précèdent souvent la statistique administrative moderne.","Le nœud juridique est utilisé par la réforme foncière, pas par un mécanisme statistique.",REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Retirer une dépendance institutionnelle non nécessaire.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
traditional_furniture_making,organized_textile_production,ARTIFICIAL_PREREQUISITE,8,"Les ateliers de mobilier, ustensiles domestiques et outils relèvent d'une capacité manufacturière artisanale organisée commune.","L'ancien nœud n'ouvre que building_furniture_manufactory, tandis que building_tooling_workshop est attaché à tort à coke_smelting.",REDEFINE_TECH,organized_workshops (sans parent; parent ajouté à precision_boring),,"YES (remplacement net, pas d'augmentation du nombre de nœuds)",NO,MEDIUM,HIGH,"Remplacer le nœud par organized_workshops: ouvrir les deux bâtiments, laisser l'aciérie seule sur coke_smelting, puis relier les PM ultérieurs via precision_boring.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
