tech_id,name_en,name_fr,branch,family,current_era,proposed_era,implemented_era,chronology_status,chronology_reason,current_prerequisites,move_creates_inversion,decision,status,notes
chemical_warfare,Chemical Warfare,Guerre chimique,Military,infantry_weapons,era_12,era_12,era_12,BORDERLINE_REEVALUATED,"Wartime use began before 1923, while institutionalized mass chemical-warfare capability remains a defensible final-era capstone.",automatic_machine_guns,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
civilizing_mission,Civilizing Mission,Mission civilisatrice,Society,nationalism_imperialism,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,quinine;nationalism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
combustion_engine,Combustion Engine,Moteur à combustion,Production,internal_combustion,era_10,era_9,era_9,GOOD,Practical internal-combustion engines matured during the 1870s-1890s.,rotary_valve_engine,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
compression_ignition,Compression Ignition,Allumage par compression,Production,internal_combustion,era_12,era_11,era_11,GOOD,Diesel engines emerged in the 1890s and reached practical adoption in the early 20th century.,combustion_engine,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
concrete_dockyards,Concrete Dockyards,Chantiers navals en béton,Naval,naval_logistics,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,floating_harbor,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
concrete_fortifications,Concrete Fortifications,Fortifications en béton,Military,fortification,era_12,era_11,era_11,GOOD,Reinforced-concrete fortification systems were established before and during the First World War.,defense_in_depth,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
conveyors,Conveyors,Convoyeur,Production,factory_organization,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,vulcanization;shift_work;electrical_generation,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
corporate_management,Corporate Governance,Gouvernement d’entreprise,Society,finance_corporate_governance,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,investment_banks,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
corporatism,Corporatism,Corporatisme,Society,political_ideologies,era_8,era_9,era_9,GOOD,Modern corporatist political doctrine matured in the late 19th century and fits Era IX.,labor_movement;nationalism,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
defense_in_depth,Defense in Depth,Défense en profondeur,Military,fortification,era_11,era_11,era_11,GOOD,Current placement remains chronologically and structurally acceptable.,trench_works;handcranked_machine_gun,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
destroyer,Destroyer,Destroyer,Naval,naval_hulls,era_12,era_11,era_11,GOOD,The destroyer type emerged in the 1890s and matured in the 1900s-1910s.,monitor_tech,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
dough_rollers,Dough Rollers,Laminoirs,Production,food_industrialization,era_12,era_12,era_12,BORDERLINE_REEVALUATED,"Earlier machinery existed, but the node is treated as mature automated mass-food production for the final era.",conveyors,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
dreadnought_tech,Dreadnought,Frégate,Naval,naval_hulls,era_11,era_11,era_11,GOOD,Current placement remains chronologically and structurally acceptable.,pre_dreadnought_tech;sea_lane_strategies;concrete_dockyards;military_aviation,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
dynamite,Dynamite,Dynamite,Production,industrial_explosives,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,nitroglycerin,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
electric_arc_process,Electric Arc Process,Procédé à arc électrique,Production,steel_metallurgy,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,open_hearth_process,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
electric_railway,Electric Railways,Chemins de fer électriques,Production,rail_transport,era_11,era_10,era_10,GOOD,Electric urban and main-line railway adoption accelerated from the 1890s through the 1900s.,electrical_capacitors;steel_railway_cars,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
electric_telegraph,Electric Telegraph,Télégraphe électrique,Military,telecommunications,era_8,era_7,era_7,GOOD,Operational telegraph networks belong to the 1830s-1850s transition and can legally enter at Era VII.,logistics;optical_telegraph_networks,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
electrical_capacitors,Electrical Capacitors,Condensateurs électriques,Production,electrical_engineering,era_10,era_9,era_9,GOOD,Industrial electrical storage and capacitor applications accompany Era IX electrical generation.,electrical_generation,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
electrical_generation,Electrical Generation,Production d’électricité,Production,electrical_engineering,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,rotary_valve_engine,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
elevator,Elevators,Ascenseur,Society,urban_infrastructure,era_10,era_9,era_9,GOOD,Safety elevators date to the 1850s and became important urban infrastructure by the 1880s.,steel_frame_buildings,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
enlistment_offices,Enlistment Offices,Bureaux de recrutement militaire,Military,military_organization,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,logistics;corps_organization,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
feminism,Feminism,Féminisme,Society,rights_reform,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,human_rights,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
field_works,Field Works,Aménagement de terrain,Military,fortification,era_8,era_7,era_7,GOOD,Industrial-era field fortification doctrine was established by the mid-19th century.,corps_organization,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
film,Film,Film,Society,arts_visual_media,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,camera,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
flamethrowers,Flamethrowers,Lance-flammes,Military,infantry_weapons,era_12,era_12,era_12,BORDERLINE_REEVALUATED,"Early systems predate 1923, but mature specialized assault deployment supports retaining the final-era placement.",trench_works;automatic_machine_guns,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
flash_freezing,Flash Freezing,Surgélation,Production,food_industrialization,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,pasteurization,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
floating_harbor,Floating Harbor,Port artificiel,Naval,naval_logistics,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,gantry_cranes,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
gantry_cranes,Gantry Cranes,Portique de levage,Naval,naval_logistics,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,mechanized_naval_dockyards;iron_hull_construction,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
handcranked_machine_gun,Handcranked Machine Gun,Mitrailleuse à manivelle,Military,infantry_weapons,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,repeaters;breech_loading_artillery,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
identification_documents,Identification Documents,Documents d’identification,Society,administration_surveillance,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,central_statistical_offices,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
improved_fertilizer,Improved Fertilizer,Engrais amélioré,Production,agricultural_modernization,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,intensive_agriculture,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
international_exchange_standards,International Exchange Standards,Normes internationales d’échange,Society,finance_corporate_governance,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,mutual_funds,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
investment_banks,Investment Banks,Banques d’investissement,Society,finance_corporate_governance,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,stock_exchange;mutual_funds,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
ironclad_tech,Ironclad,Cuirassé,Naval,naval_hulls,era_8,era_7,era_7,GOOD,Ocean-going ironclad development emerged in the 1850s; Era VII is historically justified and creates a natural naval entry.,iron_hull_construction,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
jeune_ecole,Jeune École,Jeune École,Naval,naval_doctrine,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,self_propelled_torpedoes,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
landing_craft,Landing Craft,Navire de débarquement,Naval,amphibious_operations,era_10,era_11,era_11,GOOD,Purpose-built landing craft and modern amphibious doctrine are primarily 1910s developments.,jeune_ecole;monitor_tech,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
macroeconomics,Macroeconomics,Macroéconomie,Society,finance_corporate_governance,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,international_exchange_standards;corporate_management,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
malaria_prevention,Malaria Prevention,Prévention du paludisme,Society,public_health,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,civilizing_mission,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
mass_propaganda,Mass Propaganda,Propagande de masse,Society,mass_politics_media,era_11,era_11,era_11,GOOD,Current placement remains chronologically and structurally acceptable.,political_agitation;film,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
mass_surveillance,Mass Surveillance,Surveillance de masse,Society,administration_surveillance,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,central_planning,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
mechanized_farming,Mechanized Farming,Agriculture mécanisée,Production,agricultural_modernization,era_8,era_7,era_7,GOOD,Mechanized threshing and farm machinery were already expanding in the first half of the 19th century.,threshing_machine,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
military_aviation,Military Aviation,Aviation militaire,Military,military_aviation,era_10,era_10,era_10,BORDERLINE,Current placement remains chronologically and structurally acceptable.,handcranked_machine_gun,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
military_statistics,Military Statistics,Statistiques militaires,Military,military_organization,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,electric_telegraph;general_staff,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
mobile_armor,Mobile Armor,Armure mobile,Military,armored_warfare,era_12,era_12,era_12,BORDERLINE_REEVALUATED,"First World War prototypes existed, but mature combined-arms armored warfare supports an Era XII gameplay placement.",concrete_fortifications;nco_training,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
modern_financial_instruments,Modern Financial Instruments,Instruments financiers modernes,Society,finance_corporate_governance,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,international_exchange_standards,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
modern_nursing,Modern Nursing,Soins infirmiers modernes,Military,military_medicine,era_8,era_7,era_7,GOOD,Professional nursing emerged in the 1850s and is a valid late Era VII military-medicine development.,medical_degrees,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
monitor_tech,$ship_type_modern_ironclad$,$ship_type_modern_ironclad$,Naval,naval_hulls,era_9,era_8,era_8,GOOD,Monitor warship design belongs to the 1860s and follows Era VIII ironclad/artillery development without inversion.,ironclad_tech;breech_loading_artillery,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
multilateral_alliances,Multilateral Alliances,Alliances multilatérales,Society,nationalism_imperialism,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,pan-nationalism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
mutual_funds,Mutual Funds,Fonds mutuel,Society,finance_corporate_governance,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,institutionalized_public_credit;postal_savings,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
nationalism,Nationalism,Nationalisme,Society,nationalism_imperialism,era_7,era_7,era_7,GOOD,Current placement remains chronologically and structurally acceptable.,periodical_print_networks;national_sovereignty,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
nco_training,NCO Training,Formation des sous-officiers,Military,military_organization,era_12,era_11,era_11,GOOD,Professional NCO systems were mature before 1914 and belong in the Era XI military sequence.,wargaming;trench_works,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
nitrogen_fixation,Nitrogen Fixation,Fixation de l’azote,Production,agricultural_modernization,era_10,era_11,era_11,GOOD,Industrial nitrogen fixation dates to 1909 and meaningful adoption begins in the 1910s.,improved_fertilizer,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
nitroglycerin,Nitroglycerin,Nitroglycérine,Production,industrial_explosives,era_7,era_7,era_7,GOOD,Current placement remains chronologically and structurally acceptable.,industrial_acids,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
oil_turbine,Oil Turbine,Turbine à huile,Production,steam_power,era_12,era_12,era_12,BORDERLINE,Current placement remains chronologically and structurally acceptable.,steam_turbine,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
open_hearth_process,Open Hearth Process,Procédé Martin-Siemens,Production,steel_metallurgy,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,bessemer_process,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
organized_sports,Organized Sports,Sports organisés,Society,sports_mass_culture,era_7,era_7,era_7,BORDERLINE,Current placement remains chronologically and structurally acceptable.,nationalism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
pan-nationalism,Pan-nationalism,Pan-nationalisme,Society,nationalism_imperialism,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,nationalism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
pasteurization,Pasteurization,Pasteurisation,Production,food_industrialization,era_11,era_10,era_10,GOOD,Widespread industrial pasteurization belongs before 1910 and fits the Era X food chain.,vacuum_canning;electrical_capacitors,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
paved_roads,Paved Roads,Routes goudronnées,Society,urban_infrastructure,era_11,era_10,era_10,GOOD,Modern paved-road systems expanded substantially in the late 19th and early 20th centuries.,elevator,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
philosophical_pragmatism,Philosophical Pragmatism,Pragmatisme philosophique,Society,philosophy_psychology,era_8,era_8,era_8,BORDERLINE,Current placement remains chronologically and structurally acceptable.,medical_degrees,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
plastics,Plastics,Plastique,Production,industrial_materials,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,reinforced_concrete,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
pneumatic_tools,Pneumatic Tools,Outils pneumatiques,Production,civil_construction,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,rotary_valve_engine;reinforced_concrete,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
political_agitation,Political Agitation,Agitation politique,Society,political_ideologies,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,anarchism;socialism;corporatism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
pre_dreadnought_tech,$ship_type_pre_dreadnought$,$ship_type_pre_dreadnought$,Naval,naval_hulls,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,ironclad_tech,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
psychoanalysis,Psychoanalysis,Psychanalyse,Society,philosophy_psychology,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,philosophical_pragmatism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
pumpjacks,Pumpjacks,Chevalet de pompage,Production,extractive_industries,era_9,era_9,era_9,BORDERLINE,Current placement remains chronologically and structurally acceptable.,steam_donkey;dynamite,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
quinine,Quinine,Quinine,Society,public_health,era_7,era_7,era_7,GOOD,Current placement remains chronologically and structurally acceptable.,colonization;pharmaceuticals,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
radio,Radio,Radio,Production,telecommunications,era_11,era_11,era_11,BORDERLINE,Current placement remains chronologically and structurally acceptable.,telephone,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
realism,Realism,Réalisme,Society,arts_visual_media,era_7,era_7,era_7,GOOD,Current placement remains chronologically and structurally acceptable.,romanticism,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
reinforced_concrete,Reinforced Concrete,Béton armé,Production,civil_construction,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,bessemer_process;hydraulic_cements,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
repeaters,Repeaters,Arme à répétition,Military,infantry_weapons,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,rifling;percussion_cap,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
romanticism,Romanticism,Romantisme,Society,arts_visual_media,era_7,era_7,era_7,ERA_VII_BOUNDARY_COMPROMISE,"Romanticism predates 1836, but Era VII is the earliest legal placement and no Era I-VI technology may change.",institutionalized_scientific_exchange,no,ERA_VII_BOUNDARY_COMPROMISE,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
rotary_valve_engine,Rotary Valve Engine,Moteur à valve rotative,Production,steam_power,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,watertube_boiler,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
rubber_mastication,Rubber Mastication,Mastication du caoutchouc,Production,industrial_materials,era_8,era_7,era_7,GOOD,Mastication dates to the 1820s and industrial rubber processing was established by the mid-19th century.,fractional_distillation;chemical_bleaching,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
sea_lane_strategies,Sea Lane Strategies,Stratégies de couloirs de navigation,Naval,naval_doctrine,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,jeune_ecole,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
self_propelled_torpedoes,Self-Propelled Torpedoes,Torpilles autopropulsées,Naval,naval_weapons,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,state_dockyard_systems,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
sericulture,Sericulture,Sériciculture,Production,agricultural_modernization,era_7,era_7,era_7,EVENT_NONRESEARCHABLE,Event/non-researchable technology retained outside normal progression.,,no,EVENT_TECH_KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
shift_work,Shift Work,Travail posté,Production,factory_organization,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,interchangeable_manufacture,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
socialism,Socialism,Socialisme,Society,political_ideologies,era_8,era_7,era_7,GOOD,The doctrine emerged before 1848 and forms an early post-1836 political family entry.,labor_movement;early_socialism_cooperativism,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
steam_donkey,Steam Donkey,Treuil de débardage à vapeur,Production,extractive_industries,era_8,era_9,era_9,GOOD,Steam donkeys are an 1880s industrial development and fit Era IX.,intensive_agriculture,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
steam_turbine,Steam Turbine,Turbine à vapeur,Production,steam_power,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,electrical_generation,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
steel_frame_buildings,Steel-Frame Buildings,Bâtiments avec structure en acier,Society,urban_infrastructure,era_8,era_9,era_9,GOOD,Structural steel-frame construction emerged in the 1880s and matured around 1890.,professional_civil_engineering,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
