requirement_id,source_markdown_section,technology_id,visible_unlock_or_gate,object_type,object_id,current_display,current_effective_gate,expected_display,expected_effective_gate,exact_current_path,exact_future_path,prior_design_authority,new_user_authority,status,proposed_action,override_architecture,evidence,notes,post_tech6b3d_authoritative_update
P11,ARBRE PRODUCTION,improved_husbandry,organized farm construction,BUILDING,building_maize_farm,shown under enclosure,enclosure,shown under improved_husbandry,improved_husbandry,common/buildings/02_agro.txt,common/buildings/02_agro.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create a minimal same-path building shadow and retarget only this building gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla 1.13.11 object and gate inspected.,Fork currently inherits this file.,
P12,ARBRE PRODUCTION,improved_husbandry,organized farm construction,BUILDING,building_millet_farm,shown under enclosure,enclosure,shown under improved_husbandry,improved_husbandry,common/buildings/02_agro.txt,common/buildings/02_agro.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create a minimal same-path building shadow and retarget only this building gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla 1.13.11 object and gate inspected.,Fork currently inherits this file.,
P13,ARBRE PRODUCTION,improved_husbandry,organized farm construction,BUILDING,building_livestock_ranch,shown under enclosure,enclosure,shown under improved_husbandry,improved_husbandry,common/buildings/02_agro.txt,common/buildings/02_agro.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create a minimal same-path building shadow and retarget only this building gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla 1.13.11 object and gate inspected.,Fork currently inherits this file.,
P14,ARBRE PRODUCTION,cotton_gin,cotton plantation construction,BUILDING,building_cotton_plantation,shown under enclosure,enclosure,shown under cotton_gin,cotton_gin,common/buildings/04_plantations.txt,common/buildings/04_plantations.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create minimal same-path shadow and retarget exact gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla object and gate inspected.,Fork currently inherits this file.,
P15,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_misr,current technology condition: stock_exchange,stock_exchange,requires cotton_gin,cotton_gin,common/company_types/00_companies_africa.txt,common/company_types/00_companies_africa.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P16,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_nam_dinh,current technology condition: stock_exchange,stock_exchange,requires cotton_gin,cotton_gin,common/company_types/00_companies_asia.txt,common/company_types/00_companies_asia.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P17,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_dmc,current technology condition: cotton_gin,cotton_gin,requires cotton_gin,cotton_gin,common/company_types/00_companies_france.txt,common/company_types/00_companies_france.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P18,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_savva_morozov,current technology condition: stock_exchange,stock_exchange,requires cotton_gin,cotton_gin,common/company_types/00_companies_russia.txt,common/company_types/00_companies_russia.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P19,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_da_afghan_nassaji_sherkat,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P20,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_tashkent_railroad,current technology condition: railways,railways,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P21,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_sherkat_shemali,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P22,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_sherkate_eslamiya,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P23,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_nicolas_portalis,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P24,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_perskhlopok,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P25,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_moscow_irrigation_company,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/00_companies_soi.txt,common/company_types/00_companies_soi.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P26,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_basic_fabrics,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/99_basic_companies.txt,common/company_types/99_basic_companies.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P27,ARBRE PRODUCTION,cotton_gin,cotton-company availability,COMPANY_TYPE,company_basic_textiles,current technology condition: none,none,requires cotton_gin,cotton_gin,common/company_types/99_basic_companies.txt,common/company_types/99_basic_companies.txt,TECH6A company intents retained,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add or reconcile exact cotton_gin availability condition without removing other company conditions.,EXISTING_OR_MINIMAL_SHADOW_OBJECT_EDIT,Object parser confirmed cotton plantation responsibility and current tech tokens.,Company-specific non-tech conditions must remain.,
P28,ARBRE PRODUCTION,cotton_gin,era and prerequisite,TECHNOLOGY,cotton_gin,era 4; parent mechanized_spinning,mechanized_spinning,era/gate adjusted if needed,not fixed by note,common/technology/technologies/10_tech3a_production.txt,,TECH4C reconstructed graph,User requests review if necessary,CONFLICT_REQUIRES_USER_DECISION,Decide whether company/building retargeting warrants an era or parent change.,NO_PATH_INVENTED,Exact current era and parent resolved.,No target era/parent was specified.,
P29,ARBRE PRODUCTION,traditional_papermaking,prerequisite,TECHNOLOGY,traditional_papermaking,root technology,none,organized_forestry shown as prerequisite,organized_forestry,common/technology/technologies/10_tech3a_production.txt,common/technology/technologies/10_tech3a_production.txt,TECH4C graph,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add organized_forestry parent to traditional_papermaking.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact root object and organized_forestry ID inspected.,Proto-method alternative not needed if direct edge accepted.,
P30,ARBRE PRODUCTION,turnpike_road_networks,market squares,PRODUCTION_METHOD,pm_market_squares,shown under professional_civil_engineering,professional_civil_engineering,shown under toll roads,turnpike_road_networks,common/production_methods/06_urban_center.txt,common/production_methods/06_urban_center.txt,TECH5B2 current gate,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Replace exact PM gate.,SAME_PATH_SHADOW_MINIMAL,Exact technology ID for toll roads is turnpike_road_networks.,No invented toll_roads ID.,
P31,ARBRE PRODUCTION,arc_welding,prerequisite,TECHNOLOGY,arc_welding,parent electric_arc_process,electric_arc_process,reinforced_concrete shown as prerequisite,reinforced_concrete,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 compatibility,Explicit current user override,NEW_USER_OVERRIDE,Add reinforced_concrete parent while preserving any approved existing parent.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact objects inspected.,Also reconciles vanilla arc-welding sentinel.,
P32,ARBRE PRODUCTION,steel_frame_buildings,prerequisite,TECHNOLOGY,steel_frame_buildings,parents investment_banks + modern_sewerage,investment_banks;modern_sewerage,arc_welding shown as prerequisite,arc_welding plus preserved approved parents,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user override,NEW_USER_OVERRIDE,Add exact arc_welding prerequisite after parent-set review.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact current parent set inspected.,Do not silently delete current parents.,
P33,ARBRE PRODUCTION,steel_frame_buildings,display name,LOCALIZATION,steel_frame_buildings,Steel-Frame Buildings,technology ID remains steel_frame_buildings,Concrete and Steel Buildings,same technology ID,,,TECH3A2 localization audit,Explicit current user request,CONFLICT_REQUIRES_USER_DECISION,Confirm localization keys and French/English wording before editing.,LOCALIZATION_ONLY_NO_ID_CHANGE,Exact technology ID exists.,No exact localization path claimed in this audit.,
P34,ARBRE PRODUCTION,steel_frame_buildings,concrete input,PRODUCTION_METHOD,pm_steel_frame_buildings,no requested future concrete input yet,steel_frame_buildings,later concrete consumption,steel_frame_buildings,common/production_methods/13_construction.txt,common/production_methods/13_construction.txt,TECH5B2 PM responsibility,Explicit future user request,CONFLICT_REQUIRES_USER_DECISION,Specify exact goods amount and modifier block before implementation.,EXISTING_SHADOW_OBJECT_EDIT,Exact PM resolved.,Deferred balance design.,
P35,ARBRE PRODUCTION,arc_welding,concrete consumption,OTHER,arc_welding,technology has no goods-input field,not applicable,later concrete use associated with arc welding,unspecified consuming gameplay object,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,,No prior object assignment,Explicit future user request,CONFLICT_REQUIRES_USER_DECISION,Identify the actual PM/building that should consume concrete; do not add goods input to a technology object.,NO_PATH_OR_OBJECT_INVENTED,Technology object syntax inspected.,Needs design clarification.,
P36,ARBRE PRODUCTION,condensing_steam_engines,condensing pump,PRODUCTION_METHOD,pm_condensing_engine_pump_building_coal_mine,shown under two technologies,condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines,condensing_steam_engines,common/production_methods/03_mines.txt,common/production_methods/03_mines.txt,TECH5B2 current gate audit,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Remove only deep_mine_engineering from exact PM gate.,SAME_PATH_SHADOW_MINIMAL,Exact five PM IDs and fields inspected.,Keep condensing_steam_engines.,
P37,ARBRE PRODUCTION,condensing_steam_engines,condensing pump,PRODUCTION_METHOD,pm_condensing_engine_pump_building_iron_mine,shown under two technologies,condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines,condensing_steam_engines,common/production_methods/03_mines.txt,common/production_methods/03_mines.txt,TECH5B2 current gate audit,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Remove only deep_mine_engineering from exact PM gate.,SAME_PATH_SHADOW_MINIMAL,Exact five PM IDs and fields inspected.,Keep condensing_steam_engines.,
P38,ARBRE PRODUCTION,condensing_steam_engines,condensing pump,PRODUCTION_METHOD,pm_condensing_engine_pump_building_lead_mine,shown under two technologies,condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines,condensing_steam_engines,common/production_methods/03_mines.txt,common/production_methods/03_mines.txt,TECH5B2 current gate audit,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Remove only deep_mine_engineering from exact PM gate.,SAME_PATH_SHADOW_MINIMAL,Exact five PM IDs and fields inspected.,Keep condensing_steam_engines.,
P39,ARBRE PRODUCTION,condensing_steam_engines,condensing pump,PRODUCTION_METHOD,pm_condensing_engine_pump_building_sulfur_mine,shown under two technologies,condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines,condensing_steam_engines,common/production_methods/03_mines.txt,common/production_methods/03_mines.txt,TECH5B2 current gate audit,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Remove only deep_mine_engineering from exact PM gate.,SAME_PATH_SHADOW_MINIMAL,Exact five PM IDs and fields inspected.,Keep condensing_steam_engines.,
P40,ARBRE PRODUCTION,condensing_steam_engines,condensing pump,PRODUCTION_METHOD,pm_condensing_engine_pump_building_gold_mine,shown under two technologies,condensing_steam_engines;deep_mine_engineering,shown only under condensing_steam_engines,condensing_steam_engines,common/production_methods/03_mines.txt,common/production_methods/03_mines.txt,TECH5B2 current gate audit,Explicit current user request,GAMEPLAY_GATE_CORRECTION_REQUIRED,Remove only deep_mine_engineering from exact PM gate.,SAME_PATH_SHADOW_MINIMAL,Exact five PM IDs and fields inspected.,Keep condensing_steam_engines.,
M01,ARBRE MILITAIRE,scientific_naval_architecture,era,TECHNOLOGY,scientific_naval_architecture,era 3,era_3,era 2,era_2,common/technology/technologies/25_tech3a_naval.txt,common/technology/technologies/25_tech3a_naval.txt,TECH4C naval graph,Explicit current user override,NEW_USER_OVERRIDE,Set era_2 after graph validation.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact ID resolved; user label Naval Architecture maps here.,,
M02,ARBRE MILITAIRE,marine_chronometry,prerequisite,TECHNOLOGY,marine_chronometry,root technology,none,scientific_naval_architecture prerequisite,scientific_naval_architecture,common/technology/technologies/25_tech3a_naval.txt,common/technology/technologies/25_tech3a_naval.txt,TECH4C naval graph,Explicit current user override,NEW_USER_OVERRIDE,Add exact parent edge.,REPLACE_PATH_TECH_OBJECT_EDIT,Both IDs resolved.,,
M03,ARBRE MILITAIRE,permanent_military_hospitals,first aid,MOBILIZATION_OPTION,mobilization_option_first_aid,shown under triage,triage,shown under permanent_military_hospitals,permanent_military_hospitals,common/mobilization_options/00_mobilization_option.txt,common/mobilization_options/00_mobilization_option.txt,Vanilla/TECH5 responsibility,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create minimal same-path shadow and replace exact gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact object and triage gate inspected.,,
M04,ARBRE MILITAIRE,percussion_cap,era,TECHNOLOGY,percussion_cap,era 6,era_6,era 5,era_5,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user override,NEW_USER_OVERRIDE,Set era_5.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact object resolved.,,
M05,ARBRE MILITAIRE,general_staff,percussion-cap prerequisite,TECHNOLOGY,general_staff,parents corps_organization;military_topographic_surveying;logistics,current parent set,percussion_cap shown in chain,add percussion_cap parent,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user request,NEW_USER_OVERRIDE,Add exact edge after preserving approved parents.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact IDs resolved.,Wording interpreted as percussion cap gates General Staff.,
M06,ARBRE MILITAIRE,percussion_cap,ammunition PM continuity,PRODUCTION_METHOD,pm_percussion_caps,no unlocking_technologies field,ungated PM,visible causal chain to skirmish infantry ammunition,exact final PM gate not stated,common/production_methods/01_industry.txt,,TECH5A/TECH5B2 PM audits,Explicit current user request,CONFLICT_REQUIRES_USER_DECISION,Decide whether PM gate is percussion_cap or a later ammunition technology.,NO_PATH_INVENTED,Exact PM exists and is currently ungated.,The desired continuity is clear; the exact gate is not.,
M07,ARBRE MILITAIRE,casemated_fortifications,second naval fortification PM,PRODUCTION_METHOD,pm_naval_fortification_reinforced,shown under breech_loading_artillery,breech_loading_artillery,shown under casemated_fortifications,casemated_fortifications,common/production_methods/05_military.txt,common/production_methods/05_military.txt,TECH5B2 current PM gate,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Replace exact PM gate.,EXISTING_SHADOW_OBJECT_EDIT,Exact PM and gate inspected.,,
M08,ARBRE MILITAIRE,concrete_fortifications,prerequisite,TECHNOLOGY,concrete_fortifications,parent defense_in_depth,defense_in_depth,casemated_fortifications shown before concrete,add casemated_fortifications parent,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user request,NEW_USER_OVERRIDE,Add exact prerequisite while retaining reviewed existing parent.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact technology IDs resolved.,Advanced naval fortification PM already uses concrete_fortifications.,
S01,ARBRE SOCIETAL,human_rights,slavery-law progression,LAW_GATE,law_slavery_banned,current law unlock topology is temporally inconsistent,human_rights/related tech responsibility needs object-level redesign,constitutional_government -> organized_reform_movements -> abolitionist_mobilization chain with staged slavery laws,not fixed by note,common/laws/02_slavery.txt,common/laws/02_slavery.txt,TECH2H;TECH4C;TECH6B1,Explicit request for proposals and debate,CONFLICT_REQUIRES_USER_DECISION,Prepare alternative staged-law mappings; require user choice before implementation.,NEW_SAME_PATH_SHADOW_ONLY_AFTER_DECISION,Exact technologies and vanilla 1.13.11 law path resolved; requested law chain remains design-level.,Do not invent a final law-to-tech mapping.,Expanded manual freeze: slave_trade NONE; debt_slavery constitutional_government; colonial_slavery human_rights; legacy_slavery organized_reform_movements; slavery_banned abolitionist_mobilization.
S02,ARBRE SOCIETAL,political_economy,prerequisite,TECHNOLOGY,political_economy,parents systematic_administrative_statistics;codified_practical_knowledge,current parent set,commercial_insurance_markets prerequisite,add commercial_insurance_markets parent,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH4C society graph,Explicit current user override,NEW_USER_OVERRIDE,Add exact prerequisite after parent-set review.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact IDs resolved.,,
S03,ARBRE SOCIETAL,commercial_insurance_markets,unlock distribution,VISIBLE_UNLOCK,,several early responsibilities,multiple objects,some unlocks moved lower in chain,object list not specified,common/technology/technologies/30_tech3a_society.txt,,TECH2H responsibility freeze,Explicit current user direction,CONFLICT_REQUIRES_USER_DECISION,Inventory and approve each unlock to move; no bulk reassignment.,NO_OBJECT_OR_PATH_INVENTED,Source note does not enumerate objects.,,
S04,ARBRE SOCIETAL,commercial_insurance_markets,laissez-faire law,LAW,law_laissez_faire,currently TECH6B2-gated at commercial_insurance_markets,commercial_insurance_markets,advanced later gate,not specified,common/laws/00_economic_system.txt,,TECH6B2 explicit implementation,New user says advanced laws must be later,CONFLICT_REQUIRES_USER_DECISION,Choose exact later technology before retargeting.,NO_PATH_INVENTED,Exact current law and gate documented by TECH6B2.,,
S05,ARBRE SOCIETAL,classical_political_economy,interventionism law,LAW,law_interventionism,current tech condition includes classical_political_economy,classical_political_economy,not before agrarian movement/progression,exact target not specified,common/laws/00_economic_system.txt,,TECH6B2 intentional gate,Explicit current user override,CONFLICT_REQUIRES_USER_DECISION,Choose exact target technology or prerequisite relation to political_economy/agrarian progression.,NO_PATH_INVENTED,Exact current law block inspected.,,
S06,ARBRE SOCIETAL,institutionalized_scientific_exchange,existing modifier,TECHNOLOGY,institutionalized_scientific_exchange,country_influence_mult=0.25; country_diplomatic_play_maneuvers_mult=0.25,institutionalized_scientific_exchange,retain both existing modifiers,unchanged,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH4C tree,Explicit current user confirmation,OLD_AUDIT_ALREADY_CORRECT,Preserve both exact existing modifiers.,NO_ACTION,Exact technology object and modifier keys inspected.,No change.,
