TAG,Technology,Old_Decision,Missing_Prerequisite_Closure,Added_Prerequisites,Final_Decision,Reason
GR4,specialized_technical_academies,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A],institutionalized_scientific_exchange,RESTORE_WITH_PREREQUISITES,L'échange scientifique institutionnalisé est cohérent avec les académies techniques retenues et ne crée aucune cascade supplémentaire.
GR5,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
GR5,standardized_field_artillery,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
GRE,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
HAI,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
HAI,standardized_field_artillery,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
HBC,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
HYD,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
IQU,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
IR1,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
JAI,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
JAP,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
KAS,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
KBA,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
KOR,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
LAN,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
LNG,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
MAD,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
MARATH,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
MICC,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
MKT,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
MUG,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
NBS,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
NET,industrial_canals,REMOVED_MISSING_PREREQUISITE,turnpike_road_networks[B],turnpike_road_networks,RESTORE_WITH_PREREQUISITES,"Turnpike Road Networks est accepté comme abstraction du socle d'ingénierie routière préalable, conformément à la correction de portée."
NET,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
ONT,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
ORG,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
PAN,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
PRA,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
PRG,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
RWD,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
SAR,specialized_technical_academies,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A],institutionalized_scientific_exchange,RESTORE_WITH_PREREQUISITES,L'échange scientifique institutionnalisé est cohérent avec les académies techniques retenues et ne crée aucune cascade supplémentaire.
SAX,specialized_technical_academies,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A],institutionalized_scientific_exchange,RESTORE_WITH_PREREQUISITES,L'échange scientifique institutionnalisé est cohérent avec les académies techniques retenues et ne crée aucune cascade supplémentaire.
SC2,applied_mineralogy,REMOVED_MISSING_PREREQUISITE,shaft_mining[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait toute la suite de mines débloquée par Shaft Mining, explicitement rejetée pour ce pays."
SC2,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
SC4,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
SEQ,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
SIC,specialized_technical_academies,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A],institutionalized_scientific_exchange,RESTORE_WITH_PREREQUISITES,L'échange scientifique institutionnalisé est cohérent avec les académies techniques retenues et ne crée aucune cascade supplémentaire.
SPC,atmospheric_engine,REMOVED_MISSING_PREREQUISITE,coke_smelting[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait la fonte au coke, explicitement non établie localement en 1776; la technologie reste britannique."
TIB,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
TIB,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
TUN,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
UBD,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
UBD,standardized_field_artillery,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
UCA,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
VNZ,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
