tech_id_provisional,name_fr,name_en,subbranch,era,era_window,historical_window,antecedent,practical_breakthrough,commercial_adoption,widespread_use,prerequisites,cross_branch_prerequisites,direct_unlocks,future_techs_opened,representation,design_status,historical_confidence,gameplay_role,ai_considerations,goods_dependencies,building_dependencies,pm_dependencies,pollution_mortality_notes,transport_rework_status,source_urls,notes,new_good_implications,direct_pop_consumption,pop_need_candidate,demand_design_notes,reference_mod_audit
mechanized_spinning,Filature mécanisée,Mechanized Spinning,Textile,III,~1750–1774,1760s–1770s,"Filage manuel, roues à filer, ateliers et putting-out systems.","Spinning jenny, water frame d'Arkwright brevetée en 1769; Cromford 1771.",Filatures hydrauliques et mécanisation croissante dans les années 1770.,"Fin XVIIIe–début XIXe, diffusion internationale progressive.",BASELINE_TEXTILE_PRODUCTION,,"Textile Mills PM: Spinning Jenny / Water Frame; hausse output, tools/energy inputs selon PM.",advanced_spinning; cotton_gin,NODE + PM,STRONG_KEEP,HIGH,Premier vrai saut de productivité textile mécanisé.,Poids si coton/laine/fabric et textile mills rentables.,tools; cotton/fabric inputs,textile_mills,Spinning Jenny; Water Frame,"Concentration ouvrière accrue, mais gestion sociale relève d'autres systèmes.",,https://www.nationalarchives.gov.uk/education/resources/georgian-britain-age-modernity/arkwrights-spinning-frame/; https://whc.unesco.org/en/list/1030/,Le putting-out ne disparaît pas automatiquement: les subsistence/cottage structures peuvent coexister.,,NO_DIRECT_NEW_GOOD,,,
applied_mineralogy,Minéralogie appliquée,Applied Mineralogy,Mines & géologie,III,~1750–1774,1760s+,"Assayage, minéralogie et savoirs de mine anciens.","Formalisation de l'enseignement minier et métallurgique, notamment Banská Štiavnica (1762–64) et Freiberg (1765).","Savoirs plus systématiques d'identification, assayage et traitement des minerais.","Diffusion lente via académies, ingénieurs des mines et administrations.",shaft_mining,Society: scientific institutions/technical education candidate,PM mines: Ore Assaying & Dressing; base pour spécialisations géologiques futures.,geological_surveying,NODE + PM,STRONG_KEEP,HIGH,Relie savoir scientifique à l'exploitation des ressources sans 'inventer' les mines.,Poids si secteur minier significatif.,tools; ore outputs,mines,Ore Assaying & Dressing,,,https://whc.unesco.org/archive/advisory_body_evaluation/618.pdf,"Bon point d'ancrage pour futurs sous-arbres charbon, minerais métalliques, minéraux industriels, pétrole.",,NO_DIRECT_NEW_GOOD,,,
industrial_ceramics,Céramique industrielle,Industrial Ceramics,Matériaux,III,~1750–1774,milieu XVIIIe–années 1770,"Porcelaine et céramiques fines existent bien avant 1700, notamment en Asie orientale.","Intégration d'usines spécialisées, division du travail, nouveaux corps/glaçures et production à plus grande échelle; Etruria (1769) est un jalon européen.",Croissance rapide des manufactures de céramique fine au XVIIIe tardif.,XIXe siècle; niveaux de départ doivent refléter les traditions régionales avancées.,BASELINE_CERAMICS,Society: experimental science candidate,"EXISTING_BUILDING Glassworks: progression/rework des PM de porcelaine déjà présents dans le même bâtiment que le verre; aucun nouveau Ceramic Works prévu. Peut améliorer rendement, combustible et/ou inputs des PM porcelaine.",hydraulic_cements; pressed_glass,NODE + PM,KEEP,HIGH,Couvre le secteur céramique sans prétendre que l'Europe 'découvre' la porcelaine.,Poids si demande porcelain/luxury goods et matières premières disponibles.,coal; porcelain; glass; industrial_chemicals candidate for later glazing/finishing; clay abstraction,EXISTING: glassworks only (porcelain + glass PM groups),Existing vanilla porcelain PM group; exact two-PM baseline to audit before implementation,Fours au charbon: pollution accrue.,,https://historicengland.org.uk/content/docs/education/explorer/teachers-kit-pottery-industry-pdf/; https://historicengland.org.uk/images-books/publications/dssg-industrial-sites/heag246-industrial-sites-ssg/,Les pays à forte tradition céramique peuvent commencer avec cette capacité ou un équivalent. Aucun bâtiment de céramique séparé n'est supposé en V1.1.,No new ceramic good/building. Porcelain remains an existing final good.,Porcelain: YES (existing POP final consumption),Use existing vanilla porcelain POP need/substitution structure; do not create a new need solely for this tech,La tech modernise les PM de porcelaine du Glassworks; elle ne 'découvre' pas la porcelaine. La demande POP existante reste un débouché central.,
precision_boring,Alésage de précision,Precision Boring,Machines-outils,IV,~1775–1799,c.1775+,Alésage des canons et cylindres avec précision limitée.,"Machine de John Wilkinson vers 1775, précision suffisante pour les cylindres de Watt.","Adoption dans métallurgie, moteurs et armement.",Base de l'ingénierie de précision du XIXe siècle.,coke_smelting,Military: artillery boring cross-link candidate,PM tooling/engine: Precision Boring Equipment; améliore qualité des cylindres et pièces.,condensing_steam_engines; precision_machine_tools,NODE + PM,STRONG_KEEP,HIGH,Pont critique métallurgie → vapeur → machine tools.,"Poids élevé pour pays industrialisants, moteurs/armes.",iron; tools,tooling_workshops; engine/arms cross-branch,Precision Boring Equipment,,,https://collection.sciencemuseumgroup.org.uk/objects/co46448/cast-iron-boring-bar-and-boring-head,"Node clé de dépendance historique, pas micro-invention gratuite.",,NO_DIRECT_NEW_GOOD,,,
condensing_steam_engines,Machines à vapeur à condensation,Condensing Steam Engines,Énergie & vapeur,IV,~1775–1799,1769–1770s+,Atmospheric Steam Engines.,"Condenseur séparé de Watt (brevet 1769), moteurs Boulton & Watt commercialisés à partir des années 1770.",Pompage minier et applications fixes avec forte économie de combustible.,Fin XVIIIe–début XIXe.,atmospheric_steam_engines; precision_boring,,PM mines: Condensing Pumping Engines; forte efficacité charbon; base de la vapeur rotative.,rotative_steam_power,NODE + PM,STRONG_KEEP,HIGH,Sépare l'amélioration d'efficacité de la future motorisation rotative.,Poids si charbon cher ou nombreuses mines/industries.,coal; tools,mines; industrial power later,Condensing Pumping Engine,Réduit consommation de charbon par unité de travail.,,https://collection.sciencemuseumgroup.org.uk/objects/co50948/rotative-steam-engine-by-boulton-and-watt-1788,La source SMG souligne que le condenseur séparé réduisait fortement la consommation par rapport à Newcomen.,,NO_DIRECT_NEW_GOOD,,,
rotative_steam_power,Force motrice à vapeur rotative,Rotative Steam Power,Énergie & vapeur,IV,~1775–1799,1780s–1800,Condensing Steam Engines; mécanismes rotatifs.,Moteurs rotatifs Boulton & Watt dans les années 1780; moteur de Soho 1788 entraînant de multiples machines.,Adoption dans moulins et manufactures à la fin du XVIIIe.,Début XIXe dans de nombreux secteurs.,condensing_steam_engines,,"PM de puissance vapeur dans Textile, Paper, Food, Furniture, Chemical Works; Steam Winding PM en combinaison avec Deep Mine Engineering.",mechanized_weaving; precision_machine_tools; coal_gasification; professional_civil_engineering,NODE + BROAD_PM_UNLOCK,STRONG_KEEP,HIGH,Transforme la vapeur de pompe en source de puissance industrielle générale.,Poids selon concentration manufacturière et accès au charbon.,coal; tools,multiple manufactories; mines,Rotative Steam Engine; Steam Winding (synergy),Pollution locale accrue; consommation charbon importante.,,https://collection.sciencemuseumgroup.org.uk/objects/co50948/rotative-steam-engine-by-boulton-and-watt-1788,Doit ouvrir plusieurs PM mais pas remplacer automatiquement l'hydraulique.,,NO_DIRECT_NEW_GOOD,,,
advanced_spinning,Filature avancée,Advanced Spinning,Textile,IV,~1775–1799,1772–1779+,Mechanized Spinning.,"Spinning mule de Samuel Crompton, mise au point dans les années 1770.",Permet fils plus fins et résistants; adoption croissante.,Fin XVIIIe–XIXe.,mechanized_spinning,,Textile Mills PM: Spinning Mule; qualité/output améliorés.,mechanized_weaving,NODE + PM,KEEP,HIGH,Deuxième palier textile sans un node pour chaque machine.,Poids élevé si textile mills et coton/laine.,tools; cotton/fabric,textile_mills,Spinning Mule,,,https://collection.sciencemuseumgroup.org.uk/objects/co44837,"Peut être fusionné ultérieurement si densité finale excessive, mais V1 le conserve.",,NO_DIRECT_NEW_GOOD,,,
puddling_and_rolling,Puddlage et laminage,Puddling and Rolling,Métallurgie,IV,~1775–1799,1783–1784+,Coke Smelting; forgeage/finery traditions.,Procédés d'Henry Cort de puddling et rolling (1783–84).,Expansion de la production de fer forgé au charbon.,Fin XVIIIe–milieu XIXe.,coke_smelting,,PM sidérurgie: Puddling Furnaces; Rolling Mills; output fer de construction accru.,railway_systems; hot_blast_smelting,NODE + PM,STRONG_KEEP,HIGH,"Base matérielle des machines, rails et grandes structures avant l'acier bon marché.",Poids élevé si fer/coal et construction/machines.,coal; iron,iron/steel industry,Puddling Furnaces; Rolling Mills,Pollution et conditions de travail lourdes.,,https://historicengland.org.uk/images-books/publications/dssg-industrial-sites/heag246-industrial-sites-ssg/,Node métallurgique majeur.,,NO_DIRECT_NEW_GOOD,,,
deep_mine_engineering,Ingénierie des mines profondes,Deep Mine Engineering,Mines & géologie,IV,~1775–1799,XVIIIe tardif–début XIXe,Shaft Mining; Atmospheric Steam Engines.,"Combinaison de puits plus profonds, drainage, ventilation, soutènement et organisation du transport souterrain.",Grandes exploitations charbon/métaux de plus en plus profondes.,XIXe siècle dans principaux bassins.,shaft_mining; atmospheric_steam_engines,,PM mines: Deep Shaft Workings; Underground Haulage; Steam Winding si Rotative Steam Power connu.,mine_safety_engineering; geological_surveying,NODE + PM,STRONG_KEEP,HIGH,Palier haut rendement/haut risque avant sécurité moderne.,Poids fort si mines proches de cap de production ou forte demande de minerais.,tools; coal; engines abstraction,underground mines,Deep Shaft Workings; Underground Haulage; Steam Winding synergy,Output ↑ mais mortalité/accidents/pollution locale ↑ sans sécurité minière.,,https://historicengland.org.uk/listing/the-list/list-entry/1016755,Le couple Deep Mine + Mine Safety doit créer un vrai arbitrage gameplay.,,NO_DIRECT_NEW_GOOD,,,
mechanized_threshing,Battage mécanisé,Mechanized Threshing,Agriculture,IV,~1775–1799,c.1786+,Battage manuel; Improved Agricultural Implements.,Machine de battage d'Andrew Meikle vers 1786.,Diffusion progressive dans régions céréalières.,"XIXe siècle, avec forte variation régionale.",improved_agricultural_implements,,"Grain Farms PM: Threshing Machines; labor ↓, tools/energy ↑, output efficiency ↑.",,NODE + PM,STRONG_KEEP,HIGH,Première réduction mécanique importante du travail post-récolte.,Poids si grain farms nombreux et salaires élevés/tools abordables.,tools,grain_farms,Threshing Machines,,,https://collection.sciencemuseumgroup.org.uk/objects/co38693/threshing-machine-built-by-rg-garvie-and-son,"Ne préjuge pas de la mécanisation de la récolte elle-même, plutôt post-1836.",,NO_DIRECT_NEW_GOOD,,,
chlorine_bleaching,Blanchiment au chlore,Chlorine Bleaching,Chimie,IV,~1775–1799,1785–1799+,Industrial Acids; blanchiment sur prés et procédés traditionnels.,Berthollet applique le chlore au blanchiment; Tennant brevète la poudre de blanchiment en 1799.,St Rollox et autres usines vendent le produit à grande échelle.,XIXe siècle dans textile/papier.,industrial_acids,,Chemical Works PM: Bleaching Powder; Textile/Paper PMs consommant Industrial Chemicals.,industrial_alkalis,NODE + PM,STRONG_KEEP,HIGH,Premier grand usage aval des Industrial Chemicals.,Poids élevé si Textile Mills/Paper Mills importants et demande chemicals présente.,industrial_chemicals; sulfur; coal,chemical_works; textile_mills; paper_mills,Bleaching Powder; Chemical Bleaching,Chemical Works: forte pollution et danger professionnel.,,https://www.erih.net/how-it-started/stories-about-people-biographies/biography/tennant,Évite de traiter la chimie comme simple bonus abstrait.,,NO_DIRECT_NEW_GOOD,,"Tout nouveau good ou nouvel input doit être testé à la fois côté demande productive et, si historiquement logique, côté consommation POP.",
cotton_gin,Égreneuse à coton,Cotton Gin,Agriculture & textile,IV,~1775–1799,1793–1794+,Égrenage manuel et petits gins plus anciens.,Cotton gin de Whitney (1793/94) accélérant l'égrenage du coton à fibres courtes.,Adoption rapide dans les régions cotonnières américaines; diffusion adaptée ailleurs.,XIXe siècle.,mechanized_spinning,,"Cotton Plantation PM: Cotton Gin; output coton ↑, travail d'égrenage ↓.",,NODE + PM,KEEP,HIGH,Relie hausse de capacité textile et production primaire de coton.,AI weight fortement conditionné au potentiel/production coton et à la demande textile.,cotton; tools,cotton_plantations,Cotton Gin,,,https://americanhistory.si.edu/collections/object/nmah_625483,Ne doit pas coder l'esclavage comme effet intrinsèque de la technologie; les relations de travail relèvent des lois/institutions.,,NO_DIRECT_NEW_GOOD,,,
automated_flour_milling,Meunerie automatisée,Automated Flour Milling,Alimentation,IV,~1775–1799,1783–1795+,Moulins à eau/vent et meunerie artisanale.,"Oliver Evans développe un système intégré et quasi continu; fonctionnement attesté en 1785, brevet 1790.",Adoption progressive dans les grands moulins américains.,Début XIXe dans certains centres; diffusion non universelle.,improved_agricultural_implements,,"Food Industries PM: Automated Flour Milling; labour ↓, tools/mechanical inputs ↑, groceries/flour efficiency ↑.",hermetic_food_preservation,NODE + PM,STRONG_KEEP,HIGH,Donne une vraie branche de mécanisation aux Food Industries avant la conserve.,"Poids si grain abondant, food industries actifs, salaires élevés.",grain; tools,food_industries,Automated Flour Milling,,,https://home.nps.gov/people/oliver-evans.htm; https://home.nps.gov/rocr/learn/historyculture/peirce-mill-history.htm,Très bon PM existant/nouveau sans créer un nouveau good farine.,,NO_DIRECT_NEW_GOOD,,,
precision_machine_tools,Machines-outils de précision,Precision Machine Tools,Machines-outils,V,~1800–1824,c.1797–1820,Precision Boring; tours et outillage artisanal.,Tour à fileter de Maudslay vers 1800 et ensemble croissant de machines-outils précises.,Ateliers mécaniques spécialisés au début XIXe.,XIXe siècle.,precision_boring,Military: standardized arms / naval machinery hooks,Tooling Workshops PM: Precision Machine Tools; PM package Mechanized Woodworking/Power Saws possible; quality/throughput machinery ↑.,high_pressure_steam; interchangeable_manufacture; hydraulic_turbines; pressed_glass; continuous_distillation,NODE + BROAD_PM_UNLOCK,STRONG_KEEP,HIGH,"Nœud transversal d'industrialisation, sans micro-node 'screw-cutting lathe'.",Poids élevé pour pays avec tooling/engines/arms/shipyards et industrie en croissance.,iron; tools,tooling_workshops; logging/furniture PM hooks; military industries cross-link,Precision Machine Tools; Mechanized Woodworking candidate,,,https://collection.sciencemuseumgroup.org.uk/objects/co46284/henry-maudslays-original-screw-cutting-lathe-c1800-lathes,Screw-Cutting Lathes est MERGED ici.,,NO_DIRECT_NEW_GOOD,,,
high_pressure_steam,Vapeur à haute pression,High-Pressure Steam,Énergie & vapeur,V,~1800–1824,1802–1810+,Atmospheric Steam Engines; amélioration des chaudières et de l'usinage.,Trevithick et Vivian brevetent un moteur haute pression en 1802; machines pratiques au début des années 1800.,"Moteurs plus compacts, usages fixes et mobiles.",Début–milieu XIXe.,atmospheric_steam_engines; precision_machine_tools,,PM Compact High-Pressure Engines; prérequis mobilité/rail; moteurs plus puissants avec risque chaudière accru.,railway_systems,NODE + PM,STRONG_KEEP,HIGH,Branche vapeur compacte différente de la seule efficacité Watt.,Poids si industrie mécanique/transport en développement.,coal; tools,industrial PMs; rail later,High-Pressure Steam Engines,Risque d'accidents de chaudière possible; pollution charbon.,,https://collection.sciencemuseumgroup.org.uk/objects/co51033/trevithicks-high-pressure-steam-engine-and-boiler-c-1806,"La dépendance à Precision Machine Tools est une abstraction de capacité de fabrication, pas une causalité exclusive.",,NO_DIRECT_NEW_GOOD,,,
mechanized_weaving,Tissage mécanisé,Mechanized Weaving,Textile,V,~1800–1824,1785 prototype; adoption pratique surtout 1800–1820,Advanced Spinning; métiers manuels et navette volante.,"Power loom de Cartwright breveté en 1785, amélioré ensuite.",Adoption réellement significative au début XIXe.,XIXe siècle.,advanced_spinning; rotative_steam_power,,"Textile Mills PM: Power Looms; output tissu ↑, labour composition modifiée, power/tools inputs ↑.",,NODE + PM,STRONG_KEEP,HIGH,Ne confond pas brevet 1785 avec diffusion instantanée.,Poids si textile mills importants et source d'énergie rentable.,tools; coal/water power,textile_mills,Power Looms,,,https://collection.sciencemuseumgroup.org.uk/people/ap13666/cartwright-edmund,"Placement Era V reflète adoption, pas première invention.",,NO_DIRECT_NEW_GOOD,,,
