tech_id_provisional,tech_name_fr,tech_name_en,branch,subbranch,era,era_window,tech_type,prerequisites,cross_branch_prerequisites,direct_unlocks,future_techs_opened,representation,design_status,vanilla_overlap,historical_window,antecedent,practical_breakthrough,institutional_adoption,widespread_use,historical_confidence,gameplay_role,ai_considerations,production_links,military_links,law_institution_links,regional_transfer_notes,notes,source_urls
universal_rights_discourse,Discours des droits universels et de la citoyenneté,Universal Rights & Citizenship Discourse,Society,Politique / droits,IV,~1775–1799,UNIVERSAL,constitutional_government; periodical_print_networks,,Civil-rights/citizenship law hooks; equality-before-law claims; women's-rights and abolitionist movement hooks,organized_reform_movements; abolitionist_mobilization; liberal_constitutionalism,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1770s–1790s,"Natural-law, religious, legal and civic-rights traditions",Rights framed as general claims of citizens/humans against privilege and arbitrary power,American declarations; DDHC 1789; critiques by de Gouges 1791 and Wollstonecraft 1792; revolutionary emancipation debates,"Late XVIIIe–XIXe, contested and uneven",HIGH,Unlocks/strengthens laws and movements; does not apply rights automatically,"Mostly IG/movement driven, not a universal state preference",,,Civil liberties; religious tolerance; property/citizenship equality; press rights; women's-rights reforms later,"Haiti and colonial societies expose the contradiction between universal declarations and racial slavery; women's-rights advocacy is a movement package, not a separate core node before 1836.",,https://www.elysee.fr/la-presidence/la-declaration-des-droits-de-l-homme-et-du-citoyen;https://data.bnf.fr/fr/ark:/12148/cb179914613.pdf;https://www.bl.uk/stories/blogs/posts/international-womens-day-2026
national_sovereignty,Souveraineté nationale et populaire,National & Popular Sovereignty,Society,Politique / souveraineté,IV,~1775–1799,UNIVERSAL,constitutional_government; periodical_print_networks,,Independence/unification/national-sovereignty movement hooks; citizen-state legitimacy,liberal_constitutionalism; POST_1836_mass_nationalism,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1770s–early XIXe,"Dynastic, imperial, local, republican and corporate sovereignties",Explicit location of sovereignty in the people/nation rather than solely dynastic authority,US constitutional language; DDHC Article 3; Atlantic revolutions; Latin American and Haitian independence paths,"Early XIXe, highly contested",HIGH,Enables national/independence movements without assuming one inevitable nation-state path,Movement/geopolitical context driven,,Citizen mobilization / independence war hooks,,"Anti-colonial independence movements are EVENT/REGIONAL PATHS enabled by this concept, not a single universal 'anti-colonial tech'.",,https://www.elysee.fr/la-presidence/la-declaration-des-droits-de-l-homme-et-du-citoyen;https://assets.cambridge.org/97811070/25592/index/9781107025592_index.pdf
organized_reform_movements,Mouvements de réforme organisés,Organized Reform Movements,Society,Politique / mobilisation,IV,~1775–1799,UNIVERSAL,periodical_print_networks; universal_rights_discourse,,Petitions; civic societies; lobbying; public campaigns; movement strength,abolitionist_mobilization; organized_labor_movements; early_socialism_cooperativism,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Late XVIIIe onward,"Petitions, guilds, religious associations, local protest traditions","Durable issue-based organizations using print, subscriptions, petitions and public campaigns",Late XVIIIe reform campaigns,Early XIXe,HIGH,Core movements/IG-pressure capability rather than law itself,Mostly pop/IG driven,,,,,,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/slavetrade/
abolitionist_mobilization,Mobilisation abolitionniste,Abolitionist Mobilization,Society,Politique / émancipation,IV,~1775–1799,UNIVERSAL,organized_reform_movements; universal_rights_discourse,,Anti-slavery/slave-trade movement strength; emancipation law pressure; diplomatic pressure,POST_1836_mass_abolitionism,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1780s–early XIXe,"Enslaved resistance, religious antislavery, Black intellectual/political traditions",Organized transnational campaigns plus revolutionary emancipation politics,British abolition society 1787; Saint-Domingue revolution 1791–1804; other Atlantic movements,Early XIXe,HIGH,"Movement/law pressure, not instant abolition","Driven by pops/IGs, slavery institutions, revolutions and diplomacy",,Naval anti-slave-trade enforcement later,Slave Trade / Slavery laws,"Haitian emancipation must be represented as revolutionary Black agency, not as a British reform export.",,https://researchbriefings.files.parliament.uk/documents/LLN-2019-0104/LLN-2019-0104.pdf;https://www.loc.gov/item/2021670754/
systematic_cadastral_surveying,Levés cadastraux systématiques,Systematic Cadastral Surveying,Society,Administration / territoire,IV,~1775–1799,UNIVERSAL,systematic_administrative_statistics,Society: scientific surveying; Production: geological_surveying,Parcel mapping; landowner/use records; land-tax assessment; territorial information,geological_surveying [Production],NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1760s–early XIXe,Ancient land registers and fiscal surveys,Parcel-level mapped survey tied to ownership/use and regular taxation,Habsburg surveys 1760s; Napoleonic cadastre 1807 as implementation,XIXe,HIGH,Land tax/admin efficiency and terrain/resource information,Poids for land-tax reform and territorial administration,Geological Surveying,,,"Napoleonic Cadastre is a reform implementation, not the universal tech itself.",,https://www.vie-publique.fr/files/rapport/pdf/084000384.pdf
systematic_legal_codification,Codification juridique systématique,Systematic Legal Codification,Society,Droit / administration,IV,~1775–1799,UNIVERSAL_STARTING_DIFFERENTIAL,systematic_administrative_statistics,,Unified legal codes; jurisdiction clarity; property/contract/civil-status law hooks,professional_civil_policing,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Pre-1700 traditions; major XVIIIe/early XIXe codification waves,Long codified legal traditions in China and elsewhere; Roman/canon/customary law systems,"Systematic, state-wide compilation and promulgation of legal rules",Great Qing Code mature 1740; Prussian ALR 1794; French Civil Code 1804,XVIIIe–XIXe,HIGH,Administrative/legal uniformity; not synonymous with liberal law,Poids for fragmented jurisdictions and centralization,,,"Property, contract, family/civil status",Qing can start with this capacity; European reforms are alternative implementations.,,https://germanhistorydocs.org/en/the-holy-roman-empire-1648-1815/the-general-law-code-for-the-prussian-states-proclaimed-on-february-5-1794-effective-june-1-1794-1794.pdf;https://www.legifrance.gouv.fr/codes/id/LEGIARTI000006419279/1804-03-21/
scientific_metrology,Métrologie scientifique,Scientific Metrology,Society,Science / administration,IV,~1775–1799,UNIVERSAL,systematic_administrative_statistics; institutionalized_scientific_exchange,,Reference standards; precise measurement; national standardization; trade/science/precision-manufacture efficiency,,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Late XVIIIe,Ancient regional standards of weight and measure,Scientifically reproducible reference standards and systematic national harmonization,French metric reform 1790s as one implementation,XIXe,HIGH,Trade/admin/precision-manufacture synergy,Poids according to market fragmentation and industrialization,Precision Machine Tools; Geological Surveying,Topographic Surveying,Metric system or alternative standardization reforms,"Metric System is a reform implementation, not mandatory universal outcome.",,https://www.bipm.org/documents/20126/17314988/CGPM12.pdf
vaccination,Vaccination,Vaccination,Society,Médecine / santé,IV,~1775–1799,UNIVERSAL,variolation_networks,,Safer smallpox immunization; mortality ↓↓; prepares organized campaigns,organized_immunization_campaigns,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1796 onward,Variolation and regional inoculation practices,Cowpox-based vaccination method,Jenner 1796; rapid international diffusion,Early XIXe,HIGH,Safer replacement/upgrade to variolation,Very high health value if institutions can deploy it,,Military hospital/population health benefits,,,,https://vaccineknowledge.ox.ac.uk/history-of-vaccines-accessible
polytechnical_education,Enseignement polytechnique,Polytechnical Education,Society,Éducation / science,IV,~1775–1799,UNIVERSAL,specialized_technical_academies,,"Advanced common training in mathematics, physics, chemistry and mechanics; multi-branch engineer qualifications",experimental_research_laboratories,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1790s onward,Specialized technical academies,Common advanced scientific foundation before specialized engineering careers,École Polytechnique 1794 as major model; analogous systems develop later,XIXe,HIGH,High-level qualifications + broad applied-tech spread,Poids for states with multiple technical sectors,Precision Engineering; Chemical Works; Geological Surveying,Engineer Services; Naval Architecture; Staff education,,,,https://www.polytechnique.edu/sites/default/files/content/Livret%20d%27information%20DFHM-2024-V5.pdf
optical_telegraph_networks,Réseaux de télégraphe optique,Optical Telegraph Networks,Society,Information / communication,IV,~1775–1799,UNIVERSAL,periodical_print_networks,Military: command; Production/Society: optics/engineering,Semaphore stations; coded long-distance state messages; strategic communication speed ↑,POST_1836_electric_telegraph,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1790s onward,"Beacons, couriers, visual signaling",Networked standardized optical semaphore communication,Chappe Paris-Lille 1794; expansion thereafter,Early XIXe in selected states,HIGH,"Rapid but expensive state/military information, distinct from public news circulation",Poids for large centralized states and wars,,Command / mobilization / diplomacy,,,,https://www.arts-et-metiers.net/musee/modele-telegraphe-optique-systeme-chappe
central_statistical_offices,Bureaux statistiques centraux,Central Statistical Offices,Society,Administration / information,V,~1800–1824,UNIVERSAL,systematic_administrative_statistics; systematic_population_registration,,Permanent statistical offices; detailed demographic/economic reporting; planning efficiency,POST_1836_social_statistics,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,~1800 onward,Administrative statistics,Dedicated central offices collecting/processing standardized state data,France 1800/1806 and later 1833; analogous bodies elsewhere,XIXe,HIGH,State information / planning / census efficiency,Poids for large bureaucracies and industrialization,Resource/industrial planning,Mobilization/staff information,,,,https://www.economie.gouv.fr/saef/statistiques-historique
organized_immunization_campaigns,Campagnes organisées d'immunisation,Organized Immunization Campaigns,Society,Santé publique,V,~1800–1824,UNIVERSAL,vaccination,,Vaccination societies/state campaigns; distribution networks; health-institution throughput,POST_1836_public_health_administration,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1800s onward,Vaccination,Institutional organization of large-scale vaccination campaigns,Royal Jennerian Society 1803 and international campaigns,Early XIXe,HIGH,Turns medical knowledge into population-scale mortality reduction,High if budget and health institutions available,,Force/population health,,,,https://wellcomecollection.org/works/knqfatj6
mechanized_printing,Imprimerie mécanisée,Mechanized Printing,Society,Information / médias,V,~1800–1824,UNIVERSAL,periodical_print_networks,Production: precision_machine_tools; rotative_steam_power; continuous_papermaking,Cylinder/steam press PM; print throughput ↑↑; paper demand ↑,mass_circulation_press,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1810s onward,Hand presses and earlier printing methods,Steam-driven cylinder printing,The Times 1814 and diffusion thereafter,1820s–1830s,HIGH,Media throughput + paper demand + movement reach,"Poids with literacy, urbanization and paper supply",Precision Machine Tools; Rotative Steam; Continuous Papermaking,,,,"Lithography = PM_ONLY, not separate node.",https://blogs.loc.gov/headlinesandheroes/2022/04/printing-newspapers-1400-1900/
experimental_research_laboratories,Laboratoires de recherche expérimentale,Experimental Research Laboratories,Society,Science / recherche,V,~1800–1824,UNIVERSAL,polytechnical_education; institutionalized_scientific_exchange,,Laboratory research; applied chemistry/physics/material testing; Research Center unlock/PM candidate,specialized_professional_societies; POST_1836_research_systems,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1790s–early XIXe,"University demonstrations, academies and private laboratories",Dedicated institutions where experiment itself produces systematic new knowledge,Freiberg laboratory 1796; Royal Institution 1799/early 1800s,XIXe,HIGH,Historical basis for Research Centers and Industrial Knowledge Loop,"Poids with universities, advanced industries and technical academies",Industrial Chemicals; metallurgy; machine tools; future industrial knowledge,Applied military/naval science,,,,https://tu-freiberg.de/en/university/profile/history/milestones-history;https://www.rigb.org/about-us/our-history
specialized_professional_societies,Sociétés professionnelles spécialisées,Specialized Professional Societies,Society,Professions / science,V,~1800–1824,UNIVERSAL,specialized_technical_academies; experimental_research_laboratories,,Professional standards; specialist publications; qualification networks; engineer/geologist/scientist organization,,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1800s–1820s,General learned societies and guild/professional traditions,"Disciplinary professional bodies with standards, publications and membership",Geological Society 1807; ICE 1818; Astronomical Society 1820,XIXe,HIGH,"Qualifications, tech spread, professional standards",Poids with engineers/professionals,Professional Civil Engineering,Officer/staff/scientific expertise,,,,https://www.geolsoc.org.uk/about-us/history/;https://www.ice.org.uk/about-us/our-organisation/history;https://ras.ac.uk/about-the-ras/a-brief-history
clinicopathological_medicine,Médecine clinico-pathologique,Clinicopathological Medicine,Society,Médecine / science,V,~1800–1824,UNIVERSAL,clinical_medical_education; experimental_research_laboratories,,Systematic autopsy; symptom-lesion correlation; pathological anatomy; diagnostic-tool PMs incl. stethoscope,POST_1836_modern_pathology,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,~1799–1820s,Clinical education and anatomical traditions,Systematic correlation of clinical observation with post-mortem lesions/tissues,Paris school around 1800; Laennec stethoscope 1816 as tool unlock,Early-mid XIXe,HIGH,Medical efficiency / diagnosis / mortality improvements,Poids with hospitals and research,,Military medicine benefits,,,,https://pubmed.ncbi.nlm.nih.gov/12964569/;https://pmc.ncbi.nlm.nih.gov/articles/PMC10919061/
