source_alias,object_type,object_id,production_method_group,building_id,current_file,current_requirement,responsibility_class,frozen_target,frozen_target_source,mapping_confidence,implementation_readiness,notes
enclosure,BUILDING,building_livestock_ranch,NOT_APPLICABLE,building_livestock_ranch,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_maize_farm,NOT_APPLICABLE,building_maize_farm,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_millet_farm,NOT_APPLICABLE,building_millet_farm,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_opium_plantation,NOT_APPLICABLE,building_opium_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_rice_farm,NOT_APPLICABLE,building_rice_farm,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_rye_farm,NOT_APPLICABLE,building_rye_farm,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_silk_plantation,NOT_APPLICABLE,building_silk_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_sugar_plantation,NOT_APPLICABLE,building_sugar_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_tea_plantation,NOT_APPLICABLE,building_tea_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_tobacco_plantation,NOT_APPLICABLE,building_tobacco_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_vineyard,NOT_APPLICABLE,building_vineyard,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_wheat_farm,NOT_APPLICABLE,building_wheat_farm,common/buildings/02_agro.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
gunsmithing,BUILDING,building_arms_industry,NOT_APPLICABLE,building_arms_industry,common/buildings/01_industry.txt,unlocking_technologies = { gunsmithing },BUILDING_CONSTRUCTION_UNLOCK,regulated_small_arms,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
gunsmithing,BUILDING,building_artillery_foundry,NOT_APPLICABLE,building_artillery_foundry,common/buildings/01_industry.txt,unlocking_technologies = { gunsmithing },BUILDING_CONSTRUCTION_UNLOCK,regulated_small_arms,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
hydraulic_cranes,PRODUCTION_METHOD,pm_trade_center_trade_quantity_high,pmg_trade_quantity_trade_center,building_trade_center,common/production_methods/11_private_infrastructure.txt,unlocking_technologies = { hydraulic_cranes },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
intensive_agriculture,BUILDING,building_chemical_plant,NOT_APPLICABLE,building_chemical_plant,common/buildings/01_industry.txt,unlocking_technologies = { intensive_agriculture },BUILDING_CONSTRUCTION_UNLOCK,industrial_acids,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,BUILDING,building_explosives_factory,NOT_APPLICABLE,building_explosives_factory,common/buildings/01_industry.txt,unlocking_technologies = { intensive_agriculture },BUILDING_CONSTRUCTION_UNLOCK,industrial_acids,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,PRODUCTION_METHOD,pm_sheep_farms,pmg_sheep_ranch,building_livestock_ranch,common/production_methods/02_agro.txt,unlocking_technologies = { intensive_agriculture },INTERMEDIATE_PM,selective_breeding,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,PRODUCTION_METHOD,pm_soil_enriching_farming,pmg_base_building_maize_farm,building_maize_farm,common/production_methods/02_agro.txt,unlocking_technologies = { intensive_agriculture },INTERMEDIATE_PM,advanced_crop_rotations,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,PRODUCTION_METHOD,pm_soil_enriching_farming,pmg_base_building_millet_farm,building_millet_farm,common/production_methods/02_agro.txt,unlocking_technologies = { intensive_agriculture },INTERMEDIATE_PM,advanced_crop_rotations,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,PRODUCTION_METHOD,pm_soil_enriching_farming,pmg_base_building_rye_farm,building_rye_farm,common/production_methods/02_agro.txt,unlocking_technologies = { intensive_agriculture },INTERMEDIATE_PM,advanced_crop_rotations,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,PRODUCTION_METHOD,pm_soil_enriching_farming,pmg_base_building_wheat_farm,building_wheat_farm,common/production_methods/02_agro.txt,unlocking_technologies = { intensive_agriculture },INTERMEDIATE_PM,advanced_crop_rotations,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
intensive_agriculture,PRODUCTION_METHOD,pm_soil_enriching_farming_building_rice_farm,pmg_base_building_rice_farm,building_rice_farm,common/production_methods/02_agro.txt,unlocking_technologies = { intensive_agriculture },INTERMEDIATE_PM,advanced_crop_rotations,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
lathe,PRODUCTION_METHOD,pm_dye_workshops,pmg_base_building_textile_mill,building_textile_mill,common/production_methods/01_industry.txt,unlocking_technologies = { lathe },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
lathe,PRODUCTION_METHOD,pm_lathe,pmg_base_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,unlocking_technologies = { lathe },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
lathe,PRODUCTION_METHOD,pm_leaded_glass,pmg_base_building_glassworks,building_glassworks,common/production_methods/01_industry.txt,unlocking_technologies = { lathe },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
manufacturies,BUILDING,building_food_industry,NOT_APPLICABLE,building_food_industry,common/buildings/01_industry.txt,unlocking_technologies = { manufacturies },BUILDING_CONSTRUCTION_UNLOCK,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
manufacturies,BUILDING,building_furniture_manufactory,NOT_APPLICABLE,building_furniture_manufactory,common/buildings/01_industry.txt,unlocking_technologies = { manufacturies },BUILDING_CONSTRUCTION_UNLOCK,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
manufacturies,BUILDING,building_glassworks,NOT_APPLICABLE,building_glassworks,common/buildings/01_industry.txt,unlocking_technologies = { manufacturies },BUILDING_CONSTRUCTION_UNLOCK,pressed_glass,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
manufacturies,BUILDING,building_paper_mill,NOT_APPLICABLE,building_paper_mill,common/buildings/01_industry.txt,unlocking_technologies = { manufacturies },BUILDING_CONSTRUCTION_UNLOCK,continuous_papermaking,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
manufacturies,BUILDING,building_textile_mill,NOT_APPLICABLE,building_textile_mill,common/buildings/01_industry.txt,unlocking_technologies = { manufacturies },BUILDING_CONSTRUCTION_UNLOCK,mechanized_weaving,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
manufacturies,BUILDING,building_tooling_workshop,NOT_APPLICABLE,building_tooling_workshop,common/buildings/01_industry.txt,unlocking_technologies = { manufacturies },BUILDING_CONSTRUCTION_UNLOCK,mechanical_tools,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
mechanized_workshops,PRODUCTION_METHOD,coffee_plantation_mechanical_drying,pmg_drying_coffee_plantation,building_coffee_plantation,common/production_methods/04_plantations.txt,unlocking_technologies = { mechanized_workshops },INTERMEDIATE_PM,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
mechanized_workshops,PRODUCTION_METHOD,coffee_plantation_wet_process_mechanical,pmg_base_building_coffee_plantation,building_coffee_plantation,common/production_methods/04_plantations.txt,unlocking_technologies = { mechanized_workshops },ADVANCED_PM,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
mechanized_workshops,PRODUCTION_METHOD,pm_mechanized_looms,pmg_automation_building_textile_mill,building_textile_mill,common/production_methods/01_industry.txt,unlocking_technologies = { mechanized_workshops },AUTOMATION_PM,mechanized_weaving,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
mechanized_workshops,PRODUCTION_METHOD,pm_mechanized_workshops,pmg_base_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,unlocking_technologies = { mechanized_workshops },ADVANCED_PM,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
mechanized_workshops,PRODUCTION_METHOD,pm_sewing_machines,pmg_base_building_textile_mill,building_textile_mill,common/production_methods/01_industry.txt,unlocking_technologies = { mechanized_workshops },INTERMEDIATE_PM,mechanized_weaving,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
navigation,BUILDING,building_port,NOT_APPLICABLE,building_port,common/buildings/11_private_infrastructure.txt,unlocking_technologies = { navigation },BUILDING_CONSTRUCTION_UNLOCK,marine_chronometry,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
navigation,BUILDING,building_shipyard,NOT_APPLICABLE,building_shipyard,common/buildings/01_industry.txt,unlocking_technologies = { navigation },BUILDING_CONSTRUCTION_UNLOCK,marine_chronometry,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
navigation,BUILDING,building_whaling_station,NOT_APPLICABLE,building_whaling_station,common/buildings/09_misc_resource.txt,unlocking_technologies = { navigation },BUILDING_CONSTRUCTION_UNLOCK,marine_chronometry,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
power_of_the_purse,PRODUCTION_METHOD,pm_power_of_the_purse,pmg_naval_theory,NONE_RESOLVED,common/production_methods/05_military.txt,unlocking_technologies = { power_of_the_purse },NAVAL_PM,state_dockyard_systems,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
prospecting,BUILDING,building_gold_field,NOT_APPLICABLE,building_gold_field,common/buildings/03_mines.txt,unlocking_technologies = { prospecting },BUILDING_CONSTRUCTION_UNLOCK,applied_mineralogy,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
prospecting,BUILDING,building_gold_mine,NOT_APPLICABLE,building_gold_mine,common/buildings/03_mines.txt,unlocking_technologies = { prospecting },BUILDING_CONSTRUCTION_UNLOCK,applied_mineralogy,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
screw_frigate,PRODUCTION_METHOD,pm_complex_shipbuilding,pmg_base_building_shipyard,building_shipyard,common/production_methods/01_industry.txt,unlocking_technologies = { screw_frigate },NAVAL_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
screw_frigate,PRODUCTION_METHOD,pm_military_shipbuilding_wooden_2,pmg_military_base,NONE_RESOLVED,common/production_methods/01_industry.txt,unlocking_technologies = { screw_frigate },MILITARY_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
standing_army,BUILDING,building_barrack,NOT_APPLICABLE,building_barrack,common/buildings/05_military.txt,unlocking_technologies = { standing_army },BUILDING_CONSTRUCTION_UNLOCK,corps_organization,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
steelworking,BUILDING,building_steel_mill,NOT_APPLICABLE,building_steel_mill,common/buildings/01_industry.txt,unlocking_technologies = { steelworking },BUILDING_CONSTRUCTION_UNLOCK,puddling_and_rolling,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
steelworking,PRODUCTION_METHOD,pm_pig_iron,pmg_base_building_tooling_workshop,building_tooling_workshop,common/production_methods/01_industry.txt,unlocking_technologies = { steelworking },INTERMEDIATE_PM,coke_smelting,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
steelworking,PRODUCTION_METHOD,pm_saw_mills,pmg_base_building_logging_camp,building_logging_camp,common/production_methods/09_misc_resource.txt,unlocking_technologies = { steelworking },INTERMEDIATE_PM,mechanical_tools,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
tech_bureaucracy,BUILDING,building_government_administration,NOT_APPLICABLE,building_government_administration,common/buildings/07_government.txt,unlocking_technologies = { tech_bureaucracy },BUILDING_CONSTRUCTION_UNLOCK,systematic_administrative_statistics,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
urban_planning,PRODUCTION_METHOD,pm_iron_frame_buildings,pmg_base_building_construction_sector,building_construction_sector,common/production_methods/13_construction.txt,unlocking_technologies = { urban_planning },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urban_planning,PRODUCTION_METHOD,pm_market_squares,pmg_amenities,building_urban_center,common/production_methods/06_urban_center.txt,unlocking_technologies = { urban_planning },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urbanization,BUILDING,building_construction_sector,NOT_APPLICABLE,building_construction_sector,common/buildings/13_construction.txt,unlocking_technologies = { urbanization },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urbanization,BUILDING,building_urban_center,NOT_APPLICABLE,building_urban_center,common/buildings/06_urban_center.txt,unlocking_technologies = { urbanization },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
