source,target,source_era,target_era,source_family,target_family,source_branch,target_branch,classification,cross_branch,semantic_reason
human_rights,feminism,era_4,era_8,rights_reform,rights_reform,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
mechanized_naval_dockyards,gantry_cranes,era_5,era_8,naval_logistics,naval_logistics,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
central_statistical_offices,identification_documents,era_5,era_8,administration_surveillance,administration_surveillance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
intensive_agriculture,improved_fertilizer,era_5,era_8,agricultural_modernization,agricultural_modernization,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
breech_loading_artillery,monitor_tech,era_8,era_8,artillery,naval_hulls,Military,Naval,CROSS_BRANCH_JUSTIFIED,yes,Modern naval gun systems support monitor warship development.
ironclad_tech,monitor_tech,era_7,era_8,naval_hulls,naval_hulls,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
institutionalized_public_credit,mutual_funds,era_1,era_8,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
postal_savings,mutual_funds,era_5,era_8,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
bessemer_process,open_hearth_process,era_7,era_8,steel_metallurgy,steel_metallurgy,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
nationalism,pan-nationalism,era_7,era_8,nationalism_imperialism,nationalism_imperialism,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
experimental_research_laboratories,philosophical_pragmatism,era_5,era_8,scientific_institutions,philosophy_psychology,Society,Society,STRONG,no,Experimental research culture supplies the empirical method and institutional setting from which pragmatist philosophy developed.
bessemer_process,reinforced_concrete,era_7,era_8,steel_metallurgy,civil_construction,Production,Production,PLAUSIBLE,no,Mass steel production supports steel reinforcement in concrete construction.
hydraulic_cements,reinforced_concrete,era_6,era_8,civil_construction,civil_construction,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
percussion_cap,repeaters,era_6,era_8,infantry_weapons,infantry_weapons,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
rifling,repeaters,era_5,era_8,infantry_weapons,infantry_weapons,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
watertube_boiler,rotary_valve_engine,era_7,era_8,steam_power,steam_power,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
nitroglycerin,self_propelled_torpedoes,era_7,era_8,industrial_explosives,naval_weapons,Production,Naval,CROSS_BRANCH_JUSTIFIED,yes,Modern high explosives supply the compact warhead technology required by self-propelled torpedoes.
interchangeable_manufacture,shift_work,era_6,era_8,factory_organization,factory_organization,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
bessemer_process,steel_railway_cars,era_7,era_8,steel_metallurgy,rail_transport,Production,Production,STRONG,no,Mass-produced structural steel is a direct material prerequisite for steel railway rolling stock.
railways,steel_railway_cars,era_6,era_8,rail_transport,rail_transport,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
interchangeable_manufacture,vacuum_canning,era_6,era_8,factory_organization,food_industrialization,Production,Production,PLAUSIBLE,no,"interchangeable_manufacture supplies a concrete technical, institutional or doctrinal input used by vacuum_canning; the link is retained as a bounded enabling dependency rather than temporal association."
rubber_mastication,vulcanization,era_7,era_8,industrial_materials,industrial_materials,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
repeaters,bolt_action_rifles,era_8,era_9,infantry_weapons,infantry_weapons,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
rotary_valve_engine,combustion_engine,era_8,era_9,steam_power,internal_combustion,Production,Production,PLAUSIBLE,no,"rotary_valve_engine supplies a concrete technical, institutional or doctrinal input used by combustion_engine; the link is retained as a bounded enabling dependency rather than temporal association."
labor_movement,corporatism,era_6,era_9,political_ideologies,political_ideologies,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
nationalism,corporatism,era_7,era_9,nationalism_imperialism,political_ideologies,Society,Society,PLAUSIBLE,no,"nationalism supplies a concrete technical, institutional or doctrinal input used by corporatism; the link is retained as a bounded enabling dependency rather than temporal association."
electrical_generation,electrical_capacitors,era_9,era_9,electrical_engineering,electrical_engineering,Production,Production,STRONG,no,Direct continuation within the same conceptual technology family.
rotary_valve_engine,electrical_generation,era_8,era_9,steam_power,electrical_engineering,Production,Production,PLAUSIBLE,no,"rotary_valve_engine supplies a concrete technical, institutional or doctrinal input used by electrical_generation; the link is retained as a bounded enabling dependency rather than temporal association."
steel_frame_buildings,elevator,era_9,era_9,urban_infrastructure,urban_infrastructure,Society,Society,STRONG,no,Direct continuation within the same conceptual technology family.
gantry_cranes,floating_harbor,era_8,era_9,naval_logistics,naval_logistics,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
repeaters,handcranked_machine_gun,era_8,era_9,infantry_weapons,infantry_weapons,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
mutual_funds,investment_banks,era_8,era_9,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
stock_exchange,investment_banks,era_1,era_9,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
self_propelled_torpedoes,jeune_ecole,era_8,era_9,naval_weapons,naval_doctrine,Naval,Naval,PLAUSIBLE,no,"Jeune École doctrine was explicitly built around torpedo craft, making torpedo mastery a direct doctrinal foundation."
general_staff,military_statistics,era_6,era_9,military_organization,military_organization,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
steam_donkey,pumpjacks,era_9,era_9,extractive_industries,extractive_industries,Production,Production,STRONG,no,Direct continuation within the same conceptual technology family.
watertube_boiler,steam_donkey,era_7,era_9,steam_power,extractive_industries,Production,Production,STRONG,no,Compact high-pressure boiler practice directly enables portable steam winches and logging machinery.
professional_civil_engineering,steel_frame_buildings,era_5,era_9,civil_construction,urban_infrastructure,Production,Society,CROSS_BRANCH_JUSTIFIED,yes,Canonical TECH-3B civil-engineering bridge into steel-frame construction.
electric_telegraph,telephone,era_7,era_9,telecommunications,telecommunications,Military,Production,CROSS_BRANCH_JUSTIFIED,yes,"Telephone networks build directly on electrical signaling, wiring and long-distance telegraph infrastructure."
electrical_generation,telephone,era_9,era_9,electrical_engineering,telecommunications,Production,Production,PLAUSIBLE,no,"electrical_generation supplies a concrete technical, institutional or doctrinal input used by telephone; the link is retained as a bounded enabling dependency rather than temporal association."
field_works,trench_works,era_7,era_9,fortification,fortification,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
military_statistics,wargaming,era_9,era_9,military_organization,military_organization,Military,Military,STRONG,no,Direct continuation within the same conceptual technology family.
aniline,art_silk,era_8,era_10,industrial_materials,industrial_materials,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
pressed_glass,automatic_bottle_blowers,era_6,era_10,industrial_materials,food_industrialization,Production,Production,STRONG,no,Mechanized bottle forming presupposes standardized industrial glass composition and forming practice.
floating_harbor,concrete_dockyards,era_9,era_10,naval_logistics,naval_logistics,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
reinforced_concrete,concrete_dockyards,era_8,era_10,civil_construction,naval_logistics,Production,Naval,CROSS_BRANCH_JUSTIFIED,yes,"Large concrete dockyards require reinforced-concrete structural practice for basins, quays and load-bearing works."
electrical_generation,conveyors,era_9,era_10,electrical_engineering,factory_organization,Production,Production,PLAUSIBLE,no,"electrical_generation supplies a concrete technical, institutional or doctrinal input used by conveyors; the link is retained as a bounded enabling dependency rather than temporal association."
shift_work,conveyors,era_8,era_10,factory_organization,factory_organization,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
vulcanization,conveyors,era_8,era_10,industrial_materials,factory_organization,Production,Production,PLAUSIBLE,no,"vulcanization supplies a concrete technical, institutional or doctrinal input used by conveyors; the link is retained as a bounded enabling dependency rather than temporal association."
investment_banks,corporate_management,era_9,era_10,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
open_hearth_process,electric_arc_process,era_8,era_10,steel_metallurgy,steel_metallurgy,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
electrical_capacitors,electric_railway,era_9,era_10,electrical_engineering,rail_transport,Production,Production,PLAUSIBLE,no,"electrical_capacitors supplies a concrete technical, institutional or doctrinal input used by electric_railway; the link is retained as a bounded enabling dependency rather than temporal association."
steel_railway_cars,electric_railway,era_8,era_10,rail_transport,rail_transport,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
camera,film,era_7,era_10,arts_visual_media,arts_visual_media,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
institutionalized_public_credit,international_exchange_standards,era_1,era_10,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Stable public credit and monetary institutions are prerequisites for enforceable international exchange standards.
international_relations,international_exchange_standards,era_1,era_10,nationalism_imperialism,finance_corporate_governance,Society,Society,STRONG,no,International exchange standards require durable interstate negotiation and treaty institutions.
quinine,malaria_prevention,era_7,era_10,public_health,public_health,Society,Society,ESSENTIAL,no,Effective antimalarial treatment is the direct medical foundation for organized malaria-prevention programs.
combustion_engine,military_aviation,era_9,era_10,internal_combustion,military_aviation,Production,Military,CROSS_BRANCH_JUSTIFIED,yes,"Powered military aircraft require compact, high power-to-weight combustion engines; machine-gun knowledge does not provide flight propulsion."
international_relations,multilateral_alliances,era_1,era_10,nationalism_imperialism,nationalism_imperialism,Society,Society,ESSENTIAL,no,Multilateral alliance systems require institutionalized diplomacy and treaty practice.
pan-nationalism,multilateral_alliances,era_8,era_10,nationalism_imperialism,nationalism_imperialism,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
vacuum_canning,pasteurization,era_8,era_10,food_industrialization,food_industrialization,Production,Production,ESSENTIAL,no,Controlled heat treatment and sealed industrial food processing directly prepare large-scale pasteurization.
professional_civil_engineering,paved_roads,era_5,era_10,civil_construction,urban_infrastructure,Production,Society,CROSS_BRANCH_JUSTIFIED,yes,"Modern paved-road networks require professional surveying, grading, drainage and civil-engineering practice."
art_silk,plastics,era_10,era_10,industrial_materials,industrial_materials,Production,Production,STRONG,no,Early synthetic-fibre manufacture develops polymer-forming and industrial organic-chemistry methods that directly prepare plastics.
rotary_valve_engine,pneumatic_tools,era_8,era_10,steam_power,civil_construction,Production,Production,PLAUSIBLE,no,"rotary_valve_engine supplies a concrete technical, institutional or doctrinal input used by pneumatic_tools; the link is retained as a bounded enabling dependency rather than temporal association."
mass_circulation_press,political_agitation,era_6,era_10,mass_politics_media,political_ideologies,Society,Society,STRONG,no,Mass-circulation print provides the communication infrastructure needed to coordinate large political campaigns.
organized_reform_movements,political_agitation,era_4,era_10,rights_reform,political_ideologies,Society,Society,STRONG,no,"Organized reform movements supply the campaign organizations, petitions and mobilization methods used in political agitation."
ironclad_tech,pre_dreadnought_tech,era_7,era_10,naval_hulls,naval_hulls,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
clinicopathological_medicine,psychoanalysis,era_5,era_10,military_medicine,philosophy_psychology,Society,Society,STRONG,no,Clinical observation and neurological case practice form the medical setting from which psychoanalysis emerged.
jeune_ecole,sea_lane_strategies,era_9,era_10,naval_doctrine,naval_doctrine,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
rotary_valve_engine,steam_turbine,era_8,era_10,steam_power,steam_power,Production,Production,ESSENTIAL,no,Advanced rotary steam machinery provides the mechanical and manufacturing foundation for turbine development.
enlistment_offices,war_propaganda,era_8,era_10,military_organization,mass_politics_media,Military,Military,PLAUSIBLE,no,"Mass recruitment bureaucracy supplies the audience, records and mobilization machinery used by state war-propaganda campaigns."
political_agitation,war_propaganda,era_10,era_10,political_ideologies,mass_politics_media,Society,Military,CROSS_BRANCH_JUSTIFIED,yes,Mass political mobilization techniques are directly adapted by states for wartime persuasion and recruitment.
combustion_engine,zeppelins,era_9,era_10,internal_combustion,military_aviation,Production,Society,CROSS_BRANCH_JUSTIFIED,yes,Large powered airships require lightweight combustion engines for sustained propulsion.
specialized_professional_societies,analytical_philosophy,era_5,era_11,scientific_institutions,philosophy_psychology,Society,Society,STRONG,no,Professional scholarly societies provide the institutional exchange needed to establish formal analytical philosophy as a discipline.
bolt_action_rifles,automatic_machine_guns,era_9,era_11,infantry_weapons,infantry_weapons,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
handcranked_machine_gun,automatic_machine_guns,era_9,era_11,infantry_weapons,infantry_weapons,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
experimental_research_laboratories,behaviorism,era_5,era_11,scientific_institutions,philosophy_psychology,Society,Society,STRONG,no,Controlled experimental laboratories supply the empirical method required for behaviorist psychology.
philosophical_pragmatism,behaviorism,era_8,era_11,philosophy_psychology,philosophy_psychology,Society,Society,ESSENTIAL,no,Pragmatist and functionalist emphasis on observable consequences directly prepares behaviorist methodology.
identification_documents,central_planning,era_8,era_11,administration_surveillance,administration_surveillance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
combustion_engine,compression_ignition,era_9,era_11,internal_combustion,internal_combustion,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
mechanized_farming,compression_ignition,era_7,era_11,agricultural_modernization,internal_combustion,Production,Production,STRONG,no,Mechanized agriculture supplies the practical machinery base into which compression-ignition tractors are introduced.
defense_in_depth,concrete_fortifications,era_11,era_11,fortification,fortification,Military,Military,STRONG,no,Direct continuation within the same conceptual technology family.
pneumatic_tools,concrete_fortifications,era_10,era_11,civil_construction,fortification,Production,Military,CROSS_BRANCH_JUSTIFIED,yes,"Powered drilling, excavation and placement tools enable construction of large hardened fortification systems."
reinforced_concrete,concrete_fortifications,era_8,era_11,civil_construction,fortification,Production,Military,CROSS_BRANCH_JUSTIFIED,yes,Reinforced concrete is the direct structural material technology behind modern hardened fortifications.
automatic_machine_guns,defense_in_depth,era_11,era_11,infantry_weapons,fortification,Military,Military,STRONG,no,Layered defensive doctrine depends on sustained automatic-fire strongpoints rather than merely earlier hand-cranked weapons.
trench_works,defense_in_depth,era_9,era_11,fortification,fortification,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
monitor_tech,destroyer,era_8,era_11,naval_hulls,naval_hulls,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
pre_dreadnought_tech,dreadnought_tech,era_10,era_11,naval_hulls,naval_hulls,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
steam_turbine,dreadnought_tech,era_10,era_11,steam_power,naval_hulls,Production,Naval,CROSS_BRANCH_JUSTIFIED,yes,"Dreadnought propulsion depended on high-output marine steam turbines, a direct enabling technology."
floating_harbor,landing_craft,era_9,era_11,naval_logistics,amphibious_operations,Naval,Naval,STRONG,no,Amphibious landing craft depend on the temporary-harbor and shore-transfer logistics represented by floating harbors.
film,mass_propaganda,era_10,era_11,arts_visual_media,mass_politics_media,Society,Society,PLAUSIBLE,no,"film supplies a concrete technical, institutional or doctrinal input used by mass_propaganda; the link is retained as a bounded enabling dependency rather than temporal association."
radio,mass_propaganda,era_11,era_11,telecommunications,mass_politics_media,Production,Society,CROSS_BRANCH_JUSTIFIED,yes,Radio creates the instantaneous mass-broadcast channel required for modern centralized propaganda.
war_propaganda,mass_propaganda,era_10,era_11,mass_politics_media,mass_politics_media,Military,Society,CROSS_BRANCH_JUSTIFIED,yes,State wartime propaganda provides the organizational methods later generalized into permanent mass propaganda.
wargaming,nco_training,era_9,era_11,military_organization,military_organization,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
improved_fertilizer,nitrogen_fixation,era_8,era_11,agricultural_modernization,agricultural_modernization,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
telephone,radio,era_9,era_11,telecommunications,telecommunications,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
nco_training,stormtroopers,era_11,era_11,military_organization,military_organization,Military,Military,STRONG,no,Small-unit infiltration tactics require trained NCO leadership and decentralized battlefield initiative.
trench_works,stormtroopers,era_9,era_11,fortification,military_organization,Military,Military,STRONG,no,Stormtrooper doctrine developed directly in response to trench warfare.
self_propelled_torpedoes,submarine,era_8,era_11,naval_weapons,naval_weapons,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
experimental_research_laboratories,antibiotics,era_5,era_12,scientific_institutions,public_health,Society,Society,STRONG,no,Controlled laboratory screening and microbiological experimentation are required to discover and validate antibiotics.
pharmaceuticals,antibiotics,era_6,era_12,public_health,public_health,Society,Society,ESSENTIAL,no,Industrial pharmaceutical chemistry and manufacturing are direct prerequisites for producing antibiotic medicines.
electric_arc_process,arc_welding,era_10,era_12,steel_metallurgy,steel_metallurgy,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
destroyer,battlefleet_tactics,era_11,era_12,naval_hulls,naval_doctrine,Naval,Naval,STRONG,no,Integrated battlefleet tactics require mastery of destroyer screening and torpedo-defense operations.
dreadnought_tech,battlefleet_tactics,era_11,era_12,naval_hulls,naval_doctrine,Naval,Naval,STRONG,no,Battlefleet doctrine presupposes operational experience with dreadnought-class capital ships.
sea_lane_strategies,battlefleet_tactics,era_10,era_12,naval_doctrine,naval_doctrine,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
concrete_dockyards,battleship_tech,era_10,era_12,naval_logistics,naval_hulls,Naval,Naval,STRONG,no,Very large battleships require dockyard structures capable of constructing and servicing capital hulls.
dreadnought_tech,battleship_tech,era_11,era_12,naval_hulls,naval_hulls,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
dreadnought_tech,carrier_tech,era_11,era_12,naval_hulls,naval_hulls,Naval,Naval,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
military_aviation,carrier_tech,era_10,era_12,military_aviation,naval_hulls,Military,Naval,CROSS_BRANCH_JUSTIFIED,yes,"Aircraft-carrier development requires an established body of aircraft, flight operations and aviation support technology."
nitrogen_fixation,chemical_warfare,era_11,era_12,agricultural_modernization,infantry_weapons,Production,Military,CROSS_BRANCH_JUSTIFIED,yes,"Large-scale industrial chemical synthesis supplies the plants, feedstocks and process control required for chemical warfare agents."
conveyors,dough_rollers,era_10,era_12,factory_organization,food_industrialization,Production,Production,PLAUSIBLE,no,"conveyors supplies a concrete technical, institutional or doctrinal input used by dough_rollers; the link is retained as a bounded enabling dependency rather than temporal association."
trench_works,flamethrowers,era_9,era_12,fortification,infantry_weapons,Military,Military,PLAUSIBLE,no,Trench warfare created the tactical demand for short-range flame weapons.
pasteurization,flash_freezing,era_10,era_12,food_industrialization,food_industrialization,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
central_statistical_offices,macroeconomics,era_5,era_12,administration_surveillance,finance_corporate_governance,Society,Society,STRONG,no,"National accounts and aggregate economic analysis require centralized, standardized statistical data."
classical_political_economy,macroeconomics,era_4,era_12,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Macroeconomics develops from the aggregate questions and models established by classical political economy.
central_planning,mass_surveillance,era_11,era_12,administration_surveillance,administration_surveillance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
compression_ignition,mobile_armor,era_11,era_12,internal_combustion,armored_warfare,Production,Military,CROSS_BRANCH_JUSTIFIED,yes,High-torque compression-ignition engines directly enable reliable heavy armored vehicles.
military_aviation,mobile_armor,era_10,era_12,military_aviation,armored_warfare,Military,Military,STRONG,no,The vehicle-industry and mechanized-warfare capability attached to military aviation provides a direct industrial base for mobile armor.
stormtroopers,mobile_armor,era_11,era_12,military_organization,armored_warfare,Military,Military,STRONG,no,Infiltration and combined-arms assault doctrine prepares the tactical employment of early mobile armored formations.
corporate_management,modern_financial_instruments,era_10,era_12,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,"Large managed corporations create the financing, risk-transfer and governance needs served by modern financial instruments."
international_exchange_standards,modern_financial_instruments,era_10,era_12,finance_corporate_governance,finance_corporate_governance,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
steam_turbine,oil_turbine,era_10,era_12,steam_power,steam_power,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
