action,source,target,replacement_source,replacement_target,old_status,new_status,reason
KEEP,steel_frame_buildings,elevator,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,corps_organization,enlistment_offices,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,logistics,enlistment_offices,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,human_rights,feminism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,camera,film,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,trench_works,flamethrowers,,,PLAUSIBLE,PLAUSIBLE,Trench warfare created the tactical demand for short-range flame weapons.
KEEP,pasteurization,flash_freezing,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,gantry_cranes,floating_harbor,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,mechanized_naval_dockyards,gantry_cranes,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,repeaters,handcranked_machine_gun,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,central_statistical_offices,identification_documents,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,intensive_agriculture,improved_fertilizer,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,mutual_funds,investment_banks,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,stock_exchange,investment_banks,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,iron_hull_construction,ironclad_tech,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,self_propelled_torpedoes,jeune_ecole,,,WEAK,PLAUSIBLE,"Jeune École doctrine was explicitly built around torpedo craft, making torpedo mastery a direct doctrinal foundation."
KEEP,film,mass_propaganda,,,PLAUSIBLE,PLAUSIBLE,"film supplies a concrete technical, institutional or doctrinal input used by mass_propaganda; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,central_planning,mass_surveillance,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,threshing_machine,mechanized_farming,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,general_staff,military_statistics,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,international_exchange_standards,modern_financial_instruments,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,medical_degrees,modern_nursing,,,STRONG,CROSS_BRANCH_JUSTIFIED,Direct continuation within the same conceptual technology family.
KEEP,breech_loading_artillery,monitor_tech,,,CROSS_BRANCH_JUSTIFIED,CROSS_BRANCH_JUSTIFIED,Modern naval gun systems support monitor warship development.
KEEP,ironclad_tech,monitor_tech,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,pan-nationalism,multilateral_alliances,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,institutionalized_public_credit,mutual_funds,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,postal_savings,mutual_funds,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,national_sovereignty,nationalism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,wargaming,nco_training,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,improved_fertilizer,nitrogen_fixation,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,industrial_acids,nitroglycerin,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,steam_turbine,oil_turbine,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,bessemer_process,open_hearth_process,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,nationalism,organized_sports,,,WEAK,PLAUSIBLE,"National associations, standardized institutions and public competition plausibly prepare organized mass sport; this is institutional rather than merely chronological."
KEEP,nationalism,pan-nationalism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,vacuum_canning,pasteurization,,,STRONG,ESSENTIAL,Controlled heat treatment and sealed industrial food processing directly prepare large-scale pasteurization.
KEEP,rotary_valve_engine,pneumatic_tools,,,PLAUSIBLE,PLAUSIBLE,"rotary_valve_engine supplies a concrete technical, institutional or doctrinal input used by pneumatic_tools; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,ironclad_tech,pre_dreadnought_tech,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,steam_donkey,pumpjacks,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,pharmaceuticals,quinine,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,telephone,radio,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,romanticism,realism,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,bessemer_process,reinforced_concrete,,,PLAUSIBLE,PLAUSIBLE,Mass steel production supports steel reinforcement in concrete construction.
KEEP,hydraulic_cements,reinforced_concrete,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,percussion_cap,repeaters,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,rifling,repeaters,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,institutionalized_scientific_exchange,romanticism,,,WEAK,PLAUSIBLE,Transnational learned and publishing networks enabled circulation and contestation of the intellectual currents from which Romanticism emerged.
KEEP,watertube_boiler,rotary_valve_engine,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,jeune_ecole,sea_lane_strategies,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,interchangeable_manufacture,shift_work,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,early_socialism_cooperativism,socialism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,labor_movement,socialism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,professional_civil_engineering,steel_frame_buildings,,,CROSS_BRANCH_JUSTIFIED,CROSS_BRANCH_JUSTIFIED,Canonical TECH-3B civil-engineering bridge into steel-frame construction.
KEEP,railways,steel_railway_cars,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,trench_works,stormtroopers,,,STRONG,STRONG,Stormtrooper doctrine developed directly in response to trench warfare.
KEEP,self_propelled_torpedoes,submarine,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,electrical_generation,telephone,,,PLAUSIBLE,PLAUSIBLE,"electrical_generation supplies a concrete technical, institutional or doctrinal input used by telephone; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,field_works,trench_works,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,interchangeable_manufacture,vacuum_canning,,,PLAUSIBLE,PLAUSIBLE,"interchangeable_manufacture supplies a concrete technical, institutional or doctrinal input used by vacuum_canning; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,rubber_mastication,vulcanization,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,enlistment_offices,war_propaganda,,,WEAK,PLAUSIBLE,"Mass recruitment bureaucracy supplies the audience, records and mobilization machinery used by state war-propaganda campaigns."
KEEP,military_statistics,wargaming,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,high_pressure_steam,watertube_boiler,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
REPLACE,psychoanalysis,analytical_philosophy,specialized_professional_societies,analytical_philosophy,STRONG,STRONG,psychoanalysis does not provide a sufficiently direct dependency for analytical_philosophy. Professional scholarly societies provide the institutional exchange needed to establish formal analytical philosophy as a discipline.
REPLACE,rubber_mastication,aniline,fractional_distillation,aniline,STRONG,STRONG,rubber_mastication does not provide a sufficiently direct dependency for aniline. Fractional processing of coal-tar feedstocks supplies the chemical intermediates used by the aniline-dye industry.
REPLACE,malaria_prevention,antibiotics,experimental_research_laboratories,antibiotics,STRONG,STRONG,malaria_prevention does not provide a sufficiently direct dependency for antibiotics. Controlled laboratory screening and microbiological experimentation are required to discover and validate antibiotics.
ADD,pharmaceuticals,antibiotics,,,NOT_PRESENT,ESSENTIAL,Industrial pharmaceutical chemistry and manufacturing are direct prerequisites for producing antibiotic medicines.
REMOVE,pneumatic_tools,arc_welding,,,WEAK,REMOVED,"pneumatic_tools is associated with arc_welding, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,vulcanization,automatic_bottle_blowers,pressed_glass,automatic_bottle_blowers,ARBITRARY,STRONG,Rubber processing does not enable glass bottle-forming machinery. Mechanized bottle forming presupposes standardized industrial glass composition and forming practice.
REPLACE,fractional_distillation,baking_powder,industrial_acids,baking_powder,PLAUSIBLE,STRONG,fractional_distillation does not provide a sufficiently direct dependency for baking_powder. Industrial acid and alkali chemistry supplies the controlled reagents required for commercial baking-powder manufacture.
REPLACE,battleship_tech,battlefleet_tactics,destroyer,battlefleet_tactics,WEAK,STRONG,battleship_tech does not provide a sufficiently direct dependency for battlefleet_tactics. Integrated battlefleet tactics require mastery of destroyer screening and torpedo-defense operations.
ADD,dreadnought_tech,battlefleet_tactics,,,NOT_PRESENT,STRONG,Battlefleet doctrine presupposes operational experience with dreadnought-class capital ships.
ADD,concrete_dockyards,battleship_tech,,,NOT_PRESENT,STRONG,Very large battleships require dockyard structures capable of constructing and servicing capital hulls.
REPLACE,psychoanalysis,behaviorism,experimental_research_laboratories,behaviorism,STRONG,STRONG,psychoanalysis does not provide a sufficiently direct dependency for behaviorism. Controlled experimental laboratories supply the empirical method required for behaviorist psychology.
ADD,philosophical_pragmatism,behaviorism,,,NOT_PRESENT,ESSENTIAL,Pragmatist and functionalist emphasis on observable consequences directly prepares behaviorist methodology.
REPLACE,rifling,breech_loading_artillery,interchangeable_manufacture,breech_loading_artillery,WEAK,CROSS_BRANCH_JUSTIFIED,rifling does not provide a sufficiently direct dependency for breech_loading_artillery. Precision interchangeable manufacture enables reliable breech mechanisms and ammunition tolerances for modern artillery.
REPLACE,realism,camera,pressed_glass,camera,ARBITRARY,CROSS_BRANCH_JUSTIFIED,Artistic realism does not technically enable photographic apparatus; replaced by industrial glass technology. Reliable industrial glass plates and optical glass are material prerequisites for practical photographic apparatus and negatives.
ADD,military_aviation,carrier_tech,,,NOT_PRESENT,CROSS_BRANCH_JUSTIFIED,"Aircraft-carrier development requires an established body of aircraft, flight operations and aviation support technology."
REPLACE,automatic_machine_guns,chemical_warfare,nitrogen_fixation,chemical_warfare,WEAK,CROSS_BRANCH_JUSTIFIED,"automatic_machine_guns does not provide a sufficiently direct dependency for chemical_warfare. Large-scale industrial chemical synthesis supplies the plants, feedstocks and process control required for chemical warfare agents."
ADD,mechanized_farming,compression_ignition,,,NOT_PRESENT,STRONG,Mechanized agriculture supplies the practical machinery base into which compression-ignition tractors are introduced.
ADD,reinforced_concrete,concrete_dockyards,,,NOT_PRESENT,CROSS_BRANCH_JUSTIFIED,"Large concrete dockyards require reinforced-concrete structural practice for basins, quays and load-bearing works."
ADD,pneumatic_tools,concrete_fortifications,,,NOT_PRESENT,CROSS_BRANCH_JUSTIFIED,"Powered drilling, excavation and placement tools enable construction of large hardened fortification systems."
ADD,reinforced_concrete,concrete_fortifications,,,NOT_PRESENT,CROSS_BRANCH_JUSTIFIED,Reinforced concrete is the direct structural material technology behind modern hardened fortifications.
REPLACE,handcranked_machine_gun,defense_in_depth,automatic_machine_guns,defense_in_depth,PLAUSIBLE,STRONG,handcranked_machine_gun does not provide a sufficiently direct dependency for defense_in_depth. Layered defensive doctrine depends on sustained automatic-fire strongpoints rather than merely earlier hand-cranked weapons.
REPLACE,concrete_dockyards,dreadnought_tech,steam_turbine,dreadnought_tech,WEAK,CROSS_BRANCH_JUSTIFIED,"concrete_dockyards does not provide a sufficiently direct dependency for dreadnought_tech. Dreadnought propulsion depended on high-output marine steam turbines, a direct enabling technology."
REMOVE,military_aviation,dreadnought_tech,,,ARBITRARY,REMOVED,Aviation is not required to construct a dreadnought hull or propulsion system.
REMOVE,sea_lane_strategies,dreadnought_tech,,,PLAUSIBLE,REMOVED,"sea_lane_strategies is associated with dreadnought_tech, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,logistics,electric_telegraph,,,WEAK,REMOVED,"logistics is associated with electric_telegraph, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,corps_organization,field_works,general_staff,field_works,WEAK,STRONG,"corps_organization does not provide a sufficiently direct dependency for field_works. Professional staff planning institutionalizes military engineering, siting and construction of coordinated field works."
REMOVE,automatic_machine_guns,flamethrowers,,,WEAK,REMOVED,"automatic_machine_guns is associated with flamethrowers, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,iron_hull_construction,gantry_cranes,,,WEAK,REMOVED,"iron_hull_construction is associated with gantry_cranes, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,breech_loading_artillery,handcranked_machine_gun,,,WEAK,REMOVED,"breech_loading_artillery is associated with handcranked_machine_gun, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,mutual_funds,international_exchange_standards,institutionalized_public_credit,international_exchange_standards,STRONG,ESSENTIAL,mutual_funds does not provide a sufficiently direct dependency for international_exchange_standards. Stable public credit and monetary institutions are prerequisites for enforceable international exchange standards.
ADD,international_relations,international_exchange_standards,,,NOT_PRESENT,STRONG,International exchange standards require durable interstate negotiation and treaty institutions.
REPLACE,jeune_ecole,landing_craft,floating_harbor,landing_craft,PLAUSIBLE,STRONG,jeune_ecole does not provide a sufficiently direct dependency for landing_craft. Amphibious landing craft depend on the temporary-harbor and shore-transfer logistics represented by floating harbors.
REMOVE,monitor_tech,landing_craft,,,ARBITRARY,REMOVED,Monitor hull design does not enable amphibious landing craft.
REPLACE,corporate_management,macroeconomics,central_statistical_offices,macroeconomics,STRONG,STRONG,"corporate_management does not provide a sufficiently direct dependency for macroeconomics. National accounts and aggregate economic analysis require centralized, standardized statistical data."
REPLACE,international_exchange_standards,macroeconomics,classical_political_economy,macroeconomics,STRONG,ESSENTIAL,international_exchange_standards does not provide a sufficiently direct dependency for macroeconomics. Macroeconomics develops from the aggregate questions and models established by classical political economy.
REPLACE,civilizing_mission,malaria_prevention,quinine,malaria_prevention,WEAK,ESSENTIAL,civilizing_mission does not provide a sufficiently direct dependency for malaria_prevention. Effective antimalarial treatment is the direct medical foundation for organized malaria-prevention programs.
REPLACE,political_agitation,mass_propaganda,radio,mass_propaganda,PLAUSIBLE,CROSS_BRANCH_JUSTIFIED,political_agitation does not provide a sufficiently direct dependency for mass_propaganda. Radio creates the instantaneous mass-broadcast channel required for modern centralized propaganda.
ADD,war_propaganda,mass_propaganda,,,NOT_PRESENT,CROSS_BRANCH_JUSTIFIED,State wartime propaganda provides the organizational methods later generalized into permanent mass propaganda.
REPLACE,handcranked_machine_gun,military_aviation,combustion_engine,military_aviation,ARBITRARY,CROSS_BRANCH_JUSTIFIED,"Machine-gun development does not provide the propulsion or aerodynamic basis for flight. Powered military aircraft require compact, high power-to-weight combustion engines; machine-gun knowledge does not provide flight propulsion."
REMOVE,electric_telegraph,military_statistics,,,WEAK,REMOVED,"electric_telegraph is associated with military_statistics, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,concrete_fortifications,mobile_armor,compression_ignition,mobile_armor,ARBITRARY,CROSS_BRANCH_JUSTIFIED,Fortification construction does not enable armored vehicle development. High-torque compression-ignition engines directly enable reliable heavy armored vehicles.
REPLACE,nco_training,mobile_armor,military_aviation,mobile_armor,PLAUSIBLE,STRONG,nco_training does not provide a sufficiently direct dependency for mobile_armor. The vehicle-industry and mechanized-warfare capability attached to military aviation provides a direct industrial base for mobile armor.
ADD,stormtroopers,mobile_armor,,,NOT_PRESENT,STRONG,Infiltration and combined-arms assault doctrine prepares the tactical employment of early mobile armored formations.
ADD,corporate_management,modern_financial_instruments,,,NOT_PRESENT,ESSENTIAL,"Large managed corporations create the financing, risk-transfer and governance needs served by modern financial instruments."
ADD,international_relations,multilateral_alliances,,,NOT_PRESENT,ESSENTIAL,Multilateral alliance systems require institutionalized diplomacy and treaty practice.
REMOVE,periodical_print_networks,nationalism,,,WEAK,REMOVED,"periodical_print_networks is associated with nationalism, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,trench_works,nco_training,,,WEAK,REMOVED,"trench_works is associated with nco_training, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,electrical_capacitors,pasteurization,,,ARBITRARY,REMOVED,Capacitors are not required for controlled thermal food treatment.
REPLACE,elevator,paved_roads,professional_civil_engineering,paved_roads,ARBITRARY,CROSS_BRANCH_JUSTIFIED,"Vertical transport does not enable road engineering. Modern paved-road networks require professional surveying, grading, drainage and civil-engineering practice."
REPLACE,medical_degrees,philosophical_pragmatism,experimental_research_laboratories,philosophical_pragmatism,WEAK,STRONG,medical_degrees does not provide a sufficiently direct dependency for philosophical_pragmatism. Experimental research culture supplies the empirical method and institutional setting from which pragmatist philosophy developed.
REPLACE,reinforced_concrete,plastics,art_silk,plastics,ARBITRARY,STRONG,Structural concrete does not enable polymer chemistry. Early synthetic-fibre manufacture develops polymer-forming and industrial organic-chemistry methods that directly prepare plastics.
REMOVE,reinforced_concrete,pneumatic_tools,,,STRONG,REMOVED,"reinforced_concrete is associated with pneumatic_tools, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,anarchism,political_agitation,mass_circulation_press,political_agitation,STRONG,STRONG,anarchism does not provide a sufficiently direct dependency for political_agitation. Mass-circulation print provides the communication infrastructure needed to coordinate large political campaigns.
REPLACE,corporatism,political_agitation,organized_reform_movements,political_agitation,STRONG,STRONG,"corporatism does not provide a sufficiently direct dependency for political_agitation. Organized reform movements supply the campaign organizations, petitions and mobilization methods used in political agitation."
REMOVE,socialism,political_agitation,,,STRONG,REMOVED,"socialism is associated with political_agitation, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,philosophical_pragmatism,psychoanalysis,clinicopathological_medicine,psychoanalysis,STRONG,STRONG,philosophical_pragmatism does not provide a sufficiently direct dependency for psychoanalysis. Clinical observation and neurological case practice form the medical setting from which psychoanalysis emerged.
REMOVE,dynamite,pumpjacks,,,WEAK,REMOVED,"dynamite is associated with pumpjacks, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,colonization,quinine,,,WEAK,REMOVED,"colonization is associated with quinine, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,chemical_bleaching,rubber_mastication,industrial_acids,rubber_mastication,STRONG,STRONG,chemical_bleaching does not provide a sufficiently direct dependency for rubber_mastication. Industrial chemical processing supplies the solvents and controlled treatments needed to work raw rubber at scale.
REMOVE,fractional_distillation,rubber_mastication,,,STRONG,REMOVED,"fractional_distillation is associated with rubber_mastication, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REPLACE,state_dockyard_systems,self_propelled_torpedoes,nitroglycerin,self_propelled_torpedoes,WEAK,CROSS_BRANCH_JUSTIFIED,state_dockyard_systems does not provide a sufficiently direct dependency for self_propelled_torpedoes. Modern high explosives supply the compact warhead technology required by self-propelled torpedoes.
REPLACE,intensive_agriculture,steam_donkey,watertube_boiler,steam_donkey,WEAK,STRONG,intensive_agriculture does not provide a sufficiently direct dependency for steam_donkey. Compact high-pressure boiler practice directly enables portable steam winches and logging machinery.
REPLACE,electrical_generation,steam_turbine,rotary_valve_engine,steam_turbine,WEAK,ESSENTIAL,electrical_generation does not provide a sufficiently direct dependency for steam_turbine. Advanced rotary steam machinery provides the mechanical and manufacturing foundation for turbine development.
ADD,bessemer_process,steel_railway_cars,,,NOT_PRESENT,STRONG,Mass-produced structural steel is a direct material prerequisite for steel railway rolling stock.
REPLACE,wargaming,stormtroopers,nco_training,stormtroopers,STRONG,STRONG,wargaming does not provide a sufficiently direct dependency for stormtroopers. Small-unit infiltration tactics require trained NCO leadership and decentralized battlefield initiative.
REPLACE,shift_work,telephone,electric_telegraph,telephone,WEAK,CROSS_BRANCH_JUSTIFIED,"shift_work does not provide a sufficiently direct dependency for telephone. Telephone networks build directly on electrical signaling, wiring and long-distance telegraph infrastructure."
REMOVE,electric_telegraph,trench_works,,,WEAK,REMOVED,"electric_telegraph is associated with trench_works, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
REMOVE,general_staff,trench_works,,,WEAK,REMOVED,"general_staff is associated with trench_works, but mastering it is not a direct technical, institutional or doctrinal prerequisite."
ADD,political_agitation,war_propaganda,,,NOT_PRESENT,CROSS_BRANCH_JUSTIFIED,Mass political mobilization techniques are directly adapted by states for wartime persuasion and recruitment.
REPLACE,steel_frame_buildings,zeppelins,combustion_engine,zeppelins,WEAK,CROSS_BRANCH_JUSTIFIED,steel_frame_buildings does not provide a sufficiently direct dependency for zeppelins. Large powered airships require lightweight combustion engines for sustained propulsion.
