family,branch,eras_before,eras_after,chronology_before,chronology_after,result,notes
administration_surveillance,Society,era_8;era_10;era_12,era_8;era_11;era_12,GOOD=2; BORDERLINE=1 | identification_documents@era_8;central_planning@era_10;mass_surveillance@era_12,GOOD=3 | identification_documents@era_8;central_planning@era_11;mass_surveillance@era_12,IMPROVED,Moved 1 of 3 member(s).
food_industrialization,Production,era_7;era_8;era_10;era_11;era_12,era_7;era_8;era_10;era_12,GOOD=3; BORDERLINE=1; TOO_LATE=2 | baking_powder@era_7;vacuum_canning@era_8;automatic_bottle_blowers@era_10;pasteurization@era_11;dough_rollers@era_12;flash_freezing@era_12,GOOD=4; BORDERLINE=1; BORDERLINE_REEVALUATED=1 | baking_powder@era_7;vacuum_canning@era_8;automatic_bottle_blowers@era_10;pasteurization@era_10;dough_rollers@era_12;flash_freezing@era_12,IMPROVED,Moved 1 of 6 member(s). Semantic edge issues remain reserved for TECH-4C.
fortification,Military,era_8;era_9;era_11;era_12,era_7;era_9;era_11,GOOD=3; TOO_LATE=1 | field_works@era_8;trench_works@era_9;defense_in_depth@era_11;concrete_fortifications@era_12,GOOD=4 | field_works@era_7;trench_works@era_9;concrete_fortifications@era_11;defense_in_depth@era_11,IMPROVED,Moved 2 of 4 member(s). Semantic edge issues remain reserved for TECH-4C.
industrial_explosives,Production,era_7;era_8,era_7;era_8,GOOD=2 | nitroglycerin@era_7;dynamite@era_8,GOOD=2 | nitroglycerin@era_7;dynamite@era_8,REVIEW_IN_TECH4C,Moved 0 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
industrial_materials,Production,era_8;era_9;era_10,era_7;era_8;era_10,GOOD=2; TOO_LATE=3 | rubber_mastication@era_8;aniline@era_9;vulcanization@era_9;art_silk@era_10;plastics@era_10,GOOD=5 | rubber_mastication@era_7;aniline@era_8;vulcanization@era_8;art_silk@era_10;plastics@era_10,IMPROVED,Moved 3 of 5 member(s). Semantic edge issues remain reserved for TECH-4C.
infantry_weapons,Military,era_8;era_9;era_10;era_11;era_12,era_8;era_9;era_11;era_12,GOOD=3; TOO_LATE=3 | repeaters@era_8;handcranked_machine_gun@era_9;bolt_action_rifles@era_10;automatic_machine_guns@era_11;chemical_warfare@era_12;flamethrowers@era_12,GOOD=4; BORDERLINE_REEVALUATED=2 | repeaters@era_8;bolt_action_rifles@era_9;handcranked_machine_gun@era_9;automatic_machine_guns@era_11;chemical_warfare@era_12;flamethrowers@era_12,IMPROVED,Moved 1 of 6 member(s). Semantic edge issues remain reserved for TECH-4C.
internal_combustion,Production,era_10;era_12,era_9;era_11,BORDERLINE=1; TOO_LATE=1 | combustion_engine@era_10;compression_ignition@era_12,GOOD=2 | combustion_engine@era_9;compression_ignition@era_11,IMPROVED,Moved 2 of 2 member(s).
mass_politics_media,Military;Society,era_10;era_11,era_10;era_11,GOOD=2 | war_propaganda@era_10;mass_propaganda@era_11,GOOD=2 | war_propaganda@era_10;mass_propaganda@era_11,REVIEW_IN_TECH4C,Moved 0 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
military_aviation,Military;Society,era_10,era_10,GOOD=1; BORDERLINE=1 | military_aviation@era_10;zeppelins@era_10,GOOD=1; BORDERLINE=1 | military_aviation@era_10;zeppelins@era_10,REVIEW_IN_TECH4C,Moved 0 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
military_medicine,Military,era_8,era_7,GOOD=1 | modern_nursing@era_8,GOOD=1 | modern_nursing@era_7,IMPROVED,Moved 1 of 1 member(s).
military_organization,Military,era_8;era_9;era_10;era_12,era_8;era_9;era_11,GOOD=2; TOO_LATE=3 | enlistment_offices@era_8;military_statistics@era_9;wargaming@era_10;nco_training@era_12;stormtroopers@era_12,GOOD=5 | enlistment_offices@era_8;military_statistics@era_9;wargaming@era_9;nco_training@era_11;stormtroopers@era_11,IMPROVED,Moved 3 of 5 member(s). Semantic edge issues remain reserved for TECH-4C.
nationalism_imperialism,Society,era_7;era_8;era_10,era_7;era_8;era_10,GOOD=4 | nationalism@era_7;civilizing_mission@era_8;pan-nationalism@era_8;multilateral_alliances@era_10,GOOD=4 | nationalism@era_7;civilizing_mission@era_8;pan-nationalism@era_8;multilateral_alliances@era_10,REVIEW_IN_TECH4C,Moved 0 of 4 member(s). Semantic edge issues remain reserved for TECH-4C.
naval_doctrine,Naval,era_9;era_10;era_12,era_9;era_10;era_12,GOOD=2; BORDERLINE=1 | jeune_ecole@era_9;sea_lane_strategies@era_10;battlefleet_tactics@era_12,GOOD=2; BORDERLINE=1 | jeune_ecole@era_9;sea_lane_strategies@era_10;battlefleet_tactics@era_12,REVIEW_IN_TECH4C,Moved 0 of 3 member(s). Semantic edge issues remain reserved for TECH-4C.
naval_hulls,Naval,era_8;era_9;era_10;era_11;era_12,era_7;era_8;era_10;era_11;era_12,GOOD=5; TOO_LATE=2 | ironclad_tech@era_8;monitor_tech@era_9;pre_dreadnought_tech@era_10;dreadnought_tech@era_11;battleship_tech@era_12;carrier_tech@era_12;destroyer@era_12,GOOD=7 | ironclad_tech@era_7;monitor_tech@era_8;pre_dreadnought_tech@era_10;destroyer@era_11;dreadnought_tech@era_11;battleship_tech@era_12;carrier_tech@era_12,IMPROVED,Moved 3 of 7 member(s). Semantic edge issues remain reserved for TECH-4C.
naval_logistics,Naval,era_8;era_9;era_10,era_8;era_9;era_10,GOOD=3 | gantry_cranes@era_8;floating_harbor@era_9;concrete_dockyards@era_10,GOOD=3 | gantry_cranes@era_8;floating_harbor@era_9;concrete_dockyards@era_10,REVIEW_IN_TECH4C,Moved 0 of 3 member(s). Semantic edge issues remain reserved for TECH-4C.
naval_weapons,Naval,era_8;era_10,era_8;era_11,GOOD=2 | self_propelled_torpedoes@era_8;submarine@era_10,GOOD=2 | self_propelled_torpedoes@era_8;submarine@era_11,IMPROVED,Moved 1 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
philosophy_psychology,Society,era_8;era_10;era_11,era_8;era_10;era_11,GOOD=3; BORDERLINE=1 | philosophical_pragmatism@era_8;psychoanalysis@era_10;analytical_philosophy@era_11;behaviorism@era_11,GOOD=3; BORDERLINE=1 | philosophical_pragmatism@era_8;psychoanalysis@era_10;analytical_philosophy@era_11;behaviorism@era_11,REVIEW_IN_TECH4C,Moved 0 of 4 member(s). Semantic edge issues remain reserved for TECH-4C.
political_ideologies,Society,era_8;era_10,era_7;era_9;era_10,GOOD=3; TOO_EARLY=1 | anarchism@era_8;corporatism@era_8;socialism@era_8;political_agitation@era_10,GOOD=4 | anarchism@era_7;socialism@era_7;corporatism@era_9;political_agitation@era_10,IMPROVED,Moved 3 of 4 member(s).
public_health,Society,era_7;era_10;era_12,era_7;era_10;era_12,GOOD=3 | quinine@era_7;malaria_prevention@era_10;antibiotics@era_12,GOOD=3 | quinine@era_7;malaria_prevention@era_10;antibiotics@era_12,REVIEW_IN_TECH4C,Moved 0 of 3 member(s). Semantic edge issues remain reserved for TECH-4C.
rail_transport,Production,era_8;era_11,era_8;era_10,GOOD=1; TOO_LATE=1 | steel_railway_cars@era_8;electric_railway@era_11,GOOD=2 | steel_railway_cars@era_8;electric_railway@era_10,IMPROVED,Moved 1 of 2 member(s).
rights_reform,Society,era_8,era_8,GOOD=1 | feminism@era_8,GOOD=1 | feminism@era_8,UNCHANGED_GOOD,Moved 0 of 1 member(s).
sports_mass_culture,Society,era_7,era_7,BORDERLINE=1 | organized_sports@era_7,BORDERLINE=1 | organized_sports@era_7,REVIEW_IN_TECH4C,Moved 0 of 1 member(s). Semantic edge issues remain reserved for TECH-4C.
steam_power,Production,era_7;era_8;era_10;era_12,era_7;era_8;era_10;era_12,GOOD=2; BORDERLINE=2 | watertube_boiler@era_7;rotary_valve_engine@era_8;steam_turbine@era_10;oil_turbine@era_12,GOOD=2; BORDERLINE=2 | watertube_boiler@era_7;rotary_valve_engine@era_8;steam_turbine@era_10;oil_turbine@era_12,REVIEW_IN_TECH4C,Moved 0 of 4 member(s). Semantic edge issues remain reserved for TECH-4C.
steel_metallurgy,Production,era_7;era_8;era_10;era_12,era_7;era_8;era_10;era_12,GOOD=2; BORDERLINE=1; TOO_LATE=1 | bessemer_process@era_7;open_hearth_process@era_8;electric_arc_process@era_10;arc_welding@era_12,GOOD=2; BORDERLINE=1; BORDERLINE_REEVALUATED=1 | bessemer_process@era_7;open_hearth_process@era_8;electric_arc_process@era_10;arc_welding@era_12,REVIEW_IN_TECH4C,Moved 0 of 4 member(s). Semantic edge issues remain reserved for TECH-4C.
telecommunications,Military;Production,era_8;era_10;era_11,era_7;era_9;era_11,BORDERLINE=1; TOO_LATE=2 | electric_telegraph@era_8;telephone@era_10;radio@era_11,GOOD=2; BORDERLINE=1 | electric_telegraph@era_7;telephone@era_9;radio@era_11,IMPROVED,Moved 2 of 3 member(s). Semantic edge issues remain reserved for TECH-4C.
urban_infrastructure,Society,era_8;era_10;era_11,era_9;era_10,TOO_EARLY=1; TOO_LATE=2 | steel_frame_buildings@era_8;elevator@era_10;paved_roads@era_11,GOOD=3 | elevator@era_9;steel_frame_buildings@era_9;paved_roads@era_10,IMPROVED,Moved 3 of 3 member(s). Semantic edge issues remain reserved for TECH-4C.
