technology_id,era_before,era_after,prerequisites_before,prerequisites_after,protected_baseline_changed,historical_justification,graph_justification,expected_visual_effect,gameplay_risk
"law_enforcement","era_7","era_7","tech_bureaucracy;urban_planning","tech_bureaucracy;urban_planning;professional_civil_policing","NO","Institutional law enforcement directly builds on professional civil policing.","Adds a second adjacent, semantic connection into the administration subgraph.","Removes dependence on nationalism-to-centralization as the sole large bridge.","LOW: one logical prerequisite added; effects and unlocks unchanged."
"manufacturies","era_6","era_4","","","NO","Manufacturing institutions and workshops were established by 1776 and are explicitly granted by vanilla starting-invention effects.","Moves the family root before distillation and near the early production band.","Starts the repaired distillation chain in a compact position.","LOW: research timing only; effects and unlocks unchanged."
"mass_propaganda","era_12","era_11","political_agitation;film","political_agitation;film","NO","Mass propaganda follows film and organized political agitation in the early mass-media period.","Moves one terminal successor into the empty penultimate band.","Populates Society era 11 and shortens incoming lines.","LOW: research timing only; effects and unlocks unchanged."
"mechanized_farming","era_10","era_8","threshing_machine","threshing_machine","NO","Mechanized farming follows threshing machinery before the most advanced twentieth-century production tier.","Reduces its six-era prerequisite edge to four without inventing a decorative dependency.","Shortens a full-height agricultural line.","LOW: research timing only; effects and unlocks unchanged."
"nationalism","era_7","era_7","mass_communication;international_relations","mass_communication;national_sovereignty","NO","Nationalism is more directly grounded in national sovereignty than in the broad practice of international relations.","Replaces a six-era semantic mismatch with a three-era same-category progression.","Removes one of the longest lines entering the nationalism hub.","LOW: one compatibility prerequisite replaced; effects and unlocks unchanged."
"paved_roads","era_12","era_11","elevator","elevator","NO","Modern paved-road networks belong to the early motorized urban-infrastructure horizon.","Moves one terminal successor into the empty penultimate band.","Populates Society era 11 and shortens its incoming line.","LOW: research timing only; effects and unlocks unchanged."
"prospecting","era_7","era_7","shaft_mining","geological_surveying","NO","Prospecting depends directly on geological surveying rather than on the existence of shaft mines.","Replaces a six-era edge with an adjacent era-6 to era-7 family edge.","Pulls the prospecting branch toward the geology cluster.","LOW: one compatibility prerequisite replaced; effects and unlocks unchanged."
"steelworking","era_7","era_7","shaft_mining","hot_blast_smelting","NO","Industrial steelworking follows hot-blast smelting more directly than early shaft mining.","Replaces a six-era edge with an adjacent metallurgy edge.","Pulls steelworking and Bessemer development into the metallurgy cluster.","LOW: one compatibility prerequisite replaced; effects and unlocks unchanged."
"trench_works","era_10","era_9","general_staff;electric_telegraph","general_staff;electric_telegraph;field_works","NO","Trench systems develop from field works combined with staff organization and telegraphy.","Adds the missing fortification-family edge and makes it adjacent after retiming.","Integrates the former field_works leaf into the trench progression.","LOW: one logical prerequisite added and timing adjusted; effects and unlocks unchanged."
"triage","era_7","era_7","logistics;standing_army","logistics","NO","Triage is fundamentally a medical-logistics practice; standing armies are not its direct technical precursor.","Removes the TECH-3A.1 artificial single bridge after the army lobe is integrated through enlistment_offices.","Eliminates the long separated lobe caused by the standing_army-to-triage bridge.","LOW: artificial prerequisite removed; effects and unlocks unchanged."
"watertube_boiler","era_7","era_7","atmospheric_engine","high_pressure_steam","NO","Water-tube boilers follow high-pressure steam engineering rather than the earliest atmospheric engine.","Replaces a six-era edge with a two-era steam-family edge.","Shortens the boiler line and keeps it near the steam cluster.","LOW: one compatibility prerequisite replaced; effects and unlocks unchanged."
