tech_id,era,family,current_prerequisites,proposed_prerequisites,removed_prerequisites,added_prerequisites,reason,incoming_count_after,outgoing_count_after,dead_end_after,decision
breech_loading_artillery,era_8,artillery,rifling;shell_gun,shell_gun;interchangeable_manufacture,rifling,interchangeable_manufacture,Precision interchangeable manufacture enables reliable breech mechanisms and ammunition tolerances for modern artillery.,2,1,no,RECONSTRUCT
camera,era_7,arts_visual_media,realism,pressed_glass,realism,pressed_glass,Reliable industrial glass plates and optical glass are material prerequisites for practical photographic apparatus and negatives.,1,1,no,RECONSTRUCT
carrier_tech,era_12,naval_hulls,dreadnought_tech,dreadnought_tech;military_aviation,,military_aviation,"Aircraft-carrier development requires an established body of aircraft, flight operations and aviation support technology.",2,0,no,RECONSTRUCT
central_planning,era_11,administration_surveillance,identification_documents,identification_documents,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
chemical_warfare,era_12,infantry_weapons,automatic_machine_guns,nitrogen_fixation,automatic_machine_guns,nitrogen_fixation,"Large-scale industrial chemical synthesis supplies the plants, feedstocks and process control required for chemical warfare agents.",1,0,no,RECONSTRUCT
civilizing_mission,era_8,nationalism_imperialism,quinine;nationalism,quinine;nationalism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,0,yes,KEEP
combustion_engine,era_9,internal_combustion,rotary_valve_engine,rotary_valve_engine,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,3,no,KEEP
compression_ignition,era_11,internal_combustion,combustion_engine,combustion_engine;mechanized_farming,,mechanized_farming,Mechanized agriculture supplies the practical machinery base into which compression-ignition tractors are introduced.,2,1,no,RECONSTRUCT
concrete_dockyards,era_10,naval_logistics,floating_harbor,floating_harbor;reinforced_concrete,,reinforced_concrete,"Large concrete dockyards require reinforced-concrete structural practice for basins, quays and load-bearing works.",2,1,no,RECONSTRUCT
concrete_fortifications,era_11,fortification,defense_in_depth,defense_in_depth;reinforced_concrete;pneumatic_tools,,reinforced_concrete;pneumatic_tools,"Reinforced concrete is the direct structural material technology behind modern hardened fortifications. Powered drilling, excavation and placement tools enable construction of large hardened fortification systems.",3,0,yes,RECONSTRUCT
conveyors,era_10,factory_organization,vulcanization;shift_work;electrical_generation,vulcanization;shift_work;electrical_generation,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",3,1,no,KEEP
corporate_management,era_10,finance_corporate_governance,investment_banks,investment_banks,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
corporatism,era_9,political_ideologies,labor_movement;nationalism,labor_movement;nationalism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,0,yes,KEEP
defense_in_depth,era_11,fortification,trench_works;handcranked_machine_gun,trench_works;automatic_machine_guns,handcranked_machine_gun,automatic_machine_guns,Layered defensive doctrine depends on sustained automatic-fire strongpoints rather than merely earlier hand-cranked weapons.,2,1,no,RECONSTRUCT
destroyer,era_11,naval_hulls,monitor_tech,monitor_tech,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
dough_rollers,era_12,food_industrialization,conveyors,conveyors,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,no,KEEP
dreadnought_tech,era_11,naval_hulls,pre_dreadnought_tech;sea_lane_strategies;concrete_dockyards;military_aviation,pre_dreadnought_tech;steam_turbine,sea_lane_strategies;concrete_dockyards;military_aviation,steam_turbine,"Dreadnought propulsion depended on high-output marine steam turbines, a direct enabling technology.",2,3,no,RECONSTRUCT
dynamite,era_8,industrial_explosives,nitroglycerin,nitroglycerin,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
electric_arc_process,era_10,steel_metallurgy,open_hearth_process,open_hearth_process,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
electric_railway,era_10,rail_transport,electrical_capacitors;steel_railway_cars,electrical_capacitors;steel_railway_cars,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,0,yes,KEEP
electric_telegraph,era_7,telecommunications,logistics;optical_telegraph_networks,optical_telegraph_networks,logistics,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
electrical_capacitors,era_9,electrical_engineering,electrical_generation,electrical_generation,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
electrical_generation,era_9,electrical_engineering,rotary_valve_engine,rotary_valve_engine,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,3,no,KEEP
elevator,era_9,urban_infrastructure,steel_frame_buildings,steel_frame_buildings,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
enlistment_offices,era_8,military_organization,logistics;corps_organization,logistics;corps_organization,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,1,no,KEEP
feminism,era_8,rights_reform,human_rights,human_rights,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
field_works,era_7,fortification,corps_organization,general_staff,corps_organization,general_staff,"Professional staff planning institutionalizes military engineering, siting and construction of coordinated field works.",1,1,no,RECONSTRUCT
film,era_10,arts_visual_media,camera,camera,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
flamethrowers,era_12,infantry_weapons,trench_works;automatic_machine_guns,trench_works,automatic_machine_guns,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,0,no,RECONSTRUCT
flash_freezing,era_12,food_industrialization,pasteurization,pasteurization,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,no,KEEP
floating_harbor,era_9,naval_logistics,gantry_cranes,gantry_cranes,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,2,no,KEEP
gantry_cranes,era_8,naval_logistics,mechanized_naval_dockyards;iron_hull_construction,mechanized_naval_dockyards,iron_hull_construction,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
handcranked_machine_gun,era_9,infantry_weapons,repeaters;breech_loading_artillery,repeaters,breech_loading_artillery,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
identification_documents,era_8,administration_surveillance,central_statistical_offices,central_statistical_offices,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
improved_fertilizer,era_8,agricultural_modernization,intensive_agriculture,intensive_agriculture,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
international_exchange_standards,era_10,finance_corporate_governance,mutual_funds,institutionalized_public_credit;international_relations,mutual_funds,institutionalized_public_credit;international_relations,Stable public credit and monetary institutions are prerequisites for enforceable international exchange standards. International exchange standards require durable interstate negotiation and treaty institutions.,2,1,no,RECONSTRUCT
investment_banks,era_9,finance_corporate_governance,stock_exchange;mutual_funds,stock_exchange;mutual_funds,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,1,no,KEEP
ironclad_tech,era_7,naval_hulls,iron_hull_construction,iron_hull_construction,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,2,no,KEEP
jeune_ecole,era_9,naval_doctrine,self_propelled_torpedoes,self_propelled_torpedoes,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
landing_craft,era_11,amphibious_operations,jeune_ecole;monitor_tech,floating_harbor,jeune_ecole;monitor_tech,floating_harbor,Amphibious landing craft depend on the temporary-harbor and shore-transfer logistics represented by floating harbors.,1,0,yes,RECONSTRUCT
macroeconomics,era_12,finance_corporate_governance,international_exchange_standards;corporate_management,classical_political_economy;central_statistical_offices,international_exchange_standards;corporate_management,classical_political_economy;central_statistical_offices,"Macroeconomics develops from the aggregate questions and models established by classical political economy. National accounts and aggregate economic analysis require centralized, standardized statistical data.",2,0,no,RECONSTRUCT
malaria_prevention,era_10,public_health,civilizing_mission,quinine,civilizing_mission,quinine,Effective antimalarial treatment is the direct medical foundation for organized malaria-prevention programs.,1,0,yes,RECONSTRUCT
mass_propaganda,era_11,mass_politics_media,political_agitation;film,film;radio;war_propaganda,political_agitation,radio;war_propaganda,Radio creates the instantaneous mass-broadcast channel required for modern centralized propaganda. State wartime propaganda provides the organizational methods later generalized into permanent mass propaganda.,3,0,yes,RECONSTRUCT
mass_surveillance,era_12,administration_surveillance,central_planning,central_planning,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,no,KEEP
mechanized_farming,era_7,agricultural_modernization,threshing_machine,threshing_machine,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
military_aviation,era_10,military_aviation,handcranked_machine_gun,combustion_engine,handcranked_machine_gun,combustion_engine,"Powered military aircraft require compact, high power-to-weight combustion engines; machine-gun knowledge does not provide flight propulsion.",1,2,no,RECONSTRUCT
military_statistics,era_9,military_organization,electric_telegraph;general_staff,general_staff,electric_telegraph,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
mobile_armor,era_12,armored_warfare,concrete_fortifications;nco_training,military_aviation;compression_ignition;stormtroopers,concrete_fortifications;nco_training,military_aviation;compression_ignition;stormtroopers,The vehicle-industry and mechanized-warfare capability attached to military aviation provides a direct industrial base for mobile armor. High-torque compression-ignition engines directly enable reliable heavy armored vehicles. Infiltration and combined-arms assault doctrine prepares the tactical employment of early mobile armored formations.,3,0,no,RECONSTRUCT
modern_financial_instruments,era_12,finance_corporate_governance,international_exchange_standards,international_exchange_standards;corporate_management,,corporate_management,"Large managed corporations create the financing, risk-transfer and governance needs served by modern financial instruments.",2,0,no,RECONSTRUCT
modern_nursing,era_7,military_medicine,medical_degrees,medical_degrees,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
monitor_tech,era_8,naval_hulls,ironclad_tech;breech_loading_artillery,ironclad_tech;breech_loading_artillery,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,1,no,KEEP
multilateral_alliances,era_10,nationalism_imperialism,pan-nationalism,international_relations;pan-nationalism,,international_relations,Multilateral alliance systems require institutionalized diplomacy and treaty practice.,2,0,yes,RECONSTRUCT
mutual_funds,era_8,finance_corporate_governance,institutionalized_public_credit;postal_savings,institutionalized_public_credit;postal_savings,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,1,no,KEEP
nationalism,era_7,nationalism_imperialism,periodical_print_networks;national_sovereignty,national_sovereignty,periodical_print_networks,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,4,no,RECONSTRUCT
nco_training,era_11,military_organization,wargaming;trench_works,wargaming,trench_works,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
nitrogen_fixation,era_11,agricultural_modernization,improved_fertilizer,improved_fertilizer,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
nitroglycerin,era_7,industrial_explosives,industrial_acids,industrial_acids,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,2,no,KEEP
oil_turbine,era_12,steam_power,steam_turbine,steam_turbine,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,no,KEEP
open_hearth_process,era_8,steel_metallurgy,bessemer_process,bessemer_process,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
organized_sports,era_7,sports_mass_culture,nationalism,nationalism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
pan-nationalism,era_8,nationalism_imperialism,nationalism,nationalism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
pasteurization,era_10,food_industrialization,vacuum_canning;electrical_capacitors,vacuum_canning,electrical_capacitors,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
paved_roads,era_10,urban_infrastructure,elevator,professional_civil_engineering,elevator,professional_civil_engineering,"Modern paved-road networks require professional surveying, grading, drainage and civil-engineering practice.",1,0,yes,RECONSTRUCT
philosophical_pragmatism,era_8,philosophy_psychology,medical_degrees,experimental_research_laboratories,medical_degrees,experimental_research_laboratories,Experimental research culture supplies the empirical method and institutional setting from which pragmatist philosophy developed.,1,1,no,RECONSTRUCT
plastics,era_10,industrial_materials,reinforced_concrete,art_silk,reinforced_concrete,art_silk,Early synthetic-fibre manufacture develops polymer-forming and industrial organic-chemistry methods that directly prepare plastics.,1,0,yes,RECONSTRUCT
pneumatic_tools,era_10,civil_construction,rotary_valve_engine;reinforced_concrete,rotary_valve_engine,reinforced_concrete,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,1,no,RECONSTRUCT
political_agitation,era_10,political_ideologies,anarchism;socialism;corporatism,organized_reform_movements;mass_circulation_press,anarchism;socialism;corporatism,organized_reform_movements;mass_circulation_press,"Organized reform movements supply the campaign organizations, petitions and mobilization methods used in political agitation. Mass-circulation print provides the communication infrastructure needed to coordinate large political campaigns.",2,1,no,RECONSTRUCT
pre_dreadnought_tech,era_10,naval_hulls,ironclad_tech,ironclad_tech,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
psychoanalysis,era_10,philosophy_psychology,philosophical_pragmatism,clinicopathological_medicine,philosophical_pragmatism,clinicopathological_medicine,Clinical observation and neurological case practice form the medical setting from which psychoanalysis emerged.,1,0,yes,RECONSTRUCT
pumpjacks,era_9,extractive_industries,steam_donkey;dynamite,steam_donkey,dynamite,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,0,yes,RECONSTRUCT
quinine,era_7,public_health,colonization;pharmaceuticals,pharmaceuticals,colonization,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,2,no,RECONSTRUCT
radio,era_11,telecommunications,telephone,telephone,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
realism,era_7,arts_visual_media,romanticism,romanticism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
reinforced_concrete,era_8,civil_construction,bessemer_process;hydraulic_cements,bessemer_process;hydraulic_cements,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,2,no,KEEP
repeaters,era_8,infantry_weapons,rifling;percussion_cap,rifling;percussion_cap,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,2,no,KEEP
romanticism,era_7,arts_visual_media,institutionalized_scientific_exchange,institutionalized_scientific_exchange,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
rotary_valve_engine,era_8,steam_power,watertube_boiler,watertube_boiler,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,4,no,KEEP
rubber_mastication,era_7,industrial_materials,fractional_distillation;chemical_bleaching,industrial_acids,fractional_distillation;chemical_bleaching,industrial_acids,Industrial chemical processing supplies the solvents and controlled treatments needed to work raw rubber at scale.,1,1,no,RECONSTRUCT
sea_lane_strategies,era_10,naval_doctrine,jeune_ecole,jeune_ecole,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
self_propelled_torpedoes,era_8,naval_weapons,state_dockyard_systems,nitroglycerin,state_dockyard_systems,nitroglycerin,Modern high explosives supply the compact warhead technology required by self-propelled torpedoes.,1,2,no,RECONSTRUCT
sericulture,era_7,agricultural_modernization,,,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",0,0,yes,KEEP
shift_work,era_8,factory_organization,interchangeable_manufacture,interchangeable_manufacture,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
socialism,era_7,political_ideologies,labor_movement;early_socialism_cooperativism,labor_movement;early_socialism_cooperativism,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",2,0,yes,KEEP
steam_donkey,era_9,extractive_industries,intensive_agriculture,watertube_boiler,intensive_agriculture,watertube_boiler,Compact high-pressure boiler practice directly enables portable steam winches and logging machinery.,1,1,no,RECONSTRUCT
steam_turbine,era_10,steam_power,electrical_generation,rotary_valve_engine,electrical_generation,rotary_valve_engine,Advanced rotary steam machinery provides the mechanical and manufacturing foundation for turbine development.,1,2,no,RECONSTRUCT
steel_frame_buildings,era_9,urban_infrastructure,professional_civil_engineering,professional_civil_engineering,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
steel_railway_cars,era_8,rail_transport,railways,railways;bessemer_process,,bessemer_process,Mass-produced structural steel is a direct material prerequisite for steel railway rolling stock.,2,1,no,RECONSTRUCT
stormtroopers,era_11,military_organization,wargaming;trench_works,nco_training;trench_works,wargaming,nco_training,Small-unit infiltration tactics require trained NCO leadership and decentralized battlefield initiative.,2,1,no,RECONSTRUCT
submarine,era_11,naval_weapons,self_propelled_torpedoes,self_propelled_torpedoes,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,0,yes,KEEP
telephone,era_9,telecommunications,shift_work;electrical_generation,electric_telegraph;electrical_generation,shift_work,electric_telegraph,"Telephone networks build directly on electrical signaling, wiring and long-distance telegraph infrastructure.",2,1,no,RECONSTRUCT
trench_works,era_9,fortification,general_staff;electric_telegraph;field_works,field_works,general_staff;electric_telegraph,,Weak or arbitrary prerequisites are removed; the remaining prerequisites are sufficient and independently justified.,1,3,no,RECONSTRUCT
vacuum_canning,era_8,food_industrialization,interchangeable_manufacture,interchangeable_manufacture,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
vulcanization,era_8,industrial_materials,rubber_mastication,rubber_mastication,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
war_propaganda,era_10,mass_politics_media,enlistment_offices,enlistment_offices;political_agitation,,political_agitation,Mass political mobilization techniques are directly adapted by states for wartime persuasion and recruitment.,2,1,no,RECONSTRUCT
wargaming,era_9,military_organization,military_statistics,military_statistics,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,1,no,KEEP
watertube_boiler,era_7,steam_power,high_pressure_steam,high_pressure_steam,,,"All current prerequisites were revalidated as essential, strong or plausible enabling dependencies.",1,2,no,KEEP
zeppelins,era_10,military_aviation,steel_frame_buildings,combustion_engine,steel_frame_buildings,combustion_engine,Large powered airships require lightweight combustion engines for sustained propulsion.,1,0,yes,RECONSTRUCT
