"Technology_ID","Era","Category","Old_EN_Name","New_EN_Name","Old_FR_Name","New_FR_Name","New_EN_Description","New_FR_Description","Reason"
"battlefield_evacuation","era_5","military","Battlefield Evacuation","Battlefield Evacuation","Évacuation des blessés","Évacuation des blessés","Organized stretcher bearers and transport move wounded soldiers away from combat and toward medical care sooner.","Des brancardiers et des moyens de transport organisés évacuent plus vite les blessés vers les lieux de soins.","Specific historical description"
"battlefleet_tactics","era_12","military","Modern Battlefleet Tactics","Modern Battlefleet Tactics","Tactiques modernes de la flotte de combat","Tactiques d’escadre","Operating a large battlefleet can be a difficult task. By practicing and learning specific tactics as a fleet, greater performance can be achieved.","Diriger une grande flotte de combat peut s’avérer difficile. En apprenant et en essayant des tactiques spécifiques, il est possible d’améliorer ses performances au combat.","Shorter or clearer title"
"battleship_tech","era_12","military","$ship_type_super_dreadnought$","Super-Dreadnoughts","$ship_type_super_dreadnought$","Super-dreadnoughts","By taking the dreadnought design and making all the guns high caliber, as well as some other changes, it is possible to make an even more devastating warship.","En se basant sur la conception de la frégate, en optant pour des canons de gros calibre, et en apportant d’autres modifications, il est possible de fabriquer un navire de guerre encore plus puissant.","Shorter or clearer title"
"bauxite_processing","era_6","production","Wöhler-Deville Process","Wöhler-Deville Process","Procédé Wöhler-Deville","Procédé Wöhler-Deville","Chemical treatment and high-temperature reduction make it possible to extract aluminium from bauxite on an industrial scale.","Le traitement chimique et la réduction à haute température permettent d'extraire industriellement l'aluminium de la bauxite.","Existing concise and specific localization retained"
"bayer_process","era_10","production","Bayer Process","Bayer Process","Procédé Bayer","Procédé Bayer","Purifying bauxite into alumina provides the essential feedstock for efficient Hall-Héroult electrolysis.","La purification de la bauxite en alumine fournit la matière indispensable à l'électrolyse efficace du procédé Hall-Héroult.","Existing concise and specific localization retained"
"breech_loading_artillery","era_8","military","Breech-Loading Artillery","Breech-Loading Artillery","Armes à chargement par la culasse","Artillerie à culasse","By changing the design to load the shells from a port in the artillery, rather than down the barrel it is possible to make a much more efficient weapons.","En modifiant la conception de l’arme pour la charger depuis l’arrière plutôt que par le canon, il est possible de fabriquer des armes bien plus efficaces.","Shorter or clearer title"
"casemated_fortifications","era_5","military","Casemated Fortifications","Casemated Fortifications","Forts casematés","Forts casematés","Protected gun chambers allow forts to maintain fire while sheltering crews and equipment from bombardment.","Des chambres de tir protégées permettent aux forts de continuer à tirer tout en abritant leurs servants et leur matériel.","Specific historical description"
"central_statistical_offices","era_5","society","Statistical Offices","Statistical Offices","Bureaux statistiques","Bureaux statistiques","Permanent offices collect and compare official figures, turning occasional surveys into a continuing administrative practice.","Des bureaux permanents recueillent et comparent les chiffres officiels, faisant des enquêtes ponctuelles une pratique administrative suivie.","Specific historical description"
"classical_political_economy","era_4","society","Classical Economics","Classical Economics","Économie classique","Économie classique","Developed classical doctrines systematize production, exchange, trade, and the limits of state intervention in the economy.","Les doctrines classiques développées systématisent la production, les échanges, le commerce et les limites de l'intervention de l'État dans l'économie.","Existing concise and specific localization retained"
"clinicopathological_medicine","era_5","society","Clinical Pathology","Clinical Pathology","Médecine anatomoclinique","Médecine anatomoclinique","Physicians relate symptoms observed in life to anatomical changes found after death, sharpening the study of disease.","Les médecins rapprochent les symptômes observés chez les malades des lésions constatées après la mort, affinant l'étude des maladies.","Specific historical description"
"coal_gasification","era_5","production","Coal Gasification","Coal Gasification","Gazéification du charbon","Gazéification du charbon","Processing coal into combustible gas creates a transportable source of heat and light for growing towns and industries.","La transformation du charbon en gaz combustible fournit aux villes et aux industries une source d'éclairage et de chaleur distribuable.","Specific historical description"
"codified_practical_knowledge","era_2","society","Codified Knowledge","Codified Knowledge","Savoirs codifiés","Savoirs codifiés","Manuals and encyclopedic works record techniques once passed chiefly through apprenticeship, making them easier to compare and teach.","Manuels et ouvrages encyclopédiques consignent des techniques jusque-là surtout transmises par l'apprentissage, ce qui facilite leur comparaison et leur enseignement.","Specific historical description"
"coke_smelting","era_1","production","Coke Smelting","Coke Smelting","Fonte au coke","Fonte au coke","Coke-fired furnaces reduce ironmaking's dependence on charcoal and sustain hotter, more regular smelting.","Les hauts fourneaux alimentés au coke réduisent la dépendance au charbon de bois et rendent la fonte du fer plus régulière.","Specific historical description"
"commercial_insurance_markets","era_2","society","Commercial Insurance","Commercial Insurance","Assurance commerciale","Assurance commerciale","Merchants pool the risks of voyages and trade through increasingly regular insurance contracts and specialized intermediaries.","Les négociants répartissent les risques des voyages et du commerce grâce à des contrats d'assurance et à des intermédiaires spécialisés.","Specific historical description"
"concrete_dockyards","era_10","military","Concrete Dockyards","Concrete Dockyards","Chantiers navals en béton","Arsenaux bétonnés","Sturdy and cheap, concrete allows for the construction of far larger piers that are able to support far heavier freight loads.","Robuste et bon marché, le béton permet de construire des quais plus larges capables de soutenir des charges bien plus lourdes.","Shorter or clearer title"
"condensing_steam_engines","era_4","production","Condensing Steam Engines","Condensing Steam Engines","Vapeur à condensation","Vapeur à condensation","Separate condensation wastes less heat, allowing steam engines to pump and drive machinery with less fuel.","La condensation séparée limite les pertes de chaleur et permet aux machines à vapeur de pomper ou d'entraîner des machines avec moins de combustible.","Specific historical description"
"constitutional_government","era_4","society","Constitutional Rule","Constitutional Rule","Régime constitutionnel","Régime constitutionnel","Written constitutional rules define public offices and place recognized limits on the exercise of state power.","Des règles constitutionnelles écrites définissent les pouvoirs publics et imposent des limites reconnues à leur exercice.","Specific historical description"
"continuous_papermaking","era_5","production","Continuous Papermaking","Continuous Papermaking","Papier continu","Papier continu","Moving screens and continuous drying replace individual sheets with a steadier flow of paper.","Des toiles mobiles et un séchage continu remplacent la fabrication feuille par feuille par une production de papier plus régulière.","Specific historical description"
"copper_sheathing","era_4","military","Copper Sheathing","Copper Sheathing","Doublage en cuivre","Doublage en cuivre","Copper plates protect hulls against marine growth and shipworms, allowing sailing vessels to retain speed between refits.","Le doublage de cuivre protège les coques contre les organismes marins et préserve la vitesse des voiliers entre deux radoubs.","Specific historical description"
"corps_organization","era_5","military","Corps Organization","Corps Organization","Corps d’armée","Corps d’armée","Large standing formations combine infantry, cavalry, artillery, and support troops under commands able to maneuver independently.","De grandes formations permanentes réunissent infanterie, cavalerie, artillerie et soutien sous des commandements capables de manœuvrer séparément.","Specific historical description"
"deep_mine_engineering","era_4","production","Deep Mine Engineering","Deep Mine Engineering","Mines profondes","Mines profondes","Deeper shafts require coordinated drainage, ventilation, and supports to reach deposits beyond the limits of shallow workings.","Des puits plus profonds exigent un drainage, une ventilation et un soutènement coordonnés pour atteindre les gisements inaccessibles aux exploitations superficielles.","Specific historical description"
"diagonal_ship_framing","era_5","military","Diagonal Ship Framing","Diagonal Ship Framing","Charpente diagonale","Charpente diagonale","Diagonal braces stiffen wooden hulls and help larger ships withstand strain at sea.","Des renforts diagonaux rigidifient les coques en bois et aident les grands navires à résister aux efforts de la mer.","Specific historical description"
"early_socialism_cooperativism","era_6","society","Socialism & Cooperatives","Socialism & Cooperatives","Socialismes coopératifs","Socialismes coopératifs","Reformers and workers propose cooperative ownership and new forms of association in response to the social costs of industrial change.","Réformateurs et travailleurs proposent la propriété coopérative et de nouvelles associations face aux coûts sociaux des transformations industrielles.","Specific historical description"
"electric_arc_process","era_10","production","Electric Arc Process","Electric Arc Process","Procédé à arc électrique","Fusion à l’arc","By putting an electric arc through metal it is possible to smelt it more quickly and efficiently.","En passant un arc électrique à travers le métal, il est possible de le faire fondre plus rapidement et plus efficacement.","Shorter or clearer title"
"electric_railway","era_10","production","Electric Railways","Electric Railways","Chemins de fer électriques","Réseaux ferroviaires électriques","By using electricity to power the trains rather than steam, it is possible to have a much more reliable rail system.","En utilisant l’électricité plutôt que la vapeur pour faire fonctionner les trains, il est possible de développer un système ferroviaire bien plus efficace.","Shorter or clearer title"
"electrical_capacitors","era_9","production","Electrical Capacitors and Networks","Electrical Capacitors","Condensateurs et réseaux électriques","Condensateurs électriques","Advances in electrical regulation and storage enable more reliable industrial use of electrically powered machinery.","Les progrès dans le stockage et la régulation du courant électrique permettent l'utilisation industrielle de machines électriques plus fiables.","Shorter or clearer title"
"enclosed_dock_systems","era_1","military","Enclosed Dock Systems","Enclosed Dock Systems","Bassins fermés","Bassins fermés","Sheltered basins and enclosed docks give ships safer places to be fitted out, repaired, and supplied.","Des bassins protégés offrent aux navires des lieux plus sûrs pour l'armement, les réparations et l'avitaillement.","Specific historical description"
"enlistment_offices","era_8","military","Enlistment Offices","Enlistment Offices","Bureaux de recrutement militaire","Bureaux de recrutement","Offices built to attract recruits help immensely with bolstering the nation's military manpower.","Les bureaux construits pour attirer les recrues contribuent grandement à renforcer les effectifs militaires de la nation.","Shorter or clearer title"
"experimental_research_laboratories","era_5","society","Research Laboratories","Research Laboratories","Recherche expérimentale","Recherche expérimentale","Dedicated laboratories make controlled experiments and repeatable observations a regular part of scientific work.","Des laboratoires spécialisés font des expériences contrôlées et des observations reproductibles une pratique scientifique régulière.","Specific historical description"
"explosive_field_ammunition","era_5","military","Explosive Ammunition","Explosive Ammunition","Munitions explosives","Munitions explosives","Explosive shells add a bursting effect to field artillery, changing the damage guns can inflict beyond solid shot.","Les obus explosifs ajoutent un effet d'éclatement à l'artillerie de campagne, au-delà des dommages causés par les boulets pleins.","Specific historical description"
"field_engineering_pontoon_trains","era_5","military","Engineers & Pontoons","Engineers & Pontoons","Génie et pontons","Génie et pontons","Organized sappers and portable bridging equipment help armies cross rivers and overcome obstacles during a campaign.","Des sapeurs organisés et des équipements de pontage mobiles aident les armées à franchir les cours d'eau et les obstacles.","Specific historical description"
"geological_surveying","era_6","production","Geological Surveying","Geological Surveying","Levé géologique","Levé géologique","Mapping rock strata and mineral deposits gives miners and public authorities a firmer basis for exploration.","La cartographie des couches rocheuses et des gisements donne aux exploitants et aux autorités une meilleure base pour la prospection.","Specific historical description"
"high_pressure_steam","era_5","production","High-Pressure Steam","High-Pressure Steam","Vapeur à haute pression","Vapeur haute pression","Stronger boilers and controlled high-pressure steam make engines more compact and extend their use beyond fixed pumping sites.","Des chaudières plus robustes et une vapeur mieux maîtrisée permettent de construire des moteurs plus compacts, utilisables au-delà des stations de pompage.","Shorter or clearer title; Specific historical description"
"horse_artillery","era_4","military","Horse Artillery","Horse Artillery","Artillerie à cheval","Artillerie à cheval","Mounted crews and suitable gun teams let artillery keep pace with cavalry and redeploy quickly across the field.","Des servants montés et des attelages adaptés permettent aux canons de suivre la cavalerie et de se redéployer rapidement.","Specific historical description"
"hot_blast_smelting","era_6","production","Hot Blast Smelting","Hot Blast Smelting","Fonte à vent chaud","Soufflage à chaud","Preheating the air blown into furnaces improves combustion and makes iron smelting less fuel-intensive.","Le préchauffage de l'air insufflé dans les hauts fourneaux améliore la combustion et réduit la consommation de combustible.","Shorter or clearer title; Specific historical description"
"hydraulic_cements","era_6","production","Hydraulic Cements","Hydraulic Cements","Ciments hydrauliques","Ciments hydrauliques","Cements that harden in damp conditions make stronger harbors, canals, and other works exposed to water possible.","Les ciments capables de durcir en milieu humide permettent de bâtir des ports, des canaux et d'autres ouvrages exposés à l'eau.","Specific historical description"
"hydraulic_turbines","era_6","production","Hydraulic Turbines","Hydraulic Turbines","Turbines hydrauliques","Turbines hydrauliques","Turbines extract rotary power from flowing water more efficiently than older waterwheels, broadening the reach of water-driven machinery.","Les turbines tirent de l'eau courante une rotation plus efficace que les anciennes roues et étendent l'usage des machines hydrauliques.","Specific historical description"
"hydrographic_surveying","era_5","military","Hydrographic Surveying","Hydrographic Surveying","Levé hydrographique","Levé hydrographique","Soundings and coastal surveys produce charts of depths, hazards, and approaches needed for safer navigation.","Les sondages et les levés côtiers cartographient profondeurs, dangers et accès aux ports pour rendre la navigation plus sûre.","Specific historical description"
"improved_agricultural_implements","era_1","production","Improved Farm Tools","Improved Farm Tools","Outils agricoles","Outils agricoles","Stronger ploughs, harrows, and other farm tools make cultivation more reliable and reduce the labor needed to prepare the soil.","Des charrues, herses et autres outils plus robustes facilitent le travail du sol et rendent les cultures plus régulières.","Specific historical description"
"improved_husbandry","era_1","production","Improved Husbandry","Improved Husbandry","Agriculture améliorée","Agriculture améliorée","Closer attention to feeding, shelter, and animal care raises the reliability of livestock farming before deliberate breed improvement becomes widespread.","Une meilleure alimentation, des abris adaptés et des soins plus réguliers améliorent l'élevage avant la généralisation de la sélection des races.","Specific historical description"
"improved_road_engineering","era_5","production","Road Engineering","Road Engineering","Génie routier","Génie routier","Graded roadbeds, drainage, and durable surfaces create reliable all-season roads.","Les chaussées nivelées, le drainage et les revêtements durables créent des routes fiables en toute saison.","Existing concise and specific localization retained"
"industrial_acids","era_2","production","Industrial Acids","Industrial Acids","Acides industriels","Acides industriels","Organized acid manufacture supplies the reagents needed by early chemical crafts, dyeing, and metalworking.","La fabrication organisée d'acides fournit aux premiers métiers chimiques, à la teinture et au travail des métaux des réactifs plus réguliers.","Specific historical description"
"industrial_alkalis","era_5","production","Industrial Alkalis","Industrial Alkalis","Alcalis industriels","Alcalis industriels","Regular production of alkalis supports soapmaking, glassmaking, bleaching, and other chemical industries.","La production régulière d'alcalis soutient la savonnerie, la verrerie, le blanchiment et d'autres activités chimiques.","Specific historical description"
"industrial_canals","era_3","production","Organized Commercial Waterways","Organized Commercial Waterways","Voies d'eau commerciales organisées","Voies navigables organisées","Coordinated canal and navigable-waterway networks connect markets and carry bulk goods without presupposing later industrial engineering.","Des réseaux coordonnés de canaux et de voies navigables relient les marchés et transportent les marchandises pondéreuses sans supposer le génie industriel ultérieur.","Shorter or clearer title"
"industrial_ceramics","era_3","production","Industrial Ceramics","Industrial Ceramics","Céramique industrielle","Céramique industrielle","Better control of clays, kilns, and firing produces more consistent ceramics for households and industrial uses.","Une meilleure maîtrise des argiles, des fours et de la cuisson permet de produire des céramiques plus régulières pour les ménages et l'industrie.","Specific historical description"
"industrial_paper_bleaching","era_6","production","Industrial Paper Bleaching","Industrial Paper Bleaching","Blanchiment industriel du papier","Blanchiment papetier industriel","The systematic application of chemical bleaching processes to mechanized papermaking allows clearer and more uniform paper to be produced on a large scale.","L'application systématique des procédés chimiques de blanchiment à une production papetière mécanisée permet d'obtenir un papier plus clair et plus uniforme à grande échelle.","Shorter or clearer title"
"institutionalized_public_credit","era_2","society","Public Credit","Public Credit","Crédit public","Crédit public","Reliable public accounts and recognized debt instruments let states borrow beyond the immediate resources of their treasuries.","Des comptes publics fiables et des titres de dette reconnus permettent aux États d'emprunter au-delà des ressources immédiates de leur trésor.","Specific historical description"
"institutionalized_scientific_exchange","era_1","society","Scientific Exchange","Scientific Exchange","Échanges scientifiques","Échanges scientifiques","Correspondence, learned societies, and regular meetings carry observations beyond individual workshops and courtly circles.","La correspondance, les sociétés savantes et les réunions régulières diffusent les observations au-delà des ateliers et des cercles de cour.","Specific historical description"
"interchangeable_manufacture","era_6","production","Interchangeable Parts","Interchangeable Parts","Pièces interchangeables","Pièces interchangeables","Standard dimensions and careful gauges let separately made parts fit the same machines, easing assembly and repair.","Des dimensions normalisées et des instruments de contrôle permettent à des pièces fabriquées séparément de s'ajuster aux mêmes machines, facilitant montage et réparation.","Specific historical description"
"iron_hull_construction","era_6","military","Iron Hull Construction","Iron Hull Construction","Coques en fer","Coques en fer","Iron frames and plates permit stronger hulls and new ship forms beyond the limits of traditional timber construction.","Les membrures et les plaques de fer permettent des coques plus résistantes et de nouvelles formes de navires au-delà des limites du bois.","Specific historical description"
"law_enforcement","era_7","society","Law Enforcement","Law Enforcement","Maintien de l’ordre public","Maintien de l’ordre","A professional force trained to a set standard permits the state to police its populace with increased authority.","Une force professionnelle entraînée permet à l’État de maintenir l’ordre au sein de sa population avec autorité.","Shorter or clearer title"
"liberal_constitutionalism","era_5","society","Liberal Constitution","Liberal Constitution","Constitution libérale","Constitution libérale","Constitutional guarantees and representative institutions place civil liberties and limits on executive authority at the center of political reform.","Les garanties constitutionnelles et les institutions représentatives placent les libertés civiles et les limites du pouvoir exécutif au cœur des réformes.","Specific historical description"
"light_infantry_tactics","era_3","military","Light Infantry Tactics","Light Infantry Tactics","Infanterie légère","Infanterie légère","Trained skirmishers use cover, open formations, and accurate fire where rigid battle lines are less effective.","Des tirailleurs entraînés utilisent le couvert, les formations dispersées et le tir précis là où les lignes serrées sont moins efficaces.","Specific historical description"
"marine_chronometry","era_3","military","Marine Chronometry","Marine Chronometry","Chronométrie marine","Chronométrie marine","Reliable timekeepers help navigators determine longitude at sea and make long voyages less uncertain.","Des chronomètres fiables aident les navigateurs à déterminer la longitude en mer et réduisent l'incertitude des longues traversées.","Specific historical description"
"maritime_safety_standards","era_6","military","Maritime Safety","Maritime Safety","Sécurité maritime","Sécurité maritime","Shared practices for navigation, seaworthiness, and rescue reduce avoidable losses at sea.","Des pratiques communes de navigation, de navigabilité et de secours réduisent les pertes évitables en mer.","Specific historical description"
"mass_circulation_press","era_6","society","Mass-Circulation Press","Mass-Circulation Press","Presse à grand tirage","Presse de masse","Large print runs and wider distribution bring newspapers and other publications to an expanding reading public.","De grands tirages et une distribution élargie mettent journaux et autres publications à la portée d'un lectorat croissant.","Shorter or clearer title; Specific historical description"
"mechanized_irrigation","era_6","production","Mechanized Irrigation","Mechanized Irrigation","Irrigation mécanisée","Irrigation mécanisée","The use of mechanical pumps and controlled distribution systems makes it possible to irrigate crops reliably on a scale that was previously impossible.","L'application de pompes mécaniques et de systèmes de distribution contrôlée permet d'irriguer les cultures de manière régulière à une échelle auparavant impossible.","Existing concise and specific localization retained"
"mechanized_naval_dockyards","era_5","military","Mechanized Dockyards","Mechanized Dockyards","Arsenaux mécanisés","Arsenaux mécanisés","Powered tools and lifting equipment speed the heavy work of building and repairing ships in dockyards.","Des outils motorisés et des appareils de levage accélèrent les lourds travaux de construction et de réparation dans les arsenaux.","Specific historical description"
"mechanized_printing","era_5","society","Mechanized Printing","Mechanized Printing","Imprimerie mécanisée","Imprimerie mécanisée","Powered presses multiply the number of sheets a printer can produce and widen the circulation of books and newspapers.","Les presses motorisées multiplient les feuilles imprimées et élargissent la diffusion des livres et des journaux.","Specific historical description"
"mechanized_spinning","era_3","production","","Early Mechanical Spinning","Filature mécanisée précoce","Filature mécanisée précoce","Powered spinning machinery draws and twists fibre more evenly than hand spinning, supplying growing weaving workshops with regular yarn.","L'introduction de machines de filature motorisées permet aux producteurs textiles de remplacer progressivement le filage manuel par des procédés mécaniques plus rapides et plus réguliers.","Shorter or clearer title; Specific historical description"
"mechanized_weaving","era_3","production","Mechanical Looms","Mechanical Looms","Métiers à tisser mécaniques","Tissage mécanique","The adoption of powered looms transforms weaving from skilled manual work into a more standardized industrial process.","L'adoption de métiers à tisser motorisés transforme progressivement le tissage artisanal en un processus industriel plus standardisé.","Shorter or clearer title"
"military_topographic_surveying","era_4","military","Military Surveying","Military Surveying","Topographie militaire","Topographie militaire","Dedicated surveys turn roads, relief, and river crossings into usable maps for planning marches and operations.","Des levés spécialisés transforment routes, reliefs et passages de rivière en cartes utiles à la préparation des marches et des opérations.","Specific historical description"
"military_veterinary_services","era_5","military","Veterinary Services","Veterinary Services","Services vétérinaires","Services vétérinaires","Veterinary care preserves the horses and draft animals on which cavalry, artillery, and military transport depend.","Les soins vétérinaires préservent les chevaux et les animaux de trait dont dépendent la cavalerie, l'artillerie et les transports militaires.","Specific historical description"
"mine_safety_engineering","era_5","production","Mine Safety Engineering","Mine Safety Engineering","Sécurité minière","Sécurité minière","Ventilation, safer supports, and closer attention to underground hazards reduce the dangers of deep extraction.","La ventilation, des soutènements plus sûrs et une meilleure prévention des risques souterrains réduisent les dangers de l'exploitation profonde.","Specific historical description"
"modern_lighthouse_optics","era_6","military","Modern Lighthouse Optics","Modern Lighthouse Optics","Optique des phares","Optique des phares","Improved lenses concentrate lamp light into beams visible farther from dangerous coasts and harbor approaches.","De meilleures lentilles concentrent la lumière des phares en faisceaux visibles plus loin des côtes dangereuses et des ports.","Specific historical description"
"monitor_tech","era_8","military","$ship_type_modern_ironclad$","Modern Ironclads","$ship_type_modern_ironclad$","Cuirassés modernes","By making a smaller warship better suited for shallow water and slapping massive guns on it, it is possible to make an effective naval weapon.","En fabriquant des navires de guerre plus petits et mieux adaptés aux eaux peu profondes et en les équipant de canons massifs, il est possible de créer une arme navale efficace.","Shorter or clearer title"
"mysorean_iron_cased_rocketry","era_4","military","Mysorean Rockets","Mysorean Rockets","Fusées mysoréennes","Fusées mysoréennes","Iron-cased rockets developed in Mysore show how a more durable casing can extend the reach and practical use of military rockets.","Les fusées à enveloppe de fer développées au Mysore montrent comment un corps plus résistant étend la portée et l'usage militaire de ces armes.","Specific historical description"
"national_sovereignty","era_4","society","Popular Sovereignty","Popular Sovereignty","Souveraineté populaire","Souveraineté populaire","Political authority is increasingly justified in the name of the nation or people rather than the ruler alone.","L'autorité politique se réclame de plus en plus de la nation ou du peuple, et non plus seulement du souverain.","Specific historical description"
"optical_telegraph_networks","era_4","society","Optical Telegraph","Optical Telegraph","Télégraphe optique","Télégraphe optique","Chains of signal stations relay messages across long distances much faster than couriers can travel.","Des chaînes de stations à signaux transmettent les messages à grande distance bien plus vite que les courriers.","Specific historical description"
"organized_elementary_schooling","era_3","society","Elementary Schooling","Elementary Schooling","Enseignement primaire","Enseignement primaire","Organized religious, communal, or state schools extend regular elementary instruction beyond isolated tutors and local custom.","Des écoles religieuses, communautaires ou publiques organisées étendent l'instruction élémentaire régulière au-delà des précepteurs isolés et des usages locaux.","Existing concise and specific localization retained"
"organized_financial_institutions","era_1","society","Organized Financial Institutions","Organized Financial Institutions","Institutions financières organisées","Institutions financières organisées","General practices of accounting, credit, and financial intermediation provide a common foundation for more specialized financial systems without implying a modern central bank or stock exchange.","Des pratiques générales de comptabilité, de crédit et d’intermédiation financière forment un socle commun pour des systèmes financiers plus spécialisés, sans impliquer une banque centrale ou une bourse moderne.","Existing concise and specific localization retained"
"organized_forestry","era_2","production","Organized Forestry","Organized Forestry","Exploitation forestière organisée","Exploitation forestière organisée","The organization of logging, timber extraction and transportation allows forests to be exploited regularly on a large scale.","L’organisation de l’abattage, du débardage et du transport du bois permet une exploitation forestière régulière à grande échelle.","Existing concise and specific localization retained"
"organized_immunization_campaigns","era_6","society","Immunization Campaigns","Immunization Campaigns","Campagnes vaccinales","Campagnes vaccinales","Coordinated vaccination efforts extend protection across larger populations than isolated practitioners can reach.","Des campagnes de vaccination coordonnées protègent des populations plus vastes que ne peuvent le faire des praticiens isolés.","Specific historical description"
"organized_military_establishments","era_1","military","Organized Military Establishments","Organized Military Establishments","Établissements militaires organisés","Établissements militaires organisés","General methods of coordinating military organization, training, logistics, and specialist services provide a common foundation for more advanced military practices without representing a single formal institution.","Des pratiques générales de coordination de l’organisation militaire, de la formation, de la logistique et des services spécialisés forment un socle commun pour des pratiques militaires plus avancées, sans représenter une institution formelle particulière.","Existing concise and specific localization retained"
"organized_naval_establishments","era_1","military","Organized Naval Establishments","Organized Naval Establishments","Établissements navals organisés","Établissements navals organisés","General administrative, technical, and logistical practices provide the foundation needed to sustain organized naval activity without implying a particular dockyard or naval institution.","Des pratiques administratives, techniques et logistiques générales fournissent le socle nécessaire au soutien d’une activité navale organisée, sans impliquer un arsenal ou une institution navale particulière.","Existing concise and specific localization retained"
"organized_reform_movements","era_5","society","Reform Movements","Reform Movements","Mouvements réformistes","Mouvements réformistes","Associations, petitions, and public campaigns allow reformers to coordinate demands across local communities.","Associations, pétitions et campagnes publiques permettent aux réformateurs de coordonner leurs revendications au-delà des communautés locales.","Specific historical description"
"organized_textile_production","era_1","production","Proto-Industrial Textile Production","Proto-Industrial Textile Production","Production textile proto-industrielle","Production textile proto-industrielle","The organization of spinners, weavers, dyers and merchants into guilds, workshops and dispersed production networks allows textile manufacturing to expand beyond individual artisans without requiring industrial machinery.","L'organisation des fileurs, tisserands, teinturiers et marchands au sein de guildes, d'ateliers spécialisés et de réseaux de travail dispersés permet d'étendre la production textile au-delà de l'artisanat individuel sans nécessiter de machines industrielles.","Existing concise and specific localization retained"
"organized_workshops","era_1","production","Organized Workshops","Organized Workshops","Ateliers organisés","Ateliers organisés","Structured manufactories coordinate skilled workshops to produce tools, furniture and other useful household goods without requiring later industrial mechanization.","Des manufactures structurées coordonnent les ateliers spécialisés afin de produire outils, meubles et autres biens utiles au foyer sans exiger la mécanisation industrielle ultérieure.","Existing concise and specific localization retained"
