"tech_id","classification","visibility_problem","current_neutralization","proposed_fix","implemented_fix","status","notes"
"dialectics","CONSUMED_REPLACE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"drydocks","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"egalitarianism","CONSUMED_MERGE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"empiricism","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"gunsmithing","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"hydraulic_cranes","CONSUMED_REPLACE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"international_trade","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"joint_stock_companies","CONSUMED_MERGE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"law_enforcement","CONSUMED_REPLACE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"line_infantry","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"mandatory_service","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"mass_communication","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"mechanized_workshops","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"military_drill","CONSUMED_REWIRE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"modern_sewerage","CONSUMED_REWIRE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"napoleonic_warfare","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"navigation","CONSUMED_SPLIT","KNOWN_VISIBLE_RUNTIME","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Explicit user-reported failure. Script references remain valid; visible card and target-edge rendering are suppressed."
"power_of_the_purse","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"prospecting","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"psychiatry","CONSUMED_MERGE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"rationalism","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"screw_frigate","CONSUMED_MERGE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"standing_army","CONSUMED_SPLIT","KNOWN_VISIBLE_RUNTIME","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Explicit user-reported failure. Script references remain valid; visible card and target-edge rendering are suppressed."
"steelworking","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"tech_bureaucracy","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"triage","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"urban_planning","CONSUMED_REWIRE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"urbanization","CONSUMED_REWIRE","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
