id,fr,en,era,window,sub,type,prereq,cross,unlock,future,status,overlap,regional,historical,gameplay,ai,prod,society,gw,sources
armament_standardization_inspection,Standardisation et inspection de l'armement,Armament Standardization & Inspection,IV,~1775–1799,Armement / industrie militaire,UNIVERSAL,regulated_small_arms; standardized_field_artillery,Production: precision_boring,Gauges; dimensional inspection; harmonized weapon patterns; repairability/quality ↑,interchangeable manufacture [Production]; percussion_ignition,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Système français 1777 = jalon; acquisition universelle possible par réformes/manufactures.,Le système français 1777 utilise des gabarits de contrôle et des modèles précisément définis sans atteindre encore l'interchangeabilité totale.,Pont Military ↔ Production; améliore arms industries et maintenance.,Poids fort si industrie d'armement nationale.,precision_boring; later precision_machine_tools,Inspection/bureaucracy candidate,N/A,https://actualites.musee-armee.fr/expositions/histoires-darmes-episode-10-de-loinlarmement-industrie-pionniere/
permanent_engineer_services,Services permanents du génie,Permanent Engineer Services,IV,~1775–1799,Génie,UNIVERSAL,scientific_fortification_siegecraft,,Engineer support; field fortification; roads/trenches; military works,field_engineering_pontoon_trains; military_topographic_surveying; casemated_fortifications,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"Peut être acquis par réformes, écoles d'ingénieurs ou missions étrangères.",Formalisation croissante de services d'ingénieurs permanents au XVIIIe tardif.,"Support militaire polyvalent, pas simple fortification statique.","Poids fort pour grandes armées, sièges et infrastructure militaire.",Construction materials; tools,Technical education,N/A,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/board-ordnance
horse_artillery,Artillerie à cheval,Horse Artillery,IV,~1775–1799,Artillerie / cavalerie,UNIVERSAL,standardized_field_artillery,,Mobile artillery support PM; mobility/speed ↑; cost/horse demand ↑,corps_organization,KEEP,AUDIT_UNIT_PM_SYSTEM_LATER,Les rôles de cavalerie restent surtout PM/doctrine; ce node représente l'organisation d'une artillerie réellement mobile.,La Royal Horse Artillery est créée en 1793; concepts analogues se diffusent dans les armées contemporaines.,À implémenter comme support/PM si le système 1.13 le rend plus approprié qu'un node autonome.,Poids selon cavalerie et mobilité doctrinale.,Artillery; horses/livestock abstraction,,N/A,https://www.nam.ac.uk/explore/cavalry-roles
military_topographic_surveying,Levés topographiques militaires,Military Topographic Surveying,IV,~1775–1799,Commandement / génie,UNIVERSAL,permanent_engineer_services,Society: scientific surveying candidate,Campaign maps; route planning; reconnaissance; fortification planning,professional_general_staff; hydrographic_surveying,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"Peut être acquis via écoles militaires/ingénieurs, y compris chemins de réforme ottomans et autres.",Les grands levés militaires s'institutionnalisent au XVIIIe tardif; Ordnance Survey britannique lancé à partir des besoins militaires.,"Lien entre science, génie et commandement.",Poids fort pour grandes armées et États territoriaux.,,Scientific surveying / statistics / cartography,N/A,https://www.ordnancesurvey.co.uk/about/history
copper_sheathing,Doublage des coques en cuivre,Copper Sheathing,IV,~1775–1799,Construction navale,UNIVERSAL,scientific_naval_architecture,Production: copper good/resource chain candidate,Copper-sheathed wooden hull PM/component; fouling ↓; maintenance/range efficiency ↑,diagonal_ship_framing,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Adoption systématique surtout dans les grandes marines océaniques; coûts élevés.,"Expérimenté plus tôt, adopté beaucoup plus largement dans les années 1770–1780.",Crée une vraie demande navale de cuivre et un différentiel blue-water.,Poids fort pour flottes océaniques si cuivre accessible.,Copper candidate; shipyards,,Auditer hull materials/components.,https://www.rmg.co.uk/collections/archive/rmgc-object-511162
mysorean_iron_cased_rocketry,Fusées mysoréennes à enveloppe métallique,Mysorean Iron-Cased Rocketry,IV,~1775–1799,Artillerie régionale,REGIONAL_INNOVATION,REGIONAL_MYSORE_MILITARY_TRADITION,,Mysorean rocket corps/support; iron-cased rockets; event transfer hooks,standardized_military_rockets [via transfer/event],STRONG_KEEP_REGIONAL,NO_VANILLA_DUPLICATE_EXPECTED,"Réservée à Mysore/aire historiquement justifiée; déjà connue en 1776 selon setup. Export par capture/observation, pas recherche universelle directe.",Les forces de Mysore emploient des fusées à enveloppe métallique; des exemplaires capturés inspirent ensuite Congreve.,Prototype canonique de REGIONAL_INNOVATION + technology transfer.,MYS doit valoriser fortement le support; autres pays via événements de contact/capture.,Iron; military workshops,,N/A,https://www.royalartillerymuseum.com/our-collection/congreves-rocket-0
rifle_troops,Troupes équipées de fusils rayés,Rifle Troops,V,~1800–1824,Infanterie,UNIVERSAL,light_infantry_tactics; armament_standardization_inspection,Production: precision_machine_tools candidate,Rifle specialist PM/unit role; accuracy/range ↑; reload/cost tradeoff,percussion_ignition,KEEP_CONCEPT,VANILLA_OVERLAP_PENDING_AUDIT_RIFLING_SKIRMISH,Ne remplace pas automatiquement l'infanterie de ligne.,Baker rifle adopté en 1800 pour des unités spécialisées; diffusion graduelle.,"Spécialisation, pas remplacement global du mousquet.",Poids selon doctrine légère/terrain et coût des armes.,Precision arms manufacture,,N/A,https://collection.nam.ac.uk/detail.php?acc=1976-11-53--1
corps_organization,Organisation en corps d'armée,Corps Organization,V,~1800–1824,Commandement,UNIVERSAL,horse_artillery; permanent_engineer_services,,Combined-arms corps; operational autonomy; command capacity,professional_general_staff,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Peut être acquis par réforme; ne suppose pas une copie exacte de l'armée napoléonienne.,Le système de corps napoléonien combine plusieurs armes et services dans des formations autonomes.,Améliore organisation/commandement plutôt qu'un bonus d'arme.,Poids fort pour grandes armées.,,Military education/state capacity candidate,N/A,https://www.musee-armee.fr/expoNapoleonStratege/docs/MA-Napoleon-stratege-DPFR.pdf
military_supply_services,Services permanents d'approvisionnement militaire,Military Supply Services,V,~1800–1824,Logistique,UNIVERSAL,BASELINE_SUPPLY_SYSTEMS,,Supply trains; ammunition trains; engineer trains; campaign attrition/supply capacity improvements,professional_general_staff,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Les armées avaient déjà de la logistique; le node représente des services permanents spécialisés.,"Autour de 1800–1807, les armées françaises organisent trains d'artillerie, génie et équipages; d'autres États suivent des trajectoires propres.","Doit agir sur supply/attrition/mobilization, pas être un simple attack modifier.","Poids selon taille d'armée, distance des campagnes et attrition.",Groceries; transport goods later,Military administration,N/A,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/british-army-operations-up-to-1913
field_engineering_pontoon_trains,Génie de campagne et trains de pontons,Field Engineering & Pontoon Trains,V,~1800–1824,Génie,UNIVERSAL,permanent_engineer_services; military_supply_services,,Bridging; crossings; field works; mobility support,,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Universalisation possible par écoles/services d'ingénieurs.,"Intégration plus systématique du génie, pontage et trains spécialisés dans les grandes armées du début XIXe.",Support mobilité/river crossing/defense.,"Poids selon géographie, taille d'armée et doctrine.",Tools; timber; construction materials,,N/A,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/board-ordnance
explosive_field_ammunition,Munitions explosives de campagne,Explosive Field Ammunition,V,~1800–1824,Artillerie,UNIVERSAL,standardized_field_artillery,,Shrapnel/spherical shell field ammunition PMs; anti-personnel/artillery flexibility,,KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Adoption initiale limitée; diffusion par arsenaux et expérience de guerre.,L'obus Shrapnel est adopté par l'armée britannique en 1803.,PM ammunition avec compromis plutôt qu'un node 'meilleur canon'.,Poids selon artillerie et industrie de munitions.,Artillery/ammunition industry,,N/A,https://collection.nam.ac.uk/detail.php?acc=1991-08-125-1
battlefield_evacuation,Évacuation des blessés du champ de bataille,Battlefield Evacuation,V,~1800–1824,Médecine militaire,UNIVERSAL,permanent_military_hospitals; military_supply_services,,Mobile ambulances; wounded recovery ↑; battlefield mortality ↓,,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"Larrey = jalon, concept universel.",Les ambulances volantes de Larrey rapprochent les soins et l'évacuation du champ de bataille.,Doit utiliser recovery/mortality.,Poids selon pertes et taille d'armée.,Food/medical inputs later,Public medicine/surgery candidate,N/A,https://collections.musee-armee.fr/le-recolement-au-service-de-sante-des-armees/
military_veterinary_services,Services vétérinaires militaires,Military Veterinary Services,V,~1800–1824,Médecine / cavalerie / logistique,UNIVERSAL,BASELINE_CAVALRY,Society: veterinary_science,Horse/mule mortality ↓; remount efficiency ↑; cavalry/artillery/logistics animal losses ↓,,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Accès dépend de la diffusion de la science vétérinaire et de l'organisation militaire.,"À partir de 1796, des veterinary surgeons sont commissionnés dans les régiments de cavalerie britanniques.","Lien Society→Military très clair, impactant attrition animale et mobilité.",Poids fort si cavalerie/logistique animale importantes.,Livestock/horses abstraction; medicines later,Veterinary Science,N/A,https://www.nam.ac.uk/explore/royal-army-veterinary-corps
casemated_fortifications,Fortifications casematées,Casemated Fortifications,V,~1800–1824,Fortifications,UNIVERSAL,permanent_engineer_services,Production: hydraulic_cements later synergy,Casemated/coastal forts; concentrated artillery; fort defense PMs,POST_1836 polygonal fortification lineage,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Montalembert sert de jalon; adaptations nationales diverses.,Montalembert publie en 1777 des théories de fortifications à étages/casemates; diffusion surtout début XIXe.,"Fortification de transition post-bastion, utile notamment en défense côtière.",Poids si côtes stratégiques/fortifications.,Stone; construction materials; later cement,,N/A,https://www.govinfo.gov/content/pkg/GOVPUB-D103-PURL-gpo248325/pdf/GOVPUB-D103-PURL-gpo248325.pdf
hydrographic_surveying,Levés hydrographiques,Hydrographic Surveying,V,~1800–1824,Navigation civile + militaire,UNIVERSAL,marine_chronometry; military_topographic_surveying,,Admiralty-style charts; safer navigation; ports/coasts surveyed; naval/commercial efficiency,modern_lighthouse_optics; maritime_safety_standards,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"Peut être acquis par écoles navales, missions et administrations hydrographiques.",Hydrographic Office britannique créé en 1795; premières cartes officielles vers 1800.,Civil + militaire; doit réduire risque/augmenter efficacité navigation.,"Poids selon commerce, littoral et marine.",Paper; precision instruments,Cartography/science,Auditer navigation/range/sea-lane mechanics.,https://www.gov.uk/government/publications/corporate-brochure/corporate-brochure
standardized_naval_signals,Signaux navals standardisés,Standardized Naval Signals,V,~1800–1824,Commandement naval,UNIVERSAL,scientific_naval_architecture,,Fleet signal books; coordination/command efficiency,,KEEP,GREAT_WAVE_AUDIT_REQUIRED,Systèmes nationaux différents mais fonction universalisable.,Les systèmes de signaux codifiés deviennent beaucoup plus riches autour de 1800.,Probable doctrine/modifier de flotte plutôt que component; audit requis.,Poids pour grandes flottes.,,Literacy/officer education candidate,Auditer fleet command systems.,https://www.rmg.co.uk/collections/archive/rmgc-object-576443
paddle_steam_navigation,Navigation à vapeur à roues,Paddle Steam Navigation,V,~1800–1824,Naval civil + militaire,UNIVERSAL,scientific_naval_architecture,Production: rotative_steam_power; high_pressure_steam,Civil steam routes; early naval steam propulsion capability/component,POST_1836 screw_propulsion,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Civil d'abord; adoption militaire expérimentale/auxiliaire avant 1836.,Le Comet de 1812 est un jalon de service commercial européen à vapeur.,"Doit probablement débloquer propulsion/component, pas une unité rigide.","Poids selon commerce fluvial/côtier, charbon et industrie mécanique.",Coal; engines; shipyards,,HIGH_PRIORITY: propulsion components / hull compatibility.,https://collection.sciencemuseumgroup.org.uk/objects/co8018658/the-original-engine-of-henry-bells-paddle-steamer
mechanized_naval_dockyards,Arsenaux navals mécanisés,Mechanized Naval Dockyards,V,~1800–1824,Construction navale,UNIVERSAL,scientific_naval_architecture; state_dockyard_systems,Production: precision_machine_tools; rotative_steam_power,Shipyard productivity; standardized blocks/rigging components; repair efficiency ↑,iron_hull_construction,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Portsmouth = jalon; la capacité est universalisable via industrialisation.,Brunel/Maudslay mécanisent la production de poulies à Portsmouth au début des années 1800.,Croisement fort Military ↔ Production.,Poids pour États construisant/réparant de grandes flottes.,Precision Machine Tools; Rotative Steam,,Auditer shipyard throughput/construction modifiers.,https://historicengland.org.uk/listing/the-list/list-entry/1078288
diagonal_ship_framing,Charpente navale diagonale,Diagonal Ship Framing,V,~1800–1824,Construction navale,UNIVERSAL,scientific_naval_architecture; copper_sheathing,,Stronger/larger wooden hull PM/component; durability ↑,iron_hull_construction,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Diffusion par chantiers et ingénieurs navals.,"Réformes de Seppings au début XIXe, avec renforts diagonaux et structures améliorées.","Doit enrichir le designer des coques bois, pas juste donner +X offense.",Poids pour grandes coques océaniques.,Timber; iron fastenings; tools,,Hull/component audit.,https://www.rmg.co.uk/collections/objects/rmgc-object-68492
standardized_military_rockets,Systèmes de fusées militaires standardisés,Standardized Military Rocket Systems,V,~1800–1824,Artillerie / transfert technologique,EVENT_ACQUIRED_UNIVERSAL,TRANSFER_FROM_REGIONAL_ROCKET_TECH_OR_EQUIVALENT,,Standardized rocket artillery/support PM; incendiary/explosive rocket use,,KEEP,VANILLA_OVERLAP_PENDING_AUDIT,GBR via capture/étude des fusées de Mysore; autres États par diffusion/observation/transfert ultérieur.,Congreve développe ses systèmes après étude d'exemplaires mysoréens capturés.,"Tech universelle de diffusion, mais pas recherche libre initiale avant exposition historique.",Débloquée via événement; poids dépend de doctrine/artillerie.,Iron; military workshops,,N/A,https://www.royalartillerymuseum.com/our-collection/congreves-rocket-0
percussion_ignition,Mise à feu à percussion,Percussion Ignition,VI,~1825–1836,Infanterie / armement,UNIVERSAL,armament_standardization_inspection; rifle_troops,Production: precision_machine_tools,Early percussion firearms PM; reliability ↑; weather resistance ↑; transition not instant,POST_1836 breech_loading/rifling line,KEEP_CONCEPT,VANILLA_OVERLAP_PENDING_AUDIT_HIGH,Diffusion militaire surtout années 1830–1840; certains États plus précoces/tardifs.,"Forsyth brevète un percussion lock en 1807, mais adoption militaire large est plus tardive.","Frontier tech; PM early-adoption, pas remplacement automatique du silex.",Poids selon industrie d'armes et doctrine.,Precision Machine Tools; small arms,,N/A,https://www.metmuseum.org/art/collection/search/33345
professional_general_staff,État-major général professionnel,Professional General Staff,VI,~1825–1836,Commandement,UNIVERSAL,corps_organization; military_topographic_surveying; military_supply_services,Society: military_education,Staff planning; mobilization/coordination; operational planning; command capacity,POST_1836 modern_staff_systems,KEEP_CONCEPT,VANILLA_OVERLAP_PENDING_AUDIT_GENERAL_STAFF,Peut être acquis par écoles/réformes; ne pas imposer modèle prussien unique.,"Professionnalisation graduelle des états-majors au tournant XVIIIe–XIXe, maturation au XIXe.",Probable overlap vanilla; concept à conserver même si node vanilla modifié.,Poids très fort pour grandes puissances.,,Military education / professional bureaucracy,N/A,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/british-army-operations-up-to-1913
naval_shell_guns,Canons-obusiers navals,Naval Shell Guns,VI,~1825–1836,Artillerie navale,UNIVERSAL,standardized_field_artillery; scientific_naval_architecture,,Early shell-gun naval armament component/PM; wooden hull lethality ↑,POST_1836 modern_naval_gunnery/ironclads,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Expérimental/early adoption avant 1836; diffusion majeure plus tard.,Paixhans démontre les shell guns navals dans les années 1820.,Frontier component; ne doit pas généraliser immédiatement les obus explosifs à toutes les flottes.,Poids pour grandes marines et coastal defense.,Artillery; ammunition,,HIGH_PRIORITY weapon component audit.,https://www.marinersmuseum.org/2022/12/the-evolution-of-naval-ordnance-1820-1866/
maritime_safety_standards,Normes de sécurité maritime,Maritime Safety Standards,VI,~1825–1836,Marine civile,UNIVERSAL,ship_classification_surveying; hydrographic_surveying,,Seaworthiness/load standards; merchant loss risk ↓; classification efficiency ↑,,STRONG_KEEP,AUDIT_MERCHANT_SHIPPING_SYSTEM,Peut être porté par sociétés de classification/États/assureurs.,Lloyd's Register introduit une règle de ligne de charge en 1835.,Complète la marine marchande avec sécurité plutôt qu'une simple vitesse commerciale.,Poids selon tonnage marchand et pertes.,,Insurance/commercial law,Auditer civilian maritime modifiers.,https://www.lrfoundation.org.uk/about-us/our-history
modern_lighthouse_optics,Optiques modernes de phare,Modern Lighthouse Optics,VI,~1825–1836,Marine civile / navigation,UNIVERSAL,hydrographic_surveying,Production: industrial_ceramics/pressed_glass; Society: optics,Fresnel-style lighthouse PM; safer navigation; port/coastal efficiency,,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Diffusion par ingénieurs/administrations maritimes.,Première optique complète de Fresnel installée à Cordouan en 1823.,Civil maritime node directement utile à ports/navigation.,"Poids selon littoral, commerce et ports.",Glass; precision manufacture,Optics/science,Auditer port/coastal navigation effects.,https://cordouan.culture.gouv.fr/fr/la-premiere-optique-de-cordouan
iron_hull_construction,Construction de coques en fer,Iron Hull Construction,VI,~1825–1836,Construction navale,UNIVERSAL,scientific_naval_architecture; mechanized_naval_dockyards,Production: puddling_and_rolling; precision_machine_tools,Early iron merchant hull component/type; stronger structural designs; new shipyard inputs,POST_1836 iron_warships; screw_propulsion; oceanic_steamships,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Civil d'abord; ne débloque PAS automatiquement ironclads militaires.,Aaron Manby (1821–22) constitue un jalon précoce de vapeur/coque en fer; diffusion pratique dans les décennies suivantes.,"Frontier hull material, surtout civil avant 1836.","Poids selon iron supply, shipyards and merchant/naval demand.",Puddling & Rolling; Precision Machine Tools; iron,,HIGH_PRIORITY hull material/type audit.,https://www.erih.net/how-it-started/stories-about-people-biographies/biography/manby
