technology_id,category,era_before,era_after,prerequisites_before,prerequisites_after,change_reason,gameplay_risk,expected_layout_effect
electrical_capacitors,production,era_11,era_10,electrical_generation,electrical_generation,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
elevator,society,era_11,era_10,steel_frame_buildings,steel_frame_buildings,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
enclosure,production,era_7,era_6,,,The old vanilla era-I node had only been parked temporarily in era_7; moving it one band earlier preserves its root status and better precedes intensive agriculture.,LOW,Place the root in the band immediately before intensive_agriculture and reduce same-band artificial regularity.
enlistment_offices,military,era_9,era_8,logistics,logistics,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
feminism,society,era_9,era_8,human_rights,human_rights,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
film,society,era_11,era_10,camera,camera,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
gantry_cranes,military,era_9,era_8,hydraulic_cranes;screw_frigate,hydraulic_cranes;screw_frigate,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
identification_documents,society,era_9,era_8,central_archives,central_archives,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
improved_fertilizer,production,era_9,era_8,intensive_agriculture,intensive_agriculture,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
international_exchange_standards,society,era_11,era_10,mutual_funds,mutual_funds,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
ironclad_tech,military,era_9,era_8,screw_frigate;iron_hull_construction,screw_frigate;iron_hull_construction,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
landing_craft,military,era_11,era_10,jeune_ecole;monitor_tech,jeune_ecole;monitor_tech,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
lathe,production,era_7,era_5,cotton_gin,cotton_gin,The temporary era_7 mapping created a three-era jump from cotton_gin and pulled crystal_glass away from its chain.,LOW,Turn cotton_gin (era_4) to lathe (era_5) to crystal_glass (era_6) into adjacent bands.
malaria_prevention,society,era_11,era_10,civilizing_mission,civilizing_mission,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
manufacturies,production,era_7,era_6,,,The pre-1836 compatibility root was mechanically parked in era_7 and formed a separate two-node component with distillation.,LOW,Place the root immediately before its era_7 dependents and help the merged manufacturing family lay out compactly.
mechanized_farming,production,era_11,era_10,threshing_machine,threshing_machine,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
mechanized_workshops,production,era_7,era_7,canneries;mechanical_tools,canneries;mechanical_tools;manufacturies,Manufacturies and distillation formed an otherwise disconnected temporary compatibility component; mechanized workshops is the minimal same-category and adjacent-era bridge.,LOW,Merge the two-node component into the main Production component with a short logical edge.
military_aviation,military,era_11,era_10,handcranked_machine_gun,handcranked_machine_gun,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
modern_nursing,military,era_9,era_8,triage,triage,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
multilateral_alliances,society,era_11,era_10,pan-nationalism,pan-nationalism,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
mutual_funds,society,era_9,era_8,central_banking;postal_savings,central_banking;postal_savings,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
nitrogen_fixation,production,era_11,era_10,improved_fertilizer,improved_fertilizer,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
open_hearth_process,production,era_9,era_8,bessemer_process,bessemer_process,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
pan-nationalism,society,era_9,era_8,nationalism,nationalism,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
pharmaceuticals,society,era_7,era_6,medical_degrees,medical_degrees;organized_immunization_campaigns,The protected three-node immunization chain was separate and the pharmaceuticals era_7 placement was temporary; this is the first compatible downstream medical node.,LOW,Merge the immunization component into Society using an adjacent era_5 to era_6 medical edge.
philosophical_pragmatism,society,era_9,era_8,psychiatry,psychiatry,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
plastics,production,era_11,era_10,reinforced_concrete,reinforced_concrete,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
pneumatic_tools,production,era_11,era_10,rotary_valve_engine;reinforced_concrete,rotary_valve_engine;reinforced_concrete,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
political_agitation,society,era_11,era_10,anarchism;socialism;corporatism,anarchism;socialism;corporatism,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
pre_dreadnought_tech,military,era_11,era_10,ironclad_tech,ironclad_tech,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
psychoanalysis,society,era_11,era_10,philosophical_pragmatism,philosophical_pragmatism,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
reinforced_concrete,production,era_9,era_8,bessemer_process;hydraulic_cements,bessemer_process;hydraulic_cements,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
repeaters,military,era_9,era_8,rifling;percussion_cap,rifling;percussion_cap,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
rotary_valve_engine,production,era_9,era_8,watertube_boiler,watertube_boiler,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
rubber_mastication,production,era_9,era_8,fractional_distillation;chemical_bleaching,fractional_distillation;chemical_bleaching,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
sea_lane_strategies,military,era_11,era_10,jeune_ecole,jeune_ecole,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
self_propelled_torpedoes,military,era_9,era_8,power_of_the_purse,power_of_the_purse,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
shift_work,production,era_9,era_8,mechanized_workshops,mechanized_workshops,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
socialism,society,era_9,era_8,labor_movement;dialectics;early_socialism_cooperativism,labor_movement;dialectics;early_socialism_cooperativism,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
steam_donkey,production,era_9,era_8,intensive_agriculture,intensive_agriculture,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
steam_turbine,production,era_11,era_10,electrical_generation,electrical_generation,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
steel_frame_buildings,society,era_9,era_8,modern_sewerage,modern_sewerage,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
steel_railway_cars,production,era_9,era_8,railways,railways,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
submarine,military,era_11,era_10,self_propelled_torpedoes,self_propelled_torpedoes,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
telephone,production,era_11,era_10,shift_work;electrical_generation,shift_work;electrical_generation,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
trench_works,military,era_11,era_10,general_staff;electric_telegraph,general_staff;electric_telegraph,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
triage,military,era_7,era_7,logistics,logistics;standing_army,The nine-node standing-army compatibility branch was disconnected; triage is a same-era military medical service that logically requires an organized standing force.,LOW,Merge the nine-node compatibility component into the main Military graph without a cross-era jump.
vacuum_canning,production,era_9,era_8,mechanized_workshops,mechanized_workshops,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
war_propaganda,military,era_11,era_10,enlistment_offices,enlistment_offices,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
wargaming,military,era_11,era_10,military_statistics,military_statistics,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
zeppelins,society,era_11,era_10,steel_frame_buildings,steel_frame_buildings,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
