Technology_ID,Category,Current_Era,Proposed_Era,Decision,Reason,Parent_Max_Era,Child_Min_Era,Unlock_Context,Start_Distribution_Impact
hydrographic_surveying,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_6,STRUCTURAL_OR_MODIFIER_ONLY,NONE
logistics,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_5,STRUCTURAL_OR_MODIFIER_ONLY,NONE
mechanized_naval_dockyards,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_6,production_methods:pm_trade_center_trade_quantity_high,NONE
military_veterinary_services,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,LEAF_OR_ALIAS,combat_unit_types:combat_unit_type_cuirassiers,NONE
paddle_steamer,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_6,production_methods:pm_complex_shipbuilding;production_methods:pm_military_shipbuilding_wooden_2,NONE
percussion_cap,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_6,buildings:building_munition_plant;production_methods:pm_percussion_caps,NONE
rifling,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_5,production_methods:pm_rifles,NONE
standardized_military_rockets,military,era_5,era_5,MERGE_AND_ALIAS,Era retained only for compatibility metadata; node is no longer researchable.,ROOT_OR_ALIAS,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
standardized_naval_signals,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,LEAF_OR_ALIAS,laws:law_diplomatic_navy;laws:law_professional_navy;production_methods:pm_power_of_the_purse,NONE
general_staff,military,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_7,combat_unit_types:combat_unit_type_skirmish_infantry;production_methods:pm_general_training;production_methods:pm_general_training_conscription,NONE
iron_hull_construction,military,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_7,STRUCTURAL_OR_MODIFIER_ONLY,NONE
maritime_safety_standards,military,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_8,STRUCTURAL_OR_MODIFIER_ONLY,NONE
modern_lighthouse_optics,military,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
shell_gun,military,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_8,production_methods:pm_smoothbores;ship_modifications:ship_mod_frigate_guns_high;ship_modifications:ship_mod_ship_of_the_line_guns_high,NONE
electric_telegraph,military,era_7,era_7,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
field_works,military,era_7,era_7,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_6,era_9,production_methods:pm_barbed_wire_fences,NONE
ironclad_tech,military,era_7,era_7,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_6,era_8,buildings:building_kiel_canal;production_methods:pm_military_shipbuilding_steam;ship_modifications:ship_mod_supply_ship_armor_medium;ship_modifications:ship_mod_supply_ship_propulsion_medium;ship_modifications:ship_mod_torpedo_boat_guns_high;ship_types:ship_type_early_ironclad;ship_types:ship_type_iron_frigate;ship_types:ship_type_monitor;ship_types:ship_type_troop_ship,NONE
modern_nursing,military,era_7,era_7,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,LEAF_OR_ALIAS,mobilization_options:mobilization_option_field_hospitals,NONE
breech_loading_artillery,military,era_8,era_8,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_6,era_8,combat_unit_types:combat_unit_type_shrapnel_artillery;production_methods:pm_breech_loaders;ship_modifications:ship_mod_iron_frigate_guns_high,NONE
enlistment_offices,military,era_8,era_8,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_10,laws:law_mass_conscription,NONE
gantry_cranes,military,era_8,era_8,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_6,era_9,production_methods:pm_industrial_port;production_methods:pm_metal_shipbuilding,NONE
monitor_tech,military,era_8,era_8,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,era_11,ship_types:ship_type_coastal_defense_ship;ship_types:ship_type_modern_ironclad,NONE
repeaters,military,era_8,era_8,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_9,production_methods:pm_repeaters,NONE
self_propelled_torpedoes,military,era_8,era_8,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_6,era_9,ship_modifications:utility_mod_torpedo_nets;ship_types:ship_type_torpedo_boat,NONE
bolt_action_rifles,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,era_11,production_methods:pm_bolt_action_rifles,NONE
floating_harbor,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,era_10,production_methods:pm_trade_center_trade_quantity_very_high,NONE
handcranked_machine_gun,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,era_11,STRUCTURAL_OR_MODIFIER_ONLY,NONE
jeune_ecole,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,era_10,laws:law_jeune_ecole;production_methods:pm_jeune_ecole,NONE
military_statistics,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_6,era_9,mobilization_options:mobilization_option_luxurious_supplies;production_methods:pm_advanced_tactics_training;production_methods:pm_advanced_tactics_training_conscription,NONE
trench_works,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_7,era_11,combat_unit_types:combat_unit_type_trench_infantry,NONE
wargaming,military,era_9,era_9,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,era_10,production_methods:pm_training_streamlining;production_methods:pm_training_streamlining_conscription,NONE
concrete_dockyards,military,era_10,era_10,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,era_12,production_methods:pm_modern_port,NONE
military_aviation,military,era_10,era_10,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,era_12,mobilization_options:mobilization_option_aerial_recon;production_methods:pm_aeroplane_production;production_methods:pm_all_metal_aircraft,NONE
pre_dreadnought_tech,military,era_10,era_10,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_7,era_11,ship_modifications:ship_mod_supply_ship_armor_high;ship_modifications:ship_mod_supply_ship_propulsion_high;ship_types:ship_type_armored_cruiser;ship_types:ship_type_pre_dreadnought,NONE
sea_lane_strategies,military,era_10,era_10,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,era_12,production_methods:pm_sea_lane_strategies;ship_types:ship_type_protected_cruiser;ship_types:ship_type_torpedo_boat_destroyer,NONE
war_propaganda,military,era_10,era_10,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
automatic_machine_guns,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,era_11,mobilization_options:mobilization_option_machinegunners;production_methods:pm_recoiled_barrels,NONE
concrete_fortifications,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,LEAF_OR_ALIAS,production_methods:pm_naval_fortification_advanced,NONE
defense_in_depth,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,era_11,combat_unit_types:combat_unit_type_siege_artillery,NONE
destroyer,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,era_12,ship_types:ship_type_destroyer,NONE
dreadnought_tech,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_10,era_12,ship_types:ship_type_dreadnought;ship_types:ship_type_light_cruiser;ship_types:ship_type_seaplane_tender,NONE
landing_craft,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,LEAF_OR_ALIAS,combat_unit_types:combat_unit_type_high_tier_marines,NONE
nco_training,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,era_11,combat_unit_types:combat_unit_type_squad_infantry;production_methods:pm_nco_incorporation;production_methods:pm_nco_incorporation_conscription,NONE
stormtroopers,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,era_12,STRUCTURAL_OR_MODIFIER_ONLY,NONE
submarine,military,era_11,era_11,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_8,LEAF_OR_ALIAS,ship_types:ship_type_submarine,NONE
battlefleet_tactics,military,era_12,era_12,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,LEAF_OR_ALIAS,production_methods:pm_battlefleet_tactics,NONE
battleship_tech,military,era_12,era_12,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,LEAF_OR_ALIAS,ship_types:ship_type_super_dreadnought,NONE
carrier_tech,military,era_12,era_12,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,LEAF_OR_ALIAS,ship_types:ship_type_aircraft_carrier,NONE
chemical_warfare,military,era_12,era_12,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,LEAF_OR_ALIAS,mobilization_options:mobilization_option_chemical_weapons,NONE
flamethrowers,military,era_12,era_12,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_9,LEAF_OR_ALIAS,mobilization_options:mobilization_option_flamethrowers,NONE
mobile_armor,military,era_12,era_12,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_11,LEAF_OR_ALIAS,combat_unit_types:combat_unit_type_heavy_tank;combat_unit_types:combat_unit_type_light_tanks;combat_unit_types:combat_unit_type_mechanized_infantry;production_methods:pm_mobile_warfare_tactics;production_methods:pm_mobile_warfare_tactics_conscription;production_methods:pm_tank_production,NONE
coke_smelting,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,buildings:building_steel_mill,NONE
distillation,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_6,production_methods:pm_pot_stills;production_methods:pm_spiced_food_preparations,NONE
improved_husbandry,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_2,buildings:building_banana_plantation;buildings:building_coffee_plantation;buildings:building_dye_plantation;buildings:building_livestock_ranch;buildings:building_maize_farm;buildings:building_millet_farm;buildings:building_opium_plantation;buildings:building_rice_farm;buildings:building_rye_farm;buildings:building_silk_plantation;buildings:building_spice_plantation;buildings:building_sugar_plantation;buildings:building_tea_plantation;buildings:building_tobacco_plantation;buildings:building_vineyard;buildings:building_wheat_farm;decrees:decree_encourage_agricultural_industry,NONE
organized_textile_production,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_3,buildings:building_textile_mill;production_methods:pm_craftsman_sewing,NONE
organized_workshops,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_1,buildings:building_furniture_manufactory;buildings:building_tooling_workshop,NONE
shaft_mining,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_1,buildings:building_coal_mine;buildings:building_copper_mine;buildings:building_iron_mine;buildings:building_lead_mine;buildings:building_limestone_quarry;buildings:building_salt_mine;buildings:building_sulfur_mine;decrees:decree_encourage_resource_industry,NONE
traditional_food_processing,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_1,buildings:building_food_industry,NONE
traditional_papermaking,production,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_5,buildings:building_paper_mill,NONE
atmospheric_engine,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,production_methods:pm_atmospheric_engine_pump_building_coal_mine;production_methods:pm_atmospheric_engine_pump_building_copper_mine;production_methods:pm_atmospheric_engine_pump_building_gold_mine;production_methods:pm_atmospheric_engine_pump_building_iron_mine;production_methods:pm_atmospheric_engine_pump_building_lead_mine;production_methods:pm_atmospheric_engine_pump_building_phosphate_mine;production_methods:pm_atmospheric_engine_pump_building_salt_mine;production_methods:pm_atmospheric_engine_pump_building_sulfur_mine,NONE
improved_agricultural_implements,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,production_methods:pm_tools,NONE
industrial_acids,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_5,buildings:building_chemical_works,NONE
organized_forestry,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,LEAF_OR_ALIAS,production_methods:pm_organized_forestry,NONE
sugar_refining,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_7,production_methods:pm_sweeteners,NONE
traditional_glassmaking,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_3,buildings:building_glassworks,NONE
turnpike_road_networks,production,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_3,production_methods:pm_market_squares;production_methods:pm_turnpike_road_network,NONE
advanced_crop_rotations,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_5,production_methods:pm_soil_enriching_farming;production_methods:pm_soil_enriching_farming_building_rice_farm,NONE
applied_mineralogy,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_4,buildings:building_gold_field;buildings:building_gold_mine;buildings:building_phosphate_mine;production_methods:pm_atmospheric_engine_pump_building_gold_mine;production_methods:pm_atmospheric_engine_pump_building_phosphate_mine;production_methods:pm_condensing_engine_pump_building_gold_mine;production_methods:pm_condensing_engine_pump_building_phosphate_mine,NONE
industrial_canals,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_5,production_methods:pm_industrial_canals,NONE
industrial_ceramics,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_4,production_methods:pm_ceramics;production_methods:pm_leaded_glass,NONE
mechanized_spinning,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_3,production_methods:pm_dye_workshops,NONE
mechanized_weaving,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_9,production_methods:pm_mechanized_looms,NONE
selective_breeding,production,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_7,production_methods:pm_sheep_farms,NONE
advanced_spinning,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,LEAF_OR_ALIAS,production_methods:pm_sewing_machines,NONE
automated_flour_milling,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_5,production_methods:pm_cylinder_flour_milling,NONE
chemical_bleaching,production,era_4,era_5,MOVE_ERA,Move +1 era to align chemical bleaching with industrial alkalis and its cumulative textile chemistry package.,era_5,era_6,production_methods:pm_bone_china;production_methods:pm_chemical_bleaching_textile_mill,NONE
condensing_steam_engines,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_5,production_methods:pm_condensing_engine_pump_building_coal_mine;production_methods:pm_condensing_engine_pump_building_copper_mine;production_methods:pm_condensing_engine_pump_building_gold_mine;production_methods:pm_condensing_engine_pump_building_iron_mine;production_methods:pm_condensing_engine_pump_building_lead_mine;production_methods:pm_condensing_engine_pump_building_phosphate_mine;production_methods:pm_condensing_engine_pump_building_salt_mine;production_methods:pm_condensing_engine_pump_building_sulfur_mine,NONE
cotton_gin,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
crystal_glass,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_6,production_methods:pm_crystal_glass,NONE
deep_mine_engineering,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_5,production_methods:pm_electric_mine_ventilation;production_methods:pm_steam_mine_ventilation,NONE
precision_boring,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_4,production_methods:pm_pig_iron,NONE
puddling_and_rolling,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_5,production_methods:pm_blister_steel_process,NONE
threshing_machine,production,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_7,production_methods:pm_steam_threshers;production_methods:pm_steam_threshers_building_rice_farm,NONE
canneries,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,LEAF_OR_ALIAS,production_methods:pm_cannery;production_methods:pm_cannery_fish,NONE
coal_gasification,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,LEAF_OR_ALIAS,production_methods:pm_gas_streetlights,NONE
continuous_papermaking,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_6,production_methods:pm_sulfite_pulping,NONE
high_pressure_steam,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_6,production_methods:pm_vapor_compression_refrigeration_building_fishing_wharf;production_methods:pm_vapor_compression_refrigeration_building_livestock_ranch;production_methods:pm_vapor_compression_refrigeration_building_whaling_station;ship_modifications:ship_mod_frigate_propulsion_medium;ship_modifications:ship_mod_ship_of_the_line_propulsion_medium,NONE
improved_road_engineering,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_5,production_methods:pm_engineered_road_network,NONE
industrial_alkalis,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_5,production_methods:pm_brine_electrolysis_building_chemical_works;production_methods:pm_leblanc_alkali_process,NONE
mechanical_tools,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_5,buildings:building_pena_palace;production_methods:pm_lathe;production_methods:pm_precision_tools;production_methods:pm_saw_mills;production_methods:pm_slaughterhouses;production_methods:pm_steel,NONE
mine_safety_engineering,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
professional_civil_engineering,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_6,buildings:building_cement_works;production_methods:pm_engineered_canals;production_methods:pm_iron_frame_buildings,NONE
rotative_steam_power,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_5,buildings:building_motor_industry,NONE
systematic_field_drainage,production,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_6,STRUCTURAL_OR_MODIFIER_ONLY,NONE
fractional_distillation,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_7,buildings:building_oil_refinery;production_methods:pm_fractional_distillation_refinery;production_methods:pm_patent_stills,NONE
geological_surveying,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_9,production_methods:pm_crushing_and_screening_building_limestone_quarry;production_methods:pm_ore_concentration_building_coal_mine;production_methods:pm_ore_concentration_building_copper_mine;production_methods:pm_ore_concentration_building_gold_mine;production_methods:pm_ore_concentration_building_iron_mine;production_methods:pm_ore_concentration_building_lead_mine;production_methods:pm_ore_concentration_building_phosphate_mine;production_methods:pm_ore_concentration_building_sulfur_mine;production_methods:pm_salt_purification_building_salt_mine,NONE
hot_blast_smelting,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_7,STRUCTURAL_OR_MODIFIER_ONLY,NONE
hydraulic_cements,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_7,production_methods:pm_hydraulic_cement_process,NONE
hydraulic_turbines,production,era_6,era_6,MERGE_AND_ALIAS,Era retained only for compatibility metadata; node is no longer researchable.,ROOT_OR_ALIAS,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
industrial_paper_bleaching,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,LEAF_OR_ALIAS,production_methods:pm_bleached_paper,NONE
interchangeable_manufacture,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_8,decrees:decree_encourage_manufacturing_industry;production_methods:pm_mechanized_workshops;production_methods:pm_precision_machine_tools,NONE
mechanized_irrigation,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,LEAF_OR_ALIAS,production_methods:pm_mechanized_spice_cultivation,NONE
pressed_glass,production,era_6,era_6,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_10,production_methods:pm_pressed_glass,NONE
