TAG,Country,ADD_Count,REMOVE_Count,REVIEW_Count,Tree_Structure_Review_Count,Most_Important_Additions,Most_Important_Removals,General_Assessment
EGY,Egypt,3,5,6,2,traditional_glassmaking; traditional_furniture_making; traditional_food_processing,medical_degrees; specialized_technical_academies; applied_mineralogy; commercial_insurance_markets; coke_smelting,"L'Égypte de 1776 est riche et manufacturière au sens artisanal, mais le tier 3 projette trop de capacités industrielles, médicales et académiques associées aux réformes postérieures de Muḥammad ʿAlī."
GRE,Greece,2,8,4,2,traditional_furniture_making; traditional_food_processing,medical_degrees; standardized_field_artillery; specialized_technical_academies; applied_mineralogy; commercial_insurance_markets; periodical_print_networks,"Le setup tier 3 est nettement surévalué pour 1776. Artisanat et réseaux commerciaux sont réels, mais coke, minéralogie appliquée, diplômes médicaux, académie technique et presse périodique locale sont retirés."
HDJ,Hedjaz,1,3,3,2,traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
HER,Herat,2,1,4,3,traditional_furniture_making; traditional_food_processing,standardized_field_artillery,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
HUN,Hungary,16,0,8,3,medical_degrees; atmospheric_engine; specialized_technical_academies; political_economy; systematic_population_registration; organized_forestry,—,"Révision majeure à la hausse dans les capacités institutionnelles habsbourgeoises : médecine universitaire (1770), formation camérale, académie minière, réglementation forestière, enregistrement démographique et machine atmosphérique de Nová Baňa (1722). atmospheric_engine reste un TREE_STRUCTURE_REVIEW à cause de coke_smelting."
ION,Ionian Islands,3,6,6,2,state_dockyard_systems; scientific_fortification_siegecraft; traditional_food_processing,medical_degrees; standardized_field_artillery; specialized_technical_academies; applied_mineralogy; systematic_administrative_statistics; coke_smelting,"Les îles Ioniennes disposent d'un profil maritime et artisanal plus fort que la Grèce continentale, mais le tier 3 reste trop généreux sur industrie, administration et institutions savantes; plusieurs capacités maritimes restent en REVIEW."
IR1,Mamluk Iraq,3,1,5,2,state_dockyard_systems; traditional_furniture_making; traditional_food_processing,institutionalized_scientific_exchange,"L'Irak mamelouk conserve une base ottomane commerciale et militaire; le chantier de Bassora justifie state_dockyard_systems sectoriellement, mais institutionalized_scientific_exchange n'est pas démontré localement."
JAB,Jabal Shammar,0,3,4,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
JBB,Jabal,4,0,4,2,codified_practical_knowledge; distillation; international_relations; organized_textile_production,—,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
KAB,Kabul,2,1,4,3,traditional_furniture_making; traditional_food_processing,standardized_field_artillery,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
KAF,Kafiristan,0,3,5,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
KAL,Kalat,0,2,5,2,—,standardized_field_artillery; systematic_administrative_statistics,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
KAN,Kandahar,2,1,4,3,traditional_furniture_making; traditional_food_processing,standardized_field_artillery,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
KAT,Kathiri,0,3,5,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
KBB,Kathiri,3,0,5,2,distillation; international_relations; organized_textile_production,—,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
KHI,Khiva,3,4,3,1,traditional_glassmaking; traditional_furniture_making; traditional_food_processing,standardized_field_artillery; regulated_small_arms; systematic_administrative_statistics; light_infantry_tactics,"Khiva est réévaluée vers davantage d'artisanat traditionnel mais moins de capacités militaires régulières : armes réglementaires, infanterie légère standardisée et artillerie de campagne ne sont pas établies en 1776."
KOK,Kokand,3,4,3,1,traditional_glassmaking; traditional_furniture_making; traditional_food_processing,standardized_field_artillery; regulated_small_arms; systematic_administrative_statistics; light_infantry_tactics,"Kokand dispose d'une base artisanale et commerciale, mais la professionnalisation militaire associée à son expansion est surtout postérieure à 1799; les nœuds de tier 4 militaires sont donc retirés."
KUN,Kunduz,0,3,4,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
KZH,Kishi Zhuz,0,5,4,1,—,standardized_field_artillery; regulated_small_arms; systematic_administrative_statistics; light_infantry_tactics; shaft_mining,"Société pastorale/commerciale à capacités propres; le second passage retire les faux standards militaires et administratifs hérités du tier 4 tout en conservant ou réexaminant textile, élevage et savoirs pratiques selon les preuves."
LAH,Lahej,1,3,4,2,traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
MAH,Mahra,0,3,5,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
MAI,Maimana,0,3,4,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
MAK,Makran,0,2,5,2,—,standardized_field_artillery; systematic_administrative_statistics,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
MBB,Mahra,3,0,5,2,distillation; international_relations; organized_textile_production,—,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
MOL,Moldavia,2,1,4,2,traditional_furniture_making; traditional_food_processing,standardized_field_artillery,"Le second passage distingue institutions locales, accès à l'appareil ottoman/habsbourgeois et capacités réellement territoriales. Les artisanats traditionnels sont mieux reconnus tandis que plusieurs standards militaires/administratifs restent en REVIEW ou sont retirés."
MON,Montenegro,1,2,5,2,traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics,"Le second passage distingue institutions locales, accès à l'appareil ottoman/habsbourgeois et capacités réellement territoriales. Les artisanats traditionnels sont mieux reconnus tandis que plusieurs standards militaires/administratifs restent en REVIEW ou sont retirés."
NBB,Nejd,2,0,3,2,codified_practical_knowledge; organized_textile_production,—,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
NEJ,Nejd,2,2,3,2,distillation; international_relations,systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
OMA,Oman,3,1,4,2,state_dockyard_systems; traditional_furniture_making; traditional_food_processing,standardized_field_artillery,"Oman est une puissance maritime régionale réelle avec armes à feu et savoir-faire naval; state_dockyard_systems est retenu, mais la standardisation de l'artillerie et plusieurs institutions administratives restent limitées."
OZH,Orta Zhuz,0,5,4,1,—,standardized_field_artillery; regulated_small_arms; systematic_administrative_statistics; light_infantry_tactics; shaft_mining,"Société pastorale/commerciale à capacités propres; le second passage retire les faux standards militaires et administratifs hérités du tier 4 tout en conservant ou réexaminant textile, élevage et savoirs pratiques selon les preuves."
PER,Persia,4,2,4,3,traditional_papermaking; traditional_glassmaking; traditional_furniture_making; traditional_food_processing,state_dockyard_systems; standardized_field_artillery,"La Perse zand conserve armes à feu, artisanats et administration, mais le système naval de Nāder Shah n'est plus un dockyard d'État fonctionnel en 1776 et l'artillerie de campagne standardisée est surévaluée. Le second passage renforce surtout papier/verre/meuble/alimentation."
SER,Serbia,2,2,4,2,traditional_furniture_making; traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics,"Le second passage distingue institutions locales, accès à l'appareil ottoman/habsbourgeois et capacités réellement territoriales. Les artisanats traditionnels sont mieux reconnus tandis que plusieurs standards militaires/administratifs restent en REVIEW ou sont retirés."
TRM,Turkmenia,0,5,4,1,—,standardized_field_artillery; regulated_small_arms; systematic_administrative_statistics; light_infantry_tactics; shaft_mining,"Société pastorale/commerciale à capacités propres; le second passage retire les faux standards militaires et administratifs hérités du tier 4 tout en conservant ou réexaminant textile, élevage et savoirs pratiques selon les preuves."
TRS,Transylvania,7,0,5,1,permanent_engineer_services; scientific_fortification_siegecraft; armament_standardization_inspection; applied_mineralogy; traditional_glassmaking; traditional_furniture_making,—,"La Transylvanie bénéficie de l'appareil militaire, minier et administratif habsbourgeois; plusieurs capacités sont établies ou sectorielles, tandis que cadastre et codification restent à réexaminer."
TUR,Turkey,9,0,6,3,institutionalized_public_credit; medical_degrees; state_dockyard_systems; scientific_naval_architecture; scientific_fortification_siegecraft; traditional_glassmaking,—,"Capacités impériales très asymétriques mais réelles : arsenaux, artillerie, crédit public (eshām), formation médicale et école navale de 1775 doivent être reconnus sans projeter les réformes du XIXe siècle. Plusieurs chaînes de prérequis restent structurellement inadéquates."
UZH,Uly Zhuz,0,5,4,1,—,standardized_field_artillery; regulated_small_arms; systematic_administrative_statistics; light_infantry_tactics; shaft_mining,"Société pastorale/commerciale à capacités propres; le second passage retire les faux standards militaires et administratifs hérités du tier 4 tout en conservant ou réexaminant textile, élevage et savoirs pratiques selon les preuves."
WAL,Wallachia,2,2,4,2,traditional_furniture_making; traditional_food_processing,standardized_field_artillery; selective_breeding,"Le second passage distingue institutions locales, accès à l'appareil ottoman/habsbourgeois et capacités réellement territoriales. Les artisanats traditionnels sont mieux reconnus tandis que plusieurs standards militaires/administratifs restent en REVIEW ou sont retirés."
ZAI,Azal,1,3,4,2,traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
