TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Synthesis_Action,Synthesis_Note,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2,Research_Source
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,organized_textile_production,TIER,KEEP,HIGH,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,—,"production, era_1, classe A; déblocages: PM:pm_craftsman_sewing, bâtiment:building_textile_mill.","Production textile artisanale/proto-industrielle attestée ou plausible à l’échelle des villes, oasis ou foyers domestiques; ne pas confondre avec filature mécanisée.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,regulated_small_arms,TIER,REVIEW,MEDIUM,SECTORAL,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,Le parent de fortification est absent; ne pas l’ajouter. Le nœud est plus fort que la simple diffusion de mousquets.,"military, era_2, classe A; déblocages: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry.","Les matchlocks sont largement diffusés dans l’Arabie du XVIIIe siècle, parfois avec fabrication/réparation locale, mais `regulated_small_arms` débloque aussi une industrie d’armes et une fonderie d’artillerie.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,shaft_mining,TIER,REMOVE,MEDIUM,ABSENT,REMOVE,Regional recommendation accepted.,—,"production, era_1, classe A; déblocages: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry.",Aucune preuve suffisante d’un système local de puits de mine correspondant au large déblocage gameplay; ne pas déduire cette capacité d’un tier générique.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,standardized_field_artillery,TIER,REMOVE,HIGH,ABSENT,REMOVE,Regional recommendation accepted.,L’enfant `standardized_field_artillery` est trop institutionnalisé pour la capacité locale attestée; ne pas confondre armes à feu ou petites pièces avec artillerie de campagne standardisée.,"military, era_3, classe B; déblocages: PM:pm_cannons.","Les forces locales reposent surtout sur milices, cavalerie, mousquets ou artillerie occasionnelle; aucune base suffisante pour le PM de canons standardisés.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,systematic_administrative_statistics,TIER,REMOVE,MEDIUM,ABSENT,REMOVE,Regional recommendation accepted.,—,"society, era_2, classe A; déblocages: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance.",Le bundle générique projette une bureaucratie statistique systématique que les sources ne montrent pas à l’échelle de ce TAG en 1776.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,urbanization,TIER,KEEP,HIGH,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,Nœud/alias de compatibilité; ne pas l’interpréter comme une urbanisation industrielle du XIXe siècle.,"society, era_7, classe E; déblocages: bâtiment:building_construction_sector, bâtiment:building_urban_center.",Le nœud est explicitement signalé comme exception de compatibilité dans le CSV; le conserver évite de confondre architecture de l’arbre et capacité historique.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,Missing/partial parent chain may include institutionalized_scientific_exchange and periodical_print_networks. Treat as tree abstraction where local knowledge transmission followed different institutions; do not auto-grant parents.,"No major direct unlock; interpret node semantically, not just by name.","Des corpus administratifs, juridiques, techniques ou savants codifiés existent. Le nœud est une abstraction; ses prérequis de l'arbre ne décrivent pas littéralement les voies locales de transmission du savoir.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,distillation,TIER,KEEP,MEDIUM,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,,"Unlocks: PM:pm_pot_stills, PM:pm_spiced_food_preparations",La distillation et les préparations alimentaires associées sont des techniques artisanales anciennes; aucun élément ne suggère que le nœud doive être retiré en 1776.,https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,improved_husbandry,TIER,KEEP,MEDIUM,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,,"Unlocks: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry",Les systèmes agricoles/élevages locaux sont pleinement établis. Le nœud sert ici de socle agricole abstrait et ne doit pas être interprété comme adoption des techniques européennes du XVIIIe siècle.,https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,international_relations,TIER,KEEP,HIGH,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,,"No major direct unlock; interpret node semantically, not just by name.","Réseaux tributaires, diplomatiques ou commerciaux inter-polités sont structurants dans cette région; le nœud est justifié sans supposer un ministère des affaires étrangères moderne.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,light_infantry_tactics,TIER,REVIEW,MEDIUM,SECTORAL,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,Prerequisites represented in current/recommended setup.,Modifier: yes: unit_experience_gain_mult,"Le combat à pied et l'usage d'armes à feu sont établis, mais la correspondance exacte avec un nœud 'Light Infantry Tactics' institutionnalisé reste incertaine.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,organized_textile_production,TIER,KEEP,MEDIUM,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,,"Unlocks: PM:pm_craftsman_sewing, bâtiment:building_textile_mill",Le tissage et la production textile artisanale/proto-industrielle sont établis dans la région; le nœud n'implique pas la mécanisation britannique.,https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,regulated_small_arms,TIER,REVIEW,MEDIUM,SECTORAL,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,Missing parent(s): scientific_fortification_siegecraft. Do not add automatically; resolve by historical justification or tree abstraction.,"Unlocks: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry","Les armes à feu sont bien connues en Asie du Sud-Est, parfois produites localement, mais le nœud représente une capacité organisée d'armes/fonderie. Pour ce TAG, les preuves disponibles sont insuffisantes pour conclure à une implantation générale en 1776.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,shaft_mining,TIER,REVIEW,MEDIUM,SECTORAL,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,,"Unlocks: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry","Des extractions minières existent dans plusieurs parties de la région, mais le nœud débloque simultanément charbon, cuivre, fer, plomb, sel, soufre, etc. Les preuves disponibles ne suffisent pas à transformer une extraction locale/alluviale en capacité générale de shaft mining.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,standardized_field_artillery,TIER,REVIEW,MEDIUM,SECTORAL,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,Prerequisites represented in current/recommended setup.,Unlocks: PM:pm_cannons,"L'artillerie est historiquement pertinente, parfois importante, mais l'adjectif 'standardized' et le PM de canons demandent une preuve plus forte que la simple présence de pièces.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,systematic_administrative_statistics,TIER,KEEP,MEDIUM,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,,"Unlocks: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance | Modifier: yes: country_institution_home_affairs_max_investment_add, state_incorporation_speed_mult, state_tax_capacity_add","Les mécanismes fiscaux et administratifs de la cour/polité rendent le nœud plausible comme abstraction, avec une couverture souvent inégale.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACE,Aceh,Southeast Asia,Sumatra — Aceh,tier_4,REVIEW_TIER,,urbanization,TIER,KEEP,MEDIUM,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,,"Unlocks: bâtiment:building_construction_sector, bâtiment:building_urban_center","La présence de villes de cour, ports ou centres marchands justifie le socle urbain; le nœud est une abstraction de construction/urban center, pas un taux d'urbanisation européen.",https://www.cambridge.org/core/books/asian-military-revolution/southeast-asia/223876F2B9DF02FF675FD99275E04957,https://assets.cambridge.org/97805216/63700/excerpt/9780521663700_excerpt.pdf,TECH_START_1776_EAST_ASIA_SE_ASIA_MATRIX.csv
ACH,Acholi,Africa,Grands Lacs et plateau est-africain,tier_7,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,ABSENT,ADD,MEDIUM,ESTABLISHED,ADD,Regional recommendation accepted.,—,"bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium…",Le tier 7 vide efface une capacité agricole et/ou pastorale locale attestée à l’échelle de la sous-région; ADD restaure un socle de production sans attribuer une industrialisation européenne.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006,TECH_START_1776_AFRICA_MATRIX.csv
ADG,Kel Adagh,Africa,Sahel et Soudan occidental,tier_6,REVIEW_TIER,,improved_husbandry,TIER,KEEP,MEDIUM,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,—,"bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium…","Agriculture et/ou élevage sont structurants dans ce territoire en 1776; le nœud sert ici de socle agricole et pastoral, sans supposer une « révolution agricole » européenne.",https://www.metmuseum.org/fr/essays/the-age-of-iron-in-west-africa,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/import-of-firearms-into-west-africa-in-the-eighteenth-century/84E8BF080DACF066CC957D56271DC721,TECH_START_1776_AFRICA_MATRIX.csv
