record_id,subsection,tag,polity,formation,hq_region_or_area,reference_date,current_general,current_repo_status,candidate_general,candidate_assessment,historical_birth_date,birth_date_precision,historical_birth_place,birth_polity,mapped_v3_birth_state,age_on_1776_01_01,historical_death_date,death_date_precision,religion,culture,rank_or_title_1776,exact_military_function,office_start,office_end,theatre,mapping_class,decision,confidence,evidence_at_reference_date,structure_caveat,dna_template_status,source_1,source_2,source_3,notes
GEN1776-184,F2 SUB-SAHARAN AFRICA,ASH,Asante,cleanup2d3b_ash_land_1,West Africa / Gold Coast,1776-01-01,procedural (template = default),PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,Osei Kwadwo (examined),"Do not map the Asantehene alone to the formation. Asante warfare operated through multiple chiefs, stools, divisions/wings and contingents.",,UNKNOWN,,,,,,UNKNOWN,Akan/Asante religious tradition,Akan/Asante,Asantehene,,1764,1777,West Africa / Gold Coast,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,One character would misrepresent a documented multi-chief high-command system.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.persee.fr/doc/cea_0008-0055_1976_num_16_61_2905,Journal of African History scholarship on Asante military structures.,,
GEN1776-185,F2 SUB-SAHARAN AFRICA,BEN,Kingdom of Benin,cleanup2d3b_ben_land_1,West Africa / Benin,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Oba Akengbuda (examined),"REJECT AS GENERAL. The oba is associated with military policy/defense, but no source established him as the unique field commander on 1776-01-01.",,UNKNOWN,,,,,,UNKNOWN,Edo royal/religious tradition,Edo,Oba,,1750,1804,West Africa / Benin,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Royal authority and military policy are not the same as formation command.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,University of Texas African history material on Akengbuda and military production/defense.,,,
GEN1776-186,F2 SUB-SAHARAN AFRICA,BGI,Bagirmi,cleanup2d3b_bgi_land_1,Equatorial Africa / Chad,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Muhammad al-Amin (examined),"REJECT AS GENERAL. Incumbent sultan under whom Bagirmi reasserted independence and expanded raiding, but no direct personal formation command was established.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Bagirmi/Barma,Sultan / Mbang,,1751,1785,Equatorial Africa / Chad,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Expansion under a ruler is not proof that the ruler personally commands the represented formation.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://islamansiklopedisi.org.tr/bagirmi,,,
GEN1776-187,F2 SUB-SAHARAN AFRICA,BNY,Bunyoro,cleanup2d3b_bny_land_1,East Africa / Great Lakes,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual commander can be fixed to 1776 with sufficient confidence; early Great Lakes chronologies depend heavily on later oral dynastic traditions.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Great Lakes,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not fabricate exact reign or command dates from retrospective king lists.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Great Lakes oral-history and chronology scholarship (including Vansina/Newbury source-critical work).,,,
GEN1776-188,F2 SUB-SAHARAN AFRICA,BOR,Bornu,cleanup2d3b_bor_land_1,West Africa / Lake Chad,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Ali ibn Hamdun (examined),"REJECT AS FORMATION GENERAL. He is associated with fighting Tuareg attacks during a long reign, but no source fixes a unique personal formation command specifically at 1776-01-01.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Kanuri/Bornu,Mai of Bornu,,c.1750,c.1791,West Africa / Lake Chad,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,MEDIUM_HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Long-reign military activity is insufficient for a precise setup mapping.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Specialized summaries of 18th-century Bornu; stronger primary/academic confirmation required before implementation.,,,
GEN1776-189,F2 SUB-SAHARAN AFRICA,BRD,Burundi,cleanup2d3b_brd_land_1,East Africa / Great Lakes,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual commander can be fixed to 1776 with sufficient confidence; early Great Lakes chronologies depend heavily on later oral dynastic traditions.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Great Lakes,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not fabricate exact reign or command dates from retrospective king lists.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Great Lakes oral-history and chronology scholarship (including Vansina/Newbury source-critical work).,,,
GEN1776-190,F2 SUB-SAHARAN AFRICA,BRG,Borgu,cleanup2d3b_brg_land_1,West Africa / Borgu,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,,Borgu is best treated as a segmentary political field of multiple kingdoms/chiefdoms rather than a unitary national command.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,West Africa / Borgu,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,A single “Borgu general” would be structurally misleading.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://dalspace.library.dal.ca/items/e9fe3da2-31a6-4ad1-a243-87f43b844905/full,,,
GEN1776-191,F2 SUB-SAHARAN AFRICA,BST,Basutoland / proto-Basotho polities,cleanup2d3b_bst_land_1,Southern Africa,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,,The centralized Basotho polity associated with Moshoeshoe belongs to the 19th century; a 1776 “Basutoland general” would be anachronistic.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Southern Africa,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Represent chiefdom forces procedurally; do not back-project the later Basotho nation-state.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Oxford Research Encyclopedia / southern African state-formation scholarship on the 19th-century emergence of Basotho political unity.,,,
GEN1776-192,F2 SUB-SAHARAN AFRICA,BUG,Buganda,cleanup2d3b_bug_land_1,East Africa / Great Lakes,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual commander can be fixed to 1776 with sufficient confidence; early Great Lakes chronologies depend heavily on later oral dynastic traditions.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Great Lakes,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not fabricate exact reign or command dates from retrospective king lists.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Great Lakes oral-history and chronology scholarship (including Vansina/Newbury source-critical work).,,,
GEN1776-193,F2 SUB-SAHARAN AFRICA,DAH,Dahomey,cleanup2d3b_dah_land_1,West Africa / Dahomey,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Kpengla (Yansunu),"REJECT AS UNIQUE GENERAL. Kpengla was king from 17 May 1774 and his reign was warlike, but Dahomean campaigning used a structured set of military officers/divisions; no evidence makes him the unique formation commander on 1776-01-01.",c.1735,APPROX_YEAR,Dahomey (exact locality unresolved),Kingdom of Dahomey,,about 40-41,1789-04-17,DAY,Dahomean/Vodun royal religious context; personal affiliation not oversimplified,Fon,King of Dahomey,,1774-05-17,1789-04-17,West Africa / Dahomey,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,A warlike sovereign is not automatically the correct Victoria 3 general.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.editions-harmattan.fr/catalogue/livre/biographie-du-roi-kpengla-du-danhome-1774-1789/13987,Academic/encyclopedic studies of Dahomean military organization and field officers.,,
GEN1776-194,F2 SUB-SAHARAN AFRICA,ETH,Ethiopia / Gondarine-Begemder sphere,cleanup2d3b_eth_land_1,East Africa / Gondar-Amhara,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Dejazmach Wand Bewossen (Wänd Bäwäsän),"ADOPT as a regional warlord/commander, not as a “national Ethiopian general”.",,UNKNOWN,,,,,1777-12-10,DAY,Ethiopian Orthodox Christianity (high-confidence social/political context; personal profession not separately documented here),Amhara/Ethiopian highland nobility; V3 mapping to verify,Dejazmach; governor/balabbat of Begemder,Regional warlord commanding substantial Begemder/Lasta forces; principal commander in the Sarbakusa conflict.,1770,1777,"Begemder, Gondar, Lake Tana / northern Ethiopian highlands",THEATRE_COMMAND,IMPLEMENT_HISTORICAL,HIGH,James Bruce’s near-contemporary account explicitly places “Powussen of … Begemder” at the head of forces raised in the region. Later specialist reference work identifies Wand Bewossen as a prominent warlord.,Ethiopia was in the Zemene Mesafint. The mapping must remain regional/factional and must not imply centralized imperial command.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://en.wikisource.org/wiki/Travels_to_Discover_the_Source_of_the_Nile%3A_in_the_Years_1768%2C_1769%2C_1770%2C_1771%2C_1772%2C_and_1773%2FVolume_4%2FBk7Ch5,https://en.sewasew.com/p/wa-nd-ba-wa-sa-n-%28%E1%8B%88%E1%8A%95%E1%8B%B5-%E1%89%A0%E1%8B%88%E1%88%B0%E1%8A%95%29,Encyclopaedia Aethiopica entry on Wänd Bäwäsän.,
GEN1776-195,F2 SUB-SAHARAN AFRICA,FTJ,Futa Jallon,cleanup2d3b_ftj_land_1,West Africa / Futa Jallon,1776-01-01,procedural (template = default),PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,Ibrahima Sori Mawdo,"ADOPT cautiously. Across conflicting constitutional chronologies, he is consistently a major war chief/supra-provincial military leader active before and during 1776.",,UNKNOWN,,,,,1784 (common scholarly chronology; traditions vary),YEAR_DISPUTED,Sunni Islam,Fulbe/Fulani,War leader / Almamy or acting supreme leader depending chronology,Supra-provincial war chief coordinating forces of the Futa Jallon confederation.,at least by 1770 as major war leader in one strong chronology,1784 (common scholarly chronology),Futa Jallon and neighboring campaigns,COLLECTIVE_HIGH_COMMAND,IMPLEMENT_HISTORICAL,HIGH,Independent traditions and modern scholarship agree on Sori Mawdo’s military leadership before/during 1776 even when accession dates differ. TDV notes that in 1776 he adopted a title explicitly framing obedience to him as commander/head of state.,"Futa Jallon was a confederation of nine provinces with a council and provincial chiefs. Sori is the best documented coordinating war leader, not a European-style national general.",NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://islamansiklopedisi.org.tr/futa-calon,https://www.webfuuta.site/bibliotheque/aisow/crfj/chronoFJ.html,https://books.openedition.org/pur/191878?lang=fr,
GEN1776-196,F2 SUB-SAHARAN AFRICA,FTR,Futa Toro,cleanup2d3b_ftr_land_1,West Africa / Senegal River,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,Suleyman Baal / Abdul Qadir Kan (examined),"REJECT_FOR_REFERENCE_DATE. The Torodbe revolution culminates during 1776; chronologies vary around 1775/1776, so the new command structure cannot safely be placed before 1776-01-01.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Haalpulaar / Fulbe-Torodbe,,,,,West Africa / Senegal River,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,The revolution is explicitly dated to 1776 in specialist literature; later-in-1776 victory/inauguration must not be backdated to January 1.,Strict date discipline overrides the temptation to use famous 1776 leaders.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.africabib.org/rec.php?RID=119546809,https://books.openedition.org/editionsmsh/58931?lang=fr,,
GEN1776-197,F2 SUB-SAHARAN AFRICA,GLD,Geledi Sultanate,cleanup2d3b_gld_land_1,East Africa / southern Somalia,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Mahamud Ibrahim (examined),REJECT AS UNIQUE GENERAL. Ruler chronology is not strong enough and Geledi warfare operated through lineage/community structures and offices such as malaakh/garaad.,,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Somali / Digil-Mirifle context,,,,,East Africa / southern Somalia,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Use procedural unless a date-safe holder of a genuine field command is found.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://discovery.ucl.ac.uk/id/eprint/1317929/,,,
GEN1776-198,F2 SUB-SAHARAN AFRICA,HAU,Gobir,cleanup2d3b_hau_land_1,West Africa / Hausaland,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,"Babari (examined, too early)","REJECT_FOR_REFERENCE_DATE. Babari’s relevant reign/campaign chronology ends before 1776, commonly in 1769; no secure successor field commander was identified.",,UNKNOWN,,,,,,UNKNOWN,Hausa/Islamic court context,Hausa/Gobir,,,,,West Africa / Hausaland,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not retain a famous earlier war ruler into 1776 for recognizability.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Academic studies of Gobir warfare and 18th-century Hausa chronology.,,,
GEN1776-199,F2 SUB-SAHARAN AFRICA,ISQ,Isaaq,cleanup2d3b_isq_land_1,East Africa / Somaliland,1776-01-01,procedural (template = default),PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,,Retain collective classification. Northern Somali pastoral politics were strongly segmentary and lineage-based; no unitary 1776 formation commander is defensible.,,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Somali / Isaaq,,Clan/lineage military leadership rather than centralized generalship.,,,East Africa / Somaliland,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,A single “Isaaq general” would impose a centralized institution unsupported by the political structure.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,"I. M. Lewis, A Pastoral Democracy (International African Institute).",Yale eHRAF evaluation/indexing of Lewis’s Somali work.,,
GEN1776-200,F2 SUB-SAHARAN AFRICA,KON,Kingdom of Kongo,cleanup2d3b_kon_land_1,Equatorial Africa / Kongo,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,"No unique 1776 commander identified. Eighteenth-century Kongo combined elective kingship, great lineages, provincial autonomy and factional military power.",,UNKNOWN,,,,,,UNKNOWN,,,,,,,Equatorial Africa / Kongo,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,A king/general abstraction would conceal provincial and lineage-based command.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://books.openedition.org/pur/191878?lang=fr,https://books.openedition.org/editionsehess/52083,,
GEN1776-201,F2 SUB-SAHARAN AFRICA,KRG,Karagwe,cleanup2d3b_krg_land_1,East Africa / Great Lakes,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual commander can be fixed to 1776 with sufficient confidence; early Great Lakes chronologies depend heavily on later oral dynastic traditions.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Great Lakes,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not fabricate exact reign or command dates from retrospective king lists.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Great Lakes oral-history and chronology scholarship (including Vansina/Newbury source-critical work).,,,
GEN1776-202,F2 SUB-SAHARAN AFRICA,KRT,Kaarta,cleanup2d3b_krt_land_1,West Africa / western Mali,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Sira Bo Kulibali (Coulibaly),ADOPT as a sovereign-war leader. Specialized encyclopedic histories place him in power c.1760/1761–1780 and connect his reign with the restoration of Kaarta’s independence after Segu domination.,,UNKNOWN,,,,,c.1780,APPROX_YEAR,Bamana traditional religion / non-Islamic dynastic context; personal practice not directly documented,Bamana/Bambara (Massassi),King / faama of Kaarta,Sovereign-war leader of the Massassi restoration; military reconquest is integral to his political authority.,c.1760-1761,c.1780,Kaarta / western Middle Niger,HIGHER_COMMAND_ABSTRACTION,IMPLEMENT_HISTORICAL,HIGH,Universalis and Treccani place Sira Bo in power across the reference date and directly connect his reign to restored Kaarta independence.,Use indigenous sovereign-war-leader logic; do not invent a European rank.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.universalis.fr/encyclopedie/kaarta/,https://www.treccani.it/enciclopedia/kaarta_%28Dizionario-di-Storia%29/,"UNESCO General History of Africa, volume on the 16th-18th centuries (Kaarta/Segu discussion).",
