scope_group,country_tag,general_slot,formation_id,formation_name,hq_region,formation_state_basis,current_character,current_status,candidate_full_name,decision,decision_class,confidence,admissible_1776_01_01,birth_date,birth_date_precision,birth_place_historical,birth_polity_at_birth,v3_birth_state,v3_birth_state_confidence,death_date,death_date_precision,rank_1776_01_01,military_office_1776_01_01,office_start,office_end,command_type,formation_theatre_mapping,mapping_justification,culture_v3,culture_confidence,religion,religion_confidence,social_origin,ig_mapping_suggested,ideology_mapping_suggested,traits_suggested,portrait_status,portrait_reference,dna_existing,dna_reference,template_existing,template_reference,repo_character_existing,repo_event_hook,source_1,source_2,source_3,source_notes,decision_notes,research_only_no_implementation
HABSBURG_COMPONENT,HUN,GEN1776-013,cleanup2d4_formation_013,generalkommando_ofen,region_balkans,STATE_BANAT,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,HABSBURG_TERRITORIAL_COMMAND_NOT_VERIFIED,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Hadik's earlier Ofen/Buda command predates the cutoff office relevant here; by 1776 he was Hofkriegsrat president. No separate Jan-1776 Ofen command holder was verified robustly enough.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,Deutsche Biographie — Andreas Hadik von Futak — https://www.deutsche-biographie.de/gnd129786578.html,,,,YES
HABSBURG_COMPONENT,TRS,GEN1776-014,cleanup2d4_formation_014,generalkommando_hermannstadt,region_balkans,STATE_NORTHERN_TRANSYLVANIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,HABSBURG_TERRITORIAL_COMMAND_NOT_VERIFIED,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Do not substitute the civil governor of Transylvania for an army general. A Jan-1776 Hermannstadt Generalkommando holder was not verified to the required standard.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
HABSBURG_COMPONENT,GAL,GEN1776-072,cleanup2d4_formation_072,cleanup2d3b_gal_land_1,region_eastern_europe,STATE_EAST_GALICIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,HABSBURG_TERRITORIAL_COMMAND_NOT_VERIFIED,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Šišković is already the documented 1776 Galician/Lemberg commander and is assigned to the explicit Lemberg formation; no second independent Galician general is justified.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,Hrvatska enciklopedija — Josip Šišković — https://www.enciklopedija.hr/clanak/siskovic-josip,,,Avoid duplicate use of the same historical commander across two formations.,YES
GERMAN_HRE,BAD,GEN1776-031,cleanup2d4_formation_031,Groherzoglich_Badische_Armee,region_central_europe,STATE_BADEN,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,WUR,GEN1776-032,cleanup2d4_formation_032,Kniglich_Wrttembergische_Armee,region_central_europe,STATE_WURTTEMBERG,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,SAX,GEN1776-033,cleanup2d4_formation_033,Kniglich_Schsische_Armee,region_central_europe,STATE_SAXONY,PROCEDURAL,PROCEDURAL,Heinrich Christoph Graf von Baudissin,ACCEPT_REPLACE_PROCEDURAL,TERRITORIAL_COMMAND_ABSTRACTION,HIGH,YES,1709-07-09,DAY,Schleswig,Duchy of Schleswig within the Danish composite monarchy,STATE_SCHLESWIG_HOLSTEIN,HIGH,1786-07-04,DAY,General der Infanterie / senior general; rank title varies between catalogues,"Military governor of Dresden, Neustadt and Königstein",1761; Saxon archival series identifies him as governor by 1770,1786,TERRITORIAL_FORTRESS_COMMAND,Saxony / Dresden-Königstein,A current Saxon general with a documented territorial/fortress command covering the political-military centre of the electorate.,north_german,HIGH,Lutheran/Protestant,MEDIUM-HIGH,German-Danish high nobility,ig_armed_forces,royalist/traditionalist (gameplay inference only),defensive/fortress commander; experienced commander (gameplay inference),CONTEMPORARY_PORTRAIT_AVAILABLE,Deutsche Digitale Bibliothek — Heinrich Christoph Graf von Baudissin portrait/biographical record — https://www.deutsche-digitale-bibliothek.de/item/A3AN2XABQCQA3KJ6MIG3IOEJDYSUILBX,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Digitale Bibliothek — Heinrich Christoph Graf von Baudissin portrait/biographical record — https://www.deutsche-digitale-bibliothek.de/item/A3AN2XABQCQA3KJ6MIG3IOEJDYSUILBX,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,Death date is not fully harmonized across biographical catalogues (1786-06-04 vs 1786-07-04 appears in different records); preserve the catalogue-level conflict until primary confirmation.,,YES
GERMAN_HRE,BAV,GEN1776-034,cleanup2d4_formation_034,I_ArmeeKorps,region_central_europe,STATE_BAVARIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,HEK,GEN1776-035,cleanup2d4_formation_035,Kurfrstlich_Hessische_Armee,region_central_europe,STATE_HESSE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,HES,GEN1776-036,cleanup2d4_formation_036,Groherzoglich_Hessische_Armee,region_central_europe,STATE_HESSE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,NAS,GEN1776-037,cleanup2d4_formation_037,Herzoglich_Nassauische_Armee,region_central_europe,STATE_HESSE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,HAN,GEN1776-038,cleanup2d4_formation_038,Kniglich_Hannoversche_Armee,region_central_europe,STATE_BRUNSWICK + HANNOVER/ELBE,PROCEDURAL,PROCEDURAL,August Friedrich Freiherr von Spörcken,ACCEPT_REPLACE_PROCEDURAL,DIRECT_HIGH_COMMAND,HIGH,YES,1698-08-28,DAY,Exact birthplace not pinned down in the consulted biography; family/service context in the Lüneburg-Harburg/Hanoverian sphere,Electorate of Brunswick-Lüneburg (if Hanoverian family-location inference is confirmed),STATE_HANNOVER,LOW-MEDIUM — do not code until exact birthplace is verified,1776-06-13,DAY,Feldmarschall,Commanding General of the Hanoverian/German troops of George III,before 1776,1776-06-13,DIRECT_HIGH_COMMAND,Hanoverian army as a whole,He was still the Hanoverian commanding general on 1776-01-01 and died only in June 1776. A successor appointed later in 1776 is therefore inadmissible at game start.,north_german,HIGH,Evangelical/Protestant,HIGH,Hanoverian noble/military family,ig_armed_forces,royalist (gameplay inference only),experienced field commander / organizer (gameplay inference),CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — August Friedrich von Spörcken — https://www.deutsche-biographie.de/gnd117485225.html,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,Source describes death in the night of 12/13 June 1776; encoded as 1776-06-13 with note.,,YES
