phase,reference_date,gen_id,country_tag,polity_1776,formation_key,current_repo_status,recommendation,candidate_name,native_or_original_name,alternate_names_transliterations,birth_date,birth_date_precision,age_on_1776_01_01,birth_date_notes,birth_place,birth_polity,birth_state_v3,birth_state_v3_confidence,death_date,death_place,military_function_1776,function_dates,command_1776,campaign_or_activity_1776_01_01,culture_historical,culture_v3_candidate,religion,social_origin,traits_historically_argumentable,portrait_status,portrait_description,existing_dna_or_template,overall_confidence,decision_reason,source_1,source_2,source_3
CLEANUP-2D-5K,1776-01-01,GEN1776-163,CHP,Kingdom of Champasak,cleanup2d3b_chp_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,No separately attested 1776 field commander could be tied confidently to the current formation. Do not turn the ruler of Champasak into a general solely because of political authority.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-164,CMI,Chiang Mai / Lanna tag in current architecture,cleanup2d3b_cmi_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,Kawila,,Kawila; Prince Kawila; Phraya Kawila,1742,YEAR_ONLY,~33,,Lampang / Lanna,Lanna under Burmese suzerainty,STATE_CHIANG_MAI (regional approximation; birthplace is Lampang),MEDIUM,1816,,"Lanna prince/commander associated with Lampang resistance and Siamese-aligned forces, not yet ruler/commander of Chiang Mai.",,,Northern Siam/Lanna warfare aftermath; Chiang Mai itself had been destabilized/abandoned rather than functioning as a normal centralized military state.,Northern Thai / Lanna,Thai/Lao-derived Lanna mapping — verify exact key,Theravada Buddhist,Lampang princely family (Chao Chet Ton lineage),"experienced commander [later strongly attested], organizer [later strongly attested]; not recommended for this formation/date",RETROSPECTIVE_ROYAL/PRINCELY_DEPICTIONS_ONLY_FOR_THIS_PHASE,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,"REJECT_FOR_OFFICE_DATE_AND_POLITY_SCOPE: Kawila is a major historical military figure, but Chiang Mai University scholarship places his Chiang Mai appointment in 1782 and his earlier power base in Lampang/Lamphun. He must not be retroactively made commander of a Chiang Mai formation on 1776-01-01.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://cmuj.cmu.ac.th/asr/journal_de.php?id=64,
CLEANUP-2D-5K,1776-01-01,GEN1776-165,JMB,Sultanate of Jambi,cleanup2d3b_jmb_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,No separately attested formation commander with exact-reference-date command and sufficient personal reconstruction was found. Preserve structural rework rather than using the sultan.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-166,JOH,Johor-Riau-Lingga polity,cleanup2d3b_joh_land_1,PROCEDURAL_ALLOWED,IMPLEMENT_NAMED_HISTORICAL_GENERAL,Raja Haji Fisabilillah,Raja Haji Fisabilillah,Raja Haji; Raja Haji Fisabillillah; Raja Haji Marhum Teluk Ketapang; Pangeran Sutawijaya (Jambi title),1725-1727,CONFLICTING_APPROXIMATE_YEAR_RANGE,~48-50,Indonesian Ministry of Culture page gives 1725; IKPNI national-hero profile gives approximately 1727. Preserve as an uncertain range rather than fabricate a day/month.,Kota Lama / Hulu Riau (Riau archipelago),Johor-Riau realm,STATE_MALAYA (approximate current-mod mapping; verify Riau island province assignment before implementation),MEDIUM,1784-06-18,"Teluk Ketapang, near Malacca","Engku Kelana / assistant to the Yang Dipertuan Muda, with responsibility for security and territorial integrity; experienced military expedition leader.",Engku Kelana for decades before elevation to Yang Dipertuan Muda IV in 1777.,Mobile/security forces of the Riau-Johor political sphere; prior operations in Selangor and regional expeditions.,No single battle was proven to be underway on exactly 1 Jan 1776; he was actively serving as Engku Kelana with security and regional expedition responsibilities.,Bugis-Riau elite; paternal Bugis YDM dynasty integrated into Malay-Riau polity,Bugis preferred if available; Malay is a possible political fallback but loses lineage specificity,Sunni Islam,"Princely Bugis-Riau military-political elite, son of Daeng Celak (YDM II)","experienced commander [HIGH]; expeditionary/security commander [HIGH]; brave [MEDIUM-HIGH, combat wound and later battle record]; naval experience [HIGH, but use only if a land-general trait can represent it]",NO_AUTHENTICATED_CONTEMPORARY_PORTRAIT_LOCATED,Modern heroic paintings/statues exist; do not treat them as contemporary facial evidence for DNA.,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM-HIGH,"Strong admissible non-sovereign candidate. On 1776-01-01 he was Engku Kelana, an office explicitly associated with maintaining security and territorial integrity, and he already had combat experience against the Dutch. His later Yang Dipertuan Muda IV title begins in 1777 and must NOT be backdated.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://ikpni.or.id/pahlawan/raja-haji-fisabilillah/,https://kebudayaan.kemdikbud.go.id/bpnbkepri/momen-hari-pahlawan-mengenang-raja-haji/
CLEANUP-2D-5K,1776-01-01,GEN1776-167,KTI,Kutai Kartanegara Sultanate,cleanup2d3b_kti_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No non-sovereign commander with secure 1776-01-01 field command and sufficient biographical data was located.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-168,LAN,Lanfang tag (anachronistic at reference date),cleanup2d3b_lan_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,Luo Fangbo,羅芳伯,Luo Fangbo; Lo Fong Pak,1738,YEAR_ONLY,~37,,"Jiaying Prefecture / later Meixian, Guangdong",Qing Empire,STATE_GUANGDONG,HIGH,1795,West Borneo,Chinese migrant/miner-community leader in formation; NOT yet head of Lanfang because Lanfang was formed in 1777.,"Lanfang president/head from 1777 to 1795, not on reference date.",,Community/mining leadership in West Borneo; no admissible Lanfang state command yet.,Hakka Chinese,Hakka if supported; otherwise Han/Chinese fallback,not securely established in consulted sources,"Hakka migrant from Guangdong; teacher, miner and community organizer",organizer [later strongly attested]; martial skill [reported]; none should justify 1776 Lanfang appointment,NO_AUTHENTICATED_CONTEMPORARY_PORTRAIT_LOCATED,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,"REJECT_FOR_REFERENCE_DATE/STATE_EXISTENCE: Luo Fangbo was already in West Borneo, but the Lanfang kongsi itself was founded in 1777. Assigning him as a Lanfang general on 1776-01-01 would backdate the polity/office.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://worldhistoryconnected.press.uillinois.edu/17.3/Eng.html,https://journals.itb.ac.id/index.php/sostek/article/view/1379
CLEANUP-2D-5K,1776-01-01,GEN1776-169,LUA,Kingdom of Luang Prabang,cleanup2d3b_lua_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,No independently documented formation commander with reconstructable personal data was located for the exact reference date. Preserve structural rework and do not default to the king.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-170,MGD,Sultanate of Maguindanao,cleanup2d3b_mgd_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No non-sovereign commander could be securely tied to the mod formation on 1776-01-01 with enough personal data for implementation.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-171,PON,Sultanate of Pontianak,cleanup2d3b_pon_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,Syarif Abdurrahman is historically central but is the sovereign/founder and cannot be used merely because he led the polity. No separate formation commander with adequate evidence was located.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-172,PRK,Sultanate of Perak,cleanup2d3b_prk_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No separately attested non-sovereign commander with a secure command on the exact reference date and adequate personal data was located.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-173,SAK,Sultanate of Siak Sri Indrapura,cleanup2d3b_sak_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No independently attested field commander matching the current formation and reference date was located without substituting a ruler.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-174,SEL,Sultanate of Selangor,cleanup2d3b_sel_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM-HIGH,The obvious named figures are rulers or Riau-Johor elites whose exact Selangor formation command on 1776-01-01 is not established. Raja Haji is assigned to JOH where his Engku Kelana office fits better.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-175,SIA,Thonburi Kingdom / Siam,cleanup2d3b_sia_land_1,IMPLEMENT_NAMED_HISTORICAL_GENERAL,REBUILD_NAMED_HISTORICAL_GENERAL,Chao Phraya Chakri (Thongduang),ทองด้วง,Thongduang; Thong Duang; Chao Phraya Chakri; later Somdet Chao Phraya Maha Kasat Suek; later Rama I / Phutthayotfa Chulalok,1737-03-20,EXACT_DAY_MONTH_CALENDAR_CONVERSION_RESOLVED_WITH_NOTE,38,"Thai Fine Arts Department gives 20 March B.E. 2279. Some Thai institutional English pages mechanically render this as 1736, while modern authority records commonly give 20 Mar 1737. Because old Thai year-counting changed in April/Songkran rather than 1 January, the recommended Gregorian implementation date is 1737-03-20. Keep the calendar-conversion note in research documentation.",Ayutthaya,Ayutthaya Kingdom,STATE_BANGKOK (current V3 regional approximation for Ayutthaya/central Siam),HIGH,1809-09-07,Bangkok,Chao Phraya Chakri; commander-in-chief under King Taksin.,Chao Phraya Chakri from 1772; appointed commander-in-chief in 1775; higher Somdet Chao Phraya rank only after a later 1776 eastern campaign.,Major Siamese field army; coordinated with Chao Phraya Surasi in the northern theatre.,"Burmese-Siamese War of 1775-1776. After redirecting from Chiang Saen, Chakri and Surasi defended/operated around Phitsanulok against Maha Thiha Thura's invasion; the siege/breakout sequence continued into 1776.",Siamese/Thai court-military identity; paternal Mon and maternal Chinese ancestry reported in later genealogical tradition,Thai/Siamese culture key,Theravada Buddhist; personally ordained as a monk in youth,"Ayutthayan noble/official family; rose through police, provincial and military offices under Taksin",experienced commander [HIGH]; defensive strategist [HIGH]; offensive/vanguard commander [HIGH]; brave/unyielding [MEDIUM],LATER_ROYAL_PORTRAITS_AVAILABLE; NO_VERIFIED_1776_CONTEMPORARY_LIKENESS,Royal portraits depict him later as Rama I; they can guide broad appearance only with caution and should not be represented as a 1776 life portrait.,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,"The existing historical identity is correct, but the profile must be rebuilt. On 1776-01-01 he was still Chao Phraya Chakri and already commander-in-chief; the higher Somdet Chao Phraya Maha Kasat Suek title followed a later 1776 campaign and must not be applied at the reference date.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://www.lib.kmutt.ac.th/chapter-19-the-top-generals-of-king-taksin-the-great/,https://finearts.go.th/museumstorage/view/40646-50Royalinmemory-%E0%B9%92%E0%B9%90-%E0%B8%A1%E0%B8%B5%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%A1-%E0%B9%92%E0%B9%92%E0%B9%97%E0%B9%99--%E0%B9%92%E0%B9%98%E0%B9%96-%E0%B8%9B%E0%B8%B5%E0%B8%81%E0%B9%88%E0%B8%AD%E0%B8%99----%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%A1%E0%B8%A0%E0%B8%9E%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%88%E0%B8%B8%E0%B8%AC%E0%B8%B2%E0%B9%82%E0%B8%A5%E0%B8%81--%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%81%E0%B8%B2%E0%B8%A5%E0%B8%97%E0%B8%B5%E0%B9%88-%E0%B9%91-
CLEANUP-2D-5K,1776-01-01,GEN1776-176,SMB,Sultanate of Sambas,cleanup2d3b_smb_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No separately attested formation commander with sufficient personal and command data for 1776-01-01 was located.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-177,SRK,Surakarta Sunanate,cleanup2d3b_srk_land_1,PROCEDURAL_ALLOWED,DEFER_POLITY_SCOPE_MISMATCH_KEEP_PROCEDURAL,Mangkunegara I (Raden Mas Said),Raden Mas Said / Mangkunegara I,Mangkunagara I; Mangkunegara I; Raden Mas Said; Prince Sambernyawa,1726,YEAR_ONLY (day/month not revalidated in this phase),~49,,Kartasura/central Java region,Mataram/central Javanese court world,STATE_CENTRAL_JAVA,HIGH,1795,,Semi-independent Mangkunegaran prince with his own military following; renowned former rebel commander.,Mangkunegaran principality from 1757; 1768-1778 is primarily a period of political marginalization/competition rather than a new open rebellion.,"Mangkunegaran forces, not clearly the Sunanate's generic SRK formation.",No exact active campaign requiring transfer of his command to SRK was established.,Javanese,Javanese,Islam (Javanese court tradition),Javanese royal/princely elite,expert/experienced commander [HIGH]; irregular/guerrilla warfare expertise [HIGH]; charismatic military leader [HIGH],LATER_COURT/RETROSPECTIVE_DEPICTIONS; NO_1776_LIKENESS_VERIFIED,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,"Historically a first-rate Javanese military commander, but by 1776 he was the semi-independent ruler/prince of Mangkunegaran within the Surakarta political space, not automatically the commander of the Surakarta Sunanate's generic formation. Use only if a future architecture decision explicitly aggregates Mangkunegaran forces into SRK.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://catalogue.uiii.ac.id/?id=9935&p=show_detail,
CLEANUP-2D-5K,1776-01-01,GEN1776-178,STG,Sintang polity / sultanate,cleanup2d3b_stg_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No independently documented formation commander with secure 1776 command and sufficient biographical data was located.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-179,SUL,Sultanate of Sulu,cleanup2d3b_sul_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No separately attested non-sovereign land commander could be tied to the current formation on the exact date with enough personal data. Do not convert the sultan into a general by default.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-180,TID,Sultanate of Tidore,cleanup2d3b_tid_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No non-sovereign commander matching the current land formation and reference date was located with sufficient biographical certainty. Later anti-Dutch figures must not be backdated.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
